datetime,open,high,low,close,volume
2003-10-16 16:30:00,34.18,34.3,34.18,34.25,3000
2003-10-16 17:00:00,34.2,34.35,34.2,34.35,11100
2003-10-16 17:30:00,34.3,34.32,34.2,34.23,7800
2003-10-16 18:00:00,34.2,34.22,34.15,34.22,2600
2003-10-16 18:30:00,34.22,34.22,34.08,34.15,5000
2003-10-16 19:00:00,34.15,34.35,34.08,34.08,7700
2003-10-16 19:30:00,34.0,34.22,34.0,34.22,1600
2003-10-16 20:00:00,34.22,34.35,34.22,34.34,1000
2003-10-16 20:30:00,34.3,34.3,34.3,34.3,200
2003-10-16 21:00:00,34.37,34.38,34.3,34.3,2400
2003-10-16 21:30:00,34.3,34.3,34.05,34.15,5600
2003-10-16 22:00:00,34.16,34.4,34.16,34.4,1500
2003-10-16 22:30:00,34.42,34.55,34.31,34.55,5300
2003-10-17 16:30:00,34.7,34.85,34.67,34.83,10100
2003-10-17 17:00:00,34.83,34.83,34.65,34.7,8300
2003-10-17 17:30:00,34.78,34.91,34.65,34.75,10800
2003-10-17 18:00:00,34.75,34.8,34.61,34.8,10200
2003-10-17 18:30:00,34.8,34.9,34.8,34.9,1600
2003-10-17 19:00:00,34.9,34.9,34.65,34.8,5600
2003-10-17 19:30:00,34.8,34.81,34.8,34.8,800
2003-10-17 20:00:00,34.77,34.81,34.76,34.8,11400
2003-10-17 20:30:00,34.87,34.87,34.8,34.84,2700
2003-10-17 21:00:00,34.8,34.86,34.77,34.82,6000
2003-10-17 21:30:00,34.82,35.1,34.79,35.0,17400
2003-10-17 22:00:00,34.96,35.05,34.96,34.98,9000
2003-10-17 22:30:00,35.0,35.04,34.92,34.95,16300
2003-10-20 16:30:00,35.0,35.1,34.98,34.98,5800
2003-10-20 17:00:00,34.99,34.99,34.85,34.91,4300
2003-10-20 17:30:00,34.89,34.89,34.8,34.83,7900
2003-10-20 18:00:00,34.84,34.88,34.8,34.82,7000
2003-10-20 18:30:00,34.82,34.94,34.81,34.81,3800
2003-10-20 19:00:00,34.85,34.92,34.85,34.92,1900
2003-10-20 19:30:00,34.86,34.92,34.86,34.88,2400
2003-10-20 20:00:00,34.83,34.85,34.8,34.8,8800
2003-10-20 20:30:00,34.8,34.82,34.78,34.78,2000
2003-10-20 21:00:00,34.79,34.8,34.7,34.7,4300
2003-10-20 21:30:00,34.71,34.71,34.59,34.59,6700
2003-10-20 22:00:00,34.59,34.59,34.5,34.51,3700
2003-10-20 22:30:00,34.52,34.55,34.47,34.55,11000
2003-10-21 16:30:00,34.6,34.8,34.6,34.8,3000
2003-10-21 17:00:00,34.8,34.85,34.65,34.8,7100
2003-10-21 17:30:00,34.8,34.8,34.65,34.65,2000
2003-10-21 18:00:00,34.61,34.62,34.5,34.62,2800
2003-10-21 18:30:00,34.62,34.65,34.46,34.47,4500
2003-10-21 19:00:00,34.55,34.65,34.53,34.6,900
2003-10-21 19:30:00,34.5,34.5,34.5,34.5,100
2003-10-21 20:00:00,34.6,34.6,34.5,34.5,2500
2003-10-21 20:30:00,34.5,34.5,34.43,34.5,1100
2003-10-21 21:00:00,34.5,34.53,34.42,34.42,3100
2003-10-21 21:30:00,34.44,34.47,34.37,34.45,2700
2003-10-21 22:00:00,34.4,34.4,34.12,34.18,14300
2003-10-21 22:30:00,34.19,34.43,34.19,34.38,14100
2003-10-22 16:30:00,34.5,34.5,34.25,34.26,6100
2003-10-22 17:00:00,34.21,34.26,34.15,34.2,1800
2003-10-22 17:30:00,34.18,34.19,34.03,34.03,5600
2003-10-22 18:00:00,34.06,34.14,34.05,34.1,1700
2003-10-22 18:30:00,34.1,34.25,34.1,34.18,1300
2003-10-22 19:00:00,34.07,34.09,34.02,34.03,1700
2003-10-22 19:30:00,34.05,34.05,34.01,34.04,1900
2003-10-22 20:00:00,34.03,34.03,33.7,33.86,5200
2003-10-22 20:30:00,33.87,33.93,33.85,33.93,4300
2003-10-22 21:00:00,33.94,34.0,33.94,33.99,3800
2003-10-22 21:30:00,33.95,34.04,33.95,34.0,3200
2003-10-22 22:00:00,34.05,34.08,34.0,34.05,1400
2003-10-22 22:30:00,34.05,34.05,33.95,33.95,19200
2003-10-23 16:30:00,34.1,34.1,34.0,34.04,6100
2003-10-23 17:00:00,34.04,34.14,34.0,34.14,4300
2003-10-23 17:30:00,34.1,34.1,34.02,34.09,1800
2003-10-23 18:00:00,34.15,34.15,34.01,34.12,1900
2003-10-23 18:30:00,34.12,34.14,34.07,34.14,1900
2003-10-23 19:00:00,34.05,34.22,34.05,34.07,1900
2003-10-23 19:30:00,34.17,34.17,34.17,34.17,600
2003-10-23 20:00:00,34.17,34.17,34.05,34.15,1100
2003-10-23 20:30:00,34.15,34.15,34.0,34.1,6700
2003-10-23 21:00:00,34.1,34.18,34.1,34.17,2500
2003-10-23 21:30:00,34.17,34.17,34.17,34.17,700
2003-10-23 22:00:00,34.17,34.17,34.1,34.13,2500
2003-10-23 22:30:00,34.14,34.14,33.9,33.9,8100
2003-10-24 16:30:00,33.72,33.75,33.7,33.72,7600
2003-10-24 17:00:00,33.73,33.85,33.73,33.83,2400
2003-10-24 17:30:00,33.85,33.9,33.75,33.9,2800
2003-10-24 18:00:00,33.9,34.0,33.9,33.97,3400
2003-10-24 18:30:00,33.97,33.97,33.58,33.59,5300
2003-10-24 19:00:00,33.66,33.77,33.55,33.55,4700
2003-10-24 19:30:00,33.56,33.57,33.42,33.48,2000
2003-10-24 20:00:00,33.49,33.52,33.49,33.52,1100
2003-10-24 20:30:00,33.52,33.52,33.11,33.27,6200
2003-10-24 21:00:00,33.3,33.42,33.11,33.4,8000
2003-10-24 21:30:00,33.39,33.39,33.01,33.19,8600
2003-10-24 22:00:00,33.19,33.65,33.05,33.49,11200
2003-10-24 22:30:00,33.49,34.03,33.4,33.91,15500
2003-10-27 16:30:00,33.95,34.16,33.95,34.16,4400
2003-10-27 17:00:00,34.2,34.45,34.2,34.45,8000
2003-10-27 17:30:00,34.45,34.56,34.45,34.45,5500
2003-10-27 18:00:00,34.45,34.51,34.43,34.44,2300
2003-10-27 18:30:00,34.44,34.64,34.44,34.53,1300
2003-10-27 19:00:00,34.56,34.6,34.49,34.49,1500
2003-10-27 19:30:00,34.48,34.5,34.25,34.41,11500
2003-10-27 20:00:00,34.41,34.6,34.41,34.59,15000
2003-10-27 20:30:00,34.6,35.13,34.6,35.08,23000
2003-10-27 21:00:00,35.09,35.09,35.03,35.09,11800
2003-10-27 21:30:00,35.09,35.15,35.09,35.12,9700
2003-10-27 22:00:00,35.21,35.7,35.21,35.45,27500
2003-10-27 22:30:00,35.43,35.44,35.1,35.15,21100
2003-10-28 16:30:00,35.16,35.16,34.4,34.51,63200
2003-10-28 17:00:00,34.51,34.51,34.21,34.22,20800
2003-10-28 17:30:00,34.22,34.43,34.2,34.43,17300
2003-10-28 18:00:00,34.43,34.55,34.43,34.55,45500
2003-10-28 18:30:00,34.54,34.65,34.49,34.5,13300
2003-10-28 19:00:00,34.51,34.84,34.51,34.84,3900
2003-10-28 19:30:00,34.84,34.84,34.56,34.61,8300
2003-10-28 20:00:00,34.62,34.77,34.62,34.77,3400
2003-10-28 20:30:00,34.77,34.79,34.67,34.68,5000
2003-10-28 21:00:00,34.72,34.78,34.56,34.65,7600
2003-10-28 21:30:00,34.62,34.65,34.43,34.52,26300
2003-10-28 22:00:00,34.45,34.52,33.92,34.0,61100
2003-10-28 22:30:00,33.9,33.9,32.75,32.92,61800
2003-10-29 16:30:00,32.67,32.7,32.2,32.7,49300
2003-10-29 17:00:00,32.7,32.9,32.6,32.74,45000
2003-10-29 17:30:00,32.73,32.75,32.3,32.55,14300
2003-10-29 18:00:00,32.55,32.59,32.51,32.54,3000
2003-10-29 18:30:00,32.54,32.55,32.5,32.5,5200
2003-10-29 19:00:00,32.51,32.6,32.51,32.58,4500
2003-10-29 19:30:00,32.64,32.65,32.36,32.36,10300
2003-10-29 20:00:00,32.41,32.67,32.38,32.67,8100
2003-10-29 20:30:00,32.57,32.62,32.38,32.41,14700
2003-10-29 21:00:00,32.47,32.47,32.3,32.41,8500
2003-10-29 21:30:00,32.42,32.45,32.12,32.4,26100
2003-10-29 22:00:00,32.42,32.5,32.37,32.4,27100
2003-10-29 22:30:00,32.48,32.63,32.3,32.3,29900
2003-10-30 16:30:00,31.9,32.0,31.9,31.99,19400
2003-10-30 17:00:00,31.99,32.3,31.91,32.26,10400
2003-10-30 17:30:00,32.26,32.26,31.8,31.99,12400
2003-10-30 18:00:00,31.99,32.17,31.99,32.09,13900
2003-10-30 18:30:00,32.1,32.1,31.75,31.75,29100
2003-10-30 19:00:00,31.85,31.9,31.6,31.72,9200
2003-10-30 19:30:00,31.73,31.84,31.73,31.84,6800
2003-10-30 20:00:00,31.84,31.84,31.62,31.63,5800
2003-10-30 20:30:00,31.67,31.7,31.67,31.68,2700
2003-10-30 21:00:00,31.68,31.76,31.64,31.76,3900
2003-10-30 21:30:00,31.76,31.76,31.68,31.68,4500
2003-10-30 22:00:00,31.68,31.68,31.44,31.51,9800
2003-10-30 22:30:00,31.55,31.65,31.44,31.44,12700
2003-10-31 16:30:00,31.6,32.0,31.6,32.0,14300
2003-10-31 17:00:00,32.05,32.05,31.85,31.88,11500
2003-10-31 17:30:00,31.9,31.94,31.8,31.93,7700
2003-10-31 18:00:00,31.93,31.98,31.91,31.91,4000
2003-10-31 18:30:00,31.91,31.91,31.76,31.82,3900
2003-10-31 19:00:00,31.82,31.85,31.77,31.84,2500
2003-10-31 19:30:00,31.83,31.87,31.62,31.7,3600
2003-10-31 20:00:00,31.7,31.7,31.45,31.45,5600
2003-10-31 20:30:00,31.39,31.39,31.15,31.33,11100
2003-10-31 21:00:00,31.33,31.36,31.25,31.3,7300
2003-10-31 21:30:00,31.35,31.38,30.86,30.86,16200
2003-10-31 22:00:00,30.87,30.9,30.78,30.78,46200
2003-10-31 22:30:00,30.75,30.76,30.6,30.6,33500
2003-11-03 16:30:00,30.76,30.9,30.76,30.9,10638
2003-11-03 17:00:00,30.9,31.4,30.9,31.37,23500
2003-11-03 17:30:00,31.37,31.4,31.32,31.35,2400
2003-11-03 18:00:00,31.35,31.41,31.0,31.06,11931
2003-11-03 18:30:00,31.06,31.08,31.05,31.08,3900
2003-11-03 19:00:00,31.09,31.1,31.0,31.1,28600
2003-11-03 19:30:00,31.1,31.1,31.07,31.1,2400
2003-11-03 20:00:00,31.1,31.1,31.02,31.02,28900
2003-11-03 20:30:00,31.02,31.2,31.0,31.2,10175
2003-11-03 21:00:00,31.24,31.25,31.16,31.18,12222
2003-11-03 21:30:00,31.18,31.19,31.08,31.1,23900
2003-11-03 22:00:00,31.1,31.1,31.04,31.1,6800
2003-11-03 22:30:00,31.1,31.52,31.1,31.48,25800
2003-11-04 16:30:00,31.74,31.75,31.49,31.52,11178
2003-11-04 17:00:00,31.48,31.51,31.3,31.3,8700
2003-11-04 17:30:00,31.3,31.3,31.15,31.19,5600
2003-11-04 18:00:00,31.15,31.22,31.1,31.14,6300
2003-11-04 18:30:00,31.1,31.12,30.98,31.01,5500
2003-11-04 19:00:00,31.01,31.04,31.01,31.02,4400
2003-11-04 19:30:00,31.02,31.08,31.02,31.06,3200
2003-11-04 20:00:00,31.06,31.1,31.06,31.1,10500
2003-11-04 20:30:00,31.1,31.18,31.1,31.11,1700
2003-11-04 21:00:00,31.11,31.34,31.11,31.34,5300
2003-11-04 21:30:00,31.37,31.53,31.36,31.49,9300
2003-11-04 22:00:00,31.49,31.5,31.21,31.34,8520
2003-11-04 22:30:00,31.26,31.26,31.11,31.11,8500
2003-11-05 16:30:00,31.18,31.18,31.05,31.07,3500
2003-11-05 17:00:00,31.06,31.1,31.03,31.07,15800
2003-11-05 17:30:00,31.05,31.05,30.98,31.01,9100
2003-11-05 18:00:00,30.98,30.99,30.76,30.79,10400
2003-11-05 18:30:00,30.78,30.83,30.78,30.83,6700
2003-11-05 19:00:00,30.84,30.84,30.83,30.84,2000
2003-11-05 19:30:00,30.83,30.93,30.82,30.82,6100
2003-11-05 20:00:00,30.81,30.81,30.7,30.71,1800
2003-11-05 20:30:00,30.71,30.71,30.65,30.7,1600
2003-11-05 21:00:00,30.69,30.69,30.45,30.49,10400
2003-11-05 21:30:00,30.52,30.63,30.45,30.63,4800
2003-11-05 22:00:00,30.63,30.63,30.47,30.49,1400
2003-11-05 22:30:00,30.49,30.68,30.49,30.61,7600
2003-11-06 16:30:00,30.7,30.7,30.57,30.57,4300
2003-11-06 17:00:00,30.64,30.64,30.47,30.59,6600
2003-11-06 17:30:00,30.5,30.58,30.46,30.54,11500
2003-11-06 18:00:00,30.54,30.54,30.45,30.45,9300
2003-11-06 18:30:00,30.46,30.5,30.46,30.49,1100
2003-11-06 19:00:00,30.49,30.5,30.48,30.5,2200
2003-11-06 19:30:00,30.5,30.5,30.48,30.48,3000
2003-11-06 20:00:00,30.49,30.51,30.49,30.5,4900
2003-11-06 20:30:00,30.52,30.59,30.43,30.52,7300
2003-11-06 21:00:00,30.55,30.62,30.55,30.6,5900
2003-11-06 21:30:00,30.6,30.71,30.58,30.71,21300
2003-11-06 22:00:00,30.72,31.0,30.72,30.9,11200
2003-11-06 22:30:00,30.98,31.05,30.9,31.01,6600
2003-11-07 16:30:00,30.95,31.04,30.95,30.98,5600
2003-11-07 17:00:00,30.99,31.13,30.98,31.13,6200
2003-11-07 17:30:00,31.17,31.31,31.17,31.25,3400
2003-11-07 18:00:00,31.23,31.23,31.13,31.17,1400
2003-11-07 18:30:00,31.18,31.22,31.0,31.01,4500
2003-11-07 19:00:00,31.01,31.2,30.88,30.88,8100
2003-11-07 19:30:00,30.85,30.85,30.8,30.81,16500
2003-11-07 20:00:00,30.74,30.82,30.74,30.8,10000
2003-11-07 20:30:00,30.8,30.86,30.79,30.85,6900
2003-11-07 21:00:00,30.85,31.0,30.85,31.0,7600
2003-11-07 21:30:00,31.0,31.0,30.93,30.97,12100
2003-11-07 22:00:00,30.99,31.0,30.92,31.0,7600
2003-11-07 22:30:00,31.0,31.2,30.97,31.05,9000
2003-11-10 16:30:00,30.88,30.92,30.83,30.9,14700
2003-11-10 17:00:00,30.88,30.89,30.77,30.8,16500
2003-11-10 17:30:00,30.77,30.89,30.75,30.89,7500
2003-11-10 18:00:00,30.82,30.98,30.82,30.94,1100
2003-11-10 18:30:00,30.93,30.98,30.88,30.88,7700
2003-11-10 19:00:00,30.88,30.88,30.84,30.88,800
2003-11-10 19:30:00,30.84,30.84,30.84,30.84,1100
2003-11-10 20:00:00,30.85,30.85,30.85,30.85,200
2003-11-10 20:30:00,30.85,30.95,30.85,30.95,3500
2003-11-10 21:00:00,30.95,30.98,30.9,30.9,6400
2003-11-10 21:30:00,30.9,30.9,30.84,30.84,1800
2003-11-10 22:00:00,30.84,30.84,30.8,30.83,16300
2003-11-10 22:30:00,30.83,30.83,30.75,30.81,13200
2003-11-11 16:30:00,30.91,30.91,30.5,30.5,8600
2003-11-11 17:00:00,30.5,30.5,30.11,30.11,4000
2003-11-11 17:30:00,30.1,30.11,30.09,30.1,3400
2003-11-11 18:00:00,30.09,30.1,30.01,30.02,5400
2003-11-11 18:30:00,30.02,30.04,29.87,29.93,7100
