datetime,open,high,low,close,volume
2019-05-24 18:00:00,61.0,61.99,60.5,61.0,600
2019-05-24 18:30:00,61.0,61.99,61.0,61.13,4605
2019-05-24 19:00:00,61.0,61.53,61.0,61.41,5900
2019-05-24 19:30:00,61.25,61.25,61.25,61.25,150
2019-05-24 20:00:00,61.67,61.8,61.35,61.79,2850
2019-05-24 20:30:00,61.79,63.43,61.71,63.43,2900
2019-05-24 21:00:00,63.3,63.3,63.3,63.3,100
2019-05-24 21:30:00,63.36,63.42,62.01,62.01,3450
2019-05-24 22:00:00,63.54,63.54,63.54,63.54,100
2019-05-24 22:30:00,63.42,65.5,63.42,64.55,5160
2019-05-28 16:30:00,64.0,64.0,63.0,64.0,1300
2019-05-28 17:00:00,63.22,63.65,63.0,63.0,15734
2019-05-28 17:30:00,63.08,63.19,63.0,63.0,1600
2019-05-28 18:00:00,63.22,63.22,63.21,63.21,500
2019-05-28 18:30:00,63.7,63.76,63.7,63.76,400
2019-05-28 19:30:00,63.73,63.73,63.73,63.73,200
2019-05-28 20:00:00,63.5,63.5,63.4,63.4,1000
2019-05-28 20:30:00,63.69,63.69,63.69,63.69,100
2019-05-28 21:00:00,63.4,63.48,63.4,63.48,1100
2019-05-28 21:30:00,63.4,63.53,63.4,63.5,1500
2019-05-28 22:00:00,63.5,63.51,63.38,63.4,2841
2019-05-28 22:30:00,63.4,63.68,63.38,63.4,8959
2019-05-29 16:30:00,64.0,64.04,62.1,63.01,5299
2019-05-29 17:00:00,63.69,63.69,63.4,63.4,300
2019-05-29 17:30:00,64.54,64.79,64.0,64.69,900
2019-05-29 18:00:00,64.44,64.72,64.25,64.25,1372
2019-05-29 18:30:00,64.16,64.16,63.91,63.99,834
2019-05-29 19:00:00,63.99,64.48,63.99,64.48,900
2019-05-29 19:30:00,64.64,64.64,64.4,64.4,400
2019-05-29 20:00:00,64.4,65.01,64.4,64.79,700
2019-05-29 20:30:00,64.79,65.0,64.56,64.56,9400
2019-05-29 21:00:00,64.76,64.79,64.36,64.5,900
2019-05-29 21:30:00,64.22,64.83,63.99,64.36,1980
2019-05-29 22:00:00,64.38,64.7,64.34,64.34,1600
2019-05-29 22:30:00,64.75,65.44,64.75,65.41,1400
2019-05-30 16:30:00,65.0,65.25,64.67,65.25,1300
2019-05-30 17:00:00,65.2,65.2,65.0,65.0,1300
2019-05-30 17:30:00,65.1,65.27,64.99,65.1,2600
2019-05-30 18:00:00,65.17,65.26,65.0,65.05,20420
2019-05-30 18:30:00,65.1,65.23,65.03,65.23,2900
2019-05-30 19:00:00,65.05,65.17,64.98,65.12,9900
2019-05-30 19:30:00,65.01,65.22,64.5,65.22,8600
2019-05-30 20:00:00,65.06,65.32,64.77,65.15,24300
2019-05-30 20:30:00,65.11,65.15,64.87,65.1,2100
2019-05-30 21:00:00,65.18,65.18,64.85,65.0,6401
2019-05-30 21:30:00,65.0,65.2,64.93,64.93,15700
2019-05-30 22:00:00,65.0,65.06,64.68,64.95,42597
2019-05-30 22:30:00,64.96,65.32,64.84,65.0,22613
2019-05-31 16:30:00,63.75,64.01,63.28,63.71,20468
2019-05-31 17:00:00,63.93,64.34,63.35,63.73,33268
2019-05-31 17:30:00,63.7,63.74,63.37,63.4,56064
2019-05-31 18:00:00,63.4,63.94,63.4,63.53,2000
2019-05-31 18:30:00,63.8,63.94,63.51,63.75,11867
2019-05-31 19:00:00,63.75,63.81,63.52,63.75,26099
2019-05-31 19:30:00,63.75,63.75,63.52,63.6,4400
2019-05-31 20:00:00,63.52,63.75,63.52,63.69,13029
2019-05-31 20:30:00,63.7,64.0,63.7,63.94,1280
2019-05-31 21:00:00,63.77,64.04,63.73,63.85,16602
2019-05-31 21:30:00,63.75,64.12,63.74,63.91,13397
2019-05-31 22:00:00,63.99,64.09,63.76,63.83,40408
2019-05-31 22:30:00,63.8,64.58,63.76,64.05,32655
2019-06-03 16:30:00,65.67,68.57,65.5,67.94,405416
2019-06-03 17:00:00,67.9,68.97,67.86,68.9,694724
2019-06-03 17:30:00,68.92,70.41,68.74,70.29,780220
2019-06-03 18:00:00,70.3,70.79,69.39,70.18,654560
2019-06-03 18:30:00,70.14,70.67,70.1,70.31,579660
2019-06-03 19:00:00,70.31,70.71,70.28,70.51,302481
2019-06-03 19:30:00,70.49,70.68,70.46,70.47,295385
2019-06-03 20:00:00,70.47,71.21,70.4,71.15,243642
2019-06-03 20:30:00,71.12,71.74,71.07,71.69,517775
2019-06-03 21:00:00,71.69,71.99,71.47,71.9,631688
2019-06-03 21:30:00,71.91,72.11,71.91,72.09,546083
2019-06-03 22:00:00,72.09,73.03,71.95,72.57,689666
2019-06-03 22:30:00,72.52,75.03,72.2,74.7,2165033
2019-06-04 16:30:00,76.29,76.5,73.37,74.26,1635951
2019-06-04 17:00:00,74.29,74.68,73.84,73.96,1675055
2019-06-04 17:30:00,73.96,74.31,73.9,74.15,1067465
2019-06-04 18:00:00,74.14,74.26,73.93,74.15,702946
2019-06-04 18:30:00,74.15,74.29,74.0,74.08,562274
2019-06-04 19:00:00,74.07,74.28,73.73,74.01,1197678
2019-06-04 19:30:00,74.01,74.41,73.98,74.16,353840
2019-06-04 20:00:00,74.16,74.34,73.81,73.95,321844
2019-06-04 20:30:00,73.92,74.12,73.88,74.11,388930
2019-06-04 21:00:00,74.1,74.11,73.82,73.99,558152
2019-06-04 21:30:00,73.99,74.38,73.88,74.0,622620
2019-06-04 22:00:00,74.0,74.24,73.98,74.06,445705
2019-06-04 22:30:00,74.06,74.23,73.54,74.15,1269758
2019-06-05 16:30:00,74.13,74.27,72.62,73.45,437664
2019-06-05 17:00:00,73.52,74.09,73.51,73.9,357512
2019-06-05 17:30:00,73.88,74.5,73.85,74.38,373120
2019-06-05 18:00:00,74.4,75.01,74.37,74.66,364640
2019-06-05 18:30:00,74.65,75.13,74.63,75.01,344725
2019-06-05 19:00:00,75.0,75.05,74.75,74.97,300651
2019-06-05 19:30:00,74.97,75.31,74.81,75.29,287450
2019-06-05 20:00:00,75.28,75.49,75.07,75.11,186439
2019-06-05 20:30:00,75.09,75.1,74.8,74.8,112251
2019-06-05 21:00:00,74.8,74.8,74.26,74.33,231024
2019-06-05 21:30:00,74.34,74.5,74.15,74.45,240256
2019-06-05 22:00:00,74.44,74.59,74.2,74.2,239885
2019-06-05 22:30:00,74.2,74.92,74.13,74.86,993748
2019-06-06 16:30:00,74.79,74.86,73.72,74.09,391954
2019-06-06 17:00:00,74.1,74.24,73.37,73.47,318953
2019-06-06 17:30:00,73.46,73.47,72.8,72.8,371365
2019-06-06 18:00:00,72.86,73.05,72.25,72.26,410967
2019-06-06 18:30:00,72.27,72.32,72.0,72.12,421720
2019-06-06 19:00:00,72.13,72.47,71.59,71.59,469103
2019-06-06 19:30:00,71.59,71.64,71.35,71.56,448030
2019-06-06 20:00:00,71.56,71.98,71.44,71.82,418866
