datetime,open,high,low,close,volume
2004-12-15 17:00:00,41.89,44.55,41.65,42.8,4559600
2004-12-15 17:30:00,42.81,44.9,42.05,44.7,2855200
2004-12-15 18:00:00,44.7,45.75,44.45,45.25,2679600
2004-12-15 18:30:00,45.19,45.25,43.93,44.95,1404400
2004-12-15 19:00:00,44.99,47.3,44.95,47.25,1811000
2004-12-15 19:30:00,47.25,49.45,46.8,48.3,2005900
2004-12-15 20:00:00,48.45,48.5,46.9,46.9,1005500
2004-12-15 20:30:00,46.9,48.25,46.8,47.1,772800
2004-12-15 21:00:00,47.19,47.41,46.25,46.5,824000
2004-12-15 21:30:00,46.55,47.0,45.8,46.9,775800
2004-12-15 22:00:00,46.9,47.69,46.6,46.6,782900
2004-12-15 22:30:00,46.58,47.75,46.5,46.52,1088800
2004-12-16 16:30:00,48.1,50.48,47.9,48.8,2148700
2004-12-16 17:00:00,48.84,49.95,48.0,49.54,747000
2004-12-16 17:30:00,49.3,50.05,48.6,49.94,763300
2004-12-16 18:00:00,49.9,50.6,49.7,50.27,818500
2004-12-16 18:30:00,50.27,50.45,49.8,49.94,558900
2004-12-16 19:00:00,50.0,50.15,49.83,50.07,236200
2004-12-16 19:30:00,50.08,50.23,49.88,49.88,213500
2004-12-16 20:00:00,49.88,49.88,49.21,49.6,492000
2004-12-16 20:30:00,49.56,49.7,49.3,49.59,212000
2004-12-16 21:00:00,49.59,49.68,48.95,49.0,277600
2004-12-16 21:30:00,49.0,49.35,48.6,48.8,282200
2004-12-16 22:00:00,48.77,49.19,48.31,49.18,423000
2004-12-16 22:30:00,49.17,49.4,48.67,49.05,452700
2004-12-17 16:30:00,49.11,49.5,48.11,48.25,767900
2004-12-17 17:00:00,48.3,48.6,48.2,48.44,164300
2004-12-17 17:30:00,48.44,49.39,48.41,49.34,262200
2004-12-17 18:00:00,49.28,49.49,49.1,49.42,227800
2004-12-17 18:30:00,49.43,49.85,49.2,49.21,277600
2004-12-17 19:00:00,49.2,49.39,48.82,49.17,134800
2004-12-17 19:30:00,49.17,49.38,49.11,49.2,74800
2004-12-17 20:00:00,49.2,49.28,49.1,49.28,83900
2004-12-17 20:30:00,49.28,50.25,49.27,50.07,297200
2004-12-17 21:00:00,50.01,51.12,50.01,50.45,456400
2004-12-17 21:30:00,50.5,50.92,50.41,50.72,209900
2004-12-17 22:00:00,50.7,52.25,50.6,51.76,650300
2004-12-17 22:30:00,51.76,53.25,51.7,52.7,755700
2004-12-20 16:30:00,52.7,53.98,52.64,53.14,1034000
2004-12-20 17:00:00,53.2,53.23,49.75,50.15,1395500
2004-12-20 17:30:00,50.15,51.0,49.75,49.76,694500
2004-12-20 18:00:00,49.7,49.8,48.65,48.8,830300
2004-12-20 18:30:00,48.84,50.1,48.33,49.75,456900
2004-12-20 19:00:00,49.75,49.9,49.27,49.75,140900
2004-12-20 19:30:00,49.75,49.9,49.64,49.8,187300
2004-12-20 20:00:00,49.87,50.2,49.78,50.15,223400
2004-12-20 20:30:00,50.12,50.13,49.9,49.91,66800
2004-12-20 21:00:00,49.91,49.92,48.77,49.01,277200
2004-12-20 21:30:00,49.07,49.91,49.0,49.8,140100
2004-12-20 22:00:00,49.82,49.85,48.9,48.91,100100
2004-12-20 22:30:00,48.91,49.46,48.75,48.75,278600
2004-12-21 16:30:00,48.6,49.18,47.5,47.8,444400
2004-12-21 17:00:00,47.88,47.88,45.75,45.8,742000
2004-12-21 17:30:00,45.87,47.5,45.6,47.25,541300
2004-12-21 18:00:00,47.26,47.34,46.97,47.17,323100
2004-12-21 18:30:00,47.2,47.47,47.13,47.35,101900
2004-12-21 19:00:00,47.36,48.15,47.13,47.73,166300
2004-12-21 19:30:00,47.74,47.74,47.15,47.28,118400
