datetime,open,high,low,close,volume
2000-05-02 16:30:00,25.0,25.0,23.0,24.13,311100
2000-05-02 17:00:00,24.13,24.44,23.5,23.88,261300
2000-05-02 17:30:00,23.88,24.31,23.63,24.07,79900
2000-05-02 18:00:00,24.06,24.26,24.0,24.13,54800
2000-05-02 18:30:00,24.13,24.38,23.63,24.0,94600
2000-05-02 19:00:00,23.81,24.32,23.68,24.32,30300
2000-05-02 19:30:00,24.31,24.31,23.69,23.9,71100
2000-05-02 20:00:00,23.94,24.0,23.5,23.94,51400
2000-05-02 20:30:00,23.69,24.38,23.25,23.44,140800
2000-05-02 21:00:00,23.63,23.63,22.87,23.06,172200
2000-05-02 21:30:00,23.06,23.26,22.37,22.88,102300
2000-05-02 22:00:00,22.88,24.01,22.63,23.94,98600
2000-05-02 22:30:00,23.94,24.5,23.06,24.03,249400
2000-05-03 16:30:00,23.69,23.76,22.0,23.26,238300
2000-05-03 17:00:00,23.25,23.38,22.38,23.13,109600
2000-05-03 17:30:00,23.25,23.5,22.75,22.87,62600
2000-05-03 18:00:00,22.75,23.0,22.5,22.56,46800
2000-05-03 18:30:00,22.56,22.94,22.56,22.82,44100
2000-05-03 19:00:00,22.63,22.82,22.62,22.63,17600
2000-05-03 19:30:00,22.56,22.76,22.5,22.56,29900
2000-05-03 20:00:00,22.63,22.63,22.19,22.44,105100
2000-05-03 20:30:00,22.38,22.63,22.25,22.31,273500
2000-05-03 21:00:00,22.31,22.51,22.12,22.13,53600
2000-05-03 21:30:00,22.13,22.26,22.0,22.13,116100
2000-05-03 22:00:00,22.13,22.26,21.75,21.75,294800
2000-05-03 22:30:00,21.88,22.51,21.31,22.38,308400
2000-05-04 16:30:00,23.56,23.63,21.75,22.44,162400
2000-05-04 17:00:00,22.38,23.01,22.0,22.31,67600
2000-05-04 17:30:00,22.25,22.44,21.75,22.25,40600
2000-05-04 18:00:00,22.13,22.26,22.0,22.0,53700
2000-05-04 18:30:00,22.03,22.26,22.0,22.13,37000
2000-05-04 19:00:00,22.13,22.13,21.75,22.0,32400
2000-05-04 19:30:00,21.75,22.01,21.56,21.75,51200
2000-05-04 20:00:00,21.75,22.01,21.62,21.63,55700
2000-05-04 20:30:00,21.75,21.88,21.62,21.75,21100
2000-05-04 21:00:00,21.75,21.75,21.5,21.75,24400
2000-05-04 21:30:00,21.56,21.76,21.19,21.5,41600
2000-05-04 22:00:00,21.5,21.75,20.5,21.0,479200
2000-05-04 22:30:00,20.88,21.63,20.88,21.12,129300
2000-05-05 16:30:00,20.75,22.01,20.69,21.0,148600
2000-05-05 17:00:00,21.0,22.0,20.94,21.57,108200
2000-05-05 17:30:00,21.81,22.0,21.56,21.87,87500
2000-05-05 18:00:00,21.56,21.87,21.25,21.44,134000
2000-05-05 18:30:00,21.44,21.44,21.0,21.06,55700
2000-05-05 19:00:00,21.0,21.06,20.87,21.0,233000
2000-05-05 19:30:00,21.0,21.38,20.94,21.19,32600
2000-05-05 20:00:00,21.25,21.38,21.0,21.25,43600
2000-05-05 20:30:00,21.25,21.25,21.0,21.06,26500
2000-05-05 21:00:00,21.0,21.26,21.0,21.06,50800
2000-05-05 21:30:00,21.06,21.13,21.0,21.0,31900
2000-05-05 22:00:00,21.0,21.06,20.75,20.93,82600
2000-05-05 22:30:00,20.88,21.01,20.5,20.87,107700
2000-05-08 16:30:00,20.44,21.0,20.13,20.69,82300
2000-05-08 17:00:00,20.75,20.76,20.37,20.63,89300
2000-05-08 17:30:00,20.5,21.06,20.5,21.0,52700
2000-05-08 18:00:00,20.75,21.0,20.5,20.75,89000
2000-05-08 18:30:00,20.63,20.88,20.5,20.56,9100
2000-05-08 19:00:00,20.63,20.75,20.38,20.63,36400
2000-05-08 19:30:00,20.63,20.63,20.37,20.5,45500
2000-05-08 20:00:00,20.38,20.51,20.25,20.25,35600
2000-05-08 20:30:00,20.38,20.51,20.07,20.19,87800
2000-05-08 21:00:00,20.19,20.44,20.06,20.19,31500
2000-05-08 21:30:00,20.06,20.38,20.06,20.25,26200
2000-05-08 22:00:00,20.25,20.63,20.19,20.44,67800
