datetime,open,high,low,close,volume
2007-04-30 20:00:00,31.92,31.93,31.88,31.89,49300
2007-04-30 20:30:00,31.9,31.95,31.9,31.95,140100
2007-04-30 21:00:00,31.94,31.95,31.91,31.91,95200
2007-04-30 21:30:00,31.91,31.92,31.87,31.89,80500
2007-04-30 22:00:00,31.88,31.91,31.88,31.9,202600
2007-04-30 22:30:00,31.9,31.91,31.85,31.88,186300
2007-04-30 23:00:00,31.87,31.89,31.8,31.81,160300
2007-04-30 23:30:00,31.81,31.85,31.7,31.77,554900
2007-05-01 17:30:00,31.77,32.05,31.77,31.9,204400
2007-05-01 18:00:00,31.91,31.97,31.79,31.81,362100
2007-05-01 18:30:00,31.81,31.81,31.72,31.75,173800
2007-05-01 19:00:00,31.75,31.93,31.74,31.76,313800
2007-05-01 19:30:00,31.76,31.9,31.74,31.87,210400
2007-05-01 20:00:00,31.86,31.89,31.75,31.75,142400
2007-05-01 20:30:00,31.76,31.83,31.72,31.82,187700
2007-05-01 21:00:00,31.81,31.82,31.72,31.78,143500
2007-05-01 21:30:00,31.78,31.78,31.69,31.76,240600
2007-05-01 22:00:00,31.76,31.82,31.74,31.8,151200
2007-05-01 22:30:00,31.8,31.98,31.77,31.97,266200
2007-05-01 23:00:00,31.98,32.0,31.84,31.89,394600
2007-05-01 23:30:00,31.9,32.01,31.9,31.94,341100
2007-05-02 17:30:00,31.97,32.24,31.97,32.17,544300
2007-05-02 18:00:00,32.16,32.22,31.99,31.99,355100
2007-05-02 18:30:00,31.98,32.0,31.92,31.99,443700
2007-05-02 19:00:00,31.99,32.03,31.92,32.03,496200
2007-05-02 19:30:00,32.02,32.19,32.02,32.12,229600
2007-05-02 20:00:00,32.11,32.12,32.07,32.09,182400
2007-05-02 20:30:00,32.09,32.14,32.06,32.08,185200
2007-05-02 21:00:00,32.08,32.09,31.95,31.95,283100
2007-05-02 21:30:00,31.95,32.12,31.95,32.03,208600
2007-05-02 22:00:00,32.02,32.04,31.99,32.0,211800
2007-05-02 22:30:00,31.99,32.01,31.87,31.91,325100
2007-05-02 23:00:00,31.91,32.0,31.87,31.88,303700
2007-05-02 23:30:00,31.87,31.9,31.75,31.86,1082600
2007-05-03 17:30:00,31.82,32.1,31.66,32.0,641400
2007-05-03 18:00:00,32.0,32.25,31.95,32.23,340600
2007-05-03 18:30:00,32.23,32.43,32.13,32.43,486740
2007-05-03 19:00:00,32.42,32.45,32.17,32.2,561300
2007-05-03 19:30:00,32.2,32.21,31.93,32.09,237700
2007-05-03 20:00:00,32.09,32.13,31.9,32.01,243400
2007-05-03 20:30:00,32.01,32.19,32.01,32.16,155500
2007-05-03 21:00:00,32.16,32.19,32.06,32.11,141200
2007-05-03 21:30:00,32.09,32.14,32.06,32.12,308500
2007-05-03 22:00:00,32.12,32.23,32.11,32.17,115900
2007-05-03 22:30:00,32.17,32.18,32.08,32.1,228600
2007-05-03 23:00:00,32.1,32.11,31.95,31.99,440900
2007-05-03 23:30:00,32.0,32.08,31.94,32.06,516100
2007-05-04 17:30:00,32.06,32.3,32.06,32.17,400000
2007-05-04 18:00:00,32.17,32.2,32.1,32.17,330500
2007-05-04 18:30:00,32.17,32.22,32.09,32.1,235000
2007-05-04 19:00:00,32.1,32.1,31.9,31.91,288200
2007-05-04 19:30:00,31.91,31.97,31.86,31.95,207800
2007-05-04 20:00:00,31.95,32.01,31.92,31.99,259200
2007-05-04 20:30:00,31.98,32.0,31.94,31.97,253000
2007-05-04 21:00:00,31.98,31.98,31.94,31.95,161800
2007-05-04 21:30:00,31.94,32.0,31.89,31.92,226800
2007-05-04 22:00:00,31.91,32.0,31.84,31.98,219200
2007-05-04 22:30:00,31.97,32.0,31.92,32.0,276100
2007-05-04 23:00:00,32.01,32.05,31.97,32.03,321100
2007-05-04 23:30:00,32.04,32.07,31.97,32.0,420500
2007-05-07 17:30:00,32.11,32.14,32.04,32.1,465600
2007-05-07 18:00:00,32.09,32.11,31.99,32.0,281762
2007-05-07 18:30:00,32.0,32.0,31.84,31.86,230200
2007-05-07 19:00:00,31.86,31.87,31.73,31.73,211300
2007-05-07 19:30:00,31.73,31.8,31.7,31.78,297400
2007-05-07 20:00:00,31.78,31.9,31.77,31.9,228800
2007-05-07 20:30:00,31.9,31.9,31.85,31.88,178100
2007-05-07 21:00:00,31.88,31.89,31.87,31.88,71500
2007-05-07 21:30:00,31.89,31.9,31.88,31.9,60900
2007-05-07 22:00:00,31.89,31.9,31.79,31.8,79600
2007-05-07 22:30:00,31.8,31.83,31.76,31.81,187300
2007-05-07 23:00:00,31.81,31.93,31.8,31.86,374200
2007-05-07 23:30:00,31.87,31.94,31.87,31.88,216500
2007-05-08 17:30:00,31.79,31.91,31.76,31.76,211123
2007-05-08 18:00:00,31.75,31.88,31.68,31.86,241000
2007-05-08 18:30:00,31.86,31.87,31.76,31.85,137600
2007-05-08 19:00:00,31.84,31.85,31.75,31.77,164800
2007-05-08 19:30:00,31.77,31.82,31.77,31.82,127200
2007-05-08 20:00:00,31.82,31.82,31.8,31.81,89800
2007-05-08 20:30:00,31.81,31.89,31.79,31.86,193600
2007-05-08 21:00:00,31.86,31.9,31.84,31.89,119100
2007-05-08 21:30:00,31.9,31.9,31.87,31.88,108100
2007-05-08 22:00:00,31.88,32.01,31.87,32.01,246800
2007-05-08 22:30:00,32.0,32.02,31.95,31.96,216800
2007-05-08 23:00:00,31.96,32.0,31.94,31.97,252900
2007-05-08 23:30:00,31.97,31.98,31.86,31.87,449000
2007-05-09 17:30:00,31.94,32.0,31.68,31.74,202500
2007-05-09 18:00:00,31.73,31.78,31.73,31.74,169300
2007-05-09 18:30:00,31.74,31.75,31.69,31.71,122100
2007-05-09 19:00:00,31.7,31.75,31.68,31.7,154900
2007-05-09 19:30:00,31.7,31.78,31.69,31.77,173600
2007-05-09 20:00:00,31.77,31.84,31.76,31.84,147600
2007-05-09 20:30:00,31.84,31.9,31.83,31.86,140100
2007-05-09 21:00:00,31.87,31.99,31.87,31.96,149700
2007-05-09 21:30:00,31.96,31.96,31.84,31.89,127500
2007-05-09 22:00:00,31.89,31.96,31.81,31.92,341200
2007-05-09 22:30:00,31.92,31.99,31.86,31.9,183400
2007-05-09 23:00:00,31.89,31.97,31.88,31.96,190500
2007-05-09 23:30:00,31.96,31.96,31.85,31.86,237500
2007-05-10 17:30:00,31.8,31.87,31.66,31.86,199200
2007-05-10 18:00:00,31.86,31.87,31.7,31.7,160500
2007-05-10 18:30:00,31.7,31.71,31.56,31.57,162700
2007-05-10 19:00:00,31.57,31.65,31.45,31.46,167900
2007-05-10 19:30:00,31.45,31.46,31.32,31.38,257900
2007-05-10 20:00:00,31.37,31.39,31.33,31.35,184300
2007-05-10 20:30:00,31.35,31.4,31.35,31.4,155300
2007-05-10 21:00:00,31.39,31.41,31.33,31.34,154600
2007-05-10 21:30:00,31.34,31.42,31.27,31.38,225600
2007-05-10 22:00:00,31.38,31.63,31.38,31.6,401600
2007-05-10 22:30:00,31.6,31.63,31.57,31.61,396100
