datetime,open,high,low,close,volume
2007-04-19 16:30:00,25.1,26.0,24.5,26.0,11626100
2007-04-19 17:00:00,25.95,26.6,25.7,26.41,5992700
2007-04-19 17:30:00,26.42,26.5,25.7,26.37,1884200
2007-04-19 18:00:00,26.38,26.7,26.33,26.57,784700
2007-04-19 18:30:00,26.56,27.14,26.01,27.06,1817200
2007-04-19 19:00:00,27.08,27.4,27.0,27.35,1885400
2007-04-19 19:30:00,27.32,27.6,27.21,27.4,1031100
2007-04-19 20:00:00,27.4,27.61,27.1,27.35,698600
2007-04-19 20:30:00,27.38,27.5,27.05,27.13,974800
2007-04-19 21:00:00,27.14,27.23,27.0,27.07,954400
2007-04-19 21:30:00,27.08,27.45,27.0,27.35,622700
2007-04-19 22:00:00,27.35,27.46,27.06,27.25,591500
2007-04-19 22:30:00,27.25,27.59,27.25,27.4,1710400
2007-04-20 16:30:00,27.4,27.98,27.1,27.4,815500
2007-04-20 17:00:00,27.4,27.65,27.4,27.59,787300
2007-04-20 17:30:00,27.55,28.0,27.55,27.77,768100
2007-04-20 18:00:00,27.76,27.9,27.68,27.9,363100
2007-04-20 18:30:00,27.9,27.99,27.75,27.9,446500
2007-04-20 19:00:00,27.9,28.29,27.9,28.1,269800
2007-04-20 19:30:00,28.1,28.33,28.0,28.2,294400
2007-04-20 20:00:00,28.21,28.8,28.12,28.4,205200
2007-04-20 20:30:00,28.43,28.43,28.15,28.25,311400
2007-04-20 21:00:00,28.25,28.36,27.7,28.24,304600
2007-04-20 21:30:00,28.22,28.4,28.03,28.34,314500
2007-04-20 22:00:00,28.35,28.35,28.11,28.3,529000
2007-04-20 22:30:00,28.27,28.76,28.26,28.45,513600
2007-04-23 16:30:00,28.6,28.94,28.29,28.6,488600
2007-04-23 17:00:00,28.62,28.7,28.51,28.57,342700
2007-04-23 17:30:00,28.57,28.64,28.4,28.53,390700
2007-04-23 18:00:00,28.5,28.58,28.47,28.55,241400
2007-04-23 18:30:00,28.55,28.58,28.45,28.5,54200
2007-04-23 19:00:00,28.5,28.55,28.48,28.53,115000
2007-04-23 19:30:00,28.5,28.55,28.45,28.54,196000
2007-04-23 20:00:00,28.5,28.88,28.47,28.88,108800
2007-04-23 20:30:00,28.75,28.77,28.46,28.6,578600
2007-04-23 21:00:00,28.6,28.69,28.57,28.61,73100
2007-04-23 21:30:00,28.61,28.85,28.61,28.73,63700
2007-04-23 22:00:00,28.8,28.8,28.65,28.71,347500
2007-04-23 22:30:00,28.67,28.83,28.6,28.75,143800
2007-04-24 16:30:00,28.51,29.19,28.51,28.77,206800
2007-04-24 17:00:00,28.77,28.93,28.7,28.75,231500
2007-04-24 17:30:00,28.74,28.92,28.7,28.9,144600
2007-04-24 18:00:00,28.9,29.1,28.85,28.98,510200
2007-04-24 18:30:00,28.99,29.15,28.97,28.99,133600
2007-04-24 19:00:00,29.02,29.4,28.95,29.17,175500
2007-04-24 19:30:00,29.19,29.2,28.99,29.14,187800
2007-04-24 20:00:00,29.02,29.1,29.0,29.03,97400
2007-04-24 20:30:00,29.04,29.13,29.02,29.08,82100
2007-04-24 21:00:00,29.08,29.18,29.01,29.15,81200
2007-04-24 21:30:00,29.15,29.16,29.03,29.07,193200
2007-04-24 22:00:00,29.13,29.4,29.06,29.3,130500
2007-04-24 22:30:00,29.25,29.3,29.05,29.2,605500
2007-04-25 16:30:00,29.55,29.75,29.41,29.63,677800
2007-04-25 17:00:00,29.65,29.75,29.25,29.5,169900
2007-04-25 17:30:00,29.5,29.5,29.26,29.34,464500
2007-04-25 18:00:00,29.31,29.38,29.25,29.38,123900
2007-04-25 18:30:00,29.43,29.45,29.3,29.41,35100
2007-04-25 19:00:00,29.41,29.55,29.35,29.49,74300
2007-04-25 19:30:00,29.44,29.6,29.4,29.47,18100
2007-04-25 20:00:00,29.44,29.6,29.33,29.5,40900
2007-04-25 20:30:00,29.5,29.59,29.5,29.5,48600
2007-04-25 21:00:00,29.51,29.57,29.45,29.46,46900
2007-04-25 21:30:00,29.46,29.59,29.32,29.44,45700
2007-04-25 22:00:00,29.47,29.5,29.26,29.37,73800
2007-04-25 22:30:00,29.37,29.4,28.51,28.69,542200
2007-04-26 16:30:00,29.25,29.29,27.3,28.6,326700
2007-04-26 17:00:00,28.59,28.75,27.8,28.5,213000
2007-04-26 17:30:00,28.5,28.59,27.8,28.24,45300
2007-04-26 18:00:00,28.24,28.24,27.8,28.0,78800
2007-04-26 18:30:00,28.01,28.3,27.8,28.16,106200
2007-04-26 19:00:00,28.15,28.47,28.07,28.45,88200
2007-04-26 19:30:00,28.45,28.48,28.01,28.05,55300
2007-04-26 20:00:00,28.06,28.22,28.04,28.16,42600
2007-04-26 20:30:00,28.16,28.24,28.16,28.2,16900
2007-04-26 21:00:00,28.2,28.3,28.05,28.06,45800
2007-04-26 21:30:00,28.06,28.15,27.8,28.08,54500
2007-04-26 22:00:00,28.08,28.41,27.8,28.35,58800
2007-04-26 22:30:00,28.35,28.5,28.15,28.15,85200
2007-04-27 16:30:00,28.2,28.25,27.65,28.19,76600
2007-04-27 17:00:00,28.19,28.25,27.65,27.67,44700
2007-04-27 17:30:00,27.7,28.1,27.68,28.07,13100
2007-04-27 18:00:00,28.08,28.12,28.02,28.11,18800
2007-04-27 18:30:00,28.12,28.16,28.1,28.15,25600
2007-04-27 19:00:00,28.15,28.15,28.07,28.09,27000
2007-04-27 19:30:00,28.07,28.16,28.07,28.16,23800
2007-04-27 20:00:00,28.13,28.18,28.1,28.16,8400
2007-04-27 20:30:00,28.17,28.18,28.11,28.14,6900
2007-04-27 21:00:00,28.15,28.37,28.14,28.18,36000
