datetime,open,high,low,close,volume
2010-12-07 16:30:00,24.2,24.4,23.62,24.33,3499961
2010-12-07 17:00:00,24.33,24.37,23.95,24.15,1649241
2010-12-07 17:30:00,24.16,24.29,24.12,24.25,413837
2010-12-07 18:00:00,24.27,24.45,24.25,24.44,413921
2010-12-07 18:30:00,24.42,24.54,24.31,24.35,339315
2010-12-07 19:00:00,24.35,24.47,24.34,24.41,170507
2010-12-07 19:30:00,24.41,24.48,24.38,24.4,209006
2010-12-07 20:00:00,24.4,24.46,24.37,24.46,127915
2010-12-07 20:30:00,24.45,24.54,24.37,24.5,280935
2010-12-07 21:00:00,24.5,24.61,24.43,24.61,243760
2010-12-07 21:30:00,24.61,25.0,24.58,24.67,408105
2010-12-07 22:00:00,24.67,24.75,24.45,24.63,208495
2010-12-07 22:30:00,24.63,25.2,24.62,25.14,476306
2010-12-08 16:30:00,24.51,24.9,24.4,24.81,180708
2010-12-08 17:00:00,24.8,24.95,24.71,24.95,87505
2010-12-08 17:30:00,24.92,25.4,24.85,24.89,92112
2010-12-08 18:00:00,24.91,25.14,24.91,25.03,63968
2010-12-08 18:30:00,25.0,25.29,24.95,25.29,48925
2010-12-08 19:00:00,25.29,25.4,24.96,25.0,62509
2010-12-08 19:30:00,25.0,25.1,25.0,25.04,25051
2010-12-08 20:00:00,25.05,25.17,25.02,25.13,20224
2010-12-08 20:30:00,25.14,25.28,25.03,25.24,29051
2010-12-08 21:00:00,25.26,25.5,25.18,25.18,26230
2010-12-08 21:30:00,25.18,25.37,25.1,25.25,46640
2010-12-08 22:00:00,25.24,25.67,25.2,25.55,42251
2010-12-08 22:30:00,25.54,26.01,25.47,25.82,135339
2010-12-09 16:30:00,25.35,26.25,25.34,25.95,104304
2010-12-09 17:00:00,25.95,25.99,25.52,25.72,55997
2010-12-09 17:30:00,25.72,25.85,25.68,25.77,30201
2010-12-09 18:00:00,25.76,25.8,25.54,25.65,132458
2010-12-09 18:30:00,25.68,25.74,25.63,25.73,17933
2010-12-09 19:00:00,25.73,26.0,25.68,25.96,23893
2010-12-09 19:30:00,25.94,26.0,25.8,25.8,22986
2010-12-09 20:00:00,25.79,25.95,25.74,25.9,20212
2010-12-09 20:30:00,25.9,25.92,25.76,25.81,69587
2010-12-09 21:00:00,25.8,25.84,25.71,25.81,27620
2010-12-09 21:30:00,25.81,26.0,25.8,25.98,176349
2010-12-09 22:00:00,26.0,26.0,25.76,25.76,62335
2010-12-09 22:30:00,25.79,26.25,25.52,25.53,113482
2010-12-10 16:30:00,25.37,25.61,25.29,25.58,41286
2010-12-10 17:00:00,25.58,25.61,25.4,25.55,59850
2010-12-10 17:30:00,25.49,25.52,25.42,25.47,13300
2010-12-10 18:00:00,25.47,25.58,25.42,25.56,29991
2010-12-10 18:30:00,25.5,25.64,25.45,25.52,21210
2010-12-10 19:00:00,25.53,25.54,25.48,25.51,49404
2010-12-10 19:30:00,25.5,25.53,25.47,25.48,67623
2010-12-10 20:00:00,25.48,25.52,25.46,25.48,21280
2010-12-10 20:30:00,25.48,25.51,25.48,25.5,20964
2010-12-10 21:00:00,25.49,25.51,25.49,25.5,7100
2010-12-10 21:30:00,25.5,25.6,25.49,25.57,18258
2010-12-10 22:00:00,25.55,25.79,25.53,25.55,25004
2010-12-10 22:30:00,25.55,25.7,25.55,25.64,45744
2010-12-13 16:30:00,25.5,25.9,25.49,25.82,30851
2010-12-13 17:00:00,25.82,26.15,25.81,26.07,65451
2010-12-13 17:30:00,26.09,26.3,26.0,26.29,47863
2010-12-13 18:00:00,26.25,26.28,26.02,26.03,35894
2010-12-13 18:30:00,26.02,26.15,25.9,26.0,22075
2010-12-13 19:00:00,26.0,26.06,25.98,26.0,13518
2010-12-13 19:30:00,26.0,26.1,25.96,26.07,15275
2010-12-13 20:00:00,26.05,26.16,25.98,26.13,20093
2010-12-13 20:30:00,26.15,26.2,26.09,26.15,24200
2010-12-13 21:00:00,26.17,26.3,26.15,26.29,27496
2010-12-13 21:30:00,26.32,26.4,26.25,26.31,38985
2010-12-13 22:00:00,26.32,26.49,26.32,26.44,18887
2010-12-13 22:30:00,26.49,26.69,26.3,26.55,35442
2010-12-14 16:30:00,26.4,26.49,25.79,25.91,32669
2010-12-14 17:00:00,25.92,26.25,25.9,26.25,9773
2010-12-14 17:30:00,26.27,26.6,26.25,26.25,14722
2010-12-14 18:00:00,26.27,26.37,26.2,26.21,2916
2010-12-14 18:30:00,26.23,26.6,26.23,26.58,17467
2010-12-14 19:00:00,26.57,26.57,26.46,26.46,1300
2010-12-14 19:30:00,26.46,26.53,26.43,26.44,2695
2010-12-14 20:00:00,26.43,26.43,26.23,26.26,6985
2010-12-14 20:30:00,26.24,26.28,26.15,26.21,3119
2010-12-14 21:00:00,26.18,26.28,26.0,26.06,11669
2010-12-14 21:30:00,26.06,26.29,26.04,26.26,9217
2010-12-14 22:00:00,26.29,26.6,26.29,26.59,82875
2010-12-14 22:30:00,26.59,26.6,26.4,26.49,53290
2010-12-15 16:30:00,26.56,27.14,26.56,27.1,77488
2010-12-15 17:00:00,27.07,27.1,26.99,27.1,47440
2010-12-15 17:30:00,27.1,27.1,26.97,26.97,19589
2010-12-15 18:00:00,26.97,26.97,26.55,26.58,27150
2010-12-15 18:30:00,26.6,26.6,26.44,26.5,17666
2010-12-15 19:00:00,26.48,26.63,25.91,26.01,40102
2010-12-15 19:30:00,26.01,26.14,25.6,25.6,36221
2010-12-15 20:00:00,25.57,25.83,25.48,25.83,42024
2010-12-15 20:30:00,25.81,26.57,25.81,26.29,14382
2010-12-15 21:00:00,26.29,26.29,25.97,25.97,8250
2010-12-15 21:30:00,25.99,26.0,25.78,25.84,12551
2010-12-15 22:00:00,25.84,26.06,25.8,25.97,22565
2010-12-15 22:30:00,25.97,26.15,25.87,26.08,27275
2010-12-16 16:30:00,25.96,26.3,25.95,26.3,9535
2010-12-16 17:00:00,26.27,26.41,26.26,26.41,20825
2010-12-16 17:30:00,26.38,26.41,26.15,26.16,5899
2010-12-16 18:00:00,26.18,26.2,26.04,26.1,5052
2010-12-16 18:30:00,26.09,26.3,26.09,26.28,22975
2010-12-16 19:00:00,26.31,26.54,26.31,26.39,7280
2010-12-16 19:30:00,26.42,26.51,26.22,26.42,10647
2010-12-16 20:00:00,26.43,26.48,26.41,26.44,2300
2010-12-16 20:30:00,26.39,26.43,26.33,26.42,3399
2010-12-16 21:00:00,26.42,26.64,26.42,26.59,2300
2010-12-16 21:30:00,26.64,26.64,26.54,26.62,4600
2010-12-16 22:00:00,26.62,26.9,26.61,26.89,4400
2010-12-16 22:30:00,26.86,26.93,26.65,26.85,33290
2010-12-17 16:30:00,26.99,27.11,26.87,27.0,39261
2010-12-17 17:00:00,27.0,27.03,26.9,26.93,16033
2010-12-17 17:30:00,27.01,27.05,26.97,26.99,8105
2010-12-17 18:00:00,26.99,27.02,26.96,27.0,3700
2010-12-17 18:30:00,27.01,27.03,26.97,26.99,3500
2010-12-17 19:00:00,26.99,27.05,26.97,27.01,5405
2010-12-17 19:30:00,27.01,27.05,26.98,27.0,6650
2010-12-17 20:00:00,27.03,27.32,26.98,27.32,32350
2010-12-17 20:30:00,27.26,27.55,27.25,27.32,14105
2010-12-17 21:00:00,27.37,27.43,27.2,27.33,4641
2010-12-17 21:30:00,27.36,27.55,27.22,27.29,50291
2010-12-17 22:00:00,27.3,27.38,27.22,27.26,11100
2010-12-17 22:30:00,27.25,27.45,27.25,27.45,6156
2010-12-20 16:30:00,27.21,28.4,27.21,27.4,38069
2010-12-20 17:00:00,27.38,27.4,27.21,27.35,6165
2010-12-20 17:30:00,27.38,27.42,27.22,27.35,7978
2010-12-20 18:00:00,27.35,27.5,27.25,27.27,11100
2010-12-20 18:30:00,27.29,27.29,27.27,27.27,1500
2010-12-20 19:00:00,27.31,27.37,27.31,27.37,3000
2010-12-20 19:30:00,27.36,27.38,27.34,27.36,4297
2010-12-20 20:00:00,27.35,27.4,27.34,27.4,7900
2010-12-20 20:30:00,27.34,27.42,27.19,27.36,17632
2010-12-20 21:00:00,27.36,27.39,27.34,27.34,4400
2010-12-20 21:30:00,27.35,27.44,27.35,27.4,8600
2010-12-20 22:00:00,27.4,27.4,27.35,27.39,8100
2010-12-20 22:30:00,27.39,27.5,27.34,27.5,19765
2010-12-21 16:30:00,27.63,27.7,27.53,27.53,6253
2010-12-21 17:00:00,27.5,27.51,27.4,27.43,3300
2010-12-21 17:30:00,27.4,27.4,27.3,27.3,3200
2010-12-21 18:00:00,27.28,27.28,27.16,27.19,3505
2010-12-21 18:30:00,27.18,27.19,27.0,27.02,7308
2010-12-21 19:00:00,27.04,27.04,26.9,27.0,9595
2010-12-21 19:30:00,27.0,27.17,27.0,27.15,4600
2010-12-21 20:00:00,27.15,27.17,27.14,27.17,2800
2010-12-21 20:30:00,27.17,27.19,26.97,26.99,22440
2010-12-21 21:00:00,26.97,26.99,26.81,26.81,17498
2010-12-21 21:30:00,26.81,26.82,26.6,26.78,12521
2010-12-21 22:00:00,26.8,27.0,26.8,27.0,8600
2010-12-21 22:30:00,27.03,27.05,26.88,27.05,37204
2010-12-22 16:30:00,26.85,26.87,26.64,26.69,11059
2010-12-22 17:00:00,26.72,26.82,26.33,26.49,12264
2010-12-22 17:30:00,26.45,26.57,26.22,26.22,20144
2010-12-22 18:00:00,26.25,26.41,26.2,26.41,7146
2010-12-22 18:30:00,26.4,26.59,26.39,26.5,7725
2010-12-22 19:00:00,26.53,26.59,26.5,26.59,7139
2010-12-22 19:30:00,26.58,26.75,26.55,26.75,15200
2010-12-22 20:00:00,26.74,26.75,26.67,26.67,7305
2010-12-22 20:30:00,26.67,26.71,26.65,26.69,24862
2010-12-22 21:00:00,26.68,26.73,26.64,26.71,4200
2010-12-22 21:30:00,26.75,26.77,26.75,26.76,10001
2010-12-22 22:00:00,26.75,26.81,26.75,26.8,14223
2010-12-22 22:30:00,26.81,26.88,26.79,26.88,13362
2010-12-23 16:30:00,26.73,26.85,26.72,26.75,20335
2010-12-23 17:00:00,26.76,26.76,26.7,26.72,12891
2010-12-23 17:30:00,26.72,26.8,26.7,26.77,37382
2010-12-23 18:00:00,26.76,26.76,26.71,26.73,10485
2010-12-23 18:30:00,26.74,26.76,26.73,26.75,11369
2010-12-23 19:00:00,26.75,26.75,26.72,26.75,4500
2010-12-23 19:30:00,26.75,26.75,26.74,26.74,1895
2010-12-23 20:00:00,26.75,26.78,26.74,26.77,7250
2010-12-23 20:30:00,26.76,26.82,26.76,26.8,3700
2010-12-23 21:00:00,26.8,26.83,26.8,26.81,6300
2010-12-23 21:30:00,26.81,26.85,26.8,26.81,8656
2010-12-23 22:00:00,26.8,26.82,26.8,26.81,3730
2010-12-23 22:30:00,26.81,26.84,26.78,26.8,6355
2010-12-27 16:30:00,26.75,26.75,26.51,26.55,7311
2010-12-27 17:00:00,26.51,26.53,26.46,26.46,37861
2010-12-27 17:30:00,26.44,26.52,26.43,26.5,26578
2010-12-27 18:00:00,26.51,26.51,26.47,26.48,561
2010-12-27 18:30:00,26.48,26.52,26.48,26.49,2845
2010-12-27 19:00:00,26.5,26.5,26.49,26.49,200
2010-12-27 19:30:00,26.49,26.49,26.49,26.49,100
2010-12-27 20:00:00,26.52,26.52,26.5,26.52,900
2010-12-27 20:30:00,26.51,26.53,26.5,26.53,2900
2010-12-27 21:00:00,26.54,26.54,26.53,26.54,1500
2010-12-27 21:30:00,26.54,26.54,26.53,26.54,2200
2010-12-27 22:00:00,26.54,26.54,26.52,26.53,5000
2010-12-27 22:30:00,26.53,26.54,26.51,26.51,8888
2010-12-28 16:30:00,26.45,26.5,26.4,26.44,12030
2010-12-28 17:00:00,26.43,26.44,26.41,26.44,3510
2010-12-28 17:30:00,26.42,26.48,26.42,26.47,9500
2010-12-28 18:00:00,26.47,26.48,26.43,26.43,60075
2010-12-28 18:30:00,26.44,26.55,26.44,26.55,5360
2010-12-28 19:00:00,26.56,26.78,26.56,26.71,6396
2010-12-28 19:30:00,26.7,26.7,26.68,26.68,1100
2010-12-28 20:00:00,26.68,26.68,26.57,26.62,1670
2010-12-28 20:30:00,26.63,26.7,26.63,26.7,15539
2010-12-28 21:00:00,26.7,26.75,26.7,26.75,13800
2010-12-28 21:30:00,26.7,26.77,26.7,26.77,4700
2010-12-28 22:00:00,26.79,26.85,26.77,26.82,64489
2010-12-28 22:30:00,26.81,26.82,26.8,26.82,5700
2010-12-29 16:30:00,26.54,26.95,26.5,26.63,8621
2010-12-29 17:00:00,26.64,26.82,26.64,26.69,4375
2010-12-29 17:30:00,26.69,26.74,26.69,26.74,3500
2010-12-29 18:00:00,26.75,26.77,26.73,26.75,8400
2010-12-29 18:30:00,26.75,26.8,26.75,26.79,2900
2010-12-29 19:00:00,26.8,26.8,26.79,26.79,1000
2010-12-29 19:30:00,26.8,26.85,26.8,26.85,500
2010-12-29 20:00:00,26.88,26.9,26.82,26.82,9983
