datetime,open,high,low,close,volume
2008-03-19 17:00:00,59.5,64.0,56.0,56.05,36074638
2008-03-19 17:30:00,56.05,59.5,55.0,58.31,35223574
2008-03-19 18:00:00,58.32,60.0,57.9,59.75,15035799
2008-03-19 18:30:00,59.75,60.6,59.51,60.18,12056429
2008-03-19 19:00:00,60.18,61.0,59.0,59.17,6176297
2008-03-19 19:30:00,59.19,59.2,58.03,58.71,5187118
2008-03-19 20:00:00,58.73,59.7,58.61,58.92,4737407
2008-03-19 20:30:00,58.9,59.48,58.0,59.1,4042113
2008-03-19 21:00:00,59.1,59.22,58.09,58.65,4020908
2008-03-19 21:30:00,58.65,59.01,58.0,58.61,4118901
2008-03-19 22:00:00,58.63,59.1,58.08,58.32,5048819
2008-03-19 22:30:00,58.32,58.6,56.0,56.63,7585551
2008-03-20 16:30:00,58.4,59.48,57.5,59.0,6616001
2008-03-20 17:00:00,58.94,60.09,58.76,59.49,4788554
2008-03-20 17:30:00,59.48,61.0,59.37,61.0,4780935
2008-03-20 18:00:00,60.99,63.51,60.86,62.9,6725812
2008-03-20 18:30:00,62.9,64.0,61.4,62.83,4916997
2008-03-20 19:00:00,62.84,63.93,62.0,62.4,3245164
2008-03-20 19:30:00,62.39,63.48,62.3,63.2,1820799
2008-03-20 20:00:00,63.19,63.25,62.75,63.0,1494455
2008-03-20 20:30:00,63.0,63.3,62.85,63.16,1759200
2008-03-20 21:00:00,63.17,64.25,63.02,64.25,2956285
2008-03-20 21:30:00,64.25,65.0,64.12,64.92,3908881
2008-03-20 22:00:00,64.92,65.0,63.27,63.45,2735164
2008-03-20 22:30:00,63.45,64.27,62.64,63.9,2777789
2008-03-24 16:30:00,67.34,67.7,64.35,65.93,9217940
2008-03-24 17:00:00,65.95,66.24,64.75,64.85,3367187
2008-03-24 17:30:00,64.84,65.0,61.45,62.33,4775363
2008-03-24 18:00:00,62.33,64.0,62.26,62.96,2000656
2008-03-24 18:30:00,62.96,62.98,62.25,62.28,1244145
2008-03-24 19:00:00,62.27,62.8,62.0,62.49,1364641
2008-03-24 19:30:00,62.5,62.58,62.25,62.35,847763
2008-03-24 20:00:00,62.35,62.44,61.05,62.05,1824548
2008-03-24 20:30:00,62.05,62.08,61.5,61.51,1059607
2008-03-24 21:00:00,61.52,61.88,61.0,61.01,1336880
2008-03-24 21:30:00,61.02,61.21,59.83,60.45,3653916
2008-03-24 22:00:00,60.45,61.1,60.0,60.06,1944983
2008-03-24 22:30:00,60.06,60.33,59.0,59.57,3680617
2008-03-25 16:30:00,60.59,62.45,59.82,60.41,4124205
2008-03-25 17:00:00,60.39,61.93,60.1,61.35,1956588
2008-03-25 17:30:00,61.32,62.2,61.0,61.56,1581587
2008-03-25 18:00:00,61.43,61.9,61.1,61.5,797836
2008-03-25 18:30:00,61.5,61.79,61.16,61.59,714690
2008-03-25 19:00:00,61.55,62.5,61.47,62.36,1430757
2008-03-25 19:30:00,62.37,63.3,62.0,63.11,1497177
2008-03-25 20:00:00,63.11,63.95,63.0,63.95,1165970
2008-03-25 20:30:00,63.94,64.25,63.52,64.09,1652690
2008-03-25 21:00:00,64.1,64.15,63.0,63.27,2900213
2008-03-25 21:30:00,63.28,63.83,63.03,63.75,1085901
2008-03-25 22:00:00,63.78,63.98,63.17,63.48,917156
2008-03-25 22:30:00,63.5,63.63,63.0,63.1,1413528
2008-03-26 16:30:00,62.73,63.0,61.57,62.45,2367924
2008-03-26 17:00:00,62.48,62.68,62.0,62.03,724051
2008-03-26 17:30:00,62.0,62.6,61.77,62.34,592034
2008-03-26 18:00:00,62.35,63.0,62.03,62.41,863951
2008-03-26 18:30:00,62.43,62.88,62.2,62.63,422640
2008-03-26 19:00:00,62.64,62.98,62.61,62.94,382525
2008-03-26 19:30:00,62.94,63.0,62.8,62.85,303356
2008-03-26 20:00:00,62.83,63.16,62.6,62.77,869310
2008-03-26 20:30:00,62.77,62.88,62.46,62.57,362240
2008-03-26 21:00:00,62.57,62.69,62.3,62.57,319289
2008-03-26 21:30:00,62.57,63.1,62.51,63.02,488547
2008-03-26 22:00:00,63.02,63.47,62.99,63.3,985178
2008-03-26 22:30:00,63.29,64.48,63.26,63.99,1918709
2008-03-27 16:30:00,64.05,64.74,63.31,64.13,2442910
