datetime,open,high,low,close,volume
2020-11-17 16:30:00,15.39,17.4,15.3,16.9,7677153
2020-11-17 17:00:00,16.88,17.93,16.75,17.79,4208078
2020-11-17 17:30:00,17.8,17.81,16.66,17.17,4976117
2020-11-17 18:00:00,17.16,17.2,16.55,16.79,2028713
2020-11-17 18:30:00,16.79,16.81,16.51,16.61,1453321
2020-11-17 19:00:00,16.63,17.0,16.3,16.69,1941665
2020-11-17 19:30:00,16.69,16.85,16.6,16.73,1225489
2020-11-17 20:00:00,16.73,16.81,16.66,16.66,639482
2020-11-17 20:30:00,16.68,16.75,16.5,16.7,1317361
2020-11-17 21:00:00,16.7,16.75,16.31,16.56,2912492
2020-11-17 21:30:00,16.55,16.63,16.19,16.59,1651309
2020-11-17 22:00:00,16.59,16.72,16.5,16.58,1310264
2020-11-17 22:30:00,16.58,16.62,16.06,16.47,5881244
2020-11-18 16:30:00,16.46,16.99,16.4,16.85,2591144
2020-11-18 17:00:00,16.85,16.86,16.44,16.5,1773685
2020-11-18 17:30:00,16.49,16.51,16.23,16.37,1663074
2020-11-18 18:00:00,16.38,16.39,16.01,16.13,1768547
2020-11-18 18:30:00,16.14,16.16,15.95,16.11,3067963
2020-11-18 19:00:00,16.1,16.39,16.1,16.2,1897108
2020-11-18 19:30:00,16.21,16.21,15.98,16.0,4780276
2020-11-18 20:00:00,16.0,16.17,15.96,16.1,972257
2020-11-18 20:30:00,16.09,16.13,15.97,16.0,1437348
2020-11-18 21:00:00,16.0,16.15,15.99,16.13,1143530
2020-11-18 21:30:00,16.12,16.29,16.07,16.2,1290544
2020-11-18 22:00:00,16.2,16.25,16.07,16.15,1315385
2020-11-18 22:30:00,16.14,16.23,16.12,16.2,2962770
2020-11-19 16:30:00,16.0,16.56,15.99,16.52,1866982
2020-11-19 17:00:00,16.52,16.71,16.41,16.55,1505475
2020-11-19 17:30:00,16.55,16.7,16.44,16.66,2093702
2020-11-19 18:00:00,16.65,16.73,16.4,16.53,2863233
2020-11-19 18:30:00,16.54,16.77,16.48,16.76,1097597
2020-11-19 19:00:00,16.77,17.39,16.72,17.33,2127870
2020-11-19 19:30:00,17.34,17.91,17.33,17.39,2688997
2020-11-19 20:00:00,17.4,17.77,17.38,17.67,1566348
2020-11-19 20:30:00,17.67,17.77,17.57,17.66,1110967
2020-11-19 21:00:00,17.66,17.66,17.38,17.4,791457
2020-11-19 21:30:00,17.41,17.61,17.4,17.53,944791
2020-11-19 22:00:00,17.53,17.8,17.52,17.66,1178257
2020-11-19 22:30:00,17.67,18.21,17.61,18.16,5757270
2020-11-20 16:30:00,18.4,18.42,17.5,17.53,5897439
2020-11-20 17:00:00,17.54,17.71,17.5,17.61,2422388
2020-11-20 17:30:00,17.61,17.62,17.41,17.42,2446106
2020-11-20 18:00:00,17.42,17.51,17.33,17.35,1932414
2020-11-20 18:30:00,17.35,17.42,17.28,17.39,2817680
2020-11-20 19:00:00,17.38,17.45,17.29,17.38,1243136
2020-11-20 19:30:00,17.38,17.38,17.2,17.27,1569502
2020-11-20 20:00:00,17.26,17.6,17.26,17.56,1339481
2020-11-20 20:30:00,17.55,17.56,17.18,17.48,1227177
2020-11-20 21:00:00,17.48,17.49,17.27,17.28,953203
2020-11-20 21:30:00,17.29,17.39,17.22,17.36,915683
2020-11-20 22:00:00,17.37,17.38,17.21,17.24,1386928
2020-11-20 22:30:00,17.24,17.25,17.0,17.14,7413573
2020-11-23 16:30:00,17.24,17.25,16.5,16.84,3038186
2020-11-23 17:00:00,16.84,16.91,16.7,16.87,1427847
2020-11-23 17:30:00,16.88,17.24,16.86,17.01,1303892
2020-11-23 18:00:00,17.01,17.17,16.94,16.97,800086
2020-11-23 18:30:00,16.98,16.99,16.83,16.89,882070
2020-11-23 19:00:00,16.89,16.92,16.83,16.88,676947
2020-11-23 19:30:00,16.88,16.97,16.86,16.89,530714
2020-11-23 20:00:00,16.89,16.91,16.85,16.88,567134
2020-11-23 20:30:00,16.89,16.9,16.71,16.73,1067189
