datetime,open,high,low,close,volume
2012-10-12 16:30:00,47.06,48.6,46.26,48.12,1729392
2012-10-12 17:00:00,48.15,49.23,46.81,46.99,3683544
2012-10-12 17:30:00,47.0,47.45,46.05,46.19,1267499
2012-10-12 18:00:00,46.17,46.36,45.14,45.51,1188093
2012-10-12 18:30:00,45.5,46.05,45.05,46.01,979447
2012-10-12 19:00:00,46.04,47.8,46.02,47.15,832267
2012-10-12 19:30:00,47.13,49.9,46.65,49.9,1272821
2012-10-12 20:00:00,49.9,49.9,48.31,48.53,599270
2012-10-12 20:30:00,48.54,49.85,48.05,49.2,417327
2012-10-12 21:00:00,49.2,49.46,47.51,47.86,561190
2012-10-12 21:30:00,47.82,49.72,47.56,49.63,666779
2012-10-12 22:00:00,49.65,50.95,48.61,50.79,1025269
2012-10-12 22:30:00,50.84,51.37,48.29,48.49,1470957
2012-10-15 16:30:00,48.74,50.49,48.6,49.9,569117
2012-10-15 17:00:00,49.9,50.44,49.18,50.44,320384
2012-10-15 17:30:00,50.46,52.8,50.33,52.53,559851
2012-10-15 18:00:00,52.57,52.58,51.79,52.23,397469
2012-10-15 18:30:00,52.21,52.95,51.99,52.49,114015
2012-10-15 19:00:00,52.41,52.9,52.23,52.42,87068
2012-10-15 19:30:00,52.36,52.81,52.0,52.11,161921
2012-10-15 20:00:00,52.19,52.21,50.81,52.05,148048
2012-10-15 20:30:00,52.06,52.25,51.79,52.06,81595
2012-10-15 21:00:00,52.08,53.0,52.08,52.85,104911
2012-10-15 21:30:00,52.8,52.96,52.16,52.74,122020
2012-10-15 22:00:00,52.83,53.01,51.83,52.37,98160
2012-10-15 22:30:00,52.34,53.0,51.04,51.93,291430
2012-10-16 16:30:00,53.5,53.5,51.91,52.9,184263
2012-10-16 17:00:00,52.9,53.16,52.12,52.76,188041
2012-10-16 17:30:00,52.81,52.91,52.34,52.34,79823
2012-10-16 18:00:00,52.37,52.9,52.26,52.63,25873
2012-10-16 18:30:00,52.6,52.81,52.33,52.65,52087
2012-10-16 19:00:00,52.66,52.74,52.6,52.73,30127
2012-10-16 19:30:00,52.73,52.95,52.5,52.6,35478
2012-10-16 20:00:00,52.66,52.78,52.61,52.63,7766
2012-10-16 20:30:00,52.62,52.62,52.25,52.49,15872
2012-10-16 21:00:00,52.49,52.61,52.27,52.27,81197
2012-10-16 21:30:00,52.31,52.48,52.14,52.14,49048
2012-10-16 22:00:00,52.14,52.74,52.09,52.7,16434
2012-10-16 22:30:00,52.7,52.75,52.01,52.12,23359
2012-10-17 16:30:00,52.02,53.68,52.0,53.0,58134
2012-10-17 17:00:00,53.0,54.46,53.0,54.26,89483
2012-10-17 17:30:00,54.3,55.75,54.2,54.98,143304
2012-10-17 18:00:00,55.0,55.26,54.13,55.0,87110
2012-10-17 18:30:00,54.95,55.8,54.91,55.75,69866
2012-10-17 19:00:00,55.78,55.8,55.0,55.1,82494
2012-10-17 19:30:00,55.15,55.41,54.5,54.56,48129
2012-10-17 20:00:00,54.57,54.71,53.93,54.0,62193
2012-10-17 20:30:00,54.0,54.95,53.98,54.93,34421
