datetime,open,high,low,close,volume
2020-04-03 16:30:00,43.75,44.0,43.23,43.33,302399
2020-04-03 16:35:00,43.34,43.36,41.8,42.27,286895
2020-04-03 16:40:00,42.19,43.39,41.97,43.01,540896
2020-04-03 16:45:00,43.14,43.14,42.65,42.85,231151
2020-04-03 16:50:00,42.84,42.85,42.28,42.37,364131
2020-04-03 16:55:00,42.38,42.94,42.29,42.94,153843
2020-04-03 17:00:00,42.94,43.5,42.55,42.97,356573
2020-04-03 17:05:00,42.99,43.8,42.96,43.74,235800
2020-04-03 17:10:00,43.74,43.8,43.13,43.39,42116
2020-04-03 17:15:00,43.39,43.79,43.18,43.63,102051
2020-04-03 17:20:00,43.72,43.72,43.26,43.52,75736
2020-04-03 17:25:00,43.53,43.58,43.45,43.47,149297
2020-04-03 17:30:00,43.47,43.75,43.26,43.34,184724
2020-04-03 17:35:00,43.34,43.64,43.3,43.6,127925
2020-04-03 17:40:00,43.62,44.66,43.52,44.57,134695
2020-04-03 17:45:00,44.59,45.01,44.16,44.6,167398
2020-04-03 17:50:00,44.55,44.69,42.76,44.49,118350
2020-04-03 17:55:00,44.49,45.75,44.47,45.7,296727
2020-04-03 18:00:00,45.75,46.0,45.24,45.5,215325
2020-04-03 18:05:00,45.5,45.57,45.23,45.26,91224
2020-04-03 18:10:00,45.26,45.8,45.23,45.36,134177
2020-04-03 18:15:00,45.29,45.75,45.25,45.43,100661
2020-04-03 18:20:00,45.42,45.8,45.42,45.58,115616
2020-04-03 18:25:00,45.62,45.78,45.34,45.71,217445
2020-04-03 18:30:00,45.74,46.8,45.7,46.71,197382
2020-04-03 18:35:00,46.8,47.96,46.22,47.65,255825
2020-04-03 18:40:00,47.8,47.82,47.2,47.2,197473
2020-04-03 18:45:00,47.27,47.56,47.04,47.08,163179
2020-04-03 18:50:00,47.06,47.1,46.04,46.58,66675
2020-04-03 18:55:00,46.58,47.32,46.11,47.25,177217
2020-04-03 19:00:00,47.25,47.4,46.99,47.19,91419
2020-04-03 19:05:00,47.2,47.48,46.95,47.34,97786
2020-04-03 19:10:00,47.4,47.4,46.94,47.0,56223
2020-04-03 19:15:00,47.0,47.19,46.99,47.02,97881
2020-04-03 19:20:00,47.0,47.15,46.94,47.1,110593
2020-04-03 19:25:00,47.07,47.11,46.57,46.72,59247
2020-04-03 19:30:00,46.73,47.6,46.73,47.07,37877
2020-04-03 19:35:00,47.01,47.47,46.9,47.37,68354
2020-04-03 19:40:00,47.37,47.41,47.0,47.06,88536
2020-04-03 19:45:00,47.15,47.5,47.06,47.4,66473
2020-04-03 19:50:00,47.4,47.84,47.4,47.83,67219
2020-04-03 19:55:00,47.83,48.09,47.78,48.08,107708
2020-04-03 20:00:00,48.08,48.9,48.05,48.68,101104
2020-04-03 20:05:00,48.6,48.87,48.27,48.5,80301
2020-04-03 20:10:00,48.46,48.6,48.3,48.59,61370
2020-04-03 20:15:00,48.59,48.6,48.35,48.48,73657
2020-04-03 20:20:00,48.48,48.86,48.46,48.85,72530
2020-04-03 20:25:00,48.85,48.9,48.65,48.78,66667
2020-04-03 20:30:00,48.76,49.09,48.55,48.79,77854
2020-04-03 20:35:00,48.72,49.08,48.72,49.06,90615
2020-04-03 20:40:00,49.05,49.05,48.82,48.95,141500
2020-04-03 20:45:00,48.95,49.3,48.95,49.0,212166
2020-04-03 20:50:00,49.0,49.02,48.55,48.72,112552
2020-04-03 20:55:00,48.7,49.03,48.7,48.87,46901
2020-04-03 21:00:00,48.81,48.91,48.6,48.6,75738
2020-04-03 21:05:00,48.63,48.68,47.8,47.84,74901
2020-04-03 21:10:00,47.76,48.36,47.76,48.23,166994
2020-04-03 21:15:00,48.17,48.2,47.89,47.98,114851
2020-04-03 21:20:00,47.99,47.99,47.89,47.91,107704
2020-04-03 21:25:00,47.9,47.91,47.4,47.73,115176
2020-04-03 21:30:00,47.75,47.76,47.53,47.75,150624
2020-04-03 21:35:00,47.73,47.76,46.97,46.97,197694
2020-04-03 21:40:00,46.97,47.02,46.67,46.84,96842
2020-04-03 21:45:00,46.8,47.01,46.7,46.75,110816
2020-04-03 21:50:00,46.75,47.23,46.7,46.92,65936
2020-04-03 21:55:00,46.94,47.17,46.78,47.04,52049
2020-04-03 22:00:00,47.02,47.56,46.8,46.89,109844
2020-04-03 22:05:00,46.8,47.03,46.67,46.73,80909
2020-04-03 22:10:00,46.68,46.8,46.38,46.54,39551
2020-04-03 22:15:00,46.54,47.56,46.0,46.41,60368
2020-04-03 22:20:00,46.35,47.31,46.18,46.41,76320
2020-04-03 22:25:00,46.4,46.95,46.4,46.74,159614
2020-04-03 22:30:00,46.74,46.84,46.65,46.65,94836
2020-04-03 22:35:00,46.67,47.1,46.5,46.66,826731
2020-04-03 22:40:00,46.65,47.01,46.65,46.86,157344
2020-04-03 22:45:00,46.76,47.0,46.75,46.99,103910
2020-04-03 22:50:00,47.0,47.87,46.72,47.11,509151
2020-04-03 22:55:00,47.12,47.5,46.82,47.0,1021623
2020-04-06 16:30:00,47.0,47.85,46.63,47.6,258230
2020-04-06 16:35:00,47.6,47.72,47.31,47.59,122656
2020-04-06 16:40:00,47.59,47.8,47.47,47.49,94212
