datetime,open,high,low,close,volume
2013-11-01,49.75,50.0,42.5,43.5,7113837
2013-12-01,43.9,45.02,40.24,44.2,37131048
2014-01-01,44.08,49.96,42.16,49.37,24717628
2014-02-01,49.35,55.78,47.15,54.37,23169081
2014-03-01,54.67,55.0,51.19,52.17,14404876
2014-04-01,52.44,55.35,48.44,49.35,11812895
2014-05-01,51.0,53.86,47.98,52.38,10832268
2014-06-01,52.77,58.29,51.3,56.67,14144473
2014-07-01,56.77,57.87,49.93,51.44,8611696
2014-08-01,51.43,53.41,48.83,51.43,10029562
2014-09-01,51.53,52.88,47.31,47.64,11933469
2014-10-01,47.44,54.57,43.81,53.08,18432521
2014-11-01,53.16,54.88,51.78,53.85,9075682
2014-12-01,53.79,56.06,52.96,55.46,9345491
2015-01-01,55.49,56.46,52.33,53.99,14710561
2015-02-01,54.3,59.5,53.43,57.74,13813772
2015-03-01,57.77,61.97,57.11,61.15,10525454
2015-04-01,60.98,62.54,58.78,61.15,10323452
2015-05-01,60.62,63.42,60.18,62.43,11885201
2015-06-01,62.47,63.04,59.8,60.12,6308059
2015-07-01,60.73,66.05,58.43,63.26,10779338
2015-08-01,63.22,64.86,54.34,59.58,9148483
2015-09-01,57.17,62.82,55.62,57.64,7844420
2015-10-01,57.95,67.5,57.05,65.15,13665259
2015-11-01,65.18,67.99,62.77,67.24,15778627
2015-12-01,67.34,68.08,63.64,65.91,9000601
2016-01-01,64.88,65.4,55.53,60.59,12023569
2016-02-01,60.0,64.5,52.95,63.0,19626616
2016-03-01,63.58,65.36,62.43,63.67,10508725
2016-04-01,63.47,66.92,63.08,65.44,11513106
2016-05-01,65.49,68.61,64.8,67.62,9729588
2016-06-01,67.48,69.69,63.45,69.44,10963665
2016-07-01,69.3,73.5,67.46,72.37,7920237
2016-08-01,72.21,73.22,70.67,71.21,9094742
2016-09-01,71.32,72.75,65.83,68.91,10794628
2016-10-01,68.66,69.5,61.47,63.85,14817614
2016-11-01,63.91,69.95,62.92,66.93,14714949
2016-12-01,66.97,67.32,63.71,64.01,10364019
2017-01-01,64.64,68.54,63.81,65.64,12987929
2017-02-01,65.94,75.0,65.06,72.6,13408871
2017-03-01,73.67,76.29,72.45,75.7,10297322
2017-04-01,75.88,82.0,73.93,78.62,11544813
2017-05-01,78.7,79.99,75.85,78.63,14460656
2017-06-01,79.02,82.77,76.47,81.11,8990330
2017-07-01,81.57,82.9,77.62,81.24,7714808
2017-08-01,81.63,82.62,76.79,78.71,7068640
2017-09-01,79.03,86.89,78.85,86.47,9453996
2017-10-01,86.56,89.81,78.63,83.39,14904940
2017-11-01,83.58,84.63,81.22,84.13,9395270
2017-12-01,84.23,85.76,78.67,79.58,10024821
2018-01-01,80.07,87.07,79.19,86.1,11219466
2018-02-01,85.84,88.41,76.15,84.12,14414832
2018-03-01,84.15,87.99,80.59,85.28,9233239
2018-04-01,85.28,87.04,75.5,77.18,16212676
2018-05-01,77.23,79.75,73.85,76.44,16186162
2018-06-01,77.1,82.46,76.14,77.37,10942213
2018-07-01,76.95,82.45,75.89,81.54,11571441
2018-08-01,81.54,88.4,80.24,87.22,8595678
2018-09-01,87.17,91.58,86.21,90.58,6653291
2018-10-01,91.55,92.87,79.64,85.72,12160386
2018-11-01,86.14,92.89,85.99,91.59,9371698
2018-12-01,92.69,94.3,74.83,79.71,9746195
2019-01-01,78.65,86.41,78.31,85.86,9609236
2019-02-01,86.0,93.85,85.22,89.96,11659437
2019-03-01,90.89,91.74,87.1,90.71,9473388
2019-04-01,91.16,99.56,91.16,99.21,11994795
2019-05-01,99.35,102.54,94.72,97.05,13282610
2019-06-01,97.24,110.61,97.24,110.53,7597159
2019-07-01,111.48,111.99,98.24,103.53,9543721
2019-08-01,103.49,104.67,92.93,96.21,9355241
2019-09-01,95.73,104.7,94.72,103.66,6813074
2019-10-01,104.25,117.16,98.4,116.05,11757956
2019-11-01,117.1,122.37,113.95,120.03,7456938
2019-12-01,120.22,125.76,119.23,124.5,7192168
