datetime,open,high,low,close,volume
1998-01-01,55.75,59.0,52.75,53.81,310300
1998-02-01,53.69,62.69,53.44,62.69,196300
1998-03-01,62.56,63.75,57.25,57.69,229000
1998-04-01,57.5,61.5,56.63,61.5,265800
1998-05-01,61.63,61.63,53.63,54.38,110900
1998-06-01,54.38,54.38,39.0,39.0,318500
1998-07-01,39.0,44.25,35.75,40.25,363400
1998-08-01,40.13,40.25,29.75,29.81,418000
1998-09-01,29.56,35.0,29.31,35.0,176900
1998-10-01,34.94,34.94,27.0,33.38,242900
1998-11-01,33.5,35.5,31.88,32.81,187100
1998-12-01,32.81,32.94,29.38,30.19,249700
1999-01-01,30.13,34.56,29.44,32.37,272000
1999-02-01,32.5,38.5,31.0,35.63,285300
1999-03-01,36.06,38.25,34.88,38.25,181000
1999-04-01,39.25,40.38,34.5,34.5,440500
1999-05-01,34.69,39.19,34.69,37.63,204900
1999-06-01,37.69,40.0,37.0,39.75,273800
1999-07-01,39.75,46.25,39.31,43.13,1180600
1999-08-01,43.13,47.88,41.88,46.69,639300
1999-09-01,46.88,56.63,45.81,49.5,534900
1999-10-01,49.5,60.0,45.75,59.5,511800
1999-11-01,59.88,69.5,58.5,68.19,652800
1999-12-01,68.19,71.5,63.5,66.56,5408600
2000-01-01,67.44,81.0,60.63,67.94,2493500
2000-02-01,67.88,82.0,65.5,79.19,2199500
2000-03-01,80.0,104.25,73.38,102.0,2991900
2000-04-01,101.75,121.0,56.56,63.76,3432500
2000-05-01,62.25,62.25,43.19,46.0,12092000
2000-06-01,46.5,66.5,46.5,66.06,6774300
2000-07-01,66.19,70.38,48.37,52.31,6108500
2000-08-01,53.25,67.38,50.75,64.5,4729200
2000-09-01,64.5,68.75,53.5,57.0,3178300
2000-10-01,58.0,68.25,50.0,63.75,4221700
2000-11-01,64.63,65.63,47.69,53.38,3145600
2000-12-01,54.0,60.19,32.0,39.06,10810000
2001-01-01,38.69,50.75,36.5,48.4,6982300
2001-02-01,48.9,49.25,35.55,35.77,4944000
2001-03-01,35.7,39.5,28.3,31.18,8235400
2001-04-01,31.5,44.0,29.11,42.15,5746600
2001-05-01,42.1,57.99,41.95,50.6,6850400
2001-06-01,51.5,51.6,34.27,40.05,6784100
2001-07-01,40.15,43.1,38.15,41.56,5252500
2001-08-01,41.5,45.95,38.4,40.43,4217700
2001-09-01,40.43,40.43,32.0,34.75,4702600
2001-10-01,34.74,45.67,32.5,44.3,6173100
2001-11-01,44.55,49.53,44.52,47.35,3792800
2001-12-01,47.25,52.95,46.86,48.05,3835500
2002-01-01,48.2,51.75,43.5,45.59,4338100
2002-02-01,45.9,45.98,40.25,42.18,2321600
2002-03-01,42.18,48.7,42.18,46.86,2365300
2002-04-01,46.8,47.95,42.78,43.85,3069700
2002-05-01,44.0,49.0,42.37,44.92,1945700
2002-06-01,44.95,44.97,35.5,36.22,2883400
