datetime,open,high,low,close,volume
1998-01-01,31.5,33.5,30.75,33.38,773000
1998-02-01,33.56,34.56,29.88,33.94,480800
1998-03-01,33.63,33.69,30.87,31.56,390500
1998-04-01,31.56,33.06,29.38,32.75,606400
1998-05-01,33.0,34.5,30.5,31.56,325800
1998-06-01,31.69,31.88,28.5,29.25,521100
1998-07-01,29.81,31.69,27.81,29.13,692200
1998-08-01,29.13,31.5,28.75,29.06,1308900
1998-09-01,28.94,29.19,25.19,27.13,340300
1998-10-01,27.25,28.31,25.94,26.69,599100
1998-11-01,26.69,30.88,26.69,30.88,305500
1998-12-01,30.75,31.94,30.56,30.88,555400
1999-01-01,31.13,31.56,27.88,28.5,936200
1999-02-01,28.56,29.0,27.88,29.0,946000
1999-03-01,29.25,29.5,25.13,25.94,633200
1999-04-01,26.56,28.25,24.88,28.19,931000
1999-05-01,28.06,31.69,27.56,31.56,1398000
1999-06-01,31.56,33.01,30.44,31.75,668700
1999-07-01,31.19,31.44,29.81,29.88,435300
1999-08-01,29.81,30.63,28.88,29.44,399400
1999-09-01,29.44,31.31,29.19,29.44,389100
1999-10-01,28.94,29.94,27.75,28.75,394300
1999-11-01,28.88,30.5,28.37,29.5,533300
1999-12-01,29.31,32.0,27.88,31.81,709100
2000-01-01,31.81,31.81,29.38,29.5,471400
2000-02-01,29.56,30.63,29.0,30.44,689300
2000-03-01,30.44,32.01,29.63,30.13,764800
2000-04-01,30.25,32.13,30.0,31.94,630900
2000-05-01,32.13,34.81,32.0,33.75,1029400
2000-06-01,33.81,34.88,32.93,34.44,643600
2000-07-01,34.31,35.56,33.94,35.56,420200
2000-08-01,35.81,37.13,34.38,34.75,774500
2000-09-01,34.88,35.81,31.5,34.25,1495900
2000-10-01,34.56,35.31,33.12,33.87,924800
2000-11-01,33.88,36.5,33.44,36.5,657100
2000-12-01,36.5,38.56,35.31,37.75,805400
2001-01-01,36.88,38.75,35.5,35.82,640200
2001-02-01,36.0,38.17,35.61,37.93,782600
2001-03-01,37.87,38.1,35.4,37.64,725000
2001-04-01,37.85,38.19,36.6,37.37,665300
2001-05-01,37.22,38.4,36.48,36.61,625900
2001-06-01,36.51,39.73,35.86,39.73,1107500
2001-07-01,39.7,39.8,38.29,39.36,848300
2001-08-01,39.3,41.95,39.3,39.99,948200
2001-09-01,40.09,40.09,37.0,39.35,775300
2001-10-01,39.46,42.0,37.35,40.13,1304900
2001-11-01,40.1,41.55,38.55,41.35,963600
2001-12-01,41.48,41.9,40.18,41.55,1407100
2002-01-01,40.85,41.86,39.4,40.4,962600
2002-02-01,40.5,41.85,39.8,41.35,1117500
2002-03-01,41.25,44.7,41.1,44.5,681000
2002-04-01,44.85,46.98,43.92,45.52,1036400
2002-05-01,45.7,47.27,43.55,46.55,1190100
2002-06-01,46.3,49.5,46.28,49.29,1107100
2002-07-01,49.34,49.34,37.8,43.45,3608500
2002-08-01,43.15,43.96,41.2,43.8,1293000
2002-09-01,44.15,44.15,41.6,42.37,1144900
2002-10-01,42.45,42.45,38.0,42.01,1498400
2002-11-01,41.5,42.98,40.22,40.79,1261100
2002-12-01,40.82,42.88,40.49,42.44,1459400
2003-01-01,42.7,42.8,40.25,41.26,1202700
2003-02-01,41.4,42.13,39.81,41.71,1355100
2003-03-01,41.75,42.36,41.1,41.95,1930700
2003-04-01,41.83,43.52,41.6,42.21,1587600
2003-05-01,42.3,45.24,41.85,44.18,1815200
2003-06-01,44.2,45.63,42.94,44.6,1214000
2003-07-01,44.47,47.05,44.3,45.88,1812500
2003-08-01,45.55,47.15,44.25,46.6,1462800
2003-09-01,46.85,48.55,46.55,48.03,2051500
2003-10-01,48.03,51.81,48.03,50.71,1932000
2003-11-01,51.15,56.75,51.15,56.1,1624300
2003-12-01,56.35,58.99,55.78,57.72,1635700
2004-01-01,57.8,62.0,57.3,61.85,1789400
2004-02-01,62.04,65.2,59.88,61.26,2477700
2004-03-01,61.45,63.29,59.5,63.0,1917700
2004-04-01,63.0,64.76,55.66,56.5,3105900
2004-05-01,56.82,57.93,50.88,54.9,3012500
2004-06-01,54.96,57.95,53.0,56.77,3118700
2004-07-01,56.68,61.56,56.5,60.09,2725000
2004-08-01,60.02,64.99,59.25,64.9,2144700
2004-09-01,64.65,66.67,61.87,65.68,1957100
2004-10-01,65.87,68.74,65.51,66.04,1562100
2004-11-01,66.2,71.95,65.92,71.76,2165600
2004-12-01,71.98,75.24,71.85,74.43,2002200
2005-01-01,74.42,74.5,65.5,66.66,3727700
2005-02-01,66.7,71.5,66.17,66.98,2091800
2005-03-01,67.08,69.95,63.15,64.02,2212100
2005-04-01,65.0,68.86,62.09,68.83,3150600
2005-05-01,68.87,73.05,67.63,69.66,2910500
2005-06-01,69.33,75.42,69.33,73.31,2179600
2005-07-01,73.5,81.49,73.02,80.38,2233500
2005-08-01,80.45,81.79,74.0,81.79,3158500
2005-09-01,81.95,85.85,80.35,82.69,2666800
2005-10-01,82.55,83.7,76.02,80.84,2473400
2005-11-01,79.95,85.0,78.5,84.0,2154200
2005-12-01,84.5,84.8,79.75,80.34,1885400
2006-01-01,80.75,88.82,79.46,88.16,1946800
2006-02-01,88.1,90.21,84.31,88.01,2131900
2006-03-01,88.1,98.0,87.16,95.09,3020200
2006-04-01,95.15,95.7,88.49,90.81,2435200
2006-05-01,90.85,95.04,81.52,83.96,3472700
2006-06-01,84.0,89.97,83.49,88.62,5232800
2006-07-01,88.71,95.12,88.09,94.38,3005800
2006-08-01,93.95,99.15,92.03,98.17,2818400
2006-09-01,98.1,99.35,93.74,93.8,2742200
2006-10-01,93.55,99.89,92.6,99.12,3299500
2006-11-01,100.0,104.0,93.14,102.91,3104000
2006-12-01,103.34,105.45,97.32,100.3,2452800
2007-01-01,101.11,109.4,97.26,108.25,6081800
