datetime,open,high,low,close,volume
2013-06-01,17.62,19.17,17.38,18.85,6755809
2013-07-01,18.65,22.14,18.26,21.45,3769074
2013-08-01,21.45,23.75,21.16,21.87,3034673
2013-09-01,22.16,24.51,21.78,23.02,5058198
2013-10-01,22.7,23.37,21.08,22.03,2335540
2013-11-01,23.0,23.56,20.5,22.3,12496446
2013-12-01,22.22,23.56,21.92,23.36,9446454
2014-01-01,23.36,25.16,22.81,23.68,7559271
2014-02-01,23.67,26.43,22.72,26.25,4737390
2014-03-01,25.91,27.53,24.24,27.5,11557466
2014-04-01,27.54,29.37,26.7,28.19,8024046
2014-05-01,27.94,30.42,27.46,29.41,14424571
2014-06-01,29.47,32.41,29.03,31.91,13940679
2014-07-01,31.94,32.62,30.51,30.91,10952472
2014-08-01,30.9,33.8,30.27,33.04,7056514
2014-09-01,33.0,33.18,30.14,31.05,13130498
2014-10-01,31.05,31.26,27.59,30.81,13459369
2014-11-01,31.01,35.56,30.71,35.08,15874389
2014-12-01,35.13,36.08,32.57,35.17,21576621
2015-01-01,35.26,36.92,33.86,34.27,12243292
2015-02-01,34.2,38.44,33.21,37.63,16736719
2015-03-01,37.56,38.36,35.15,37.25,21159026
2015-04-01,37.2,39.32,36.43,38.32,11497057
2015-05-01,38.45,39.06,36.35,37.1,21631100
2015-06-01,37.18,37.51,34.19,34.3,16319082
2015-07-01,34.62,36.03,33.01,35.95,14880901
2015-08-01,37.66,40.28,35.61,39.74,29037460
2015-09-01,38.99,41.99,38.1,40.86,16746243
2015-10-01,40.69,46.0,40.07,44.68,16162842
2015-11-01,44.85,46.92,41.89,43.19,30010160
2015-12-01,43.94,44.69,41.64,42.01,16108870
2016-01-01,41.41,41.42,35.76,38.45,18632229
2016-02-01,38.16,40.0,30.4,39.58,25126878
2016-03-01,39.78,41.89,39.55,41.52,14460488
2016-04-01,41.09,43.11,38.33,38.51,11197703
2016-05-01,38.38,43.01,37.8,42.55,18373371
2016-06-01,42.3,43.06,38.89,40.09,21484959
2016-07-01,40.2,43.0,39.17,42.94,14903061
2016-08-01,42.83,46.04,41.4,44.64,19726600
2016-09-01,44.76,47.5,43.46,45.74,15676765
2016-10-01,45.68,46.18,43.78,44.91,8307659
2016-11-01,45.01,52.48,43.64,51.24,16442975
2016-12-01,51.12,55.47,51.12,52.09,10488123
2017-01-01,52.31,53.51,50.49,51.5,9744609
2017-02-01,52.74,60.5,52.33,58.9,17373092
2017-03-01,59.47,61.0,56.1,57.71,16896823
2017-04-01,58.0,60.27,56.57,59.09,9971805
2017-05-01,59.36,60.33,55.8,60.18,13952578
2017-06-01,60.27,66.33,59.55,62.51,14017202
2017-07-01,62.55,64.52,61.14,63.41,8908782
2017-08-01,63.81,65.39,59.78,63.41,9656694
2017-09-01,63.53,66.8,58.57,65.99,10764338
2017-10-01,66.08,71.53,66.08,70.02,12624950
2017-11-01,68.82,70.71,65.59,70.01,11267931
2017-12-01,69.83,71.3,67.11,69.51,8730196
2018-01-01,69.73,76.34,69.03,74.79,9545121
2018-02-01,74.45,76.73,66.88,72.93,18505567
2018-03-01,73.28,76.14,69.26,70.31,12287478
2018-04-01,70.27,72.88,67.44,71.3,7994265
2018-05-01,71.5,81.97,71.17,80.03,12850823
2018-06-01,80.45,85.83,79.98,80.79,11011735
2018-07-01,80.27,88.36,80.07,84.08,9707271
2018-08-01,84.26,88.81,82.8,87.57,11781248
2018-09-01,87.94,90.5,86.21,88.94,7804312
2018-10-01,89.23,92.18,77.75,90.01,15482624
2018-11-01,89.51,93.92,85.2,92.68,14142041
2018-12-01,93.5,96.75,74.32,81.06,15979436
2019-01-01,79.68,92.57,76.07,83.27,13899376
2019-02-01,83.55,97.06,82.76,93.85,10234388
2019-03-01,94.25,99.29,90.53,96.4,9456072
2019-04-01,97.27,108.57,97.05,105.6,10514924
2019-05-01,110.46,111.59,97.93,98.36,8876721
2019-06-01,98.44,111.42,98.34,111.05,8634225
2019-07-01,112.95,119.72,109.29,118.03,10958248
2019-08-01,118.5,120.82,105.99,115.6,8694208
2019-09-01,115.52,124.34,110.09,123.24,23721475
2019-10-01,123.43,132.35,117.55,127.92,14418126
2019-11-01,128.96,138.88,128.47,135.05,10229437
2019-12-01,135.9,144.95,130.82,142.79,8539458
2020-01-01,144.49,146.1,129.92,130.56,12765232
2020-02-01,130.74,138.96,110.92,113.25,13839809
2020-03-01,115.36,120.92,73.39,93.26,26871720
2020-04-01,89.32,112.14,85.78,110.85,14075524
2020-05-01,108.22,111.66,93.75,110.92,11594149
2020-06-01,110.26,129.23,108.16,116.17,14738735
2020-07-01,116.03,121.48,110.19,116.26,8453857
2020-08-01,116.68,121.93,110.09,113.53,8512926
2020-09-01,112.74,121.89,105.87,119.56,11156983
2020-10-01,120.45,132.26,117.02,122.97,7253526
2020-11-01,125.17,146.95,123.21,130.49,12381634
2020-12-01,131.93,136.64,128.25,131.63,9409430
2021-01-01,131.75,137.8,125.46,131.53,9491433
2021-02-01,133.47,162.73,132.71,156.76,9072824
2021-03-01,160.1,168.96,148.91,165.78,9474133
2021-04-01,167.63,184.58,166.59,178.33,8253896
2021-05-01,180.26,180.77,162.57,165.43,10288266
2021-06-01,165.96,176.99,162.47,174.65,10307000
2021-07-01,174.86,183.78,171.33,183.35,7845803
2021-08-01,184.8,201.36,179.24,200.61,9976663
2021-09-01,200.95,203.82,181.89,182.02,8943181
2021-10-01,182.66,193.11,172.24,186.65,10133797
2021-11-01,186.79,200.53,182.02,189.42,8301532
2021-12-01,192.01,207.67,182.05,204.86,12582487
2022-01-01,204.86,208.71,177.4,188.94,11661225
2022-02-01,188.89,199.77,163.29,172.55,14115590
2022-03-01,172.43,182.85,162.91,179.08,11712917
2022-04-01,179.9,181.02,161.66,163.18,10965559
2022-05-01,163.02,177.55,155.39,169.86,11975406
2022-06-01,170.43,178.88,154.13,157.56,9586008
2022-07-01,156.4,182.05,152.15,181.54,6551849
2022-08-01,180.01,188.9,170.33,170.7,11935829
2022-09-01,169.18,177.84,155.89,156.08,7752586
2022-10-01,157.06,174.15,147.91,172.81,8350825
2022-11-01,174.06,190.74,166.0,188.41,8094727
2022-12-01,188.59,197.0,175.34,178.58,7591503
2023-01-01,179.4,201.78,177.61,196.06,10849619
2023-02-01,196.06,215.0,194.77,202.38,13736445
2023-03-01,202.37,203.68,184.34,194.89,10889687
2023-04-01,194.09,195.47,160.66,169.59,14456499
2023-05-01,169.71,176.14,162.59,171.64,13772511
2023-06-01,171.78,184.38,167.73,183.42,8945622
2023-07-01,182.48,191.57,180.38,187.12,5072594
2023-08-01,187.0,212.41,185.14,211.13,6525936
2023-09-01,212.5,215.7,197.28,201.8,5248328
2023-10-01,199.65,215.81,194.84,200.34,6919742
2023-11-01,185.54,219.71,185.04,211.13,6111093
2023-12-01,211.13,229.42,208.3,228.7,11251753
