datetime,open,high,low,close,volume
2014-09-01,21.48,23.58,21.4,23.45,62700815
2014-10-01,23.22,23.92,21.47,23.63,40297516
2014-11-01,23.49,25.09,23.16,24.63,17465196
2014-12-01,24.62,25.6,23.49,24.84,28410584
2015-01-01,24.97,25.0,22.67,23.89,22240700
2015-02-01,23.85,25.74,23.69,24.82,19358888
2015-03-01,24.8,25.85,23.83,24.15,96684211
2015-04-01,24.15,26.29,24.03,26.05,65700760
2015-05-01,26.15,27.0,25.57,26.82,62886963
2015-06-01,26.91,28.71,26.72,27.3,130395785
2015-07-01,27.53,28.18,25.48,26.09,130037594
2015-08-01,26.18,27.26,21.14,24.81,90235028
2015-09-01,24.47,25.23,22.56,23.85,79403457
2015-10-01,23.75,24.49,22.48,24.21,122738954
2015-11-01,24.58,26.65,24.12,26.62,139191558
2015-12-01,26.81,27.17,25.37,26.17,102432063
2016-01-01,25.71,25.99,19.73,21.36,225587121
2016-02-01,21.11,21.21,18.04,19.23,155234585
2016-03-01,19.33,22.55,19.31,20.96,118018405
2016-04-01,20.92,24.24,20.53,22.84,99320850
2016-05-01,22.84,23.86,21.25,23.57,92302767
2016-06-01,23.28,23.88,18.34,19.98,145835725
2016-07-01,19.88,22.76,18.58,22.33,120701156
2016-08-01,22.25,24.81,21.92,24.77,95101320
2016-09-01,24.86,25.11,23.81,24.7,96333870
2016-10-01,24.57,27.21,24.22,26.34,88206227
2016-11-01,26.52,33.71,25.87,33.5,143845876
2016-12-01,33.87,36.56,33.81,35.64,89623200
2017-01-01,36.44,37.95,33.8,36.18,85723256
2017-02-01,36.54,38.43,35.21,37.38,74691862
2017-03-01,38.42,39.75,32.99,34.54,103000284
2017-04-01,34.64,37.25,33.13,36.71,87250846
2017-05-01,36.99,38.01,33.49,34.12,77690551
2017-06-01,34.23,37.18,33.4,35.67,84312981
2017-07-01,35.84,37.25,34.32,35.08,65289094
2017-08-01,35.37,36.3,32.46,33.14,71633669
2017-09-01,33.28,38.06,31.51,37.87,73099378
2017-10-01,37.53,38.99,36.1,38.01,93866222
2017-11-01,38.21,41.77,36.25,40.69,74801009
2017-12-01,40.9,42.93,39.42,41.99,61484198
2018-01-01,42.35,48.23,42.02,45.89,79312468
2018-02-01,45.91,47.06,41.48,43.48,97062499
2018-03-01,43.54,46.66,40.8,41.9,74580845
2018-04-01,41.94,43.62,40.45,41.49,76096662
2018-05-01,41.1,43.12,39.07,40.84,70215722
2018-06-01,41.46,42.87,38.84,38.91,77659995
2018-07-01,38.7,41.22,38.65,39.78,73666144
2018-08-01,40.03,41.76,39.42,41.16,52291727
2018-09-01,41.25,41.67,38.47,38.56,48061102
2018-10-01,38.8,39.69,34.88,37.36,110156915
2018-11-01,37.6,38.65,34.82,36.35,71488505
2018-12-01,36.9,37.11,27.62,29.71,96773312
2019-01-01,29.43,35.78,29.26,33.91,87250269
2019-02-01,34.08,37.73,33.9,36.93,63232380
2019-03-01,37.22,37.58,31.29,32.51,75148199
2019-04-01,32.82,36.64,32.8,36.2,80757670
2019-05-01,36.18,36.89,32.53,32.58,57466107
2019-06-01,32.48,35.93,32.36,35.36,51553319
2019-07-01,35.79,38.06,34.31,37.26,80642670
2019-08-01,37.07,37.36,31.34,33.73,82167596
2019-09-01,33.34,37.34,32.53,35.37,57500296
2019-10-01,35.67,36.56,32.47,35.16,78792503
2019-11-01,35.6,38.9,35.45,38.46,46361223
2019-12-01,38.65,40.92,37.24,40.6,42427811
2020-01-01,40.72,41.3,37.03,37.31,59572601
2020-02-01,37.61,39.87,30.9,31.46,56906586
2020-03-01,31.68,33.58,14.12,18.81,159485973
2020-04-01,17.48,23.96,16.58,22.38,112116257
2020-05-01,21.63,26.18,18.2,24.1,87934512
2020-06-01,24.42,32.98,22.82,25.23,114596061
2020-07-01,25.23,27.42,22.53,24.83,83629282
2020-08-01,24.8,27.57,24.02,25.88,63520073
2020-09-01,25.59,28.19,23.46,25.27,120191035
2020-10-01,25.46,29.38,24.8,27.26,78457114
2020-11-01,27.61,35.2,26.44,32.66,65507597
2020-12-01,33.71,36.55,33.33,35.75,47029515
2021-01-01,36.02,41.68,34.92,36.43,57336408
2021-02-01,36.81,46.97,36.31,43.45,58281819
2021-03-01,44.49,47.56,41.79,44.15,101114334
2021-04-01,44.1,47.42,41.95,46.29,65820716
2021-05-01,46.87,51.14,46.08,49.91,51538281
2021-06-01,50.7,51.03,43.59,45.87,72273333
2021-07-01,46.35,46.58,39.56,42.16,80946715
2021-08-01,42.38,45.63,40.87,43.79,73079264
2021-09-01,43.85,48.29,41.52,46.98,80994877
2021-10-01,47.23,50.99,46.74,47.37,70180712
2021-11-01,47.93,51.54,46.77,47.27,63923296
2021-12-01,48.53,49.07,43.56,47.24,61947777
2022-01-01,47.25,57.0,47.24,51.47,94949470
2022-02-01,51.47,56.11,48.63,52.41,61547522
2022-03-01,52.41,52.42,45.1,45.33,100035597
2022-04-01,45.79,46.1,39.31,39.4,150003702
2022-05-01,39.55,41.67,36.76,41.38,95972042
2022-06-01,41.34,41.5,34.5,35.69,88138500
2022-07-01,35.51,38.46,34.35,37.99,67764977
2022-08-01,37.2,40.38,36.34,36.68,60370012
2022-09-01,36.61,39.19,32.66,34.36,82415018
2022-10-01,34.83,41.2,33.49,40.9,76917956
2022-11-01,40.96,42.38,38.32,42.36,59237506
2022-12-01,42.36,42.76,37.75,39.37,60036655
2023-01-01,39.5,43.47,39.2,43.33,63819955
2023-02-01,43.33,44.82,41.32,41.86,50301875
2023-03-01,41.86,41.87,28.79,30.37,198210335
2023-04-01,30.61,31.58,27.9,30.94,152121151
2023-05-01,29.92,30.05,23.37,25.78,182936223
2023-06-01,26.12,29.22,25.2,26.08,120525882
2023-07-01,26.33,33.47,25.23,32.26,113005644
2023-08-01,31.66,31.97,26.45,28.13,96764950
2023-09-01,28.35,28.97,25.41,26.8,78318555
2023-10-01,26.68,27.35,22.77,23.43,114944569
2023-11-01,23.46,27.78,23.07,27.25,79983893
2023-12-01,27.25,34.73,26.99,33.57,84970966
2024-01-01,32.8,33.85,31.87,33.27,13515632
