datetime,open,high,low,close,volume
1998-01-01,28.13,28.82,26.56,27.94,417800
1998-02-01,28.06,29.31,26.56,28.75,552900
1998-03-01,28.75,30.69,27.44,30.06,628900
1998-04-01,30.19,32.56,29.31,30.88,815900
1998-05-01,30.56,31.81,29.63,30.38,499000
1998-06-01,30.38,32.5,29.19,32.25,864600
1998-07-01,32.5,34.44,30.0,30.94,761300
1998-08-01,30.94,32.0,27.06,27.06,518900
1998-09-01,27.13,30.88,27.06,29.38,565100
1998-10-01,29.25,30.75,27.5,30.63,762900
1998-11-01,30.75,35.88,30.75,34.5,659200
1998-12-01,34.44,36.0,31.88,35.75,435400
1999-01-01,35.69,39.5,33.0,39.19,1220100
1999-02-01,39.38,42.56,38.81,41.69,1119400
1999-03-01,41.75,45.69,39.06,40.69,1374800
1999-04-01,40.63,43.51,38.06,42.81,1034100
1999-05-01,43.19,43.69,38.06,42.81,1398300
1999-06-01,42.69,46.25,42.44,43.75,940500
1999-07-01,43.5,44.75,41.13,43.75,1047300
1999-08-01,43.94,50.19,43.94,46.56,2357700
1999-09-01,46.56,47.88,22.63,25.0,2437200
1999-10-01,25.0,26.5,23.13,26.06,1925900
1999-11-01,26.38,30.19,26.32,27.94,2680700
1999-12-01,28.0,29.0,25.56,26.69,2287500
2000-01-01,27.06,27.75,21.69,22.13,1966100
2000-02-01,22.19,22.19,15.25,17.13,4571600
2000-03-01,17.06,18.13,14.68,17.06,4726600
2000-04-01,17.19,18.38,16.0,17.94,2142800
2000-05-01,17.94,19.69,17.44,18.13,1508500
2000-06-01,18.13,20.88,18.0,18.38,1622100
2000-07-01,17.75,19.63,17.69,17.88,1367600
2000-08-01,17.69,19.5,17.31,18.06,1440000
2000-09-01,18.0,18.78,15.63,18.44,1704000
2000-10-01,18.31,19.94,17.0,19.75,1626400
2000-11-01,19.75,22.44,19.63,21.25,1274200
2000-12-01,21.06,23.57,20.5,22.25,1571200
2001-01-01,22.25,24.96,19.56,24.87,2406700
2001-02-01,24.86,24.93,20.51,21.8,2728900
2001-03-01,21.8,22.75,20.2,21.79,1898900
2001-04-01,21.73,25.25,21.73,23.99,2213600
2001-05-01,23.99,26.76,23.6,25.47,2370400
2001-06-01,25.4,26.96,23.69,25.85,1777500
2001-07-01,25.45,25.5,23.54,25.3,1374200
2001-08-01,25.2,27.78,25.04,27.1,1557300
2001-09-01,27.1,28.35,25.6,25.85,1698700
2001-10-01,25.5,26.99,24.35,26.01,2161600
2001-11-01,26.25,27.18,25.14,26.35,1577000
2001-12-01,26.4,26.99,25.42,26.63,1915100
2002-01-01,26.35,29.99,25.54,29.43,3474100
2002-02-01,29.43,31.8,27.65,30.9,2577300
2002-03-01,30.91,31.5,27.88,29.45,2567500
2002-04-01,29.46,31.5,28.05,28.6,1857700
2002-05-01,28.6,36.5,28.52,34.82,4204600
2002-06-01,34.78,35.4,31.2,31.41,3121000
2002-07-01,31.68,32.58,26.43,28.09,3934200
2002-08-01,28.03,32.56,28.03,31.25,2682700
2002-09-01,31.3,33.5,30.27,33.22,2432200
2002-10-01,33.16,36.0,32.85,34.51,4134000
2002-11-01,34.58,34.77,28.0,30.12,4845000
2002-12-01,30.13,30.67,29.15,30.44,2302600
2003-01-01,30.69,31.43,27.59,29.04,2604700
2003-02-01,29.05,31.46,28.46,29.85,2314800
2003-03-01,29.95,30.87,28.14,30.4,1678800
2003-04-01,30.45,31.87,29.85,31.48,1862900
2003-05-01,31.55,32.9,30.7,31.79,2558700
2003-06-01,32.15,33.44,31.55,32.74,2601600
2003-07-01,32.87,33.99,32.12,32.29,2307900
2003-08-01,32.4,34.64,31.6,31.93,4361500
2003-09-01,31.95,35.32,31.5,34.99,3476200
2003-10-01,34.99,37.7,34.37,37.29,2585500
2003-11-01,38.65,40.7,37.85,40.51,2547284
2003-12-01,40.51,41.49,38.17,39.7,2778500
2004-01-01,39.45,40.19,38.42,39.74,1774000
2004-02-01,39.87,42.21,39.4,41.72,2329100
2004-03-01,41.77,43.38,40.61,43.26,2504600
2004-04-01,43.4,45.38,42.24,44.9,2454200
2004-05-01,44.9,47.18,43.5,45.28,3863700
2004-06-01,45.45,46.15,44.0,45.75,2852300
2004-07-01,45.75,47.93,43.65,44.13,3858100
2004-08-01,44.0,46.48,41.92,44.97,4400200
2004-09-01,44.97,45.51,27.45,28.05,4696500
2004-10-01,28.0,28.25,26.85,27.2,4461500
2004-11-01,27.22,31.63,26.86,31.16,7474000
2004-12-01,31.13,33.65,30.8,33.57,5164300
2005-01-01,33.55,34.45,32.12,34.4,5235800
2005-02-01,34.43,36.87,33.96,35.37,6774900
2005-03-01,35.42,36.16,34.71,35.47,4736800
2005-04-01,35.4,37.19,35.25,36.02,4046800
2005-05-01,36.2,37.49,33.15,36.13,8455100
2005-06-01,35.98,38.69,34.73,36.2,7060700
2005-07-01,36.32,38.31,35.77,37.5,3922500
2005-08-01,37.55,39.0,36.17,38.16,5403300
2005-09-01,38.15,39.62,35.38,36.85,5100200
2005-10-01,36.94,37.01,34.1,35.01,5125400
2005-11-01,35.0,36.0,32.64,33.15,7848500
2005-12-01,33.3,33.95,32.65,33.07,5222900
2006-01-01,33.13,37.18,32.7,36.85,5501700
2006-02-01,36.77,36.77,32.95,34.41,6933600
2006-03-01,34.71,37.67,34.39,36.9,5457800
2006-04-01,36.98,37.08,35.35,36.57,3747900
2006-05-01,36.6,38.54,35.14,36.09,6876300
2006-06-01,36.15,36.58,34.73,36.38,5703300
2006-07-01,36.4,36.93,35.15,36.5,4958000
2006-08-01,36.44,38.5,36.23,38.45,5171200
2006-09-01,38.53,39.6,38.0,39.1,3471300
2006-10-01,39.1,41.01,38.76,40.56,4677200
2006-11-01,40.64,42.97,40.11,41.89,4316400
2006-12-01,41.92,43.57,41.52,42.62,4207300
2007-01-01,43.0,45.33,42.85,45.29,4191500
2007-02-01,45.31,48.27,43.86,47.88,5867995
2007-03-01,47.94,50.33,46.7,50.33,6561576
2007-04-01,52.0,52.93,50.53,50.8,5685806
