datetime,open,high,low,close,volume
2012-03-01,7.16,8.24,7.06,7.25,4513580
2012-04-01,7.65,8.2,6.62,7.25,2413194
2012-05-01,7.5,9.57,6.85,6.85,1791539
2012-06-01,7.43,7.45,4.9,6.22,2446601
2012-07-01,6.31,6.6,5.4,5.8100000000000005,1557290
2012-08-01,5.87,6.89,4.66,4.95,2511984
2012-09-01,4.98,5.39,4.05,4.14,2894950
2012-10-01,4.2,4.29,3.08,3.72,2672935
2012-11-01,3.74,3.79,1.92,2.78,3985569
2012-12-01,2.85,3.97,2.51,3.66,2734642
2013-01-01,3.87,3.98,3.5,3.81,2612491
2013-02-01,3.84,5.48,3.51,4.93,6002773
2013-03-01,5.03,6.7,4.5600000000000005,6.19,5946816
2013-04-01,6.13,7.58,5.17,7.04,5753367
2013-05-01,6.92,10.01,6.5600000000000005,7.72,7544653
2013-06-01,7.71,8.04,6.14,7.81,6203014
2013-07-01,7.85,8.38,6.15,6.33,6425678
2013-08-01,6.43,7.33,5.5,6.27,6302217
2013-09-01,6.82,8.7,6.49,8.14,7397593
2013-10-01,8.14,9.37,7.47,7.54,6922527
2013-11-01,7.82,8.35,6.67,7.25,5787927
2013-12-01,7.29,7.35,4.54,6.32,9047783
2014-01-01,6.36,8.39,6.26,7.4,7527737
2014-02-01,7.4,8.34,6.35,8.06,5545792
2014-03-01,7.9,8.75,7.13,7.32,6192682
2014-04-01,7.52,8.57,6.82,7.54,4300837
2014-05-01,7.56,9.0,6.94,8.44,7298876
2014-06-01,8.43,8.99,8.15,8.55,4540388
2014-07-01,8.49,12.19,8.49,10.29,10639068
2014-08-01,10.23,15.49,9.5,14.07,16175423
2014-09-01,14.09,17.97,13.91,14.99,17518432
2014-10-01,15.0,15.14,9.95,15.02,17239689
2014-11-01,15.0,15.82,9.86,10.51,16215483
2014-12-01,10.5,14.94,10.09,14.31,11073325
2015-01-01,14.3,14.71,10.2,12.4,16104260
2015-02-01,12.4,15.2,12.24,13.77,12807727
2015-03-01,13.86,15.26,11.71,13.19,17266936
2015-04-01,13.21,14.17,12.31,12.57,9628706
2015-05-01,12.39,13.14,9.31,9.47,21722512
2015-06-01,9.52,10.03,7.54,7.61,13826617
2015-07-01,7.7,7.86,5.42,5.92,18948259
2015-08-01,5.97,7.1,3.9,4.59,19460563
2015-09-01,4.57,4.82,3.42,3.7,13468551
2015-10-01,3.76,5.37,3.36,3.59,16351396
2015-11-01,3.61,3.76,1.63,1.6800000000000002,26588147
2015-12-01,1.67,4.5,1.67,3.51,34997676
2016-01-01,3.43,3.73,1.97,2.42,13698448
2016-02-01,2.44,2.59,1.76,2.32,11007882
2016-03-01,2.45,3.43,2.01,2.33,11583686
2016-04-01,2.35,2.8,2.23,2.51,6038524
2016-05-01,2.51,2.59,1.73,2.09,8080522
2016-06-01,2.06,2.38,1.89,1.99,6058869
2016-07-01,1.95,2.14,1.76,1.79,5673165
2016-08-01,1.77,2.01,1.75,1.81,5153915
2016-09-01,1.83,1.86,1.16,1.18,16963505
2016-10-01,1.19,1.23,0.98,1.0,16031618
2016-11-01,0.99,1.24,0.99,1.12,10876640
2016-12-01,1.12,1.5,0.95,1.03,18035135
2017-01-01,1.02,1.99,1.01,1.49,24489829
2017-02-01,1.5,2.03,1.38,1.78,17607147
2017-03-01,1.55,1.6800000000000002,1.13,1.38,19487265
2017-04-01,1.39,1.41,1.16,1.2,7211937
2017-05-01,1.19,1.25,0.65,0.76,22788447
2017-06-01,0.76,0.92,0.75,0.87,13526002
2017-07-01,0.87,1.07,0.78,0.92,14194849
2017-08-01,0.93,1.12,0.77,0.93,15448555
