datetime,open,high,low,close,volume
2015-04-01,32.58,35.74,21.82,22.27,32871340
2015-05-01,22.25,25.42,15.7,16.76,32197208
2015-06-01,16.76,18.43,13.78,14.05,25773569
2015-07-01,14.13,23.44,12.8,20.83,38092383
2015-08-01,21.0,21.48,11.85,14.32,25341916
2015-09-01,13.84,16.73,13.31,13.69,7809347
2015-10-01,13.91,15.11,10.29,10.89,17290600
2015-11-01,10.77,11.25,7.91,9.28,20893278
2015-12-01,9.31,9.95,8.0,8.27,19506481
2016-01-01,8.18,9.05,6.04,7.78,20152524
2016-02-01,7.75,8.53,6.18,7.9399999999999995,38769257
2016-03-01,8.0,9.4,7.91,8.69,26888913
2016-04-01,8.51,9.44,7.6,8.77,23784922
2016-05-01,8.76,9.5,7.77,9.25,36180452
2016-06-01,9.21,10.1,8.56,9.6,25555776
2016-07-01,9.63,10.78,9.07,10.07,19571122
2016-08-01,10.55,14.69,10.21,13.46,45903973
2016-09-01,13.38,15.7,13.31,14.28,27152059
2016-10-01,14.2,16.05,12.4,12.98,27603925
2016-11-01,13.11,13.45,10.84,12.4,31007881
2016-12-01,12.38,13.0,11.3,11.79,27546947
2017-01-01,11.97,13.61,11.74,12.61,24137179
2017-02-01,12.65,13.42,12.0,12.12,18684619
2017-03-01,11.46,11.79,9.41,10.63,47524305
2017-04-01,10.62,11.08,10.19,10.76,33267417
2017-05-01,10.81,14.11,9.9,13.41,82901732
2017-06-01,13.36,15.46,13.12,15.0,37674088
2017-07-01,15.0,15.29,14.27,14.38,16393713
2017-08-01,14.39,16.69,13.58,16.37,38753236
2017-09-01,16.43,17.9,16.03,16.88,24813398
2017-10-01,16.96,17.36,15.27,16.7,20627612
2017-11-01,16.75,17.6,16.08,16.46,38197359
2017-12-01,16.45,21.87,16.35,20.44,42843364
2018-01-01,20.5,21.12,18.62,18.76,29644239
2018-02-01,18.71,26.23,16.72,25.32,50926233
2018-03-01,25.57,29.15,24.41,28.06,54674946
2018-04-01,28.07,30.95,26.81,29.94,40443006
2018-05-01,30.08,32.63,28.08,32.34,36248600
2018-06-01,32.5,45.88,31.04,42.19,71983072
2018-07-01,41.74,45.59,39.16,40.87,26659865
2018-08-01,41.06,50.6,40.17,48.68,55978363
2018-09-01,48.66,53.25,45.18,51.36,41226901
2018-10-01,51.81,52.26,38.02,42.54,44332819
2018-11-01,42.45,55.71,39.88,54.04,63702457
2018-12-01,56.34,58.3,42.0,47.56,39151911
2019-01-01,46.23,56.42,45.28,54.65,32966975
2019-02-01,54.37,72.46,50.14,71.26,74998746
2019-03-01,72.0,73.35,62.03,67.19,39329891
2019-04-01,67.96,70.69,62.21,67.53,25802800
2019-05-01,68.09,70.09,56.94,62.3,39229316
2019-06-01,61.95,71.8,59.73,61.36,32602786
2019-07-01,63.58,71.08,60.69,67.03,31129309
2019-08-01,67.27,70.1,51.27,52.81,45188844
2019-09-01,51.94,61.55,47.7,56.53,53247239
2019-10-01,56.72,60.88,43.55,44.48,55161533
2019-11-01,44.45,46.73,39.81,43.6,59083557
2019-12-01,43.71,45.91,39.76,44.28,37419080
2020-01-01,44.71,51.78,44.02,48.86,38005307
2020-02-01,49.04,60.09,48.6,57.73,42745783
2020-03-01,58.02,63.24,29.95,38.36,76869883
2020-04-01,36.5,71.2,33.96,64.88,71926996
2020-05-01,63.16,88.02,61.31,80.91,66423537
2020-06-01,80.5,107.32,74.82,106.25,55136965
2020-07-01,105.5,118.48,97.5,118.34,36831737
2020-08-01,121.0,141.41,116.63,119.7,62533759
2020-09-01,121.19,129.94,103.06,121.62,64950910
2020-10-01,124.1,154.89,119.71,121.6,57259013
2020-11-01,123.23,164.64,113.49,160.77,57004101
2020-12-01,161.51,198.51,150.0,177.84,39398480
2021-01-01,179.52,226.76,166.33,199.26,46008483
2021-02-01,201.68,239.48,191.0,220.27,32188595
2021-03-01,224.57,251.86,179.23,201.57,54591881
2021-04-01,206.44,227.0,196.13,198.73,29815209
2021-05-01,200.4,200.91,153.8,164.84,48549257
2021-06-01,165.95,206.62,161.88,205.84,43866671
2021-07-01,206.41,211.82,179.71,183.51,31699512
2021-08-01,186.13,218.96,174.91,216.26,43789163
2021-09-01,216.59,228.89,205.07,207.96,25501378
2021-10-01,206.77,255.76,194.37,250.61,26161303
2021-11-01,250.94,307.75,235.19,274.01,31048818
2021-12-01,277.87,279.23,209.77,218.96,25844496
2022-01-01,218.97,223.22,136.0,157.26,42798380
2022-02-01,158.96,159.39,109.38,154.94,60424781
2022-03-01,154.98,163.84,117.38,124.28,52767900
2022-04-01,126.23,138.88,92.86,93.19,52746976
2022-05-01,92.32,110.95,68.4,81.12,98693019
2022-06-01,83.38,87.94,67.01,73.21,56381802
2022-07-01,74.73,107.39,74.7,103.72,67794798
2022-08-01,101.85,123.03,101.12,105.61,43268035
2022-09-01,103.01,114.8,94.16,100.11,36784036
2022-10-01,100.81,116.8,91.7,93.91,47197095
2022-11-01,96.1,132.6,87.24,132.11,58510912
2022-12-01,132.11,142.53,117.86,119.78,37875830
2023-01-01,121.51,140.46,111.83,137.61,37704896
2023-02-01,137.61,149.91,119.74,121.44,42695385
2023-03-01,121.43,122.51,99.24,111.33,58309414
2023-04-01,110.45,114.73,97.35,101.03,35019211
2023-05-01,100.36,102.31,80.44,81.06,61450557
2023-06-01,81.25,98.0,80.7,84.6,40157872
2023-07-01,85.4,102.81,81.9,101.65,34019596
2023-08-01,100.56,101.8,71.28,73.56,46589290
2023-09-01,74.08,75.66,61.23,64.58,44203870
2023-10-01,64.32,70.32,59.79,62.27,46304219
2023-11-01,61.77,78.58,58.2,75.85,49881858
2023-12-01,75.84,89.58,75.43,81.97,51538307
