datetime,open,high,low,close,volume
1998-01-01,61.19,67.63,60.63,65.19,12906135
1998-02-01,67.25,69.32,63.56,63.69,10503614
1998-03-01,63.06,73.44,62.75,71.13,17470940
1998-04-01,71.19,75.0,66.68,67.94,10546309
1998-05-01,68.5,69.38,61.0,64.19,10833620
1998-06-01,64.19,64.75,59.25,62.75,11136514
1998-07-01,62.94,67.81,60.5,60.56,11587126
1998-08-01,60.56,62.13,48.68,50.25,15904818
1998-09-01,50.06,52.75,44.0,45.13,12224307
1998-10-01,45.0,55.75,43.63,52.63,10977010
1998-11-01,52.81,67.44,51.63,64.88,15653200
1998-12-01,64.63,93.13,64.56,89.19,44319900
1999-01-01,89.0,90.06,75.87,81.76,23461700
1999-02-01,82.13,98.0,79.5,95.0,21156000
1999-03-01,95.06,100.69,89.13,92.62,21590500
1999-04-01,95.5,118.94,94.31,112.56,24428500
1999-05-01,112.94,115.38,52.25,55.06,24793300
1999-06-01,55.19,57.13,48.88,53.51,29017100
1999-07-01,54.5,55.81,43.87,44.69,36396800
1999-08-01,45.5,45.5,38.5,42.38,36989300
1999-09-01,42.5,47.32,34.88,38.69,48428000
1999-10-01,38.88,44.94,37.81,43.19,38534500
1999-11-01,42.75,46.51,40.19,42.25,38696200
1999-12-01,41.94,42.94,38.0,40.94,35099300
2000-01-01,42.38,47.94,38.06,39.56,38118700
2000-02-01,39.06,40.19,33.18,34.94,28420300
2000-03-01,35.38,40.81,30.56,38.82,36916800
2000-04-01,39.0,42.44,36.32,37.75,25673300
2000-05-01,37.44,41.26,33.25,35.37,25988600
2000-06-01,35.5,40.19,33.38,39.0,21803700
2000-07-01,38.75,43.44,37.94,39.69,16328600
2000-08-01,39.88,41.8,38.38,40.45,13069700
2000-09-01,40.35,45.04,38.04,44.4,19695700
2000-10-01,44.4,47.09,38.89,46.85,18568700
2000-11-01,46.3,49.85,43.9,47.91,20074500
2000-12-01,47.7,48.4,36.35,39.7,31311200
2001-01-01,39.45,45.95,38.0,45.41,28616400
2001-02-01,45.4,45.52,40.3,40.93,17945900
2001-03-01,40.47,44.24,39.25,41.6,25609000
2001-04-01,41.55,43.75,35.5,42.0,20406600
2001-05-01,41.82,42.56,38.01,40.13,21903500
2001-06-01,40.0,41.1,35.99,40.2,23165600
2001-07-01,40.0,42.6,39.4,41.37,16445100
2001-08-01,41.2,43.58,39.63,42.02,15014800
2001-09-01,42.0,42.87,33.15,36.5,25159400
2001-10-01,36.7,42.0,35.25,41.07,20041600
2001-11-01,41.0,47.5,40.46,45.86,24999900
2001-12-01,45.86,53.48,45.13,51.96,32681600
2002-01-01,51.7,55.75,48.75,53.44,39968700
2002-02-01,53.55,58.91,51.35,57.93,28114500
2002-03-01,57.61,61.35,55.5,58.1,32582500
2002-04-01,57.5,57.68,51.25,51.66,27922800
2002-05-01,51.67,55.3,49.85,53.94,22808600
2002-06-01,54.04,57.25,47.25,53.25,40308200
2002-07-01,53.4,53.92,43.71,50.61,45269800
2002-08-01,49.95,50.24,44.83,47.34,26421700
2002-09-01,46.95,52.3,42.8,50.02,39695600
2002-10-01,50.9,54.99,47.03,53.12,43697300
2002-11-01,52.99,56.15,50.6,52.57,28589200
2002-12-01,53.4,54.95,51.3,54.16,20971800
2003-01-01,54.36,58.6,50.63,52.55,31255900
2003-02-01,52.59,53.33,47.7,51.26,20942900
2003-03-01,52.48,57.45,48.18,55.16,37630100
