datetime,open,high,low,close,volume
1998-01-01,81.0,83.25,74.25,76.25,7110721
1998-02-01,77.13,80.88,77.06,79.25,4595304
1998-03-01,79.38,88.25,76.0,85.44,5538606
1998-04-01,85.0,89.26,51.12,54.88,5077413
1998-05-01,55.0,55.63,48.12,49.25,9039905
1998-06-01,49.31,63.0,47.5,62.56,13037625
1998-07-01,62.5,67.25,56.94,61.94,17777737
1998-08-01,62.25,63.01,53.13,53.37,12406412
1998-09-01,53.25,64.88,49.25,57.31,11861152
1998-10-01,56.88,67.5,50.31,66.31,16582095
1998-11-01,67.0,72.37,65.38,66.38,11241300
1998-12-01,65.75,74.13,65.25,71.38,9413500
1999-01-01,71.13,75.31,64.62,68.25,8803100
1999-02-01,68.56,70.38,62.37,66.13,9595700
1999-03-01,65.88,74.75,64.25,66.0,14897800
1999-04-01,66.56,72.88,64.5,71.63,13324600
1999-05-01,71.5,74.26,64.75,68.0,11995600
1999-06-01,68.13,69.63,61.63,66.63,12758100
1999-07-01,66.44,69.88,64.37,65.0,13776900
1999-08-01,65.13,69.01,60.07,66.0,10710600
1999-09-01,66.25,66.94,58.62,60.88,10539900
1999-10-01,60.25,74.01,57.87,73.75,18347900
1999-11-01,73.13,75.44,67.07,69.94,16177300
1999-12-01,69.56,73.94,63.5,73.37,16770100
2000-01-01,72.75,72.75,57.56,66.32,16706000
2000-02-01,66.0,66.01,49.5,51.97,18828300
2000-03-01,51.88,65.13,44.0,63.31,22282600
2000-04-01,63.38,69.25,57.69,63.19,16498700
2000-05-01,62.69,68.94,56.63,68.0,16709400
2000-06-01,68.19,72.0,59.37,63.25,20350900
2000-07-01,63.19,70.69,41.19,41.32,16339800
2000-08-01,41.56,46.44,40.93,46.18,15429900
2000-09-01,46.25,54.75,45.19,53.82,27269000
2000-10-01,53.94,57.88,48.62,51.31,26609700
2000-11-01,51.44,54.01,43.31,53.57,35518500
2000-12-01,53.94,60.88,51.75,59.82,41695300
2001-01-01,59.19,61.32,54.0,59.18,42023800
2001-02-01,58.63,59.5,53.43,53.81,27835900
2001-03-01,53.69,56.0,45.68,53.37,37599500
2001-04-01,53.13,54.69,48.87,53.75,32006900
2001-05-01,53.25,59.23,52.76,58.86,28291200
2001-06-01,58.86,63.0,58.25,60.37,32573100
2001-07-01,60.25,63.94,58.77,63.01,26377900
2001-08-01,63.08,64.77,57.84,58.15,28515600
2001-09-01,58.47,61.59,50.69,61.5,36205200
2001-10-01,60.97,63.07,53.3,56.42,54926700
2001-11-01,56.12,61.4,55.7,60.06,25372900
2001-12-01,59.79,62.92,58.18,61.33,26325400
2002-01-01,61.16,63.86,60.1,63.26,27437700
2002-02-01,62.91,64.5,60.32,63.76,29088500
2002-03-01,63.75,69.69,63.56,67.48,33772500
2002-04-01,66.62,69.7,65.3,68.26,35909100
2002-05-01,68.3,69.27,64.16,65.18,32967100
2002-06-01,65.17,67.2,62.45,66.65,37696500
2002-07-01,66.72,68.54,55.26,66.08,73391593
2002-08-01,66.0,68.09,60.67,66.95,50310833
2002-09-01,66.49,67.8,59.88,61.18,57536394
2002-10-01,61.16,66.47,55.42,63.5,70028986
2002-11-01,63.47,66.25,55.56,56.0,57949295
2002-12-01,57.84,61.34,56.27,58.59,35514831
2003-01-01,58.72,62.15,53.14,53.35,40890661
2003-02-01,53.05,54.79,51.42,53.05,38326180
2003-03-01,53.4,54.62,47.05,50.22,58192319
2003-04-01,50.42,51.2,47.24,49.26,50896932
2003-05-01,49.0,57.66,48.0,57.57,46169854
2003-06-01,57.82,60.49,56.55,57.3,44092047
2003-07-01,57.3,59.18,54.56,55.0,33868195
2003-08-01,54.72,58.72,52.5,58.7,30962286
2003-09-01,58.48,59.44,55.4,55.51,36082488
2003-10-01,55.65,60.01,55.47,57.96,37373605
2003-11-01,57.85,59.17,56.92,58.13,21471397
2003-12-01,58.2,59.52,56.82,59.0,22888102
2004-01-01,58.89,60.0,56.43,57.73,42968095
2004-02-01,57.4,59.0,55.85,56.06,29628517
2004-03-01,56.28,57.52,53.27,55.36,37710587
2004-04-01,55.26,57.0,52.93,53.6,35570780
2004-05-01,53.67,55.02,51.13,54.21,33728848
2004-06-01,54.04,56.2,53.27,53.94,32116704
2004-07-01,53.95,54.07,49.27,49.37,39803242
2004-08-01,48.29,50.79,46.59,49.78,32032765
2004-09-01,49.19,50.25,47.75,49.18,40419538
2004-10-01,49.38,50.42,47.31,49.2,31228671
2004-11-01,49.35,52.34,49.0,50.55,29758875
2004-12-01,50.66,51.8,45.32,47.31,67037770
2005-01-01,47.62,47.98,44.37,46.49,56793782
2005-02-01,46.57,48.12,44.45,44.82,44165371
2005-03-01,44.85,46.52,42.05,43.05,53547715
2005-04-01,42.99,43.76,40.24,43.41,53552558
2005-05-01,43.54,44.67,42.48,42.67,38960463
2005-06-01,42.63,43.74,41.02,41.15,40484886
2005-07-01,41.23,43.99,40.72,43.1,37262703
2005-08-01,43.09,43.57,40.77,41.39,39559871
2005-09-01,41.07,42.2,36.38,36.73,62424186
2005-10-01,36.72,40.88,35.04,40.15,64910451
2005-11-01,40.21,42.5,39.35,40.3,37170866
2005-12-01,40.51,40.71,37.35,37.64,38053792
2006-01-01,38.04,39.14,36.54,37.52,41922922
2006-02-01,37.18,39.93,36.3,38.6,28965683
2006-03-01,38.6,41.43,37.3,39.38,42990397
2006-04-01,39.56,41.02,38.72,40.43,31612060
2006-05-01,40.45,40.53,37.67,38.0,33264382
2006-06-01,38.09,39.4,35.86,36.88,40181678
2006-07-01,37.03,38.62,35.95,38.15,28676116
2006-08-01,38.0,40.18,37.92,39.29,32712535
2006-09-01,39.48,39.63,37.94,38.05,27916701
2006-10-01,38.01,39.99,37.75,39.85,29160542
2006-11-01,39.9,41.0,38.96,39.44,29770320
2006-12-01,39.44,41.57,39.14,40.9,19649061
2007-01-01,40.92,41.41,38.86,39.9,32606877
2007-02-01,39.9,41.3,39.58,40.28,33587312
2007-03-01,39.76,40.57,37.93,38.69,46049419
2007-04-01,38.58,41.06,37.88,40.6,59937364
2007-05-01,40.58,43.32,40.3,42.4,62107560
2007-06-01,42.54,43.2,39.51,39.76,64650838
2007-07-01,40.06,41.01,36.42,36.89,75589770
2007-08-01,36.64,41.17,35.06,35.68,100812243
2007-09-01,35.55,37.82,33.6,33.89,47785051
2007-10-01,33.8,35.34,28.57,31.25,112550955
2007-11-01,30.83,30.9,26.23,29.92,105139505
2007-12-01,29.9,31.22,24.75,25.13,81996732
2008-01-01,24.92,27.52,20.8,27.03,143274404
2008-02-01,26.99,28.58,22.72,22.9,96550079
2008-03-01,22.94,24.88,20.25,20.95,143121397
2008-04-01,21.42,23.64,18.93,21.38,180930298
2008-05-01,21.68,23.75,18.48,18.7,116766426
2008-06-01,18.56,18.76,8.96,10.22,545488393
2008-07-01,9.89,15.14,9.1,13.99,462645579
2008-08-01,14.29,16.47,13.26,15.81,220753332
2008-09-01,16.48,21.0,7.96,12.11,335428407
2008-10-01,11.77,14.86,7.8,10.85,310001728
2008-11-01,11.16,12.95,6.32,9.56,176118910
2008-12-01,9.01,9.22,7.18,8.26,179407385
2009-01-01,8.24,8.65,2.36,2.47,347678760
2009-02-01,2.28,3.16,1.01,2.09,834993300
2009-03-01,2.01,2.99,1.22,2.91,809104851
2009-04-01,2.92,4.86,2.5,4.1,1041193221
2009-05-01,4.05,9.15,3.76,6.9,1087196028
2009-06-01,7.05,8.02,6.31,7.1,702593621
2009-07-01,7.18,9.51,6.33,9.51,540299120
2009-08-01,9.87,11.2,9.33,10.91,504088556
2009-09-01,10.75,11.01,9.43,10.12,396492982
2009-10-01,10.01,10.92,8.76,8.95,433317345
2009-11-01,9.01,10.19,8.81,10.07,318334624
2009-12-01,10.3,10.89,9.43,9.75,271409078
2010-01-01,9.93,12.87,9.81,12.44,489626875
2010-02-01,12.45,12.72,10.82,12.21,359796672
2010-03-01,12.32,14.05,12.03,13.59,302262373
2010-04-01,13.65,15.95,13.47,14.9,332429694
2010-05-01,15.07,15.46,12.0,12.99,320685024
2010-06-01,12.9,14.2,12.05,12.29,275126040
2010-07-01,12.22,13.82,11.26,12.71,281004381
2010-08-01,12.95,13.58,10.64,11.04,241494070
2010-09-01,11.25,12.62,11.22,12.03,199024243
2010-10-01,12.15,13.09,11.85,12.56,260938700
2010-11-01,12.64,13.93,11.71,11.96,253007655
2010-12-01,12.1,15.12,11.99,14.69,273754453
2011-01-01,14.83,15.15,14.06,14.88,347008757
2011-02-01,15.01,15.76,14.16,14.58,233240554
2011-03-01,13.98,14.3,13.25,13.88,310910820
2011-04-01,14.12,14.15,12.69,13.27,202715447
2011-05-01,13.31,13.47,12.25,13.06,272014798
2011-06-01,13.02,13.02,11.88,12.74,277523693
2011-07-01,12.74,13.09,11.71,12.65,257273548
2011-08-01,12.79,12.92,9.13,10.61,403194650
2011-09-01,10.62,11.02,9.31,10.1,288197204
2011-10-01,10.06,12.74,9.6,12.01,382803059
2011-11-01,11.55,12.53,10.8,12.09,290155217
2011-12-01,12.11,13.08,11.67,12.71,211070598
2012-01-01,13.04,14.16,12.78,13.0,276481940
2012-02-01,13.1,14.11,13.05,13.61,190896417
2012-03-01,13.66,14.73,12.88,14.06,282677692
2012-04-01,13.95,14.68,13.56,14.23,244393365
2012-05-01,14.24,14.55,13.07,13.35,230368872
2012-06-01,13.1,13.44,12.04,13.4,243197551
2012-07-01,13.54,14.37,13.07,13.82,169224940
2012-08-01,13.88,15.24,13.5,15.13,187150378
2012-09-01,15.02,15.95,14.89,15.51,195924899
2012-10-01,15.37,16.16,14.36,14.52,225386798
2012-11-01,14.51,14.91,13.75,14.63,163373451
2012-12-01,14.69,15.31,14.05,15.2,170497036
2013-01-01,15.43,16.64,15.19,16.28,218589178
2013-02-01,16.36,16.77,15.43,15.83,191698629
2013-03-01,15.73,16.63,15.57,16.31,165846921
2013-04-01,16.28,17.04,15.62,17.03,186167148
2013-05-01,17.03,18.74,16.7,18.2,152748979
2013-06-01,18.23,18.7,17.33,18.05,187972554
2013-07-01,18.29,19.79,18.2,19.25,176400024
2013-08-01,19.42,19.73,18.15,18.28,129465225
2013-09-01,18.53,18.81,17.8,18.05,150428748
2013-10-01,17.98,19.4,17.49,19.04,166074857
2013-11-01,19.08,20.98,18.75,20.32,133569882
2013-12-01,20.36,21.14,19.76,21.03,114370079
2014-01-01,20.94,21.97,20.81,21.02,144564739
2014-02-01,20.92,21.86,20.37,21.71,151813988
2014-03-01,21.51,23.91,21.41,22.95,142586866
2014-04-01,23.09,23.41,20.31,20.62,170377971
2014-05-01,20.56,20.95,19.82,20.68,154977036
2014-06-01,20.79,21.81,20.55,21.37,155135493
2014-07-01,21.46,21.79,20.11,20.47,189465242
2014-08-01,20.4,20.62,19.45,20.41,118338366
