datetime,open,high,low,close,volume
1998-01-01,33.69,34.38,32.44,33.13,5248701
1998-02-01,33.31,37.26,33.19,37.0,4939800
1998-03-01,36.81,38.25,36.0,38.06,5887100
1998-04-01,38.0,38.0,34.88,35.94,4766801
1998-05-01,36.0,36.13,33.94,34.0,3753201
1998-06-01,33.69,34.75,32.75,34.5,5852003
1998-07-01,34.5,35.5,34.06,34.69,6456800
1998-08-01,34.56,34.75,31.25,31.25,5556400
1998-09-01,31.13,32.63,29.87,30.0,5276504
1998-10-01,30.0,31.69,28.25,31.5,5385601
1998-11-01,32.13,33.94,31.5,32.94,3648500
1998-12-01,32.94,33.75,30.81,33.31,5628500
1999-01-01,33.75,33.81,31.0,31.81,6141900
1999-02-01,31.94,31.94,29.37,29.81,5588200
1999-03-01,29.88,31.69,27.81,28.75,8187500
1999-04-01,28.63,33.0,28.06,30.0,7346900
1999-05-01,30.0,33.81,30.0,33.56,8740400
1999-06-01,33.56,35.25,33.38,34.5,4467100
1999-07-01,34.88,35.75,31.0,31.06,4359400
1999-08-01,31.31,31.75,28.19,29.0,4843900
1999-09-01,28.88,29.38,25.25,26.56,5426000
1999-10-01,26.31,27.5,24.37,26.19,4530700
1999-11-01,26.13,27.13,25.25,25.69,6337400
1999-12-01,25.5,26.25,22.25,24.81,9769900
2000-01-01,24.88,25.56,22.68,24.07,9684600
2000-02-01,24.0,24.06,21.38,22.5,8239100
2000-03-01,22.25,24.26,19.94,23.81,10610500
2000-04-01,23.88,26.5,23.31,26.25,7642800
2000-05-01,26.06,26.69,24.0,24.0,6770600
2000-06-01,23.88,24.63,20.06,20.31,10149800
2000-07-01,20.25,22.19,20.0,20.06,9888600
2000-08-01,20.25,21.94,20.06,20.56,9383100
2000-09-01,20.56,21.26,18.25,19.0,9742800
2000-10-01,19.25,21.38,18.63,21.25,8015000
2000-11-01,21.44,21.44,18.81,19.19,7820900
2000-12-01,19.25,26.44,19.25,26.13,9805900
2001-01-01,26.25,27.44,24.27,25.3,9878200
2001-02-01,25.61,28.45,25.1,26.96,7629400
2001-03-01,26.71,27.77,23.91,25.91,8022600
2001-04-01,26.35,28.75,25.28,26.99,6364400
2001-05-01,27.2,28.86,26.6,28.58,6065900
2001-06-01,28.68,31.5,28.3,31.49,5838800
2001-07-01,31.35,34.56,31.21,32.89,8623600
2001-08-01,32.95,33.6,30.4,30.79,5135000
2001-09-01,31.0,32.16,26.93,31.86,6153400
2001-10-01,31.86,35.24,31.85,32.51,8693000
2001-11-01,33.0,35.1,32.7,33.73,5802100
2001-12-01,33.9,37.94,33.0,36.7,6809500
2002-01-01,36.5,36.5,33.92,35.52,7408600
2002-02-01,35.75,36.99,33.4,36.54,6812200
2002-03-01,36.63,38.3,35.61,36.78,6114100
2002-04-01,36.6,38.8,33.87,34.52,5506600
2002-05-01,34.65,36.81,33.5,36.51,6555200
2002-06-01,36.35,36.94,34.52,35.1,8089600
2002-07-01,34.8,34.9,27.1,30.71,12241800
2002-08-01,30.66,33.55,29.0,33.25,8841500
2002-09-01,33.1,33.1,29.54,30.59,6405300
2002-10-01,30.64,32.35,29.02,29.54,8865100
2002-11-01,29.29,32.05,28.9,31.79,7631800
2002-12-01,31.97,32.19,29.31,30.77,7353900
2003-01-01,30.94,32.14,29.2,29.51,9285800
2003-02-01,29.55,29.89,27.83,28.86,8000200
2003-03-01,29.0,31.01,27.2,30.52,9498700
2003-04-01,30.6,32.75,30.28,31.94,8278400
2003-05-01,31.85,33.61,31.0,32.9,8511600
2003-06-01,33.1,33.69,31.7,32.02,9664000
2003-07-01,32.01,33.69,30.45,30.9,10120400
2003-08-01,30.93,32.06,29.83,32.06,7010400
2003-09-01,32.1,33.33,31.6,31.98,8101400
2003-10-01,32.0,32.9,31.49,31.82,8113400
2003-11-01,31.81,32.48,30.51,31.48,5807400
2003-12-01,31.48,33.59,31.43,33.16,7955200
2004-01-01,33.15,33.8,32.03,32.95,11673500
2004-02-01,32.9,35.06,32.68,34.73,9876400
2004-03-01,34.75,35.04,32.51,32.74,9616900
2004-04-01,32.9,37.12,32.65,35.71,10715700
2004-05-01,35.7,38.2,35.05,37.69,9739700
2004-06-01,37.74,40.2,37.62,39.7,10719400
2004-07-01,39.58,39.94,37.05,37.7,8217800
2004-08-01,37.73,38.55,36.1,37.91,9809000
2004-09-01,38.0,38.42,36.85,38.34,8453400
2004-10-01,38.38,40.08,36.51,39.84,10992900
2004-11-01,39.89,43.96,39.54,43.4,8986600
2004-12-01,43.33,44.32,41.8,44.06,7844600
2005-01-01,43.98,44.29,41.65,42.42,6118400
2005-02-01,42.43,44.77,42.36,43.24,7398300
2005-03-01,43.28,43.97,41.77,43.44,9826400
2005-04-01,43.6,44.5,42.16,42.8,9895900
2005-05-01,42.85,43.68,41.78,42.98,6980700
2005-06-01,42.87,43.37,40.81,41.15,7147300
2005-07-01,41.15,46.4,40.75,45.8,8504100
2005-08-01,45.84,46.64,44.17,45.76,5944700
2005-09-01,45.85,46.24,42.28,42.88,6526100
2005-10-01,43.35,44.43,41.4,44.29,8175600
2005-11-01,44.0,45.7,43.96,44.38,6090100
2005-12-01,44.42,44.65,43.37,43.86,5789900
2006-01-01,44.06,44.56,42.5,42.53,9374300
2006-02-01,42.58,45.36,41.41,44.44,7741900
2006-03-01,44.64,45.48,43.56,43.84,8293400
2006-04-01,43.7,46.16,43.1,43.73,10121100
