datetime,open,high,low,close,volume
1998-01-01,97.56,99.06,93.0,96.38,1789703
1998-02-01,96.5,100.38,96.13,96.88,1880002
1998-03-01,97.13,103.63,96.38,102.88,1610901
1998-04-01,102.75,109.44,100.75,109.0,1900800
1998-05-01,108.0,109.01,103.19,105.69,995800
1998-06-01,105.63,108.0,49.12,49.88,3071002
1998-07-01,49.81,51.81,43.69,44.06,4909302
1998-08-01,43.5,44.19,39.19,39.19,5251501
1998-09-01,39.19,44.76,39.19,42.19,4553802
1998-10-01,41.88,46.63,36.44,46.06,6724300
1998-11-01,46.19,47.0,42.12,42.31,3664200
1998-12-01,42.38,44.5,38.0,41.63,6213500
1999-01-01,41.38,42.31,36.88,40.69,3840800
1999-02-01,40.63,45.69,37.25,44.44,6679600
1999-03-01,44.38,48.0,42.56,43.13,3904200
1999-04-01,42.63,53.63,42.0,50.13,7581500
1999-05-01,50.25,53.69,49.0,53.0,4430700
1999-06-01,53.38,58.13,51.13,53.88,6370000
1999-07-01,55.31,57.25,46.5,47.31,10408500
1999-08-01,47.31,47.31,42.88,43.63,7088200
1999-09-01,43.81,50.5,43.69,48.13,7609900
1999-10-01,47.94,47.94,41.25,42.31,9241700
1999-11-01,42.5,48.31,40.63,47.25,8215100
1999-12-01,46.63,50.63,45.56,47.81,8122800
2000-01-01,47.63,56.25,41.25,47.94,12399100
2000-02-01,48.0,53.07,41.75,42.94,8754300
2000-03-01,42.38,56.88,37.25,54.32,14276800
2000-04-01,54.06,55.69,42.44,43.13,12844300
2000-05-01,43.38,45.82,39.75,40.0,6892500
2000-06-01,40.0,41.94,29.38,31.0,13116000
2000-07-01,30.88,34.75,28.5,31.88,9782200
2000-08-01,31.81,33.81,28.63,28.88,6684900
2000-09-01,29.13,30.75,25.12,26.31,9494900
2000-10-01,27.0,33.0,24.31,31.94,10878800
2000-11-01,31.63,37.31,31.63,36.5,7767000
2000-12-01,36.44,40.0,31.75,36.56,7915400
2001-01-01,35.75,39.78,35.19,39.37,6749400
2001-02-01,38.2,38.21,32.7,35.01,5284200
2001-03-01,34.76,37.5,29.51,33.85,9385500
2001-04-01,33.7,39.4,32.0,38.77,7913500
2001-05-01,38.8,44.6,38.55,44.15,9618300
2001-06-01,44.6,48.0,40.7,41.72,8255500
2001-07-01,41.3,42.55,38.77,42.11,6369200
2001-08-01,42.05,42.98,39.31,42.32,5957300
2001-09-01,42.65,45.25,36.86,38.84,8647400
2001-10-01,38.75,44.65,37.85,43.29,8172800
2001-11-01,43.0,47.75,42.65,46.78,7011000
2001-12-01,46.95,48.99,44.23,48.07,8282300
2002-01-01,47.5,54.3,46.6,54.29,9027100
2002-02-01,54.75,59.4,52.85,59.26,9679300
2002-03-01,59.1,59.29,54.6,56.13,8978500
2002-04-01,56.05,59.0,53.8,56.09,7178200
2002-05-01,55.9,56.4,51.97,52.55,6838300
2002-06-01,52.8,52.94,47.1,49.95,6780100
2002-07-01,50.3,50.74,40.4,49.04,10408700
2002-08-01,48.9,49.8,44.75,45.01,8315200
2002-09-01,44.95,45.4,40.53,42.53,7739300
2002-10-01,42.57,50.4,39.2,48.4,9756800
2002-11-01,48.34,53.99,47.7,53.78,7500600
2002-12-01,54.0,55.2,49.42,51.29,6109600
2003-01-01,51.7,53.3,45.6,47.26,5844500
2003-02-01,47.12,47.85,43.76,45.97,6599000
2003-03-01,46.43,46.9,41.4,42.93,8670100
2003-04-01,43.15,46.72,42.54,46.14,9559400
2003-05-01,46.15,47.08,44.25,46.7,8525400
2003-06-01,46.86,50.8,44.5,46.83,11086700
2003-07-01,46.84,49.77,45.86,49.2,7474600
2003-08-01,49.15,50.27,47.14,49.86,5774000
2003-09-01,50.75,52.33,47.4,47.65,10208400
2003-10-01,47.58,50.83,43.7,45.78,13869900
2003-11-01,46.0,47.25,44.69,46.26,8367251
2003-12-01,46.5,49.92,44.24,47.34,15851700
2004-01-01,47.37,48.72,45.0,48.12,12858900
2004-02-01,47.95,49.02,46.65,47.3,7883000
2004-03-01,47.25,48.22,45.06,47.95,7616400
2004-04-01,47.7,56.44,47.55,52.39,11918000
2004-05-01,52.35,54.59,49.74,54.46,7322700
2004-06-01,54.45,57.66,53.51,57.47,6894800
