datetime,open,high,low,close,volume
1998-09-01,26.0,26.38,19.93,20.87,6800100
1998-10-01,20.75,21.81,17.31,20.0,15263100
1998-11-01,20.5,24.81,17.63,21.88,17169000
1998-12-01,21.63,21.94,18.62,21.0,12043800
1999-01-01,21.38,25.0,21.25,24.06,4858600
1999-02-01,24.13,25.75,21.19,22.44,5355500
1999-03-01,22.0,25.0,20.38,22.31,5204600
1999-04-01,22.5,23.25,19.0,19.12,6600800
1999-05-01,19.19,24.94,18.75,23.19,6088800
1999-06-01,23.25,23.38,19.69,20.5,4703000
1999-07-01,20.5,23.38,20.0,22.19,7777400
1999-08-01,22.19,23.12,20.75,21.0,6618800
1999-09-01,21.0,22.31,14.25,16.26,7462600
1999-10-01,16.25,19.0,9.56,9.75,8804700
1999-11-01,9.75,12.76,9.63,11.63,19160400
1999-12-01,11.56,15.44,11.44,15.25,13184900
2000-01-01,15.5,17.51,14.31,15.56,7926000
2000-02-01,15.31,15.94,12.63,14.25,5441900
2000-03-01,14.88,21.88,13.25,16.37,12350200
2000-04-01,15.81,17.0,12.44,13.56,8536700
2000-05-01,13.5,14.75,11.38,13.38,4787000
2000-06-01,13.31,14.5,11.37,12.44,6126800
2000-07-01,12.0,15.26,11.81,13.69,5835000
2000-08-01,13.88,14.38,12.25,13.25,2592700
2000-09-01,13.13,14.75,11.69,11.94,3650100
2000-10-01,11.75,12.38,7.62,9.5,6096100
2000-11-01,9.5,11.06,8.38,8.44,2716000
2000-12-01,8.56,8.81,5.65,6.82,6441100
2001-01-01,7.0,8.6,6.4,8.2,6438900
2001-02-01,8.2,9.16,7.6,8.5,3057800
2001-03-01,8.4,8.45,6.01,6.72,5753300
2001-04-01,6.84,8.35,5.8,8.15,4275800
2001-05-01,8.0,9.3,7.9,9.1,2956800
2001-06-01,9.1,10.75,8.2,10.75,3076000
2001-07-01,10.97,11.17,8.9,11.12,5283800
2001-08-01,11.15,11.15,9.4,9.8,2219800
2001-09-01,10.0,10.25,8.4,9.0,4645100
2001-10-01,9.15,9.7,8.2,9.07,3550400
2001-11-01,9.19,10.0,8.6,9.88,2970000
2001-12-01,10.0,11.7,9.82,11.54,5401300
2002-01-01,11.75,12.7,11.0,11.71,5693600
2002-02-01,11.78,12.08,10.8,11.8,3810700
2002-03-01,11.15,13.49,11.15,12.91,4723900
2002-04-01,13.0,13.7,11.15,11.61,6569300
2002-05-01,11.73,12.1,11.1,11.5,4603800
2002-06-01,11.46,11.7,9.5,9.94,5466600
2002-07-01,9.7,9.94,7.7,8.05,5964800
2002-08-01,7.9,9.89,7.9,9.41,3638300
2002-09-01,9.31,9.8,7.78,8.1,2714600
2002-10-01,8.15,8.37,4.9,8.11,4385700
2002-11-01,7.98,9.77,7.98,9.77,2501800
2002-12-01,9.87,10.66,8.9,9.2,3713000
2003-01-01,9.35,9.67,8.26,8.69,3226600
2003-02-01,8.69,8.78,7.15,7.35,5750400
2003-03-01,7.38,7.47,6.76,7.09,2955000
2003-04-01,7.08,8.14,7.08,7.88,2376900
2003-05-01,7.9,7.99,6.9,7.43,5440500
2003-06-01,7.6,8.32,7.38,7.57,3382800
2003-07-01,7.73,8.9,7.5,8.78,4049300
2003-08-01,8.86,10.75,8.86,10.5,7795200
2003-09-01,10.38,12.6,10.38,11.12,8179100
2003-10-01,11.2,13.75,11.2,12.7,10320600
2003-11-01,12.5,13.55,12.31,12.92,8389152
2003-12-01,12.87,13.19,11.12,11.2,9435000
2004-01-01,11.33,11.93,10.91,11.32,6990300
2004-02-01,11.37,11.9,10.7,11.3,7943800
2004-03-01,11.25,11.74,10.87,11.62,6728200
2004-04-01,11.55,13.01,11.51,11.95,5147500
2004-05-01,12.04,12.57,11.61,12.25,7609000
2004-06-01,12.15,13.35,11.5,13.17,9027700
2004-07-01,13.22,13.3,12.3,12.54,8517400
2004-08-01,12.25,12.78,11.75,12.0,6873800
2004-09-01,11.9,12.35,11.25,11.69,4736500
2004-10-01,11.77,12.32,11.69,11.79,4518000
2004-11-01,11.8,11.99,11.36,11.83,4949900
2004-12-01,11.8,12.83,11.8,12.46,5820800
2005-01-01,12.51,12.68,10.85,11.29,5198200
2005-02-01,11.22,11.45,9.05,9.6,12129800
2005-03-01,9.61,10.05,9.29,9.52,10013100
2005-04-01,9.6,9.71,8.06,8.38,5568700
