datetime,open,high,low,close,volume
1998-01-01,70.25,70.81,63.13,65.06,12821813
1998-02-01,65.25,70.38,65.25,70.06,8698612
1998-03-01,70.06,70.69,34.5,37.75,16824122
1998-04-01,37.75,44.88,36.62,39.75,21033707
1998-05-01,40.19,40.51,36.32,38.0,12744312
1998-06-01,37.88,39.01,34.44,35.56,19334508
1998-07-01,35.38,39.51,33.31,34.0,24274619
1998-08-01,33.94,34.38,25.5,25.5,20767710
1998-09-01,25.63,32.94,24.75,29.0,24097814
1998-10-01,28.63,32.01,23.37,30.25,25289054
1998-11-01,31.5,34.06,29.69,30.82,15360400
1998-12-01,30.44,32.51,30.0,31.88,16365500
1999-01-01,31.75,33.82,29.81,31.75,19566100
1999-02-01,31.88,32.76,29.81,32.19,16716300
1999-03-01,32.0,34.19,29.69,30.31,18840700
1999-04-01,29.75,32.19,29.13,30.94,21788600
1999-05-01,31.0,38.13,30.56,34.75,35679700
1999-06-01,34.75,35.13,31.88,32.88,18296500
1999-07-01,32.38,33.51,31.25,31.56,17946900
1999-08-01,31.88,32.13,28.5,29.06,14110100
1999-09-01,29.0,30.5,25.19,25.88,17451000
1999-10-01,25.63,28.76,23.69,27.94,22053200
1999-11-01,28.0,29.75,25.0,27.0,15434900
1999-12-01,26.0,26.81,21.0,22.13,28825000
2000-01-01,21.5,22.13,19.81,20.88,25110400
2000-02-01,20.94,21.06,16.56,16.88,31055800
2000-03-01,17.0,19.69,15.56,18.94,39875500
2000-04-01,19.25,19.94,17.0,18.56,26237900
2000-05-01,18.56,21.19,17.63,20.94,25137900
2000-06-01,20.94,23.01,18.12,18.25,29758500
2000-07-01,18.0,19.88,17.5,17.75,15931900
2000-08-01,17.81,20.56,17.75,20.31,18498700
2000-09-01,20.19,27.06,20.0,25.56,33803200
2000-10-01,25.44,26.63,21.5,24.75,27349700
2000-11-01,24.63,25.37,22.06,24.82,18805700
2000-12-01,24.94,28.51,24.68,27.94,30480400
2001-01-01,27.56,29.25,26.31,26.76,28495700
2001-02-01,26.7,27.93,24.65,26.0,22192100
2001-03-01,26.25,27.58,22.65,25.68,26813600
2001-04-01,25.6,26.43,22.1,23.1,25896200
2001-05-01,23.18,24.92,22.9,23.83,22498500
2001-06-01,23.83,26.2,23.55,26.03,25814200
2001-07-01,26.05,26.87,25.2,26.65,18413400
2001-08-01,26.75,28.0,24.95,25.1,22752800
2001-09-01,25.05,25.4,22.2,24.1,19431500
2001-10-01,23.9,24.03,20.49,21.36,33250700
2001-11-01,21.3,23.9,21.1,22.95,15927500
2001-12-01,22.85,24.52,22.56,24.35,21811000
2002-01-01,24.2,25.5,23.61,24.6,20162000
2002-02-01,24.7,25.48,22.92,25.19,22199900
2002-03-01,25.0,27.26,24.9,26.65,21779500
2002-04-01,26.66,28.15,25.95,28.1,22917400
2002-05-01,28.0,29.4,26.88,27.24,31026000
2002-06-01,27.3,27.99,25.96,27.09,21881300
2002-07-01,27.15,27.29,20.98,26.3,41703900
2002-08-01,26.2,27.17,25.11,26.82,27009000
2002-09-01,26.5,27.35,23.86,24.82,24820400
2002-10-01,25.01,25.92,21.25,24.46,31268200
2002-11-01,24.08,26.75,23.26,26.09,21176200
2002-12-01,26.5,26.53,24.79,25.07,16051600
2003-01-01,25.47,27.11,23.43,24.05,24923500
2003-02-01,24.05,24.68,23.33,23.8,19265400
2003-03-01,24.02,24.38,22.31,22.57,28474100
2003-04-01,22.76,24.3,22.56,24.12,28938300
2003-05-01,24.05,26.52,23.8,26.4,27508600
2003-06-01,26.4,27.42,25.16,25.21,23310900
2003-07-01,25.27,27.23,24.86,26.86,22168600
2003-08-01,26.91,27.88,26.05,27.19,17677900
2003-09-01,27.24,27.35,25.35,25.57,24232300
2003-10-01,25.58,28.75,25.58,28.23,31395500
2003-11-01,28.25,29.23,27.43,27.79,25915566
2003-12-01,28.0,29.41,27.69,29.27,21608400
2004-01-01,29.32,31.85,28.63,31.08,38669200
2004-02-01,31.03,33.0,30.5,32.41,24487600
2004-03-01,32.42,33.23,29.79,30.31,28342400
2004-04-01,30.47,30.66,28.23,29.67,31695500
2004-05-01,29.74,32.27,29.04,31.4,33958300
2004-06-01,31.1,31.3,29.59,29.89,30584300
2004-07-01,29.9,30.6,29.0,30.22,22780500
2004-08-01,30.1,32.02,29.65,31.28,20775500
2004-09-01,31.3,31.98,30.82,31.58,16244900
2004-10-01,31.6,33.64,31.35,33.59,21823200
2004-11-01,33.72,34.5,32.94,33.33,19497300
2004-12-01,33.53,34.24,32.66,33.91,20173600
2005-01-01,33.89,34.02,31.13,33.39,33273400
2005-02-01,33.42,34.0,32.11,32.91,25432500
2005-03-01,32.94,34.05,31.0,32.45,28343900
2005-04-01,32.78,33.4,31.52,33.14,31780700
2005-05-01,33.16,33.8,31.88,32.72,24665000
2005-06-01,32.67,33.62,32.51,33.14,21050500
2005-07-01,33.19,35.0,32.67,34.29,23626800
2005-08-01,34.43,34.54,32.45,33.11,20541900
2005-09-01,33.1,33.67,31.65,32.26,28898900
2005-10-01,32.25,32.73,30.1,32.23,26957100
2005-11-01,32.15,33.99,32.04,33.14,23934400
2005-12-01,33.35,34.05,32.68,32.96,24444500
2006-01-01,33.18,36.42,32.96,35.42,35800700
2006-02-01,35.48,37.66,34.93,37.23,27659000
2006-03-01,36.87,37.67,35.9,36.83,31351800
2006-04-01,36.76,38.31,36.06,38.22,30355000
2006-05-01,38.0,38.1,35.2,35.71,32555500
2006-06-01,35.87,36.74,34.24,35.71,26306900
2006-07-01,35.75,37.33,34.48,36.89,22015500
2006-08-01,36.75,38.15,36.58,36.79,24940600
2006-09-01,36.9,37.7,36.21,37.48,18678300
2006-10-01,37.52,37.95,36.18,37.14,35794900
2006-11-01,37.15,37.41,35.86,36.07,24142400
2006-12-01,36.07,38.63,35.73,38.01,28135200
2007-01-01,37.79,38.3,37.13,38.18,23797600
2007-02-01,38.17,39.9,37.43,37.72,27721852
2007-03-01,37.24,38.97,35.94,37.45,37678698
2007-04-01,37.46,38.96,35.51,35.65,54020274
2007-05-01,35.52,37.0,35.24,35.61,43063085
2007-06-01,35.61,36.5,34.15,34.3,43062386
2007-07-01,34.54,37.09,33.7,34.66,73579614
2007-08-01,34.5,37.01,31.38,33.28,81363545
2007-09-01,33.07,35.59,31.88,32.3,37892111
2007-10-01,33.06,34.05,27.76,28.44,66194600
2007-11-01,28.07,28.52,23.42,26.41,81280916
2007-12-01,26.46,26.46,21.04,23.45,88026476
2008-01-01,23.53,26.98,19.0,26.14,136267060
2008-02-01,26.11,27.23,21.88,22.07,85739476
2008-03-01,21.9,24.73,20.19,21.93,103796576
2008-04-01,22.95,25.23,22.18,24.13,93488984
2008-05-01,24.1,26.12,19.21,19.46,81509438
2008-06-01,19.39,19.51,10.0,10.95,363829789
2008-07-01,10.87,12.8,7.93,10.56,340600578
2008-08-01,10.98,13.12,10.12,12.01,197907339
2008-09-01,12.55,18.48,8.69,12.13,260955967
2008-10-01,11.94,15.2,5.75,12.35,278112882
2008-11-01,12.4,13.85,4.99,9.38,182897896
2008-12-01,8.87,9.12,7.2,8.49,122243631
2009-01-01,8.49,8.96,5.71,7.29,203060484
2009-02-01,7.04,9.31,4.83,7.04,288302401
2009-03-01,6.78,9.35,5.07,7.85,252401197
2009-04-01,7.54,9.82,5.73,6.14,381990485
2009-05-01,6.19,8.27,4.72,5.0,420783545
2009-06-01,5.1,6.23,4.4,5.24,766273960
2009-07-01,5.17,5.9399999999999995,4.4,5.8,646568234
2009-08-01,6.0,7.0,5.8100000000000005,6.66,502990404
2009-09-01,6.61,7.07,5.76,6.5,422725185
2009-10-01,6.45,6.85,5.29,5.4,443816012
2009-11-01,5.38,6.02,5.31,5.86,268591824
2009-12-01,5.93,6.29,5.37,5.5600000000000005,257496715
2010-01-01,5.66,7.75,5.65,7.18,431385643
2010-02-01,7.23,7.55,6.63,7.15,338157788
2010-03-01,7.16,8.19,6.9,7.76,340761494
2010-04-01,7.8100000000000005,9.84,7.72,9.03,575983485
2010-05-01,9.09,9.18,7.17,8.02,395486410
2010-06-01,8.05,8.57,7.47,7.6899999999999995,252696368
2010-07-01,7.62,8.64,7.14,8.46,270192633
2010-08-01,8.57,8.91,7.13,7.37,256943210
2010-09-01,7.49,8.51,7.45,7.96,234058350
2010-10-01,8.15,8.73,7.93,8.2,268769417
2010-11-01,8.27,8.76,7.45,7.52,267144210
2010-12-01,7.67,8.92,7.6,8.86,236645820
2011-01-01,8.96,9.14,8.31,8.9,274984365
2011-02-01,9.0,9.78,8.95,9.13,246041057
2011-03-01,9.2,9.51,8.46,8.88,414261743
2011-04-01,8.9,9.11,8.27,8.67,252116470
2011-05-01,8.74,8.85,8.25,8.47,210243799
2011-06-01,8.41,8.45,7.82,8.32,255060659
2011-07-01,8.34,8.49,7.6899999999999995,8.03,239881983
2011-08-01,8.17,8.2,5.9399999999999995,6.64,359396688
2011-09-01,6.61,6.6899999999999995,5.63,5.93,298966893
2011-10-01,5.73,7.74,5.59,7.06,368442872
2011-11-01,6.76,7.58,6.6,7.3,287979874
2011-12-01,7.21,7.9,7.0,7.6899999999999995,199565513
2012-01-01,7.84,8.44,7.67,7.78,291654613
2012-02-01,7.9399999999999995,8.3,7.78,8.1,227496320
2012-03-01,8.15,8.83,7.6,8.48,299366404
2012-04-01,8.39,8.55,7.72,8.03,318584177
2012-05-01,8.02,8.26,7.36,7.53,241296116
2012-06-01,7.34,7.92,6.8,7.74,261105731
2012-07-01,7.79,8.23,7.46,7.98,238449980
2012-08-01,8.03,8.46,7.82,8.43,223141930
2012-09-01,8.4,9.12,8.3,8.73,229657081
2012-10-01,8.78,9.01,8.18,8.42,310750177
2012-11-01,8.42,8.65,7.96,8.08,230348875
2012-12-01,8.15,8.57,7.8100000000000005,8.44,215884092
2013-01-01,8.62,9.5,8.57,9.4,385569411
2013-02-01,9.47,9.65,9.14,9.4,213386673
2013-03-01,9.26,10.2,9.2,9.95,253178019
2013-04-01,9.92,10.26,9.29,9.98,230965625
2013-05-01,9.95,11.0,9.84,10.79,182662303
2013-06-01,10.79,11.1,10.24,11.03,216086657
2013-07-01,11.07,12.5,11.06,12.28,236161455
2013-08-01,12.39,12.63,11.51,11.66,193109846
2013-09-01,11.79,12.25,11.05,11.4,203800377
2013-10-01,11.39,12.81,11.24,12.53,246010849
2013-11-01,12.55,13.11,12.37,12.73,176575687
2013-12-01,12.81,13.55,12.48,13.43,161068518
2014-01-01,13.43,14.14,12.71,12.75,250612304
2014-02-01,12.75,13.23,12.25,13.18,164460036
2014-03-01,13.06,14.7,12.93,14.25,254025418
2014-04-01,14.32,14.59,12.94,13.64,203836386
2014-05-01,13.62,13.95,12.9,13.68,161529995
2014-06-01,13.7,14.53,13.59,14.33,133913058
2014-07-01,14.35,14.62,13.51,13.53,204538406
2014-08-01,13.5,13.79,12.97,13.61,142888771
2014-09-01,13.65,14.21,13.3,13.33,155867554
2014-10-01,13.35,13.63,11.55,13.19,296403970
2014-11-01,13.19,13.66,13.1,13.5,144468007
2014-12-01,13.44,14.18,13.0,13.9,188018048
2015-01-01,14.0,14.05,12.04,12.99,223664008
2015-02-01,13.09,14.3,12.97,13.92,162791986
2015-03-01,13.95,14.74,13.74,14.16,204393366
2015-04-01,14.09,14.62,13.9,14.46,200421465
2015-05-01,14.52,15.11,14.29,14.58,189059045
2015-06-01,14.64,15.7,14.35,15.02,167021099
2015-07-01,15.27,15.46,14.62,14.85,178724620
2015-08-01,14.83,15.1,12.68,13.75,202611890
2015-09-01,13.42,13.91,12.65,13.01,181624748
2015-10-01,13.0,14.01,12.37,12.43,291018078
2015-11-01,12.71,13.51,12.5,13.11,269562429
2015-12-01,13.17,13.47,12.5,13.19,265038529
2016-01-01,12.99,13.08,10.78,11.17,328904598
2016-02-01,11.25,11.25,9.88,10.54,317476493
2016-03-01,10.6,11.75,10.57,11.03,266345804
2016-04-01,10.96,12.68,10.6,12.29,250530176
2016-05-01,12.37,13.08,11.63,12.83,217396759
2016-06-01,12.67,12.98,10.21,11.06,303912796
2016-07-01,10.97,11.91,10.38,11.69,284325771
2016-08-01,11.68,12.6,11.35,12.57,355195634
2016-09-01,12.6,12.64,11.89,12.16,285318623
2016-10-01,12.11,14.38,12.05,14.13,308159748
2016-11-01,14.21,17.59,13.83,17.33,371969009
2016-12-01,17.42,18.62,17.42,18.29,238909774
2017-01-01,18.51,18.78,17.61,17.97,222132141
2017-02-01,18.19,19.22,17.58,18.77,171961005
2017-03-01,19.1,19.54,16.54,17.79,244923606
2017-04-01,17.84,18.95,16.91,18.24,183548939
2017-05-01,18.39,19.09,17.4,17.47,169316391
2017-06-01,17.57,19.11,17.2,18.74,218966466
2017-07-01,18.9,19.48,17.73,18.03,202818908
2017-08-01,18.16,18.71,16.99,17.21,223454390
2017-09-01,17.24,18.94,16.28,18.81,181799374
2017-10-01,18.88,19.03,17.76,18.25,239377670
2017-11-01,18.33,19.38,17.4,18.98,203230898
2017-12-01,19.01,20.58,18.54,20.17,148879240
2018-01-01,20.32,21.99,20.04,21.4,176776575
2018-02-01,21.37,22.22,19.64,21.14,177899714
2018-03-01,21.18,22.4,19.0,19.55,178698756
2018-04-01,19.56,20.6,18.72,19.92,173986094
2018-05-01,19.89,20.78,19.0,19.44,154284937
2018-06-01,19.77,21.05,19.45,19.55,168991601
2018-07-01,19.47,21.42,19.38,20.86,174869128
2018-08-01,21.02,21.92,20.85,21.07,153036701
2018-09-01,21.07,21.5,19.66,19.9,193940111
2018-10-01,20.02,20.74,16.48,18.16,308496129
2018-11-01,18.29,18.96,17.65,18.34,195624622
2018-12-01,18.65,18.76,13.65,14.78,216192751
2019-01-01,14.53,17.07,14.49,16.47,225386967
2019-02-01,16.55,17.98,16.27,17.66,192564460
2019-03-01,17.77,17.9,14.82,15.75,280341290
2019-04-01,15.96,17.66,15.93,17.54,218164220
2019-05-01,17.54,17.84,15.95,15.97,184455817
2019-06-01,15.94,17.78,15.86,17.76,151518432
2019-07-01,17.94,18.61,17.05,18.36,154258064
2019-08-01,18.4,18.4,15.68,16.6,170679514
2019-09-01,16.46,18.5,16.1,17.83,166774465
2019-10-01,18.0,18.6,16.59,17.97,184826029
2019-11-01,18.19,19.54,18.06,19.39,138635277
2019-12-01,19.33,20.53,18.54,20.23,134823357
2020-01-01,20.36,20.37,18.57,18.75,172569672
2020-02-01,18.89,20.24,15.84,16.17,146539889
2020-03-01,16.21,17.33,7.45,10.36,349558052
2020-04-01,9.63,12.55,8.96,11.65,250742665
2020-05-01,11.26,13.03,9.04,11.85,192526758
2020-06-01,11.75,15.32,11.59,12.17,266653970
2020-07-01,12.23,12.64,10.86,12.01,191312511
2020-08-01,12.0,13.51,11.85,12.31,142505011
