datetime,open,high,low,close,volume
1998-01-01,49.13,54.25,46.75,52.25,33311319
1998-02-01,53.0,56.26,52.56,55.75,19029216
1998-03-01,55.75,59.44,49.19,50.25,57437364
1998-04-01,50.38,52.0,47.25,50.75,45392255
1998-05-01,50.63,52.44,49.56,49.56,27602523
1998-06-01,49.5,50.69,44.44,45.88,29067521
1998-07-01,46.13,49.44,44.19,44.88,35372131
1998-08-01,44.94,45.81,37.93,38.06,33722324
1998-09-01,38.31,44.25,35.87,40.5,30948735
1998-10-01,39.5,48.38,39.43,48.25,26133125
1998-11-01,48.44,53.13,47.81,52.69,18545800
1998-12-01,52.13,54.94,51.12,54.38,24830200
1999-01-01,54.0,54.87,48.06,49.75,31519600
1999-02-01,49.69,50.44,44.81,47.31,32261500
1999-03-01,47.31,51.0,46.56,48.0,26443800
1999-04-01,48.31,63.25,48.0,61.25,40489500
1999-05-01,61.38,64.07,58.32,58.75,30360800
1999-06-01,58.69,60.13,55.38,56.94,29189600
1999-07-01,56.88,62.19,53.06,61.0,39416100
1999-08-01,60.75,62.01,57.06,57.31,28197600
1999-09-01,57.19,59.13,52.12,52.88,39462500
1999-10-01,52.25,64.69,50.81,63.12,33269900
1999-11-01,63.75,69.56,60.75,64.13,34396600
1999-12-01,63.63,67.81,60.87,65.44,29621300
2000-01-01,64.5,68.13,60.75,61.94,31830100
2000-02-01,61.94,63.01,50.75,51.82,35226000
2000-03-01,51.44,58.25,42.0,55.63,57600000
2000-04-01,56.38,61.75,54.0,58.12,32954000
2000-05-01,56.5,62.94,56.19,60.57,26101500
2000-06-01,60.0,62.06,53.0,57.31,37371000
2000-07-01,57.25,60.38,55.25,57.56,25552500
2000-08-01,57.75,61.81,56.68,58.5,28590500
2000-09-01,59.13,59.19,49.94,55.81,41685400
2000-10-01,55.13,69.01,53.62,65.88,46984400
2000-11-01,66.0,70.26,63.0,69.81,38350900
2000-12-01,69.69,73.25,63.76,70.6,34566300
2001-01-01,69.99,71.06,60.5,64.99,43326300
2001-02-01,64.75,71.92,64.75,71.06,29671400
2001-03-01,71.05,72.19,64.02,67.85,46551600
2001-04-01,68.0,68.69,56.34,59.42,51224400
2001-05-01,59.35,62.25,57.19,60.4,35593200
2001-06-01,59.9,61.28,55.15,56.02,28002100
2001-07-01,56.7,61.98,53.4,60.96,31330800
2001-08-01,60.9,64.35,58.9,62.08,25049300
2001-09-01,62.45,65.1,54.74,61.95,28162000
2001-10-01,61.65,62.22,52.06,55.57,42679300
2001-11-01,56.1,58.7,55.0,58.16,26125200
2001-12-01,57.8,60.2,56.3,59.76,26952100
2002-01-01,59.55,60.14,57.05,60.0,25788300
2002-02-01,60.1,63.49,58.15,62.67,23551800
2002-03-01,63.15,65.14,60.96,64.65,21903600
2002-04-01,63.4,66.25,63.09,65.09,27139200
2002-05-01,65.0,66.79,63.44,64.91,25383600
2002-06-01,64.92,66.0,60.43,61.87,26332400
2002-07-01,62.45,63.4,52.83,60.95,42157300
2002-08-01,60.9,61.5,58.12,59.92,26152700
2002-09-01,59.25,60.88,55.6,56.59,25915800
2002-10-01,56.67,58.18,49.7,51.4,52035600
2002-11-01,51.15,51.59,49.37,50.32,31238000
2002-12-01,50.75,51.42,45.3,47.41,60541200
2003-01-01,47.78,47.91,44.43,46.28,37884000
2003-02-01,46.32,46.84,43.75,45.85,27968900
2003-03-01,46.0,46.07,42.92,45.35,36513300
2003-04-01,45.9,50.45,45.18,49.76,37632800
2003-05-01,49.81,52.39,48.88,52.0,32207800
