datetime,open,high,low,close,volume
2008-06-01,49.85,51.51,46.04,46.93,11873384
2008-07-01,46.71,48.5,41.26,44.61,73148391
2008-08-01,44.49,44.81,40.58,43.46,42100328
2008-09-01,44.07,49.32,35.0,38.79,56999818
2008-10-01,39.13,39.17,23.27,33.21,69183824
2008-11-01,32.94,34.26,19.39,27.39,49641528
2008-12-01,26.31,29.35,23.34,28.29,41035350
2009-01-01,28.9,30.6,23.25,24.16,43220118
2009-02-01,23.57,25.83,19.5,19.87,72525857
2009-03-01,19.34,23.85,17.4,22.09,116886778
2009-04-01,21.63,25.8,21.49,24.87,74631787
2009-05-01,24.87,28.97,24.49,27.04,67731821
2009-06-01,27.2,29.17,26.31,27.4,55970842
2009-07-01,27.52,30.16,25.27,29.96,42525183
2009-08-01,30.25,34.37,30.25,34.14,36993594
2009-09-01,33.93,35.49,32.35,34.23,40590863
2009-10-01,33.96,36.66,32.77,33.1,40016985
2009-11-01,34.6,36.47,33.06,35.39,34068374
2009-12-01,35.79,36.84,34.74,36.37,30387862
2010-01-01,36.8,38.41,35.46,35.76,32561519
2010-02-01,35.89,37.08,34.24,36.47,33642897
2010-03-01,36.61,38.1,36.55,37.3,40938004
2010-04-01,37.48,38.94,37.0,37.21,40497602
2010-05-01,39.0,39.47,30.22,32.48,71302028
2010-06-01,32.23,34.61,30.54,33.27,74853660
2010-07-01,33.37,37.53,32.95,37.15,61994078
2010-08-01,37.71,38.55,34.77,35.13,48566238
2010-09-01,35.5,38.42,35.45,37.9,40720196
2010-10-01,38.19,40.3,37.37,39.49,31001327
2010-11-01,39.76,40.34,37.23,37.41,31723924
2010-12-01,37.89,39.49,37.7,38.9,19441592
2011-01-01,39.26,40.89,39.06,40.05,21368080
2011-02-01,40.35,45.31,40.3,43.23,22936785
2011-03-01,43.34,43.35,40.73,43.08,30238659
2011-04-01,43.12,44.47,41.78,44.25,21239232
2011-05-01,43.34,43.38,41.27,42.03,22816352
2011-06-01,41.9,42.43,39.99,42.1,31908307
2011-07-01,42.18,42.64,39.58,39.9,24638089
2011-08-01,39.16,40.1,34.3,37.59,72326241
2011-09-01,37.6,37.93,33.79,34.56,39255241
2011-10-01,34.33,41.66,32.9,39.7,39812599
2011-11-01,38.49,39.94,35.59,38.41,34258472
2011-12-01,38.25,39.43,36.42,37.65,27923462
2012-01-01,38.48,39.03,37.02,37.3,21716914
2012-02-01,37.69,39.47,37.4,39.13,19389908
2012-03-01,39.16,40.16,37.99,39.84,18255741
2012-04-01,39.89,41.35,38.31,41.11,22219233
2012-05-01,41.04,41.8,38.19,38.89,18851348
2012-06-01,38.28,41.21,38.14,40.94,20459906
2012-07-01,41.11,41.78,39.11,39.59,20835227
2012-08-01,39.79,40.78,39.04,40.64,16085109
2012-09-01,40.6,42.86,40.42,41.27,14466322
2012-10-01,41.37,43.36,41.06,42.27,13472933
2012-11-01,42.27,43.14,39.57,40.9,20234412
2012-12-01,41.02,42.04,39.92,40.75,19314994
2013-01-01,41.4,43.73,41.06,43.38,14134850
2013-02-01,43.69,44.21,42.09,43.11,16885295
2013-03-01,42.96,44.78,42.5,44.07,17504885
2013-04-01,44.0,45.2,42.59,44.66,25404684
2013-05-01,44.63,47.1,44.61,45.81,17049361
2013-06-01,46.0,46.0,42.85,44.39,15486235
2013-07-01,44.83,47.0,44.03,45.55,14904568
2013-08-01,45.88,47.71,44.23,44.45,13990198
2013-09-01,44.93,47.94,44.09,46.74,13146899
2013-10-01,46.81,49.43,46.09,48.32,14850841
2013-11-01,48.27,49.05,47.28,47.35,15568023
2013-12-01,47.46,48.31,46.25,48.25,10117548
2014-01-01,48.12,48.15,44.38,44.59,14299326
2014-02-01,44.51,45.18,42.63,43.47,17596419
2014-03-01,43.14,45.21,42.9,44.06,18584646
2014-04-01,44.2,45.43,43.3,43.97,18071836
2014-05-01,44.03,44.66,42.29,43.13,20748252
2014-06-01,43.22,44.18,42.96,44.01,19378218
2014-07-01,44.2,44.59,42.11,42.12,19677665
2014-08-01,41.99,43.75,41.57,43.74,20073665
2014-09-01,43.81,43.89,41.63,41.64,20024009
2014-10-01,41.66,43.74,39.38,43.57,23610263
2014-11-01,43.49,43.78,41.5,41.64,14941073
2014-12-01,41.53,42.89,39.04,42.03,29358864
2015-01-01,42.26,42.3,38.01,38.25,20645118
2015-02-01,38.4,42.78,38.22,41.0,16460245
2015-03-01,40.97,41.5,39.35,40.81,18743443
2015-04-01,40.83,42.59,40.27,41.65,13592202
2015-05-01,41.89,41.99,39.83,40.11,15587217
2015-06-01,40.21,40.91,38.14,38.5,22610940
2015-07-01,38.94,39.21,37.38,38.11,27418274
2015-08-01,37.65,39.11,35.21,36.43,36494327
2015-09-01,35.75,36.99,35.29,36.12,26699562
2015-10-01,36.16,37.1,34.4,36.47,38485964
2015-11-01,36.01,38.19,35.82,37.91,15102787
2015-12-01,38.05,38.88,36.28,38.4,23942165
2016-01-01,37.75,38.01,34.08,37.02,23775092
2016-02-01,36.8,37.52,33.84,36.34,23372379
2016-03-01,36.73,39.62,36.05,38.28,19490410
2016-04-01,38.07,40.5,37.25,39.69,12833995
2016-05-01,39.75,40.87,39.21,40.47,14537813
2016-06-01,40.16,41.09,38.17,41.09,16106532
2016-07-01,41.11,41.82,39.67,41.31,9861675
2016-08-01,41.66,42.07,40.02,41.85,10980842
2016-09-01,41.93,41.95,39.71,41.13,16965571
2016-10-01,41.1,43.68,40.61,43.03,14367119
2016-11-01,43.02,44.96,41.38,44.65,17258127
2016-12-01,44.87,48.05,44.68,46.86,12692764
2017-01-01,47.23,47.48,45.54,46.59,10754594
2017-02-01,46.75,47.43,45.89,46.98,10997301
2017-03-01,47.7,47.88,45.25,46.76,11982790
2017-04-01,46.78,47.93,45.71,46.61,12652651
2017-05-01,46.73,47.45,45.62,47.15,13494518
2017-06-01,47.35,48.39,46.17,46.81,14437632
2017-07-01,47.12,48.97,46.61,48.67,9803677
2017-08-01,48.8,49.59,46.37,46.58,13095265
2017-09-01,46.68,48.14,45.01,47.85,13013992
2017-10-01,47.86,49.57,47.64,49.5,12497373
2017-11-01,49.6,50.69,48.8,50.28,16016346
2017-12-01,50.46,51.02,49.39,50.03,13368220
2018-01-01,50.24,53.59,49.68,51.66,18295210
2018-02-01,51.57,51.81,45.52,49.31,24592692
2018-03-01,49.34,52.05,48.19,49.74,25870874
2018-04-01,49.68,53.04,47.93,52.46,21713483
2018-05-01,52.28,52.53,47.79,48.85,17845786
2018-06-01,49.39,50.63,47.59,48.28,17394468
2018-07-01,48.09,50.83,48.0,50.77,14687762
2018-08-01,50.91,51.81,49.34,50.3,14079705
2018-09-01,50.34,52.35,49.39,50.24,14924048
2018-10-01,50.38,51.07,44.78,46.55,24247904
2018-11-01,46.83,50.01,46.03,48.06,16731274
2018-12-01,48.59,48.74,42.06,45.51,16637280
2019-01-01,44.73,48.25,44.44,47.88,14629327
2019-02-01,48.08,48.44,44.17,47.62,18985075
2019-03-01,47.89,48.94,46.39,47.93,14488073
2019-04-01,48.2,51.36,47.94,51.27,13790084
2019-05-01,51.17,52.63,49.85,51.36,17391577
2019-06-01,51.4,54.74,51.13,54.67,13068069
2019-07-01,54.85,56.2,53.42,53.54,12613721
2019-08-01,53.42,53.84,46.97,48.04,14482663
2019-09-01,47.68,52.31,47.63,51.48,10123105
2019-10-01,51.65,51.68,48.37,48.98,11753975
2019-11-01,49.26,51.49,48.99,50.9,9188341
2019-12-01,50.97,52.51,48.32,52.49,11192680
2020-01-01,52.72,53.0,50.25,51.47,8747000
2020-02-01,51.71,56.88,43.97,45.38,10728308
2020-03-01,45.67,49.05,28.52,34.78,29318252
2020-04-01,32.83,40.47,31.38,34.65,19629132
2020-05-01,33.79,34.8,27.33,33.23,18521669
2020-06-01,33.16,40.07,31.18,34.29,19214839
2020-07-01,34.18,37.54,32.35,36.4,9930704
2020-08-01,33.98,40.18,33.7,35.85,10664413
2020-09-01,35.58,37.9,32.83,34.75,12902580
2020-10-01,34.91,37.49,32.75,34.74,7869757
2020-11-01,36.14,45.0,35.39,41.91,10666977
2020-12-01,42.96,45.12,41.92,45.01,11303945
2021-01-01,45.04,47.91,44.16,45.3,7466347
2021-02-01,45.63,50.85,45.16,47.82,9978547
2021-03-01,48.62,53.29,48.16,51.29,14870193
2021-04-01,51.06,56.45,50.8,55.75,6612787
2021-05-01,55.59,59.39,55.22,58.39,10288986
2021-06-01,58.84,59.23,52.93,54.65,14616653
2021-07-01,55.09,55.48,51.5,53.63,13115931
2021-08-01,53.69,56.66,52.78,55.87,13073971
2021-09-01,55.97,55.97,51.35,53.93,17241113
2021-10-01,54.27,58.15,54.07,56.07,8245006
2021-11-01,56.42,59.19,53.25,53.46,10848097
2021-12-01,54.43,58.49,53.39,57.75,10578516
2022-01-01,57.75,61.93,56.91,59.66,8513034
2022-02-01,59.64,63.19,57.56,61.34,9469993
2022-03-01,61.33,66.0,59.48,64.82,15627886
2022-04-01,65.69,68.2,62.6,62.84,11777635
2022-05-01,62.93,66.34,60.45,65.49,17912135
2022-06-01,65.48,65.79,56.68,59.26,15475267
2022-07-01,59.19,60.19,55.43,58.23,10328597
2022-08-01,56.48,58.98,54.1,55.31,14083507
2022-09-01,55.16,57.79,49.36,49.84,16059216
2022-10-01,50.48,58.06,49.77,57.02,10780297
2022-11-01,57.28,58.29,54.27,58.18,8170437
2022-12-01,58.17,58.87,54.82,58.33,13655003
2023-01-01,58.39,61.49,57.53,61.48,9202531
2023-02-01,61.48,63.24,59.33,61.22,13153380
2023-03-01,61.22,62.11,52.85,58.02,18752440
2023-04-01,58.05,58.6,55.31,57.57,8648922
2023-05-01,59.36,60.29,55.94,56.0,11298521
2023-06-01,56.28,59.93,56.08,59.38,11974377
2023-07-01,59.2,63.93,58.81,62.66,7111527
2023-08-01,62.68,63.93,61.33,62.1,7707375
2023-09-01,62.58,65.39,61.29,63.33,12142124
2023-10-01,63.17,65.76,61.43,64.01,9285947
2023-11-01,64.13,70.45,64.06,70.3,10485938
2023-12-01,70.3,70.88,67.2,69.47,15548615
