datetime,open,high,low,close,volume
2011-06-01,38.15,42.0,36.59,41.13,6115859
2011-07-01,41.2,47.43,37.75,43.79,90189287
2011-08-01,45.04,45.4,29.48,37.04,96852955
2011-09-01,37.43,38.22,26.35,27.05,64162069
2011-10-01,26.91,38.47,26.61,35.98,73938456
2011-11-01,35.5,39.55,31.24,33.4,84584697
2011-12-01,33.92,35.45,31.72,33.3,55466598
2012-01-01,34.55,39.04,30.24,38.2,69175707
2012-02-01,41.7,45.42,40.67,41.56,91091297
2012-03-01,41.57,45.39,41.57,43.37,64025637
2012-04-01,43.39,43.7,39.16,41.61,62850564
2012-05-01,42.73,42.87,34.4,36.06,70029772
2012-06-01,35.36,45.35,33.65,44.93,68749672
2012-07-01,45.6,48.88,42.6,47.31,63404122
2012-08-01,47.61,51.94,44.36,51.74,65430365
2012-09-01,51.74,56.22,50.21,54.58,51845951
2012-10-01,54.88,60.04,52.6,54.97,60497428
2012-11-01,54.88,59.91,52.36,59.56,55386514
2012-12-01,59.8,63.44,57.51,63.01,54699042
2013-01-01,64.15,75.01,60.04,74.21,68041662
2013-02-01,75.61,84.63,74.55,82.89,60600604
2013-03-01,82.34,92.73,82.34,89.6,64509133
2013-04-01,89.55,90.54,75.2,78.36,78378428
2013-05-01,77.6,86.0,73.46,82.52,68131265
2013-06-01,82.61,84.15,69.31,70.82,54346803
2013-07-01,70.83,74.75,67.58,73.4,62271070
2013-08-01,73.86,76.58,68.54,72.51,60139652
2013-09-01,73.62,74.55,62.51,64.35,64812756
2013-10-01,64.15,75.15,61.32,71.69,73208982
2013-11-01,71.84,85.65,69.38,82.74,66211328
2013-12-01,83.84,91.95,82.24,91.74,70189191
2014-01-01,91.49,91.86,81.37,87.04,66440707
2014-02-01,87.08,91.08,80.68,84.01,56458230
2014-03-01,83.76,94.88,82.87,87.06,61439544
2014-04-01,87.15,94.59,82.66,92.99,52191777
2014-05-01,89.0,97.7,86.04,89.38,50899720
2014-06-01,89.87,90.21,77.94,78.08,62144784
2014-07-01,78.27,84.98,75.68,83.48,54133063
2014-08-01,83.69,91.93,82.79,91.02,40719537
2014-09-01,90.75,92.89,82.96,84.66,49997498
2014-10-01,84.93,92.02,74.64,90.9,66055645
2014-11-01,91.38,97.94,89.5,91.24,49672896
2014-12-01,89.4,97.15,80.0,90.25,58674634
2015-01-01,89.55,93.39,75.24,92.62,62864967
2015-02-01,92.85,108.32,90.97,105.01,48926306
2015-03-01,104.09,104.86,94.29,102.37,41954481
2015-04-01,102.76,104.56,96.81,98.54,42743020
2015-05-01,98.99,106.14,98.65,103.46,33237791
2015-06-01,103.16,104.9,50.4,52.3,53629279
2015-07-01,52.78,60.38,52.41,54.67,108316343
2015-08-01,54.73,58.27,43.42,47.3,122394139
2015-09-01,46.2,48.96,44.57,46.32,79329644
2015-10-01,46.49,52.77,46.03,51.8,79340851
2015-11-01,51.77,59.33,51.37,58.4,65758520
2015-12-01,58.82,59.99,47.58,51.84,98661525
2016-01-01,51.68,52.83,38.95,41.76,108072386
2016-02-01,41.65,42.2,29.24,34.25,171092660
2016-03-01,34.23,38.88,33.89,37.15,110847062
2016-04-01,36.28,43.26,35.06,39.07,100963345
2016-05-01,39.03,39.23,34.0,34.84,93155017
2016-06-01,34.55,37.99,32.02,37.96,125579480
2016-07-01,37.66,39.61,35.16,39.38,113178094
2016-08-01,39.13,42.97,38.23,42.5,91283634
2016-09-01,42.55,44.57,39.29,40.58,99960850
2016-10-01,40.77,44.89,40.27,43.57,91440407
2016-11-01,44.35,48.84,40.01,47.02,123689378
2016-12-01,47.49,51.15,47.15,50.37,81716832
2017-01-01,53.7,54.59,46.88,48.05,102851305
2017-02-01,49.68,51.17,47.1,49.59,62215357
2017-03-01,50.0,52.24,48.18,50.55,81271348
2017-04-01,50.68,51.62,47.78,50.93,58798640
2017-05-01,51.15,53.91,49.37,52.04,75424085
2017-06-01,52.43,55.2,50.74,52.34,80574709
2017-07-01,52.63,56.64,52.23,56.0,47866957
2017-08-01,56.11,56.81,49.3,52.45,63428498
2017-09-01,52.55,56.55,50.52,56.08,71982365
2017-10-01,55.94,60.16,55.25,59.73,60253401
2017-11-01,60.24,63.42,60.07,62.62,62307761
2017-12-01,62.82,67.07,61.59,65.98,52527885
2018-01-01,66.11,73.53,65.98,69.32,56894636
2018-02-01,69.77,70.49,61.46,64.06,59919919
2018-03-01,64.27,74.92,64.1,73.13,57976226
2018-04-01,72.95,83.27,70.31,74.6,76123250
2018-05-01,74.28,82.7,70.46,79.03,111419306
2018-06-01,79.78,83.33,69.03,70.17,82619165
2018-07-01,69.69,82.61,68.18,80.84,79757490
2018-08-01,80.25,84.79,76.22,82.29,68217635
2018-09-01,82.75,88.45,79.57,80.58,93479005
2018-10-01,81.53,86.56,66.29,70.44,126434764
2018-11-01,69.76,73.0,60.64,65.16,97436767
2018-12-01,66.0,66.88,54.0,59.0,109501461
2019-01-01,58.24,67.11,57.79,66.28,102747687
2019-02-01,66.68,68.74,61.22,62.02,82024551
2019-03-01,62.12,63.35,56.88,59.85,99242340
2019-04-01,60.46,64.53,59.37,60.83,108572972
2019-05-01,61.17,61.73,45.47,46.0,134489853
2019-06-01,46.11,55.95,46.02,55.88,114928294
2019-07-01,56.9,57.81,53.7,56.41,71929207
2019-08-01,57.95,58.6,43.96,49.19,94215570
2019-09-01,48.32,62.82,47.62,60.75,109586070
2019-10-01,61.26,69.65,58.24,64.0,94484480
2019-11-01,64.85,68.73,59.82,60.64,62240403
2019-12-01,60.88,62.14,56.71,60.23,58725028
2020-01-01,60.88,61.92,52.25,54.55,79902344
2020-02-01,54.54,60.35,45.02,46.78,88330053
2020-03-01,47.89,48.26,15.26,23.62,236336312
2020-04-01,21.93,33.91,18.27,32.0,181968842
2020-05-01,30.3,37.95,28.52,35.14,136766231
2020-06-01,35.25,44.12,34.35,37.36,134428599
2020-07-01,37.6,39.96,32.57,38.23,104867015
2020-08-01,38.4,40.04,34.4,35.46,124285146
2020-09-01,35.01,35.87,27.57,29.33,109170741
2020-10-01,28.77,31.39,26.56,29.51,108013342
2020-11-01,28.92,42.87,28.54,38.85,130836983
2020-12-01,40.22,44.7,38.3,41.35,72370330
2021-01-01,41.73,47.19,40.3,43.15,77960210
2021-02-01,43.77,56.99,42.32,54.61,72767639
2021-03-01,55.94,59.93,51.12,53.49,89817605
2021-04-01,53.89,57.26,51.28,55.64,63081145
2021-05-01,56.52,61.97,55.38,61.77,126666126
2021-06-01,62.5,64.84,58.86,60.42,103151977
2021-07-01,61.45,61.78,50.19,55.22,90062279
2021-08-01,55.29,60.53,53.47,59.27,99571011
2021-09-01,59.1,63.94,56.08,61.81,97945218
2021-10-01,62.0,68.78,61.44,65.93,102221343
2021-11-01,66.47,68.78,59.55,60.78,94469676
2021-12-01,62.57,65.41,59.96,63.99,90554099
2022-01-01,63.99,75.88,63.99,71.72,113519178
2022-02-01,71.73,81.39,70.78,77.86,90314371
2022-03-01,77.87,87.1,73.18,85.5,124193185
2022-04-01,85.28,93.16,81.57,87.26,64805552
2022-05-01,87.44,104.61,86.45,101.79,85313843
2022-06-01,102.86,114.35,81.31,82.21,139705048
2022-07-01,83.0,91.96,77.62,91.66,66976385
2022-08-01,90.02,106.8,88.33,100.75,67049006
2022-09-01,98.93,101.62,89.4,99.33,78523196
2022-10-01,102.41,115.72,100.21,113.62,45150198
2022-11-01,113.84,127.62,112.77,121.77,46285126
2022-12-01,121.81,123.09,106.52,116.39,66890720
2023-01-01,115.65,143.28,109.0,128.49,50906442
2023-02-01,128.51,129.36,114.12,123.74,49785652
2023-03-01,123.72,135.27,119.46,134.83,82481501
2023-04-01,137.23,138.83,119.75,122.0,51091492
2023-05-01,121.44,122.94,104.32,104.91,74922097
2023-06-01,105.45,117.47,104.82,116.6,51483087
2023-07-01,117.16,133.9,112.82,133.02,37453077
2023-08-01,131.79,149.76,131.21,142.7,56036997
2023-09-01,145.1,159.5,144.7,151.34,48661977
2023-10-01,151.06,154.33,139.32,151.25,44190719
2023-11-01,152.43,159.65,141.42,149.21,36547196
2023-12-01,149.21,156.28,140.98,146.88,42722378
