datetime,open,high,low,close,volume
1998-01-01,39.44,43.31,38.87,40.06,30071399
1998-02-01,40.31,47.5,39.75,43.87,46654171
1998-03-01,43.88,47.63,42.75,44.25,31693144
1998-04-01,44.25,48.75,42.87,47.81,25678356
1998-05-01,47.88,48.75,45.25,45.94,14999639
1998-06-01,45.75,49.94,43.5,48.56,15769050
1998-07-01,50.75,52.69,43.93,44.5,26351177
1998-08-01,44.38,45.25,34.63,34.69,25071737
1998-09-01,34.56,42.01,31.0,36.88,26603450
1998-10-01,36.25,44.88,35.5,43.69,16854627
1998-11-01,43.5,47.63,39.31,40.0,20862400
1998-12-01,39.5,42.38,34.88,40.56,27917800
1999-01-01,40.56,45.88,38.75,45.63,22523600
1999-02-01,48.0,55.0,45.69,53.5,23015300
1999-03-01,52.75,63.5,50.0,57.5,37710400
1999-04-01,57.69,64.76,54.69,62.0,21618800
1999-05-01,62.06,66.94,58.13,60.81,18992600
1999-06-01,60.69,65.01,54.32,63.38,22553500
1999-07-01,61.13,61.63,51.75,51.94,27168300
1999-08-01,51.88,54.57,46.19,47.0,19410000
1999-09-01,46.25,57.81,46.25,56.63,26411700
1999-10-01,56.63,59.26,53.31,56.25,17835900
1999-11-01,55.75,56.38,44.06,46.06,28656400
1999-12-01,45.75,55.88,39.81,49.56,28527400
2000-01-01,49.31,53.5,45.37,45.5,16712000
2000-02-01,45.44,48.5,26.5,28.5,48526000
2000-03-01,28.44,40.01,25.82,39.63,39022900
2000-04-01,41.0,45.88,36.38,43.5,22321100
2000-05-01,43.44,47.13,37.87,42.31,17467600
2000-06-01,43.13,44.88,34.81,39.56,17761500
2000-07-01,41.0,47.75,39.75,43.75,14158200
2000-08-01,43.75,48.5,39.68,39.69,22685000
2000-09-01,40.38,41.94,35.5,40.07,27547700
2000-10-01,40.06,43.51,34.94,39.94,19369000
2000-11-01,39.69,44.94,39.13,42.69,15934300
2000-12-01,42.75,57.01,40.25,55.94,28483500
2001-01-01,54.75,60.06,50.75,55.02,36361400
2001-02-01,55.0,57.5,37.46,39.09,36765500
2001-03-01,39.1,41.39,35.5,40.55,26774000
2001-04-01,40.5,42.05,36.3,41.81,23193200
2001-05-01,41.2,45.74,38.2,41.14,23997400
2001-06-01,41.2,44.97,40.5,42.0,25947200
2001-07-01,41.8,48.1,40.35,47.46,23329700
2001-08-01,47.27,51.8,46.46,50.12,21626400
2001-09-01,50.25,52.0,40.75,46.78,28082400
2001-10-01,46.78,50.96,46.15,49.4,29059800
2001-11-01,48.6,54.43,47.65,52.94,21382200
2001-12-01,52.98,58.43,50.0,56.23,36777800
2002-01-01,56.32,61.05,54.6,59.96,27745900
2002-02-01,59.85,60.64,56.73,58.87,20197000
2002-03-01,58.8,64.28,57.05,59.93,29893800
