datetime,open,high,low,close,volume
1998-01-01,115.88,125.44,114.0,122.5,5629410
1998-02-01,124.5,138.82,124.31,138.5,4037309
1998-03-01,138.56,138.63,102.75,107.44,18757139
1998-04-01,107.19,109.88,104.19,105.94,7242608
1998-05-01,105.69,110.76,105.38,107.13,4379907
1998-06-01,107.0,108.75,97.19,103.0,5296105
1998-07-01,102.25,108.63,80.0,80.94,11288815
1998-08-01,81.0,81.0,62.06,63.0,7493105
1998-09-01,63.13,73.38,59.31,73.0,11715705
1998-10-01,72.5,80.94,69.75,79.94,8368510
1998-11-01,79.56,84.0,78.5,81.19,5146500
1998-12-01,81.13,81.81,68.44,73.07,8494000
1999-01-01,73.94,75.63,56.63,56.94,9909100
1999-02-01,59.0,67.5,58.88,62.25,7250200
1999-03-01,62.06,66.63,58.87,59.88,6328700
1999-04-01,59.88,68.26,57.31,63.75,5744600
1999-05-01,64.81,73.88,64.63,67.5,7471100
1999-06-01,67.5,68.94,63.12,66.31,5130300
1999-07-01,66.56,75.94,66.06,72.06,5753100
1999-08-01,71.88,75.13,67.88,72.44,3405300
1999-09-01,72.31,72.94,59.56,63.56,5580400
1999-10-01,63.31,63.31,52.69,54.88,7577900
1999-11-01,54.94,58.94,50.63,55.56,5734800
1999-12-01,55.88,58.5,47.0,54.06,8764300
2000-01-01,54.31,55.38,45.25,50.13,5546100
2000-02-01,50.75,54.13,44.63,45.25,6454400
2000-03-01,45.19,55.63,42.62,53.0,9027500
2000-04-01,52.94,74.13,51.19,70.81,10181000
2000-05-01,71.13,80.94,70.62,76.63,9970200
2000-06-01,76.63,81.38,65.06,66.13,12559700
2000-07-01,66.0,73.44,64.38,71.07,7748000
2000-08-01,71.44,80.0,70.93,77.81,9047600
2000-09-01,78.0,93.26,77.69,90.94,7914000
2000-10-01,91.25,93.88,78.88,83.94,11361600
2000-11-01,83.88,86.26,76.38,84.44,6876000
2000-12-01,84.81,86.26,74.0,83.0,11870400
2001-01-01,83.25,90.5,79.12,86.76,16661800
2001-02-01,86.43,96.71,85.0,93.94,10584500
2001-03-01,93.55,99.1,82.7,87.8,15289100
2001-04-01,87.0,97.06,85.2,90.23,16688800
2001-05-01,91.0,94.0,85.41,88.75,13946200
2001-06-01,88.76,90.85,76.4,80.26,12458300
2001-07-01,79.8,81.64,76.4,80.42,8175000
2001-08-01,80.33,84.6,77.1,81.91,9054500
2001-09-01,82.25,104.5,81.29,101.1,18335700
2001-10-01,101.5,110.56,96.5,99.97,38976500
2001-11-01,99.9,100.25,88.65,93.82,43416300
2001-12-01,94.05,101.2,93.2,101.0,17468100
2002-01-01,100.21,111.7,95.5,111.61,22979400
2002-02-01,110.0,118.89,104.81,107.04,38574400
2002-03-01,108.0,113.82,102.5,112.91,24596600
2002-04-01,114.25,122.1,111.3,120.7,27859200
2002-05-01,121.0,126.16,118.5,121.51,22035700
2002-06-01,121.31,135.0,116.1,125.7,26104800
2002-07-01,122.0,124.35,93.31,110.51,57205500
2002-08-01,110.45,124.84,103.22,122.8,36665000
2002-09-01,122.25,129.83,117.9,124.04,25184300
2002-10-01,125.5,125.5,96.9,102.96,53867100
2002-11-01,103.14,103.14,87.2,96.91,47852800
2002-12-01,97.4,99.35,90.4,97.06,29349500
2003-01-01,97.01,101.1,88.0,91.38,26521700
2003-02-01,91.42,93.85,86.05,86.7,21640400
2003-03-01,87.13,88.25,78.27,85.84,38001700
2003-04-01,86.05,90.9,79.71,87.89,27210700
2003-05-01,87.95,92.6,85.95,87.66,23036600
2003-06-01,88.1,89.32,82.92,86.09,22956300
2003-07-01,86.29,93.6,85.41,92.24,24099400
2003-08-01,92.5,97.34,89.69,95.47,16952500
2003-09-01,95.7,96.6,83.0,86.3,21478100
2003-10-01,86.0,91.09,84.45,89.26,21365200
2003-11-01,89.4,93.75,87.42,92.63,15988042
2003-12-01,93.0,95.63,91.35,95.36,16681800
2004-01-01,95.35,101.44,93.81,96.7,16687000
2004-02-01,97.3,105.0,97.2,101.19,16400800
2004-03-01,101.85,102.49,95.6,98.37,17720400
2004-04-01,98.45,101.83,96.9,99.25,12648300
2004-05-01,99.26,104.0,97.02,103.2,15320000
2004-06-01,102.95,106.31,52.31,53.75,17582100
2004-07-01,53.6,55.05,52.4,52.6,26710300
2004-08-01,52.6,53.87,50.58,51.64,25979600
2004-09-01,51.65,53.79,50.0,53.26,32743700
2004-10-01,52.7,53.78,49.54,51.63,27190400
2004-11-01,51.9,57.0,51.31,56.37,36774900
2004-12-01,56.2,58.15,53.8,54.45,37235100
2005-01-01,54.05,54.49,51.1,51.9,34824900
2005-02-01,52.01,54.5,51.77,52.98,26344400
2005-03-01,53.0,55.98,51.64,53.98,31545600
2005-04-01,54.25,56.58,53.25,54.77,30041500
2005-05-01,54.77,56.05,53.27,55.78,24958600
2005-06-01,55.73,57.23,54.06,55.4,21021600
2005-07-01,55.29,57.5,54.1,55.52,21719300
2005-08-01,55.6,56.54,54.73,56.06,24818300
2005-09-01,55.95,58.18,52.95,54.34,33693100
2005-10-01,54.1,55.33,52.17,53.62,35237500
2005-11-01,53.7,57.67,53.67,57.38,27192900
2005-12-01,57.5,60.26,56.95,60.1,25144400
2006-01-01,59.35,62.99,59.1,62.15,29184700
2006-02-01,62.13,66.49,62.1,64.02,26343800
2006-03-01,63.35,70.04,63.29,68.31,31664200
2006-04-01,68.54,71.37,66.58,66.87,24459900
2006-05-01,66.9,68.76,64.34,64.73,29112700
2006-06-01,64.69,65.63,61.51,64.06,28260100
2006-07-01,64.31,67.6,62.66,66.19,17925400
2006-08-01,66.16,67.25,63.79,66.75,21222600
