datetime,open,high,low,close,volume
2012-07-01,58.06,61.85,51.1,57.13,9143016
2012-08-01,58.72,68.5,53.27,64.43,5558604
2012-09-01,65.3,72.61,61.27,61.62,11385210
2012-10-01,61.61,67.0,54.0,54.92,13799494
2012-11-01,55.75,57.34,50.01,54.24,8484406
2012-12-01,54.42,55.0,47.63,53.57,12786368
2013-01-01,54.52,57.65,47.0,55.36,20091927
2013-02-01,55.69,61.15,52.85,60.89,13051682
2013-03-01,58.4,62.2,53.3,56.61,29170760
2013-04-01,56.5,56.5,50.29,54.08,15333329
2013-05-01,53.89,56.6,47.0,48.52,24356865
2013-06-01,48.7,48.7,39.08,42.19,26077196
2013-07-01,42.23,50.91,40.9,48.94,16605662
2013-08-01,49.26,50.12,47.04,48.03,8304789
2013-09-01,47.73,50.5,44.58,45.84,28925754
2013-10-01,45.67,48.04,42.04,42.16,20089490
2013-11-01,42.12,50.43,40.36,49.95,21557798
2013-12-01,49.13,57.9,48.09,57.44,22551389
2014-01-01,56.71,64.92,54.7,59.45,23252749
2014-02-01,61.08,79.99,57.02,71.15,34339378
2014-03-01,69.79,80.84,66.38,68.6,39052425
2014-04-01,70.5,72.5,59.2,63.57,39706490
2014-05-01,63.9,78.0,57.47,74.89,37043141
2014-06-01,75.12,85.78,72.0,83.86,31808847
2014-07-01,84.23,85.6,73.12,80.86,27333642
2014-08-01,80.37,87.79,76.86,84.98,20114999
2014-09-01,85.4,102.45,85.36,98.1,43901205
2014-10-01,97.79,108.5,87.83,105.7,48559593
2014-11-01,105.72,123.22,102.02,123.0,25059594
2014-12-01,123.0,128.2,112.22,122.55,21274070
2015-01-01,122.6,130.0,117.6,126.42,16267989
2015-02-01,126.16,146.28,121.31,142.23,17342074
2015-03-01,144.0,150.44,134.07,146.11,31285542
2015-04-01,146.44,158.24,139.54,147.68,19329329
2015-05-01,150.07,169.84,144.42,169.42,22092256
2015-06-01,169.93,185.0,167.4,174.7,23835942
2015-07-01,176.59,200.55,167.82,185.9,23015309
2015-08-01,186.35,191.0,140.39,164.24,27662157
2015-09-01,160.29,189.72,158.6,171.89,28877841
2015-10-01,170.53,178.76,150.21,161.01,28820397
2015-11-01,161.8,188.3,152.88,187.32,29757250
2015-12-01,187.5,194.73,173.66,176.08,21184967
2016-01-01,172.95,173.76,135.89,149.43,30888523
2016-02-01,147.88,153.93,111.09,144.75,58973464
2016-03-01,146.74,165.29,143.74,163.05,25052033
2016-04-01,161.17,163.75,134.76,150.8,30977093
2016-05-01,151.65,151.99,128.25,130.46,38944728
2016-06-01,129.21,140.83,114.64,122.54,31614603
2016-07-01,122.67,134.7,117.02,130.85,19384035
2016-08-01,130.9,144.25,124.74,133.17,31193363
2016-09-01,133.27,160.0,133.27,159.34,28315229
2016-10-01,159.07,163.02,145.88,153.88,19382183
2016-11-01,153.75,165.69,132.12,134.42,37092735
2016-12-01,134.4,134.79,123.57,125.05,22795337
2017-01-01,125.85,148.38,125.82,147.55,26266558
2017-02-01,148.0,157.65,144.61,151.84,20655022
2017-03-01,119.96,120.99,110.04,112.66,59414785
2017-04-01,112.83,114.21,107.31,108.41,27490928
2017-05-01,108.73,122.08,108.15,118.71,31094183
2017-06-01,133.13,141.3,128.48,133.87,41638852
2017-07-01,134.85,143.9,130.4,131.71,15800806
2017-08-01,132.58,134.88,126.56,132.69,16843834
2017-09-01,144.81,148.75,136.7,144.1,28415464
2017-10-01,144.6,153.35,143.39,147.21,18920981
2017-11-01,147.58,156.85,135.85,145.75,34151113
2017-12-01,145.59,149.42,140.12,144.94,13660483
2018-01-01,146.0,160.83,145.1,157.83,17573406
2018-02-01,156.6,179.15,148.41,173.75,25820933
2018-03-01,173.35,191.53,169.04,181.55,22653348
2018-04-01,179.96,197.2,177.6,192.57,22716935
2018-05-01,191.75,211.71,189.84,208.1,15176832
2018-06-01,210.0,217.4,195.78,205.49,26085972
2018-07-01,204.89,219.38,193.61,198.22,14924052
2018-08-01,200.57,232.31,198.02,231.12,17278739
2018-09-01,230.41,239.5,218.87,225.24,15743937
2018-10-01,226.83,229.06,175.43,183.01,23113605
2018-11-01,184.5,192.27,160.08,172.95,24135064
2018-12-01,176.68,192.8,168.8,188.35,22377900
2019-01-01,185.04,217.28,178.79,214.77,18005973
2019-02-01,215.1,260.63,214.4,246.19,20031116
2019-03-01,246.07,250.26,230.36,242.85,16487301
2019-04-01,246.0,250.34,231.33,248.7,11701943
2019-05-01,249.49,250.94,197.07,200.06,20304006
2019-06-01,199.86,214.39,194.67,203.66,16622080
2019-07-01,208.35,229.44,203.33,226.63,12202253
2019-08-01,226.65,229.94,192.17,203.47,19369941
2019-09-01,201.79,218.64,196.29,203.89,23854494
2019-10-01,205.95,228.89,202.51,227.4,15091384
2019-11-01,228.0,250.95,214.9,227.2,21709330
2019-12-01,227.88,235.18,221.02,231.3,11518478
2020-01-01,233.24,247.73,232.94,234.7,10024340
2020-02-01,234.86,251.11,181.06,183.57,22832268
2020-03-01,184.91,191.16,125.47,163.96,29916447
2020-04-01,158.0,200.65,158.0,196.51,17188094
2020-05-01,193.0,243.14,190.55,235.27,20991892
2020-06-01,235.0,240.84,217.48,229.71,16044876
2020-07-01,229.41,255.92,227.72,255.92,13055080
2020-08-01,255.92,275.03,250.72,257.37,16963121
2020-09-01,258.9,261.11,227.15,244.74,14361495
2020-10-01,248.67,260.15,219.34,221.14,9282958
2020-11-01,222.79,298.5,220.97,293.92,15224179
2020-12-01,296.95,375.0,290.05,355.24,16750629
2021-01-01,355.38,374.24,334.56,351.99,11775418
2021-02-01,354.89,403.0,352.0,358.3,14998017
2021-03-01,364.26,368.73,311.56,322.3,16244376
2021-04-01,327.0,373.01,325.85,353.39,10615597
2021-05-01,355.57,374.29,322.22,363.28,12778059
2021-06-01,366.05,386.72,350.96,371.05,11249838
2021-07-01,370.0,405.16,366.29,399.05,11684397
2021-08-01,400.0,464.9,358.37,461.04,25285833
2021-09-01,456.96,495.92,455.8,479.0,16651874
2021-10-01,480.53,519.45,463.13,497.77,10742287
