datetime,open,high,low,close,volume
1998-01-01,75.44,82.44,71.06,81.94,60699439
1998-02-01,84.69,91.44,79.62,88.37,54944646
1998-03-01,89.0,99.76,84.12,99.63,91248844
1998-04-01,100.0,120.75,96.37,113.63,131929877
1998-05-01,114.5,115.38,101.25,105.01,102511317
1998-06-01,104.88,114.94,100.37,107.81,82220734
1998-07-01,109.94,120.63,105.62,110.12,85032663
1998-08-01,109.81,111.13,93.75,94.0,85745660
1998-09-01,93.75,109.19,92.0,105.75,93236911
1998-10-01,103.5,108.25,86.0,107.13,92997891
1998-11-01,107.69,116.88,104.0,112.0,54207700
1998-12-01,110.19,128.94,108.62,125.25,55606500
1999-01-01,126.81,128.94,109.56,128.0,69684700
1999-02-01,130.0,134.88,125.06,131.5,50224300
1999-03-01,131.06,144.5,130.0,138.87,52876700
1999-04-01,139.44,150.0,114.25,115.06,96989200
1999-05-01,115.06,118.32,100.31,107.5,96376100
1999-06-01,108.0,116.01,94.81,108.5,120380400
1999-07-01,36.25,39.26,33.81,34.0,195871900
1999-08-01,33.63,40.69,32.31,37.75,175852600
1999-09-01,38.19,39.44,33.75,35.94,123235800
1999-10-01,35.63,42.26,35.63,39.5,191423700
1999-11-01,39.5,40.01,33.31,36.25,297067800
1999-12-01,36.13,36.5,32.19,32.44,245448300
2000-01-01,32.06,37.63,30.63,36.44,230202700
2000-02-01,35.56,37.94,31.62,32.13,184384800
2000-03-01,32.13,37.0,30.0,36.75,276660900
2000-04-01,37.0,44.26,36.75,42.31,256251800
2000-05-01,42.25,46.38,41.31,44.5,198959800
2000-06-01,45.69,48.13,42.25,47.32,230350500
2000-07-01,47.81,49.25,42.87,43.0,244977600
2000-08-01,43.63,46.69,41.75,43.19,199436700
2000-09-01,43.75,45.38,39.37,44.94,216361000
2000-10-01,44.38,46.01,41.0,43.25,253801300
2000-11-01,43.75,46.44,41.0,44.19,229674400
2000-12-01,44.13,48.06,41.75,46.0,254700200
2001-01-01,45.56,46.75,40.5,45.09,316124800
2001-02-01,45.15,46.71,43.55,45.0,213447400
2001-03-01,44.98,44.98,34.1,40.75,329948600
2001-04-01,40.75,43.96,38.5,43.29,273462700
2001-05-01,43.3,45.04,41.52,42.97,223527900
2001-06-01,42.5,45.0,40.56,40.56,198264500
2001-07-01,40.5,42.23,37.19,41.16,249857300
2001-08-01,41.22,41.88,38.05,38.3,204022500
2001-09-01,38.45,40.2,34.0,40.04,241092800
2001-10-01,40.23,43.25,40.15,41.9,263809700
2001-11-01,42.0,44.04,41.44,43.37,191402300
2001-12-01,43.47,43.94,38.32,39.99,266000200
2002-01-01,39.85,42.46,39.1,41.58,234871800
2002-02-01,41.9,42.25,39.53,40.98,174335500
2002-03-01,41.17,41.9,39.5,39.75,228607900
2002-04-01,39.65,40.3,35.87,36.46,327103800
2002-05-01,36.7,37.85,34.31,34.62,257869000
2002-06-01,34.83,37.04,32.75,35.51,281374100
2002-07-01,35.0,35.23,25.13,32.33,658604700
2002-08-01,32.29,35.01,29.45,33.05,312885300
2002-09-01,32.03,32.9,27.95,29.0,330299300
2002-10-01,29.75,33.6,28.25,31.56,373776300
2002-11-01,31.75,34.0,31.29,31.53,289236000
2002-12-01,32.0,32.05,29.41,30.57,289534100
2003-01-01,30.74,32.13,29.43,30.32,330634400
2003-02-01,31.2,31.2,27.9,29.76,274060800
2003-03-01,30.02,32.4,28.34,31.16,334892100
2003-04-01,31.27,33.74,29.27,30.62,369552000
