datetime,open,high,low,close,volume
1998-01-01,39.25,40.0,33.25,38.81,4005202
1998-02-01,39.5,46.0,39.44,45.31,3635400
1998-03-01,45.0,49.25,45.0,48.25,2837803
1998-04-01,48.13,54.25,47.13,54.0,3311703
1998-05-01,54.13,54.94,49.75,50.63,2259903
1998-06-01,50.88,60.25,50.19,56.0,5165201
1998-07-01,56.0,58.69,51.19,53.56,6172001
1998-08-01,53.25,57.76,46.38,48.0,6899702
1998-09-01,47.5,47.94,41.0,43.13,9245002
1998-10-01,42.0,46.25,29.0,40.13,14235314
1998-11-01,40.13,49.19,39.81,47.75,6849400
1998-12-01,46.5,46.56,38.5,44.69,10484000
1999-01-01,45.13,48.38,35.75,37.81,16629200
1999-02-01,38.0,40.44,32.75,36.0,8189800
1999-03-01,35.88,37.76,30.0,33.06,13112900
1999-04-01,32.94,37.5,21.88,23.88,24679600
1999-05-01,24.0,29.25,23.81,28.31,9623300
1999-06-01,28.63,30.0,25.0,26.0,14523400
1999-07-01,25.94,27.19,24.06,26.38,8701000
1999-08-01,26.31,27.06,25.81,26.13,7125400
1999-09-01,26.5,26.5,21.62,24.0,7495500
1999-10-01,23.5,29.0,20.44,27.13,11827500
1999-11-01,27.31,30.0,26.06,27.81,5805800
1999-12-01,28.25,29.5,26.94,28.56,4759400
2000-01-01,28.81,41.25,24.69,39.0,13527500
2000-02-01,38.75,47.56,38.0,42.0,9184400
2000-03-01,42.25,48.0,37.63,47.5,7767700
2000-04-01,46.0,61.38,45.63,61.25,11549400
2000-05-01,61.88,65.0,55.0,59.75,7270000
2000-06-01,59.5,65.0,28.0,28.69,12081100
2000-07-01,28.63,35.31,28.5,34.32,15622200
2000-08-01,34.19,35.0,30.25,31.5,11135000
2000-09-01,31.81,35.31,29.87,34.94,11620600
2000-10-01,35.13,38.63,27.38,30.63,16902200
2000-11-01,30.25,32.5,28.87,29.94,5977600
2000-12-01,29.94,33.88,24.06,26.44,23239900
2001-01-01,26.5,27.75,20.94,26.95,23933700
2001-02-01,26.6,27.15,22.55,24.05,12224800
2001-03-01,24.31,24.8,21.05,22.35,12290900
2001-04-01,22.3,28.4,20.3,27.81,13009100
2001-05-01,27.81,30.9,26.5,28.22,11608500
2001-06-01,27.86,28.7,22.6,24.93,12425500
2001-07-01,25.18,26.5,22.55,26.05,9983000
2001-08-01,26.15,27.71,24.8,24.97,7544300
2001-09-01,24.9,25.75,18.6,20.05,11835900
2001-10-01,19.96,24.0,18.5,20.7,14592500
2001-11-01,20.38,27.3,20.3,26.79,9885700
2001-12-01,25.35,27.89,24.69,26.64,8096400
2002-01-01,26.0,27.75,23.5,26.21,12316000
2002-02-01,26.0,26.6,24.0,26.11,9024600
2002-03-01,25.85,30.9,25.8,29.53,13146200
2002-04-01,29.3,29.3,24.9,26.26,14674100
2002-05-01,26.3,27.15,23.93,24.75,12835700
2002-06-01,24.7,24.95,22.0,23.38,13103800
2002-07-01,23.1,25.2,17.83,19.95,19190300
2002-08-01,19.97,20.13,16.8,17.3,17927500
2002-09-01,17.07,17.61,15.37,15.76,12749100
2002-10-01,15.87,18.15,11.94,16.7,28745300
2002-11-01,16.71,21.65,15.99,19.65,14538000
2002-12-01,19.6,19.9,15.29,16.02,17181400
2003-01-01,16.12,16.98,14.45,15.12,14880700
2003-02-01,15.33,15.39,12.75,13.42,11915700
2003-03-01,13.48,14.8,11.44,13.31,18246800
2003-04-01,13.32,16.45,13.17,16.22,13336700
2003-05-01,16.15,17.99,15.5,16.99,14343200
2003-06-01,17.02,20.09,17.0,18.94,15396000
2003-07-01,18.84,21.9,18.1,21.71,19558500
2003-08-01,21.75,22.73,20.06,22.25,11528400
2003-09-01,22.25,22.93,18.91,19.45,12891900
2003-10-01,19.5,25.18,19.18,23.58,22395100
2003-11-01,23.61,24.35,21.8,22.26,10551455
2003-12-01,22.27,23.41,20.45,23.3,10342700
2004-01-01,23.34,26.5,23.32,23.54,14500100
2004-02-01,23.5,23.68,21.38,22.47,12100200
