datetime,open,high,low,close,volume
1998-01-01,28.5,29.13,25.75,28.5,9163803
1998-02-01,29.0,33.51,28.56,33.38,8995202
1998-03-01,33.31,35.5,33.13,35.31,7599903
1998-04-01,36.38,37.75,32.56,35.56,13011808
1998-05-01,35.5,35.69,31.94,33.25,6647800
1998-06-01,33.0,34.31,30.06,33.13,8833604
1998-07-01,33.38,35.0,30.57,31.88,8673807
1998-08-01,31.94,32.26,23.75,24.07,9557704
1998-09-01,24.25,26.01,19.44,21.5,16500005
1998-10-01,20.75,26.13,20.57,25.19,15939612
1998-11-01,25.63,29.0,25.07,28.38,10559100
1998-12-01,28.31,29.81,26.88,29.44,8496000
1999-01-01,29.38,30.69,24.5,25.44,12928300
1999-02-01,25.5,26.5,23.06,24.0,13751600
1999-03-01,24.0,28.94,23.31,28.13,15025400
1999-04-01,28.0,32.88,27.38,31.06,11080300
1999-05-01,31.13,31.76,28.63,30.63,7796200
1999-06-01,30.19,31.31,27.0,27.69,11232600
1999-07-01,27.5,30.01,26.63,26.94,10457100
1999-08-01,27.0,27.63,24.38,24.38,7381200
1999-09-01,24.63,25.19,19.43,20.94,20253600
1999-10-01,21.19,22.56,19.75,22.44,14292500
1999-11-01,22.25,23.13,20.87,21.44,13444800
1999-12-01,21.25,21.94,18.75,21.0,16393200
2000-01-01,20.75,20.75,17.38,17.69,14322400
2000-02-01,17.5,20.69,17.12,19.13,15787200
2000-03-01,19.63,23.01,18.31,22.19,15650900
2000-04-01,21.94,27.63,21.19,24.94,13699400
2000-05-01,25.0,27.0,23.0,23.31,11021900
2000-06-01,23.5,25.44,21.5,21.69,12486000
2000-07-01,21.19,23.31,20.63,20.82,9695700
2000-08-01,21.0,24.19,20.75,23.0,11997000
2000-09-01,23.0,24.63,19.87,21.31,12176300
2000-10-01,21.63,23.38,18.87,21.69,11823500
2000-11-01,21.56,23.94,20.63,21.87,9288000
2000-12-01,21.94,26.57,21.0,26.25,12104000
2001-01-01,26.19,27.25,23.62,26.85,13121300
2001-02-01,26.85,27.18,23.52,25.16,10894000
2001-03-01,25.15,26.97,24.0,25.49,11622800
2001-04-01,25.85,26.51,19.73,20.95,27032900
2001-05-01,21.0,22.54,20.74,21.32,10932400
2001-06-01,21.3,23.2,21.0,22.11,12927100
2001-07-01,22.19,23.19,21.0,22.89,7967000
2001-08-01,22.95,23.37,21.99,22.72,7716800
2001-09-01,22.65,23.88,19.95,22.05,9155500
2001-10-01,22.4,25.9,21.27,24.35,11054200
2001-11-01,24.41,28.15,24.23,27.96,14339200
2001-12-01,27.99,28.23,26.28,27.47,13136000
2002-01-01,27.5,28.24,24.95,27.72,9993800
2002-02-01,27.8,27.8,23.5,26.49,18766400
2002-03-01,26.0,29.65,25.72,28.47,17368800
2002-04-01,28.4,31.2,27.65,30.73,13422800
2002-05-01,30.75,33.24,30.2,31.81,10278600
2002-06-01,31.71,31.9,28.85,29.85,10162400
2002-07-01,29.8,30.0,24.3,28.73,16664400
2002-08-01,28.8,30.46,26.2,27.0,16773800
2002-09-01,27.0,27.25,22.7,23.62,18594300
2002-10-01,23.68,28.55,21.75,27.35,22424500
2002-11-01,27.09,29.03,26.99,28.83,13464400
2002-12-01,29.0,29.2,27.05,28.2,8744300
2003-01-01,28.5,29.25,26.19,26.66,8674500
2003-02-01,26.71,27.7,25.6,26.65,9148600
2003-03-01,27.0,28.12,24.42,26.48,11820100
2003-04-01,26.58,28.55,26.16,27.82,10048500
2003-05-01,27.79,28.35,26.4,27.4,11039900
2003-06-01,27.5,28.4,26.66,26.83,14318300
2003-07-01,26.85,30.36,26.47,29.98,12863100
2003-08-01,30.0,30.29,28.66,30.07,7730600
2003-09-01,30.08,30.75,28.65,29.42,8533900
2003-10-01,29.53,33.82,29.39,33.5,10360200
2003-11-01,33.62,33.77,31.5,32.43,9238229
2003-12-01,32.5,34.77,32.4,34.7,10257500
2004-01-01,34.19,35.91,33.22,33.64,14029500
2004-02-01,33.6,36.16,32.95,34.97,11249300
2004-03-01,35.15,38.54,33.84,38.43,19255700
2004-04-01,37.75,39.48,37.1,37.98,14864700
2004-05-01,37.95,39.45,35.55,39.38,12183100
2004-06-01,39.31,41.63,38.66,41.62,13528300
2004-07-01,41.33,41.7,39.48,40.37,14048300
2004-08-01,40.3,41.28,37.95,41.26,10423400
2004-09-01,41.25,44.11,39.77,43.88,17342500
2004-10-01,43.92,44.24,40.36,42.71,14084000
2004-11-01,42.72,45.61,42.04,44.65,9957500
2004-12-01,44.8,45.0,43.21,44.64,10101400
2005-01-01,44.57,45.28,42.25,43.1,10132200
2005-02-01,43.55,46.51,42.87,44.34,13632700
2005-03-01,44.3,46.5,43.46,43.92,14093200
2005-04-01,44.12,46.2,42.35,44.57,18763800
2005-05-01,44.56,45.06,41.38,44.51,17847300
2005-06-01,44.5,47.26,44.49,47.02,16777400
2005-07-01,47.2,48.79,45.34,47.66,15250300
2005-08-01,48.1,48.84,44.82,46.38,10989100
2005-09-01,46.26,47.15,40.92,44.08,21291700
2005-10-01,44.32,44.87,40.47,42.59,24074200
2005-11-01,42.4,44.54,41.65,43.85,14742600
2005-12-01,43.94,46.67,43.25,45.41,12490000
2006-01-01,44.1,53.19,44.1,52.91,29435000
2006-02-01,52.84,54.12,37.4,45.55,81643800
2006-03-01,45.95,50.9,42.84,49.38,39805500
2006-04-01,49.25,53.32,49.1,50.96,15425700
2006-05-01,51.3,52.34,46.18,48.33,17938000
2006-06-01,48.37,49.3,45.13,47.39,17915700
2006-07-01,47.4,50.7,44.08,50.6,19938600
2006-08-01,50.35,52.31,48.88,51.68,21892400
2006-09-01,51.89,57.36,50.5,55.71,25727800
2006-10-01,55.85,60.28,55.16,59.29,21954100
