datetime,open,high,low,close,volume
2006-03-01,23.8,25.96,23.45,25.75,7300700
2006-04-01,25.8,26.2,23.9,24.73,3447900
2006-05-01,24.73,25.8,24.11,25.19,1622500
2006-06-01,25.09,26.73,21.42,24.38,2188700
2006-07-01,24.2,27.46,22.74,25.52,1117800
2006-08-01,25.45,25.63,22.25,22.66,688200
2006-09-01,22.63,25.2,22.12,24.4,1130700
2006-10-01,24.28,25.09,23.24,24.02,1267400
2006-11-01,24.05,25.53,23.45,24.41,1009500
2006-12-01,24.36,27.89,24.32,26.5,854800
2007-01-01,26.6,32.63,25.15,31.9,1326100
2007-02-01,31.78,34.15,31.03,31.88,1053900
2007-03-01,31.65,37.22,30.5,36.35,1312600
2007-04-01,36.4,39.92,36.36,37.85,1167000
2007-05-01,37.87,38.22,34.26,37.01,5890900
2007-06-01,37.15,43.6,37.05,40.35,3862000
2007-07-01,40.6,43.89,39.87,41.2,2329400
2007-08-01,41.31,43.43,34.41,40.56,5558700
2007-09-01,40.63,47.45,38.68,45.78,4134900
2007-10-01,46.05,48.25,41.15,45.45,4899400
2007-11-01,45.91,51.6,42.21,47.54,5900044
2007-12-01,47.0,50.23,43.32,45.07,6349030
2008-01-01,45.15,46.51,37.33,41.22,8100514
2008-02-01,41.38,45.18,38.02,38.95,9133363
2008-03-01,38.74,39.79,34.73,37.0,5526508
2008-04-01,37.2,39.97,33.74,37.89,5457334
2008-05-01,37.97,43.87,37.17,43.55,10260616
2008-06-01,43.0,44.54,33.56,33.64,17942610
2008-07-01,33.39,38.0,31.15,36.75,14168527
2008-08-01,36.85,40.0,34.8,37.47,8366604
2008-09-01,37.72,42.01,32.26,34.31,10949280
2008-10-01,33.98,34.41,25.59,30.08,12050318
2008-11-01,30.05,35.6,23.0,35.5,8862585
2008-12-01,35.51,35.51,28.99,33.5,9578023
2009-01-01,33.62,35.5,30.76,34.16,6997295
2009-02-01,33.9,40.56,33.75,35.25,13284148
2009-03-01,34.86,35.57,29.7,32.81,12927239
2009-04-01,32.37,37.04,31.49,35.08,12992807
2009-05-01,35.22,39.46,34.98,39.13,9666121
2009-06-01,39.51,40.63,33.67,36.15,11795717
2009-07-01,36.4,38.68,35.15,38.29,7836826
2009-08-01,38.35,45.64,38.11,44.52,11089089
2009-09-01,44.46,50.93,41.96,49.84,8476151
2009-10-01,49.93,50.94,38.92,39.21,12977164
2009-11-01,39.43,43.72,39.02,43.37,7537686
2009-12-01,43.64,48.39,43.58,47.52,6412412
2010-01-01,48.16,51.89,48.0,48.32,5732330
2010-02-01,48.5,50.26,46.54,50.13,4463088
2010-03-01,50.81,54.48,50.66,52.96,5328460
2010-04-01,53.25,57.14,52.25,55.29,5426239
2010-05-01,55.39,57.31,48.74,52.75,9535706
2010-06-01,49.18,54.27,48.68,51.03,8428457
2010-07-01,51.03,54.7,49.22,54.16,6774496
2010-08-01,55.0,58.92,54.55,57.86,10487161
2010-09-01,58.74,64.67,58.3,62.01,7143725
2010-10-01,62.01,66.39,60.89,66.29,4383239
2010-11-01,66.71,69.25,64.96,68.45,4859847
2010-12-01,68.67,72.93,67.13,72.02,5267407
2011-01-01,72.46,78.36,72.46,77.44,5326896
2011-02-01,77.88,85.38,77.36,80.35,5292715
2011-03-01,81.0,83.86,77.24,83.77,4420594
2011-04-01,83.99,85.26,76.82,83.26,3861377
2011-05-01,83.88,84.87,79.32,82.0,5046944
2011-06-01,81.89,91.31,79.2,91.15,7068781
2011-07-01,91.2,95.04,88.71,90.05,4053246
2011-08-01,90.81,91.97,73.76,91.77,12677452
2011-09-01,92.45,93.29,79.65,81.67,8310847
2011-10-01,80.86,94.99,74.3,93.84,8313303
2011-11-01,90.5,102.73,89.34,96.39,8123563
2011-12-01,96.07,98.91,92.0,95.66,4559752
2012-01-01,98.89,105.11,91.97,104.54,6699600
2012-02-01,105.26,121.48,105.25,118.78,8616719
2012-03-01,119.02,119.66,110.6,115.82,8664134
2012-04-01,116.04,128.29,111.56,126.11,8229878
2012-05-01,126.5,132.69,118.43,123.05,12303267
2012-06-01,121.34,134.43,120.29,134.25,9731907
2012-07-01,134.93,136.34,117.77,123.37,7849538
2012-08-01,124.08,143.15,118.96,138.65,8366291
2012-09-01,139.02,146.72,136.4,141.88,7431521
2012-10-01,141.9,152.62,126.29,133.22,10965022
2012-11-01,132.67,140.49,116.61,136.02,10440956
2012-12-01,136.42,136.82,124.79,136.35,12885879
2013-01-01,138.8,141.28,133.0,135.45,9757495
2013-02-01,136.95,146.45,134.46,142.35,8671194
2013-03-01,141.71,153.12,140.54,152.92,4748540
2013-04-01,153.19,155.17,142.93,146.8,4904756
2013-05-01,146.73,155.97,145.13,146.24,6636176
2013-06-01,146.42,164.62,142.92,157.02,13074000
2013-07-01,156.57,164.4,137.14,144.6,11150028
2013-08-01,145.7,150.05,135.83,137.03,6327569
2013-09-01,137.83,146.08,134.48,138.71,7668377
2013-10-01,138.31,148.6,136.86,145.39,11858010
2013-11-01,145.41,159.2,143.19,156.52,8118932
2013-12-01,156.84,162.95,153.1,161.02,5646694
2014-01-01,160.6,176.26,158.87,167.4,6624818
2014-02-01,167.55,180.83,164.82,178.1,6818988
2014-03-01,177.69,187.64,176.6,185.42,10293110
2014-04-01,185.95,187.59,172.11,177.87,5040841
2014-05-01,177.6,188.84,175.05,188.71,7780313
2014-06-01,189.08,198.3,162.2,167.26,8602159
2014-07-01,167.2,175.06,164.74,167.82,5626059
2014-08-01,167.65,189.98,167.65,187.97,6855673
2014-09-01,188.0,192.25,181.7,184.33,4646476
2014-10-01,183.99,188.5,166.61,186.94,6469560
2014-11-01,187.12,199.68,184.6,197.79,5650707
2014-12-01,196.67,201.04,190.06,196.31,5277218
2015-01-01,196.76,209.04,194.3,205.55,6694120
2015-02-01,206.4,226.21,203.01,216.95,6019411
2015-03-01,217.46,220.64,212.2,218.82,4542574
2015-04-01,217.46,224.0,211.33,212.02,3593913
2015-05-01,214.5,230.37,212.47,226.22,5421429
2015-06-01,227.0,232.18,224.11,224.62,3296369
2015-07-01,225.81,234.91,214.81,226.55,8161624
2015-08-01,226.82,244.9,214.74,229.83,6746681
2015-09-01,225.67,234.97,208.35,212.29,5725193
2015-10-01,211.62,224.02,210.22,219.85,6226946
2015-11-01,219.67,237.94,218.67,234.48,6800716
