datetime,open,high,low,close,volume
1998-01-01,43.94,44.25,37.93,39.0,7663503
1998-02-01,39.75,41.5,38.44,41.06,6750906
1998-03-01,40.75,40.94,36.63,40.25,11184203
1998-04-01,40.13,42.88,37.75,39.94,14520801
1998-05-01,40.06,41.0,34.12,35.07,11194104
1998-06-01,34.75,35.13,30.75,34.38,18341208
1998-07-01,34.19,36.01,22.25,23.0,30256343
1998-08-01,23.0,23.76,16.0,16.25,17669512
1998-09-01,16.5,18.06,14.19,15.06,18089308
1998-10-01,14.94,20.06,13.56,19.94,16141812
1998-11-01,19.75,20.06,16.5,16.94,12422100
1998-12-01,16.88,17.69,15.12,17.0,18125800
1999-01-01,17.19,18.19,16.0,16.5,12021900
1999-02-01,16.75,16.81,13.44,13.75,11649400
1999-03-01,13.69,14.94,13.5,13.56,14484800
1999-04-01,13.56,16.44,12.5,16.06,16911200
1999-05-01,16.19,20.0,16.0,19.06,16408600
1999-06-01,19.0,20.25,18.0,20.06,9102600
1999-07-01,20.06,20.26,17.06,17.25,7055600
1999-08-01,17.06,17.19,15.44,15.75,9530600
1999-09-01,15.75,16.19,13.13,13.5,10116800
1999-10-01,13.44,14.01,12.75,13.56,5870300
1999-11-01,13.63,15.06,13.38,15.0,7706800
1999-12-01,14.94,16.13,13.68,15.0,12772800
2000-01-01,15.0,17.81,14.0,17.25,13413900
2000-02-01,17.75,17.88,15.25,15.56,10145000
2000-03-01,15.44,26.88,15.31,20.25,31915700
2000-04-01,20.13,21.44,17.75,19.44,10602400
2000-05-01,19.25,20.25,17.81,18.56,9935700
2000-06-01,18.5,22.44,18.0,21.13,9061100
2000-07-01,21.13,24.38,19.75,20.5,15116900
2000-08-01,20.5,23.69,19.93,23.31,16900700
2000-09-01,23.44,27.25,22.75,26.0,16568000
2000-10-01,26.0,29.25,23.63,29.19,21341500
2000-11-01,29.0,29.94,27.25,28.94,18755700
2000-12-01,28.81,31.24,27.99,29.64,17093000
