datetime,open,high,low,close,volume
1998-01-01,25.63,25.63,22.19,24.75,724600
1998-02-01,24.75,26.06,23.87,25.25,419600
1998-03-01,25.25,29.82,24.69,29.5,570200
1998-04-01,29.81,29.81,27.5,28.06,499400
1998-05-01,28.19,28.31,26.13,27.75,439400
1998-06-01,27.5,27.5,24.0,26.0,367200
1998-07-01,25.88,26.75,22.0,22.13,493600
1998-08-01,22.0,22.38,19.0,20.25,842200
1998-09-01,20.0,21.0,17.13,19.75,473300
1998-10-01,19.88,23.13,19.25,21.44,617800
1998-11-01,21.38,23.31,20.75,21.81,544500
1998-12-01,22.13,24.82,19.88,24.38,460500
1999-01-01,23.56,23.63,17.81,18.13,865200
1999-02-01,19.06,20.25,17.75,20.13,340800
1999-03-01,19.81,21.38,19.63,20.69,537000
1999-04-01,20.88,23.13,20.19,22.5,526200
1999-05-01,22.06,23.06,20.0,22.75,475800
1999-06-01,23.19,25.69,22.19,25.56,1501600
1999-07-01,25.44,25.75,21.44,23.19,677200
1999-08-01,23.75,24.5,17.81,20.19,1463500
1999-09-01,20.19,20.75,18.0,18.19,954900
1999-10-01,18.19,18.75,16.25,18.56,1999800
1999-11-01,18.5,19.44,16.69,18.38,1083100
1999-12-01,17.94,18.38,16.19,17.75,2475100
2000-01-01,17.56,17.56,11.06,11.13,3341700
2000-02-01,11.25,13.07,9.0,9.5,3073300
2000-03-01,9.63,12.0,8.44,10.75,4069500
2000-04-01,10.56,12.19,10.13,11.06,2006500
2000-05-01,11.19,12.76,10.94,11.25,1199400
2000-06-01,11.38,11.63,9.25,9.94,1444200
2000-07-01,10.25,10.94,9.56,10.06,1141400
2000-08-01,10.13,11.13,9.88,10.44,1594100
2000-09-01,10.38,11.0,9.25,10.13,1199800
2000-10-01,9.88,10.31,7.8100000000000005,10.0,1988700
2000-11-01,10.0,10.75,8.81,9.0,1264700
2000-12-01,8.81,12.81,8.81,11.5,2003000
2001-01-01,11.63,13.63,10.75,13.5,1171100
2001-02-01,13.75,14.2,12.9,14.0,1649300
2001-03-01,14.05,14.5,11.25,12.75,1051400
2001-04-01,12.6,13.98,12.0,13.37,1269400
2001-05-01,13.44,14.2,12.8,13.15,1364000
2001-06-01,13.15,14.99,13.0,14.99,1659200
2001-07-01,14.9,15.24,13.6,14.8,1383600
2001-08-01,14.6,14.6,13.0,13.53,1528600
2001-09-01,13.85,13.88,10.9,10.93,1282100
2001-10-01,10.9,12.5,10.8,12.25,1892900
2001-11-01,12.2,13.25,11.95,12.39,1387700
2001-12-01,12.05,13.2,11.8,12.33,2158900
2002-01-01,12.31,13.29,11.85,13.23,2978753
2002-02-01,13.84,14.7,12.59,14.06,1702443
2002-03-01,14.13,15.48,14.1,14.94,2693500
2002-04-01,14.95,15.99,14.3,15.02,2218900
2002-05-01,15.04,15.25,13.5,13.92,1563300
2002-06-01,13.7,15.0,12.5,13.77,2222300
2002-07-01,14.15,14.15,11.8,12.52,2489200
2002-08-01,12.52,14.1,12.0,12.85,1587800
2002-09-01,12.86,14.09,12.4,14.0,1949500
2002-10-01,14.05,14.29,12.85,14.2,1649200
2002-11-01,13.75,14.73,13.65,14.31,940200
2002-12-01,14.32,14.59,13.1,13.92,1278300
2003-01-01,14.0,14.28,11.53,11.97,1380600
2003-02-01,12.1,12.38,10.43,10.9,2181200
2003-03-01,10.98,11.79,10.16,11.6,2412400
2003-04-01,11.6,12.49,11.15,12.26,2070100
2003-05-01,12.36,13.68,12.19,13.67,1430200
2003-06-01,13.61,14.97,13.12,13.9,1516200
2003-07-01,14.01,15.4,13.3,14.75,1887600
2003-08-01,14.66,16.07,13.75,15.65,2925000
2003-09-01,15.7,16.83,15.06,15.9,2797700
2003-10-01,16.0,18.44,14.92,15.27,5245700
2003-11-01,15.25,15.99,14.44,15.65,8057210
2003-12-01,15.8,17.65,15.71,17.04,4268300
2004-01-01,17.1,17.44,15.85,16.3,2416400
2004-02-01,16.27,16.9,15.24,15.85,2881000
2004-03-01,15.78,16.4,13.72,14.24,3366100
2004-04-01,14.39,16.4,13.61,16.29,5955100
2004-05-01,16.3,17.0,15.56,16.5,3978700
2004-06-01,16.5,18.4,16.3,18.03,4496600
2004-07-01,18.04,18.88,17.25,18.14,3895900
2004-08-01,18.1,18.3,16.69,17.13,2669700
2004-09-01,17.02,18.91,16.55,18.74,4170300
2004-10-01,18.59,20.49,18.32,20.24,4205800
2004-11-01,20.48,22.7,20.01,20.66,5058300
2004-12-01,20.35,21.6,18.95,21.32,5111800
2005-01-01,21.25,21.53,18.0,18.63,3917800
2005-02-01,18.6,18.92,16.53,18.37,5875400
2005-03-01,18.35,21.5,18.19,20.47,7722300
2005-04-01,20.59,21.69,19.0,20.0,6031800
2005-05-01,20.1,20.95,18.57,20.68,4469200
2005-06-01,20.7,22.39,19.81,21.41,7097400
2005-07-01,21.3,24.57,20.76,24.4,6244600
2005-08-01,24.5,26.37,23.94,26.0,6703500
2005-09-01,26.0,27.65,25.5,27.27,4332900
2005-10-01,27.05,28.2,24.92,27.16,6750200
2005-11-01,27.25,28.98,25.05,25.73,9990800
2005-12-01,25.93,27.87,25.4,26.9,5753700
2006-01-01,26.95,31.95,26.06,31.6,8597000
2006-02-01,31.46,34.11,29.99,33.06,8517000
2006-03-01,33.1,33.69,29.12,32.57,8917600
2006-04-01,32.8,40.08,32.5,36.47,9057700
2006-05-01,36.75,40.06,32.68,34.97,9393900
2006-06-01,35.22,37.3,30.53,37.28,10880600
2006-07-01,37.33,37.5,24.75,26.5,17057500
2006-08-01,26.54,28.31,25.12,28.2,9957700
2006-09-01,28.25,28.61,25.77,27.14,8841500
2006-10-01,27.18,33.2,26.72,31.39,9636300
2006-11-01,31.38,32.98,29.57,32.82,7276400
2006-12-01,32.7,33.88,30.19,30.35,6229200
2007-01-01,30.48,32.71,28.43,31.94,6596500
2007-02-01,32.05,35.0,30.92,32.14,5344574
2007-03-01,31.82,35.0,30.78,34.41,8318500
2007-04-01,34.6,39.38,33.46,37.08,8300420
2007-05-01,37.36,40.02,36.58,39.14,8976800
