datetime,open,high,low,close,volume
1998-01-01,28.38,29.69,26.25,28.56,22173431
1998-02-01,28.63,34.88,28.25,32.63,24194031
1998-03-01,32.69,34.13,30.5,31.88,26318632
1998-04-01,32.0,35.69,30.31,31.75,33470129
1998-05-01,31.88,33.13,30.62,32.5,19539212
1998-06-01,32.0,34.38,28.81,33.81,23250116
1998-07-01,33.63,36.94,31.81,32.06,23564833
1998-08-01,32.56,32.76,22.75,23.0,23154926
1998-09-01,23.0,31.0,20.5,28.19,26914124
1998-10-01,28.25,29.44,24.87,27.38,31806331
1998-11-01,27.25,30.75,25.25,28.88,25335500
1998-12-01,28.69,31.88,26.31,31.19,23287200
1999-01-01,31.0,33.5,28.75,32.88,32276800
1999-02-01,32.94,37.13,32.12,37.0,33076400
1999-03-01,37.0,41.0,33.37,39.38,34893100
1999-04-01,39.69,49.37,38.81,47.13,37713000
1999-05-01,47.0,52.75,44.81,51.81,37093900
1999-06-01,52.0,53.76,42.25,42.62,34302600
1999-07-01,42.63,46.38,38.62,42.07,29867300
1999-08-01,42.06,45.31,38.56,41.31,24640400
1999-09-01,41.63,43.0,34.19,37.38,26890000
1999-10-01,37.44,39.88,33.12,37.56,36648400
1999-11-01,37.56,38.07,32.25,33.75,30112300
1999-12-01,33.5,34.75,28.0,30.56,40210600
2000-01-01,31.0,41.0,29.5,38.81,44805700
2000-02-01,38.81,45.19,37.38,41.88,40382800
2000-03-01,42.25,49.75,41.0,44.0,46879300
2000-04-01,44.0,44.26,34.25,37.25,27959100
2000-05-01,37.81,41.81,34.5,41.5,35389900
2000-06-01,42.0,45.13,36.31,41.31,41234400
2000-07-01,41.69,44.82,39.75,41.63,23409000
2000-08-01,42.0,48.13,42.0,46.06,31777300
2000-09-01,47.0,48.0,39.62,42.19,25714200
2000-10-01,42.88,44.56,38.0,41.75,30122900
2000-11-01,41.81,44.44,30.37,35.25,29497400
2000-12-01,35.25,40.94,30.25,39.88,33668700
2001-01-01,39.81,40.31,32.63,39.03,54684100
2001-02-01,39.13,45.72,38.11,41.55,41264600
2001-03-01,42.45,46.44,36.5,42.85,43455100
2001-04-01,43.75,44.17,38.99,42.15,42232100
2001-05-01,42.7,43.54,37.81,39.4,53646100
2001-06-01,38.6,39.45,31.9,33.0,56822400
2001-07-01,33.7,34.11,30.0,33.51,39423800
2001-08-01,33.5,34.41,30.9,32.5,34983600
2001-09-01,32.27,33.39,24.74,27.5,27887400
2001-10-01,27.3,30.74,25.75,28.81,48880100
2001-11-01,28.65,30.4,24.1,26.8,53586800
2001-12-01,26.25,28.35,20.8,25.56,127111200
2002-01-01,26.08,26.35,14.87,17.68,127698700
2002-02-01,17.68,19.75,14.05,15.49,111450200
2002-03-01,15.25,24.5,15.2,23.6,70338300
2002-04-01,23.6,24.41,18.53,19.11,54722000
2002-05-01,19.55,19.92,13.7,14.2,107291300
2002-06-01,13.25,13.25,5.3,5.95,188511300
2002-07-01,6.2,6.73,0.78,2.87,357980800
2002-08-01,3.99,4.3,2.25,3.21,170311100
2002-09-01,3.03,3.5,1.6800000000000002,2.24,81417700
2002-10-01,2.2800000000000002,2.38,1.3,1.8399999999999999,82676400
2002-11-01,1.9,3.1,1.8,2.69,121898400
2002-12-01,2.8,2.95,2.15,2.67,72814400
2003-01-01,2.77,4.16,2.62,3.25,127267900
2003-02-01,3.22,3.96,2.51,3.81,94852500
2003-03-01,3.85,4.84,3.59,4.57,88619000
2003-04-01,4.63,7.34,4.63,6.9399999999999995,127550100
2003-05-01,6.97,8.31,6.4,7.91,132971700
2003-06-01,8.35,9.04,7.4,7.9,81826300
2003-07-01,7.73,7.93,6.3,6.33,71331800
2003-08-01,6.35,9.15,6.05,9.15,80575600
2003-09-01,9.13,9.57,8.49,9.44,66565500
2003-10-01,9.5,10.73,9.42,10.19,71129900
2003-11-01,10.25,10.45,8.79,9.38,48952443
2003-12-01,9.45,10.08,9.42,9.78,41785400
2004-01-01,9.82,11.47,9.75,10.14,80496600
2004-02-01,10.1,10.5,8.49,9.43,90780900
2004-03-01,9.47,10.08,8.86,9.56,63247800
2004-04-01,9.6,10.6,9.56,10.29,60628500
2004-05-01,10.24,11.99,10.13,11.94,82476900
2004-06-01,11.9,12.36,11.5,11.9,61064500
