datetime,open,high,low,close,volume
1998-01-01,29.69,30.56,28.94,30.56,337600
1998-02-01,30.63,31.81,30.5,31.63,203000
1998-03-01,31.69,32.25,29.88,30.25,396100
1998-04-01,30.13,33.13,30.13,30.88,533900
1998-05-01,30.88,31.88,28.63,29.31,470300
1998-06-01,29.5,30.44,28.13,28.44,599900
1998-07-01,28.44,30.38,27.69,27.88,331300
1998-08-01,27.81,28.94,26.0,26.06,379300
1998-09-01,26.25,29.38,25.75,28.75,537500
1998-10-01,28.75,30.25,27.75,29.63,778700
1998-11-01,29.69,31.5,29.69,30.25,146100
1998-12-01,30.38,35.69,29.78,35.69,304800
1999-01-01,35.44,35.5,34.44,35.0,404400
1999-02-01,35.13,36.69,33.13,33.19,255700
1999-03-01,33.19,34.63,31.81,31.81,253900
1999-04-01,31.81,33.38,31.81,33.06,285700
1999-05-01,33.06,34.38,32.69,34.25,190800
1999-06-01,34.25,39.38,34.0,39.13,251000
1999-07-01,39.25,40.44,38.06,39.5,167500
1999-08-01,39.44,39.81,37.62,37.75,132100
1999-09-01,37.63,39.31,37.63,37.94,171700
1999-10-01,37.88,38.25,32.68,34.75,545300
1999-11-01,34.63,35.38,33.06,34.94,284400
1999-12-01,34.94,35.0,30.88,30.94,147700
2000-01-01,30.88,31.69,30.0,30.94,732700
2000-02-01,31.0,31.88,23.0,28.88,867800
2000-03-01,29.44,30.51,25.13,25.81,477800
2000-04-01,25.44,25.5,22.88,24.38,545200
2000-05-01,24.38,24.44,22.56,23.63,562500
2000-06-01,23.5,23.94,19.63,21.13,705300
2000-07-01,21.5,21.56,19.63,20.63,416800
2000-08-01,20.5,21.51,19.62,20.81,667400
2000-09-01,20.81,23.88,20.63,23.25,309000
2000-10-01,23.31,23.69,21.25,22.0,279000
2000-11-01,22.0,23.5,20.69,23.0,333300
2000-12-01,22.63,25.0,22.5,24.69,257900
2001-01-01,24.63,25.69,23.62,24.1,305600
2001-02-01,24.13,26.1,24.0,24.94,259800
2001-03-01,25.05,26.15,22.75,23.3,287500
2001-04-01,23.35,27.6,22.8,27.5,370400
2001-05-01,27.55,27.55,25.85,26.91,390600
2001-06-01,26.96,27.37,26.0,27.0,280200
2001-07-01,27.0,28.35,24.83,26.76,401700
2001-08-01,26.8,27.1,25.8,25.8,207100
2001-09-01,25.7,25.91,23.12,24.2,205800
2001-10-01,24.55,25.95,23.3,24.4,1409200
2001-11-01,24.38,28.3,24.15,27.5,400200
2001-12-01,27.2,27.5,26.45,26.5,315900
2002-01-01,26.59,27.27,25.3,25.65,301300
2002-02-01,25.55,29.2,25.0,28.91,615100
2002-03-01,28.85,30.53,28.4,30.25,504200
2002-04-01,30.25,30.27,27.9,27.91,471600
2002-05-01,27.99,29.6,27.9,28.67,371300
2002-06-01,28.55,32.5,28.23,32.06,471000
2002-07-01,31.99,31.99,24.75,26.15,430600
2002-08-01,26.2,26.31,23.75,23.95,976300
2002-09-01,23.94,24.1,21.08,21.41,669000
2002-10-01,21.42,21.45,16.25,19.2,819700
2002-11-01,19.18,21.55,18.9,20.7,291600
2002-12-01,20.5,24.8,20.49,24.41,279200
2003-01-01,24.33,24.87,18.35,18.97,326100
2003-02-01,18.92,19.51,16.65,19.2,313400
2003-03-01,19.2,21.49,18.92,19.71,322100
2003-04-01,19.9,23.96,19.9,23.94,397600
2003-05-01,23.8,26.11,23.6,25.15,256900
2003-06-01,25.15,25.15,22.7,24.07,320300
2003-07-01,24.41,26.26,23.21,26.23,387100
2003-08-01,26.25,28.7,25.55,28.1,298200
2003-09-01,28.9,34.75,28.88,31.3,512800
2003-10-01,31.36,33.5,30.9,33.13,615200
2003-11-01,33.2,35.1,32.33,34.0,515550
2003-12-01,34.0,35.8,33.2,33.81,525700
2004-01-01,34.1,36.95,32.75,35.6,624300
2004-02-01,35.7,37.45,35.46,36.77,567500
2004-03-01,36.1,38.0,34.35,37.36,824000
2004-04-01,37.3,39.4,37.3,38.75,972400
2004-05-01,38.75,38.9,36.8,38.12,474300
2004-06-01,37.95,43.29,37.19,42.25,770100
2004-07-01,42.5,43.33,36.89,38.09,721300
2004-08-01,37.84,39.99,36.6,39.99,608700
2004-09-01,39.85,41.0,20.06,20.74,666100
2004-10-01,20.8,23.43,20.36,22.91,1916900
2004-11-01,22.94,23.95,22.61,23.38,1085400
2004-12-01,23.25,25.49,22.02,25.09,2444200
2005-01-01,25.0,26.42,24.96,26.01,3029500
2005-02-01,26.2,27.08,25.0,25.71,1993500
2005-03-01,25.65,26.15,23.25,23.73,1512100
2005-04-01,23.9,27.2,22.9,26.34,2098300
2005-05-01,26.53,28.89,26.44,27.82,2189400
2005-06-01,27.76,28.85,26.7,28.05,2628900
2005-07-01,28.15,29.25,25.75,27.51,2222100
2005-08-01,27.55,28.45,25.72,28.35,2022500
2005-09-01,28.3,29.99,27.49,29.62,2450300
2005-10-01,29.59,29.69,18.58,23.83,4155600
2005-11-01,23.8,26.42,23.41,24.88,2693800
2005-12-01,25.1,25.74,24.05,25.07,2062300
2006-01-01,25.15,31.1,24.83,30.51,4730500
2006-02-01,30.47,33.44,28.45,32.2,2315700
2006-03-01,32.26,34.71,30.63,34.62,2860200
2006-04-01,34.58,35.91,33.0,35.61,4012900
2006-05-01,36.7,37.97,33.03,33.87,3574700
2006-06-01,34.02,37.17,32.75,36.37,4583100
2006-07-01,36.05,39.98,31.43,38.76,5048600
2006-08-01,38.84,40.3,35.54,39.8,4437100
2006-09-01,40.2,42.66,37.65,39.28,6314500
2006-10-01,39.15,43.48,38.0,42.0,4564400
2006-11-01,41.9,51.45,40.77,49.0,6038300
2006-12-01,49.1,52.77,47.61,51.25,4033400
2007-01-01,51.22,52.25,45.5,48.48,4268100
2007-02-01,48.57,49.52,44.54,45.15,3062000
2007-03-01,44.06,46.71,41.31,46.39,8580064
2007-04-01,46.5,54.83,45.23,49.7,4880325
2007-05-01,49.77,52.33,47.67,50.76,4507300
2007-06-01,51.0,51.99,46.96,47.11,4594000
2007-07-01,47.47,51.98,45.76,46.21,4639900
2007-08-01,46.03,46.89,38.0,39.97,11576642
2007-09-01,39.64,44.0,37.87,41.59,6012000
2007-10-01,41.73,42.54,38.5,41.2,8765600
2007-11-01,40.05,43.85,36.5,37.51,7408465
2007-12-01,37.51,40.82,35.2,40.5,4786085
2008-01-01,40.46,42.38,37.51,38.94,6440629
2008-02-01,39.26,44.38,36.96,41.36,8154807
2008-03-01,41.4,45.47,38.48,44.16,6537418
2008-04-01,44.64,47.87,43.76,46.91,5425631
2008-05-01,48.0,48.92,44.51,47.22,3675415
2008-06-01,47.17,48.46,43.04,43.2,4784725
2008-07-01,42.82,46.84,42.26,45.86,5374051
2008-08-01,45.95,51.52,45.37,48.72,5407755
2008-09-01,49.04,52.0,47.24,48.84,5862557
2008-10-01,48.25,49.6,35.24,39.91,7168919
2008-11-01,39.84,41.46,29.52,35.5,5053506
2008-12-01,34.77,39.31,32.85,37.67,5246543
2009-01-01,37.82,38.5,31.43,33.2,4513553
2009-02-01,32.88,35.36,28.08,30.74,6105841
2009-03-01,30.14,34.69,27.85,32.76,4771242
2009-04-01,32.33,34.94,31.46,32.55,4788819
2009-05-01,32.67,34.11,31.28,32.25,4756785
2009-06-01,32.72,35.19,32.57,34.85,3409552
2009-07-01,35.01,36.97,31.65,36.51,3190582
2009-08-01,36.92,41.22,36.34,40.17,4983146
2009-09-01,40.05,41.21,39.67,40.56,3088876
2009-10-01,40.33,41.77,39.07,39.46,3037245
2009-11-01,39.68,40.82,36.65,38.56,3662818
2009-12-01,38.88,40.47,38.2,39.24,2867520
2010-01-01,39.56,39.72,35.74,36.31,2002225
2010-02-01,36.39,39.5,35.07,38.91,2445572
2010-03-01,39.19,43.29,39.08,41.98,2544219
2010-04-01,42.21,44.84,41.0,41.85,3949340
2010-05-01,42.13,43.01,38.1,39.35,4238243
2010-06-01,38.99,40.06,36.16,36.51,3805741
2010-07-01,36.42,37.05,34.49,36.34,3689939
2010-08-01,36.72,37.03,32.75,33.62,3155360
2010-09-01,34.1,35.33,32.74,34.24,3552470
2010-10-01,34.59,36.57,33.35,35.7,2903302
2010-11-01,35.88,39.36,35.55,37.9,2506107
2010-12-01,38.36,42.6,38.29,41.21,2005755
2011-01-01,41.63,42.28,38.76,40.02,1929170
2011-02-01,40.32,42.12,39.61,41.08,1942940
2011-03-01,41.13,44.9,40.11,44.78,2390864
