datetime,open,high,low,close,volume
1998-01-01,30.5,30.75,26.25,29.88,3496700
1998-02-01,29.75,31.88,28.81,31.0,2722603
1998-03-01,31.5,35.13,31.0,31.19,5578300
1998-04-01,31.5,33.26,30.5,32.75,3974500
1998-05-01,32.88,34.75,32.37,33.56,2332500
1998-06-01,33.63,34.25,23.25,25.0,18121828
1998-07-01,25.0,26.75,23.25,25.63,8054602
1998-08-01,25.63,26.19,21.25,21.38,5553300
1998-09-01,21.5,23.63,21.37,22.38,6300600
1998-10-01,21.88,26.13,20.0,25.75,8603700
1998-11-01,25.63,28.0,25.13,26.94,4526800
1998-12-01,26.81,27.13,24.25,25.75,4155600
1999-01-01,26.0,27.13,23.5,27.13,5233300
1999-02-01,27.38,27.51,25.06,25.63,4240700
1999-03-01,25.25,26.38,21.44,23.19,4807600
1999-04-01,23.19,26.88,21.31,26.19,7403800
1999-05-01,26.5,28.75,26.0,26.88,3694400
1999-06-01,27.06,29.13,25.0,28.88,6154600
1999-07-01,28.25,29.32,26.53,27.13,6407100
1999-08-01,27.0,27.13,23.06,24.76,5258000
1999-09-01,24.81,25.37,20.5,22.69,6565500
1999-10-01,22.38,23.25,20.94,23.13,6605100
1999-11-01,23.25,24.63,22.62,23.94,4922300
1999-12-01,23.88,24.76,22.63,23.63,5607700
2000-01-01,23.88,25.09,23.13,24.94,5835700
2000-02-01,24.75,26.63,24.25,25.63,7057900
2000-03-01,25.69,28.87,24.0,28.81,7111200
2000-04-01,28.09,37.0,25.12,29.06,3705592
2000-05-01,29.13,32.63,28.19,30.69,4780100
2000-06-01,31.13,32.38,28.75,30.75,5598200
2000-07-01,30.5,34.38,29.5,33.81,5293200
2000-08-01,33.69,37.38,31.63,33.37,8180600
2000-09-01,33.75,37.0,33.19,34.94,4643400
2000-10-01,34.81,36.38,30.94,34.69,4562100
2000-11-01,34.38,36.69,33.13,36.19,4551500
2000-12-01,36.25,43.38,35.13,39.13,6235100
2001-01-01,39.38,40.0,32.5,34.56,5904300
2001-02-01,34.38,39.0,34.37,37.63,3286200
