datetime,open,high,low,close,volume
2016-07-18 19:30:00,385.33,385.4,385.0,385.19,1400
2016-07-18 19:40:00,385.23,385.23,384.6,384.71,3279
2016-07-18 19:50:00,384.55,384.57,383.22,383.28,3994
2016-07-18 20:00:00,383.31,384.01,383.31,383.77,4600
2016-07-18 20:10:00,383.77,383.77,383.26,383.26,1802
2016-07-18 20:20:00,383.04,383.04,382.38,382.5,830
2016-07-18 20:30:00,382.61,383.43,382.5,383.43,2696
2016-07-18 20:40:00,383.32,383.35,382.89,382.89,2048
2016-07-18 20:50:00,383.03,383.37,383.0,383.37,800
2016-07-18 21:00:00,382.61,383.75,382.61,383.69,600
2016-07-18 21:10:00,383.48,384.5,383.48,384.28,4746
2016-07-18 21:20:00,383.92,384.48,383.87,384.43,3283
2016-07-18 21:30:00,384.4,385.0,384.16,384.71,4449
2016-07-18 21:40:00,384.69,385.62,384.69,385.15,5590
2016-07-18 21:50:00,385.5,385.51,384.49,384.81,4300
2016-07-18 22:00:00,384.75,384.75,384.27,384.42,1476
2016-07-18 22:10:00,384.96,385.15,384.73,385.15,482
2016-07-18 22:20:00,384.95,385.17,384.95,385.17,200
2016-07-18 22:30:00,384.95,385.33,384.73,384.73,1300
2016-07-18 22:40:00,384.53,384.97,384.53,384.58,1911
2016-07-18 22:50:00,384.52,385.23,384.42,384.48,4180
2016-07-19 16:30:00,382.96,382.96,381.35,382.95,1259
2016-07-19 16:40:00,384.98,384.98,381.49,381.49,400
2016-07-19 16:50:00,384.89,385.08,383.38,383.58,2258
2016-07-19 17:00:00,383.89,383.94,382.02,383.29,3770
2016-07-19 17:10:00,383.57,384.39,383.57,384.12,1700
2016-07-19 17:20:00,383.75,383.98,383.75,383.98,400
2016-07-19 17:30:00,383.79,383.8,383.44,383.79,1062
2016-07-19 17:40:00,383.48,383.96,383.14,383.14,1455
2016-07-19 17:50:00,383.24,383.56,383.03,383.03,1936
2016-07-19 18:00:00,383.2,384.65,383.2,384.21,4779
2016-07-19 18:10:00,383.93,384.61,383.84,384.11,1027
2016-07-19 18:20:00,384.29,384.29,383.49,384.0,500
2016-07-19 18:30:00,383.57,384.21,383.57,384.2,300
2016-07-19 18:40:00,383.85,383.85,383.45,383.64,500
2016-07-19 18:50:00,383.53,383.53,382.79,382.79,400
2016-07-19 19:00:00,383.3,383.49,383.3,383.49,300
2016-07-19 19:10:00,383.3,383.3,383.3,383.3,200
2016-07-19 19:20:00,383.54,383.54,383.12,383.12,300
2016-07-19 19:30:00,382.83,382.83,382.83,382.83,100
2016-07-19 19:40:00,383.37,383.5,383.16,383.2,963
2016-07-19 19:50:00,383.52,383.52,383.48,383.48,300
2016-07-19 20:00:00,383.44,383.5,383.44,383.5,524
2016-07-19 20:10:00,383.54,383.56,382.78,383.16,1000
2016-07-19 20:20:00,382.73,382.73,382.73,382.73,100
2016-07-19 20:30:00,382.99,383.12,382.18,382.78,655
2016-07-19 20:40:00,382.94,383.11,382.76,383.07,1000
2016-07-19 20:50:00,383.0,383.13,382.75,383.02,3900
2016-07-19 21:00:00,383.09,383.58,383.01,383.5,1400
2016-07-19 21:10:00,383.5,384.03,383.49,383.57,3772
2016-07-19 21:20:00,383.6,383.75,383.45,383.74,1652
2016-07-19 21:30:00,383.68,383.76,383.52,383.75,2331
2016-07-19 21:40:00,383.77,383.82,383.53,383.53,2100
2016-07-19 21:50:00,383.78,384.02,383.66,383.78,1187
2016-07-19 22:00:00,384.52,384.59,384.3,384.59,300
2016-07-19 22:10:00,384.41,384.75,384.3,384.3,1720
2016-07-19 22:20:00,384.44,384.87,384.35,384.6,1430
2016-07-19 22:30:00,384.49,384.5,383.84,383.94,5214
2016-07-19 22:40:00,383.96,384.49,383.65,384.36,2435
2016-07-19 22:50:00,384.58,385.04,384.14,385.04,4727
2016-07-20 16:30:00,386.81,386.81,386.81,386.81,577
2016-07-20 16:40:00,386.36,387.49,386.33,386.38,400
2016-07-20 17:10:00,388.17,389.79,387.66,388.82,3550
2016-07-20 17:20:00,388.61,389.1,388.04,388.04,1780
2016-07-20 17:30:00,389.54,389.54,387.23,389.1,560
2016-07-20 17:40:00,388.99,388.99,388.0,388.0,400
2016-07-20 17:50:00,388.24,389.7,387.95,389.7,900
2016-07-20 18:00:00,389.37,390.31,389.37,389.61,800
2016-07-20 18:10:00,389.94,389.94,389.94,389.94,100
2016-07-20 18:20:00,390.0,390.26,389.21,389.21,1610
2016-07-20 18:30:00,388.89,388.89,388.78,388.78,200
2016-07-20 18:40:00,389.21,389.21,389.2,389.2,200
2016-07-20 18:50:00,389.61,389.98,389.61,389.98,700
2016-07-20 19:00:00,389.92,390.05,389.55,390.01,800
2016-07-20 19:10:00,389.72,389.72,389.4,389.55,813
2016-07-20 19:20:00,388.46,388.49,388.46,388.49,300
2016-07-20 19:30:00,388.53,388.53,388.53,388.53,100
2016-07-20 19:40:00,388.56,389.19,388.56,389.08,300
2016-07-20 19:50:00,389.48,389.48,389.46,389.46,200
2016-07-20 20:00:00,389.62,390.47,389.58,390.22,2500
2016-07-20 20:10:00,390.22,390.47,389.68,389.68,1345
2016-07-20 20:20:00,389.74,389.74,389.73,389.73,200
2016-07-20 20:30:00,389.68,389.83,389.67,389.83,400
2016-07-20 20:40:00,389.97,390.26,389.97,390.14,2023
2016-07-20 20:50:00,390.61,390.61,390.19,390.19,1095
2016-07-20 21:00:00,390.17,390.17,390.17,390.17,110
2016-07-20 21:10:00,390.02,390.56,390.02,390.56,200
2016-07-20 21:20:00,390.07,390.13,389.64,390.09,1444
2016-07-20 21:30:00,389.65,390.4,389.36,390.4,1625
2016-07-20 21:40:00,390.08,390.17,389.42,389.42,700
2016-07-20 21:50:00,389.77,390.37,389.77,390.37,615
2016-07-20 22:00:00,390.18,390.99,390.18,390.76,500
2016-07-20 22:10:00,390.81,390.81,389.39,389.82,2412
2016-07-20 22:20:00,389.97,390.17,389.15,389.9,1936
2016-07-20 22:30:00,390.02,390.38,389.85,390.37,1200
2016-07-20 22:40:00,390.32,391.18,390.31,391.18,1828
2016-07-20 22:50:00,391.1,391.14,389.28,389.9,12087
2016-07-21 16:30:00,387.68,387.79,387.68,387.79,1094
2016-07-21 16:40:00,389.07,389.07,389.07,389.07,200
2016-07-21 16:50:00,388.24,389.18,387.42,389.18,900
2016-07-21 17:10:00,388.31,388.31,387.44,387.44,200
2016-07-21 17:20:00,387.59,388.21,386.4,386.4,1200
2016-07-21 17:30:00,387.53,387.87,386.63,386.64,1640
2016-07-21 17:40:00,386.64,387.31,386.27,387.01,1822
2016-07-21 17:50:00,386.37,387.53,386.37,387.06,900
2016-07-21 18:00:00,387.03,387.03,387.0,387.0,300
2016-07-21 18:10:00,386.75,386.75,386.31,386.59,1300
2016-07-21 18:20:00,386.81,387.14,386.65,387.11,600
2016-07-21 18:30:00,387.08,387.63,386.77,386.77,3119
2016-07-21 18:40:00,387.0,387.0,386.42,386.57,1210
2016-07-21 18:50:00,386.67,386.67,386.49,386.53,1204
2016-07-21 19:00:00,386.71,387.45,386.58,387.2,2960
2016-07-21 19:10:00,387.24,387.87,387.24,387.84,2538
2016-07-21 19:20:00,387.45,387.75,386.88,387.09,1695
2016-07-21 19:30:00,387.14,387.35,387.09,387.11,800
2016-07-21 19:50:00,387.11,387.11,385.92,386.03,5100
2016-07-21 20:00:00,386.0,386.09,385.29,385.29,4001
2016-07-21 20:10:00,385.61,385.72,385.5,385.72,1300
2016-07-21 20:20:00,385.91,385.97,385.15,385.16,1400
2016-07-21 20:30:00,385.11,385.21,384.33,384.64,4190
2016-07-21 20:40:00,385.02,385.02,384.16,384.3,1100
2016-07-21 20:50:00,384.31,384.31,384.09,384.09,400
2016-07-21 21:00:00,384.3,384.36,384.3,384.3,600
2016-07-21 21:10:00,384.24,384.34,383.76,383.79,4696
2016-07-21 21:20:00,383.78,383.78,383.24,383.4,3400
2016-07-21 21:30:00,383.67,383.7,383.67,383.7,200
2016-07-21 21:40:00,383.4,383.79,383.16,383.39,5869
2016-07-21 21:50:00,383.39,383.39,382.5,382.65,8370
2016-07-21 22:00:00,383.04,383.42,383.04,383.14,700
2016-07-21 22:10:00,383.17,383.17,383.17,383.17,200
2016-07-21 22:20:00,383.29,384.44,383.29,384.43,600
2016-07-21 22:30:00,384.32,385.46,384.32,384.97,3759
2016-07-21 22:40:00,384.98,385.85,384.66,385.85,3600
2016-07-21 22:50:00,385.78,385.78,384.59,385.11,6802
2016-07-22 16:30:00,384.57,386.43,381.97,386.43,1268
2016-07-22 16:40:00,382.53,386.57,382.53,386.57,1000
2016-07-22 16:50:00,386.58,386.58,386.46,386.46,300
2016-07-22 17:00:00,385.15,385.15,385.15,385.15,100
2016-07-22 17:10:00,385.24,385.48,385.24,385.48,200
2016-07-22 17:20:00,385.07,385.08,385.07,385.08,200
2016-07-22 17:30:00,385.84,385.84,385.84,385.84,100
2016-07-22 17:50:00,386.49,386.49,385.86,385.86,200
2016-07-22 18:00:00,385.94,386.55,385.27,385.41,3000
2016-07-22 18:10:00,385.7,386.43,385.41,385.55,700
2016-07-22 18:20:00,386.45,387.58,386.04,386.06,1844
2016-07-22 18:30:00,387.42,387.42,386.1,387.3,400
2016-07-22 18:40:00,386.97,387.52,386.3,386.3,300
2016-07-22 18:50:00,387.58,387.59,387.39,387.39,1923
2016-07-22 19:00:00,386.67,387.06,386.67,386.87,2310
2016-07-22 19:10:00,387.0,387.08,386.28,386.28,1424
2016-07-22 19:20:00,386.29,387.16,386.29,387.16,200
2016-07-22 19:30:00,386.68,386.97,385.4,385.4,1300
2016-07-22 19:40:00,386.47,386.47,386.47,386.47,100
2016-07-22 19:50:00,386.7,386.7,386.23,386.23,1400
2016-07-22 20:00:00,386.41,386.74,386.41,386.53,1961
2016-07-22 20:10:00,386.79,386.79,386.32,386.32,800
2016-07-22 20:20:00,386.77,386.77,386.5,386.59,900
2016-07-22 20:30:00,386.69,386.69,386.55,386.55,400
2016-07-22 20:40:00,386.64,386.71,386.49,386.57,1988
2016-07-22 20:50:00,386.68,386.76,385.45,385.45,2653
2016-07-22 21:00:00,385.33,386.44,385.33,386.44,1215
2016-07-22 21:10:00,386.09,387.08,386.09,386.59,1616
2016-07-22 21:20:00,386.69,386.69,386.38,386.54,1600
2016-07-22 21:30:00,386.65,387.54,386.61,387.54,1460
2016-07-22 21:40:00,387.12,387.62,387.12,387.62,300
2016-07-22 21:50:00,387.83,387.83,387.83,387.83,100
2016-07-22 22:00:00,388.33,388.35,387.47,388.02,1088
2016-07-22 22:10:00,387.47,388.07,387.29,387.39,600
2016-07-22 22:20:00,387.38,388.31,387.29,387.51,1300
2016-07-22 22:30:00,387.54,387.93,387.04,387.07,2025
2016-07-22 22:40:00,387.52,387.76,387.17,387.26,1800
2016-07-22 22:50:00,387.26,387.47,386.44,387.47,8209
2016-07-25 16:30:00,387.61,387.61,386.03,386.04,546
2016-07-25 16:40:00,383.41,387.33,382.83,382.83,702
2016-07-25 16:50:00,386.4,386.64,386.4,386.64,200
2016-07-25 17:00:00,385.6,385.6,381.73,381.73,1900
2016-07-25 17:10:00,381.79,381.79,380.35,380.35,682
2016-07-25 17:40:00,383.06,383.06,381.95,381.95,400
2016-07-25 17:50:00,381.95,382.25,381.8,381.95,2405
2016-07-25 18:00:00,382.59,382.76,382.02,382.02,800
2016-07-25 18:10:00,381.96,382.89,381.96,382.22,1100
2016-07-25 18:20:00,382.73,383.76,382.52,382.81,1051
2016-07-25 18:30:00,383.27,383.27,383.27,383.27,100
2016-07-25 18:40:00,383.54,383.54,381.16,381.16,1500
2016-07-25 18:50:00,382.08,382.47,381.9,382.47,400
2016-07-25 19:10:00,382.74,383.15,382.21,383.15,1300
2016-07-25 19:20:00,382.5,383.1,382.5,382.63,300
2016-07-25 19:40:00,383.67,383.8,383.67,383.8,200
2016-07-25 19:50:00,383.8,383.8,383.65,383.65,200
2016-07-25 20:00:00,383.83,384.49,383.78,383.95,900
2016-07-25 20:10:00,384.16,384.16,383.22,383.3,900
2016-07-25 20:20:00,383.37,383.4,383.26,383.26,300
2016-07-25 20:30:00,384.0,384.01,384.0,384.0,700
2016-07-25 20:40:00,384.42,384.67,384.09,384.67,800
2016-07-25 20:50:00,384.23,384.23,384.23,384.23,100
2016-07-25 21:00:00,384.26,384.63,384.03,384.21,1600
2016-07-25 21:10:00,383.8,384.11,383.8,384.11,200
2016-07-25 21:20:00,383.92,383.92,383.92,383.92,100
2016-07-25 21:30:00,383.47,383.47,383.47,383.47,100
2016-07-25 21:40:00,383.48,384.02,383.48,384.02,400
2016-07-25 21:50:00,384.32,384.32,384.32,384.32,100
2016-07-25 22:00:00,384.57,384.85,384.14,384.14,1368
2016-07-25 22:10:00,383.79,384.27,383.61,383.61,500
2016-07-25 22:20:00,383.61,383.61,383.5,383.54,300
2016-07-25 22:30:00,383.51,384.18,383.51,383.85,2119
2016-07-25 22:40:00,383.66,384.04,383.46,384.0,1900
2016-07-25 22:50:00,384.0,384.39,383.65,383.86,5297
2016-07-26 16:30:00,383.71,383.71,383.71,383.71,434
2016-07-26 16:40:00,384.0,386.84,384.0,386.84,200
2016-07-26 17:00:00,385.74,385.74,385.74,385.74,100
2016-07-26 17:10:00,385.98,386.38,385.5,385.5,500
2016-07-26 17:20:00,385.76,385.76,385.64,385.64,200
2016-07-26 17:30:00,385.65,386.85,385.65,386.69,1411
2016-07-26 17:40:00,386.64,387.66,386.64,387.66,2100
2016-07-26 17:50:00,387.2,387.95,387.18,387.19,1740
2016-07-26 18:00:00,387.18,387.87,387.18,387.85,4606
2016-07-26 18:10:00,387.66,387.7,386.94,387.08,1800
2016-07-26 18:20:00,386.6,387.65,386.6,386.99,3200
2016-07-26 18:30:00,387.15,387.15,386.5,386.71,2766
2016-07-26 18:40:00,386.58,386.79,386.12,386.12,1900
2016-07-26 18:50:00,386.0,386.61,386.0,386.0,4000
2016-07-26 19:00:00,386.51,386.68,386.15,386.68,400
2016-07-26 19:10:00,386.06,386.6,386.02,386.17,400
2016-07-26 19:20:00,386.65,388.01,386.46,388.01,15563
2016-07-26 19:30:00,387.77,388.0,387.77,388.0,400
2016-07-26 19:40:00,387.82,387.89,387.19,387.89,1100
2016-07-26 19:50:00,388.25,388.57,387.89,388.57,2000
2016-07-26 20:00:00,388.4,389.6,388.4,389.33,3063
2016-07-26 20:10:00,389.31,389.73,389.31,389.64,700
2016-07-26 20:20:00,389.45,389.58,388.65,389.35,2234
2016-07-26 20:30:00,389.41,389.41,388.57,388.57,2679
2016-07-26 20:40:00,389.39,390.0,389.07,389.07,4100
2016-07-26 20:50:00,388.93,389.61,388.64,388.64,5000
2016-07-26 21:00:00,389.55,389.85,389.2,389.44,4000
2016-07-26 21:10:00,389.8,389.8,389.38,389.38,1500
2016-07-26 21:20:00,389.43,390.22,389.39,389.91,4800
2016-07-26 21:30:00,389.99,389.99,389.21,389.23,6520
2016-07-26 21:40:00,389.23,389.41,388.91,388.94,5000
2016-07-26 21:50:00,388.47,388.84,388.34,388.36,6040
2016-07-26 22:00:00,388.36,388.92,388.36,388.71,2385
2016-07-26 22:10:00,388.78,388.85,388.26,388.5,5443
2016-07-26 22:20:00,388.46,388.63,388.17,388.34,8638
2016-07-26 22:30:00,388.36,388.97,388.21,388.65,6158
2016-07-26 22:40:00,388.67,389.21,388.43,388.85,10250
2016-07-26 22:50:00,388.52,388.63,387.69,387.97,16547
2016-07-27 16:30:00,387.64,390.07,387.64,390.07,1756
2016-07-27 16:40:00,389.89,389.89,388.2,389.35,1558
2016-07-27 16:50:00,388.35,388.78,388.35,388.4,780
2016-07-27 17:00:00,388.55,388.58,387.19,387.6,4800
2016-07-27 17:10:00,387.61,388.05,386.83,387.46,3100
2016-07-27 17:20:00,387.46,387.83,386.63,386.95,7600
2016-07-27 17:30:00,387.01,387.58,387.01,387.4,2426
2016-07-27 17:40:00,387.33,387.99,386.69,387.99,7200
