datetime,open,high,low,close,volume
2016-11-08 21:50:00,57.99,58.0,57.97,57.99,36043
2016-11-08 22:00:00,57.99,58.03,57.91,57.98,129394
2016-11-08 22:10:00,57.98,58.01,57.84,57.87,77392
2016-11-08 22:20:00,57.87,57.93,57.85,57.86,73585
2016-11-08 22:30:00,57.86,57.86,57.73,57.75,60889
2016-11-08 22:40:00,57.75,57.76,57.68,57.72,49496
2016-11-08 22:50:00,57.72,57.78,57.72,57.76,65383
2016-11-08 23:00:00,57.76,57.83,57.72,57.82,72889
2016-11-08 23:10:00,57.83,57.85,57.76,57.78,85330
2016-11-08 23:20:00,57.78,57.84,57.78,57.84,69257
2016-11-08 23:30:00,57.84,57.92,57.82,57.86,158126
2016-11-08 23:40:00,57.85,57.89,57.85,57.88,214936
2016-11-08 23:50:00,57.88,57.96,57.66,57.73,446530
2016-11-09 17:30:00,56.4,56.98,56.24,56.7,196684
2016-11-09 17:40:00,56.71,56.71,56.26,56.64,135674
2016-11-09 17:50:00,56.68,56.93,56.58,56.86,246078
2016-11-09 18:00:00,56.89,56.92,56.64,56.85,102453
2016-11-09 18:10:00,56.85,56.93,56.73,56.76,100174
2016-11-09 18:20:00,56.76,56.93,56.76,56.9,106533
2016-11-09 18:30:00,56.89,56.96,56.79,56.86,56990
2016-11-09 18:40:00,56.87,56.91,56.75,56.75,86483
2016-11-09 18:50:00,56.75,56.86,56.66,56.72,91489
2016-11-09 19:00:00,56.75,56.86,56.73,56.79,76913
2016-11-09 19:10:00,56.8,57.07,56.79,57.03,71323
2016-11-09 19:20:00,57.02,57.08,56.97,57.07,107352
2016-11-09 19:30:00,57.08,57.35,57.07,57.26,278834
2016-11-09 19:40:00,57.27,57.64,57.27,57.64,60206
2016-11-09 19:50:00,57.63,57.74,57.4,57.42,117484
2016-11-09 20:00:00,57.43,57.6,57.35,57.38,168422
2016-11-09 20:10:00,57.38,57.56,57.25,57.55,171801
2016-11-09 20:20:00,57.56,57.69,57.56,57.69,139996
2016-11-09 20:30:00,57.69,57.69,57.44,57.46,45442
2016-11-09 20:40:00,57.47,57.54,57.39,57.43,39617
2016-11-09 20:50:00,57.44,57.51,57.4,57.46,93775
2016-11-09 21:00:00,57.47,57.7,57.46,57.58,67674
2016-11-09 21:10:00,57.58,57.6,57.43,57.5,245338
2016-11-09 21:20:00,57.49,57.49,57.3,57.46,59790
2016-11-09 21:30:00,57.45,57.54,57.42,57.5,66272
2016-11-09 21:40:00,57.51,57.67,57.49,57.54,56787
2016-11-09 21:50:00,57.55,57.58,57.46,57.46,72990
2016-11-09 22:00:00,57.46,57.53,57.22,57.22,113698
2016-11-09 22:10:00,57.23,57.47,57.2,57.46,112910
2016-11-09 22:20:00,57.44,57.49,57.3,57.38,101944
2016-11-09 22:30:00,57.39,57.49,57.3,57.38,130306
2016-11-09 22:40:00,57.37,57.5,57.36,57.46,89070
2016-11-09 22:50:00,57.47,57.47,57.35,57.41,67485
2016-11-09 23:00:00,57.41,57.53,57.41,57.47,62064
2016-11-09 23:10:00,57.46,57.52,57.44,57.52,96929
2016-11-09 23:20:00,57.51,57.54,57.45,57.46,109978
2016-11-09 23:30:00,57.46,57.49,57.35,57.42,161091
2016-11-09 23:40:00,57.41,57.47,57.29,57.43,175646
2016-11-09 23:50:00,57.42,57.49,57.36,57.42,147276
