datetime,open,high,low,close,volume
1998-01-02,50.75,50.75,48.5,49.0,847403
1998-01-05,46.88,50.38,46.0,49.44,1062706
1998-01-06,49.25,50.01,48.25,48.25,849602
1998-01-07,48.13,48.51,46.87,48.01,1216203
1998-01-08,47.25,48.0,46.37,47.94,1218302
1998-01-09,48.0,48.38,47.25,47.5,1265001
1998-01-12,46.25,48.0,45.12,46.5,939800
1998-01-13,47.0,47.32,46.0,47.0,656806
1998-01-14,47.0,50.01,47.0,49.88,729100
1998-01-15,49.5,49.88,46.37,46.75,440600
1998-01-16,47.63,48.38,45.75,46.63,871400
1998-01-20,46.75,50.25,46.5,49.94,853105
1998-01-21,49.5,50.13,48.69,50.0,923300
1998-01-22,50.0,51.25,49.5,50.87,734900
1998-01-23,50.94,51.38,48.12,48.25,568704
1998-01-26,48.5,48.63,47.0,47.5,368108
1998-01-27,47.38,47.75,46.63,47.25,309001
1998-01-28,47.31,49.88,47.25,48.76,616800
1998-01-29,48.94,49.13,47.62,48.25,596402
1998-01-30,48.0,48.63,47.5,47.81,490603
1998-02-02,48.63,49.51,47.87,47.94,483100
1998-02-03,48.5,50.0,47.75,49.25,564805
1998-02-04,49.38,49.63,48.75,49.01,444603
1998-02-05,49.38,49.51,47.75,48.0,606003
1998-02-06,48.5,49.38,48.0,49.0,475602
1998-02-09,49.38,50.13,48.25,48.25,665905
1998-02-10,48.75,49.63,48.31,49.25,848500
1998-02-11,49.38,50.0,48.87,49.06,686301
1998-02-12,49.13,49.51,48.37,49.13,283300
1998-02-13,48.5,49.63,48.25,48.25,373900
1998-02-17,48.5,50.0,48.25,48.88,461400
1998-02-18,49.25,49.44,48.75,49.25,628800
1998-02-19,49.38,49.51,48.63,49.13,250000
1998-02-20,49.13,50.01,48.88,49.75,462401
1998-02-23,49.88,51.76,49.87,50.75,709020
1998-02-24,50.63,51.88,49.37,49.88,672403
1998-02-25,50.75,51.69,50.19,51.0,498001
1998-02-26,50.88,52.0,50.5,51.0,403700
1998-02-27,51.38,52.69,50.88,51.62,672200
1998-03-02,51.75,52.88,51.62,52.13,602804
1998-03-03,52.0,52.76,51.25,52.32,361501
1998-03-04,52.25,53.38,51.5,52.0,421000
1998-03-05,51.13,52.19,49.75,50.62,705701
1998-03-06,51.0,51.75,50.25,51.5,457000
1998-03-09,51.5,53.38,51.12,52.5,527100
1998-03-10,52.88,56.0,52.75,56.0,647400
1998-03-11,55.38,55.75,54.25,54.44,510402
1998-03-12,54.75,54.88,53.5,53.88,440500
1998-03-13,54.38,54.76,53.88,54.0,438900
1998-03-16,54.13,55.51,54.12,54.87,745500
1998-03-17,55.88,56.13,53.63,53.75,565602
1998-03-18,53.38,55.38,52.31,55.13,824605
1998-03-19,55.0,55.57,54.62,55.38,457402
1998-03-20,55.75,55.88,54.12,54.25,426002
1998-03-23,54.19,55.0,53.5,54.81,137300
1998-03-24,54.63,56.88,54.5,56.12,632000
1998-03-25,56.38,59.75,56.37,57.63,1215608
1998-03-26,57.25,57.94,56.87,57.63,452801
1998-03-27,57.88,57.94,56.87,56.87,390700
1998-03-30,57.0,57.38,56.75,56.81,106700
1998-03-31,56.94,58.38,56.75,57.69,485900
1998-04-01,57.69,58.0,56.62,57.0,705100
1998-04-02,57.13,58.26,56.81,57.75,266000
1998-04-03,57.75,58.88,57.75,58.44,415100
1998-04-06,59.0,59.13,55.81,56.0,674300
1998-04-07,56.0,57.75,55.38,56.75,742400
1998-04-08,57.0,57.63,56.38,56.81,293400
1998-04-09,57.13,59.01,56.37,58.75,1005506
1998-04-13,58.94,58.94,57.75,58.06,380305
1998-04-14,57.88,58.25,57.75,58.0,260600
1998-04-15,58.38,58.88,57.75,57.91,213200
1998-04-16,57.75,57.75,56.37,56.75,280500
1998-04-17,56.5,57.76,56.25,57.0,448100
1998-04-20,57.0,57.88,56.87,57.25,207000
1998-04-21,57.63,57.63,56.62,57.12,163500
1998-04-22,57.38,57.51,56.31,56.31,147400
1998-04-23,56.5,56.76,54.0,54.25,369301
1998-04-24,54.0,54.82,53.5,54.5,434503
1998-04-27,53.75,53.75,50.94,51.0,607605
