datetime,open,high,low,close,volume
1998-01-02,32.69,32.81,32.38,32.75,77800
1998-01-05,33.0,33.63,33.0,33.06,184800
1998-01-06,33.25,33.5,32.63,33.0,265100
1998-01-07,33.0,33.01,32.63,32.75,201600
1998-01-08,32.94,33.01,32.63,32.63,173700
1998-01-09,32.88,32.94,32.0,32.26,181000
1998-01-12,32.13,32.38,31.5,32.0,165600
1998-01-13,31.94,32.06,31.62,31.75,453900
1998-01-14,31.94,32.5,31.88,32.31,217000
1998-01-15,32.56,33.31,32.56,32.94,256800
1998-01-16,33.0,33.25,32.37,32.44,196300
1998-01-20,32.5,32.76,32.37,32.56,161500
1998-01-21,32.81,32.94,32.68,32.81,159300
1998-01-22,32.69,32.94,32.69,32.88,129800
1998-01-23,33.0,33.13,32.87,32.94,151700
1998-01-26,33.19,33.19,32.88,32.88,129500
1998-01-27,33.0,33.07,32.63,32.81,242300
1998-01-28,32.81,33.0,32.75,32.94,85000
1998-01-29,33.0,33.13,32.87,33.06,194100
1998-01-30,32.94,33.25,32.94,33.19,108600
1998-02-02,33.25,33.44,33.19,33.37,186200
1998-02-03,33.44,33.5,33.13,33.44,163400
1998-02-04,33.0,33.0,32.63,33.0,61800
1998-02-05,32.88,33.19,32.82,33.0,238400
1998-02-06,33.0,33.0,32.88,33.0,71800
1998-02-09,33.0,33.13,32.88,32.94,102200
1998-02-10,33.13,33.25,32.94,33.13,527700
1998-02-11,33.25,33.44,33.18,33.31,150600
1998-02-12,33.38,33.38,33.0,33.31,125500
1998-02-13,33.25,33.5,33.19,33.37,92900
1998-02-17,33.44,33.51,33.0,33.13,108400
1998-02-18,33.13,33.63,32.88,33.63,132600
1998-02-19,33.0,33.06,32.38,32.63,165300
1998-02-20,32.63,32.76,32.25,32.31,312100
1998-02-23,32.38,32.38,31.62,31.75,380200
1998-02-24,31.88,31.88,31.25,31.25,424300
1998-02-25,31.25,31.5,31.25,31.38,253700
1998-02-26,31.31,31.5,31.19,31.31,346800
1998-02-27,31.38,31.38,30.75,30.93,113500
1998-03-02,31.31,31.31,31.0,31.06,135600
1998-03-03,31.06,31.13,30.88,30.94,96400
1998-03-04,31.0,31.13,30.81,30.88,132200
1998-03-05,30.69,30.88,30.38,30.57,204700
1998-03-06,30.75,31.0,30.63,30.94,354000
1998-03-09,30.81,31.13,30.5,30.81,275300
1998-03-10,30.88,31.19,30.88,31.0,206500
1998-03-11,30.75,31.38,30.75,31.13,607000
1998-03-12,31.0,32.25,31.0,31.94,746600
1998-03-13,32.0,32.31,31.75,32.19,294700
1998-03-16,32.25,32.76,31.63,31.63,814400
1998-03-17,31.94,32.25,31.81,32.0,255000
1998-03-18,32.0,32.31,32.0,32.06,168500
1998-03-19,32.0,32.38,31.93,32.06,200000
1998-03-20,33.13,33.44,32.63,32.94,329600
1998-03-23,32.94,32.94,32.5,32.69,110800
1998-03-24,32.75,32.88,32.5,32.69,168900
1998-03-25,32.88,33.75,32.75,33.63,452700
1998-03-26,33.81,34.51,33.75,34.07,605900
1998-03-27,34.06,34.13,33.62,33.63,362800
1998-03-30,33.63,34.0,33.37,33.88,162900
1998-03-31,34.38,34.44,33.88,34.31,413400
1998-04-01,34.25,34.26,33.75,34.13,217900
1998-04-02,34.13,34.38,34.12,34.38,113300
1998-04-03,34.75,34.88,34.38,34.38,123700
1998-04-06,34.38,34.69,34.0,34.0,165300
1998-04-07,34.19,34.51,34.12,34.5,135200
1998-04-08,34.5,34.5,33.75,33.88,145400
1998-04-09,34.0,34.38,33.38,34.31,102700
1998-04-13,34.13,34.62,34.07,34.5,142900
1998-04-14,34.63,34.63,33.94,34.13,126200
1998-04-15,34.25,34.25,33.75,34.06,67300
1998-04-16,34.13,34.19,33.88,34.0,119700
1998-04-17,33.75,33.75,33.31,33.63,240700
1998-04-20,33.44,33.69,33.0,33.25,118500
1998-04-21,33.06,33.26,32.0,32.13,524101
1998-04-22,32.25,32.63,32.13,32.44,273700
1998-04-23,32.5,32.5,32.13,32.44,285900
1998-04-24,32.38,32.75,32.31,32.75,158700
1998-04-27,32.5,32.75,32.06,32.75,128300
1998-04-28,32.88,32.88,32.25,32.63,62100
1998-04-29,32.25,32.88,32.25,32.88,128100
