datetime,open,high,low,close,volume
1998-12-01,26.81,27.75,26.63,27.69,178200
1998-12-02,27.88,27.88,26.19,26.19,267700
1998-12-03,26.25,26.44,25.94,26.0,131600
1998-12-04,26.13,26.25,24.75,25.13,288500
1998-12-07,25.13,25.38,25.0,25.38,230700
1998-12-08,25.63,27.0,25.63,26.81,275200
1998-12-09,26.56,27.25,26.18,27.13,218800
1998-12-10,27.25,27.56,26.81,27.13,270600
1998-12-11,27.06,27.06,25.88,25.94,224700
1998-12-14,25.81,26.88,25.63,26.88,312800
1998-12-15,26.75,27.69,26.75,27.44,422700
1998-12-16,27.44,27.5,26.63,26.63,190000
1998-12-17,26.75,27.19,26.63,26.88,208200
1998-12-18,27.0,27.63,26.5,26.62,274600
1998-12-21,27.0,27.44,26.88,27.13,131700
1998-12-22,27.56,27.63,27.0,27.19,105500
1998-12-23,27.25,28.0,26.5,27.75,245100
1998-12-24,27.81,28.5,27.63,28.5,164100
1998-12-28,28.63,28.94,28.38,28.88,165600
1998-12-29,28.94,29.0,27.5,27.81,267300
1998-12-30,27.94,28.31,27.88,28.25,64000
1998-12-31,28.31,28.38,28.13,28.38,98300
1999-01-04,28.63,30.51,28.56,29.5,345800
1999-01-05,29.38,29.44,28.75,28.81,220100
1999-01-06,28.81,28.88,27.88,27.88,301000
1999-01-07,26.25,27.63,26.25,27.38,607400
1999-01-08,27.38,28.5,27.38,28.32,312100
1999-01-11,28.38,28.38,26.81,27.13,328900
1999-01-12,27.0,27.38,26.81,26.88,225600
1999-01-13,26.63,28.38,25.62,27.88,330000
1999-01-14,28.5,29.0,28.13,28.63,257800
1999-01-15,28.88,30.51,28.88,29.88,315300
1999-01-19,30.0,32.06,29.94,31.0,685600
1999-01-20,31.06,31.63,30.75,30.88,531100
1999-01-21,30.88,30.88,29.87,30.5,717200
1999-01-22,30.5,30.94,30.25,30.63,249600
1999-01-25,30.81,30.81,29.81,30.0,305600
1999-01-26,29.88,29.94,28.87,29.25,434600
1999-01-27,29.5,31.5,29.19,29.63,1099700
1999-01-28,29.63,30.0,29.62,29.81,374800
1999-01-29,29.81,30.5,29.75,30.13,516100
1999-02-01,30.38,30.75,30.0,30.06,260600
1999-02-02,29.56,30.5,29.56,30.37,315500
1999-02-03,30.88,31.25,30.31,31.25,260400
1999-02-04,31.13,31.19,30.81,30.82,113200
1999-02-05,30.88,31.06,30.63,31.0,177600
1999-02-08,31.13,32.5,31.13,32.25,469500
1999-02-09,32.13,32.38,31.0,31.0,243200
1999-02-10,31.19,31.56,30.75,30.94,224500
1999-02-11,31.13,31.25,30.69,30.94,260500
1999-02-12,31.31,31.38,30.06,30.06,227400
1999-02-16,30.25,31.44,30.25,30.38,303600
1999-02-17,30.31,30.81,29.81,30.0,347900
1999-02-18,30.38,31.5,30.31,31.38,306700
1999-02-19,31.75,32.38,31.63,32.38,206000
1999-02-22,32.63,33.25,32.5,33.0,374300
1999-02-23,33.25,34.01,33.13,33.31,315700
1999-02-24,33.25,33.75,33.0,33.06,305600
1999-02-25,33.19,33.19,32.19,33.13,332400
1999-02-26,33.0,33.63,32.81,32.94,255300
1999-03-01,32.75,33.25,32.0,32.38,322100
1999-03-02,32.63,33.94,32.5,33.75,482600
1999-03-03,33.69,34.13,33.5,33.5,479500
1999-03-04,33.5,34.38,33.5,34.13,638000
1999-03-05,34.25,34.44,34.19,34.31,316400
1999-03-08,34.25,35.06,34.0,34.81,436200
1999-03-09,34.0,35.01,33.5,34.56,777800
1999-03-10,34.5,34.56,31.87,32.44,563300
1999-03-11,32.63,33.12,32.25,32.44,362400
1999-03-12,32.38,32.5,32.0,32.06,374200
1999-03-15,32.0,32.31,31.5,31.88,543200
1999-03-16,31.88,32.01,31.5,31.63,362900
1999-03-17,31.63,31.69,30.38,30.38,453000
1999-03-18,30.44,30.44,29.44,30.0,612500
1999-03-19,30.0,30.19,29.44,29.44,308300
1999-03-22,29.19,29.19,25.25,26.94,1396900
1999-03-23,27.0,27.88,26.37,27.19,1646200
1999-03-24,27.5,27.5,25.75,26.88,729500
1999-03-25,27.0,27.13,26.63,26.87,692600
1999-03-26,27.0,28.75,26.88,28.38,852100
1999-03-29,28.38,28.56,28.0,28.06,468800
1999-03-30,28.13,28.38,27.38,27.44,293800
1999-03-31,27.44,27.44,25.0,26.62,966700
1999-04-01,27.63,27.76,26.5,26.56,409700
1999-04-05,26.63,27.13,25.88,26.81,249600
1999-04-06,27.0,27.13,26.19,26.44,379200
1999-04-07,26.56,26.69,26.25,26.56,154700
1999-04-08,26.75,26.75,25.75,25.94,303000
1999-04-09,26.13,26.13,23.5,24.38,799900
1999-04-12,24.44,24.44,22.62,23.0,555900
1999-04-13,23.38,25.0,23.31,24.56,793500
1999-04-14,24.63,24.81,23.87,24.63,384200
1999-04-15,24.63,25.63,24.0,25.63,437700
1999-04-16,25.88,26.44,25.63,26.25,357400
1999-04-19,26.81,27.63,25.06,25.38,254000
1999-04-20,25.5,25.81,24.62,25.69,179100
1999-04-21,25.69,26.81,25.63,26.63,198500
1999-04-22,27.5,28.44,27.19,27.94,306500
1999-04-23,27.94,27.94,26.06,26.31,305500
1999-04-26,26.5,26.76,24.62,24.69,392700
1999-04-27,24.81,25.0,23.5,23.88,773500
1999-04-28,15.75,16.51,15.13,16.0,11278000
1999-04-29,16.88,17.88,16.62,17.81,3211900
1999-04-30,18.0,18.63,17.87,17.88,1560200
1999-05-03,17.88,18.0,17.75,17.94,617600
1999-05-04,18.0,18.06,17.25,17.44,904800
1999-05-05,17.25,17.62,16.5,17.0,788400
1999-05-06,16.81,18.0,16.75,18.0,658900
1999-05-07,18.06,18.38,17.81,17.94,560400
1999-05-10,18.0,18.13,17.25,17.31,403400
1999-05-11,17.38,17.88,17.37,17.44,577600
1999-05-12,17.56,17.63,16.37,16.62,1216100
1999-05-13,16.63,16.94,15.81,16.25,1970600
1999-05-14,16.13,16.75,16.0,16.06,801300
1999-05-17,16.19,16.5,16.0,16.06,860900
1999-05-18,16.13,16.75,16.12,16.25,634700
1999-05-19,16.31,16.87,16.31,16.69,671700
1999-05-20,16.88,17.44,16.75,17.25,594900
1999-05-21,17.13,17.5,17.12,17.31,551400
1999-05-24,17.38,17.5,16.94,17.0,476100
1999-05-25,17.0,17.25,16.38,16.63,450400
1999-05-26,16.88,17.01,16.38,16.94,461000
1999-05-27,16.94,17.0,16.56,16.88,306700
1999-05-28,16.88,17.0,16.62,16.75,274700
1999-06-01,16.63,16.88,16.13,16.63,290400
1999-06-02,16.5,16.69,16.07,16.25,212600
1999-06-03,16.25,16.63,16.0,16.5,635300
1999-06-04,16.56,16.75,16.06,16.31,354500
1999-06-07,16.38,17.26,16.25,16.69,560900
1999-06-08,17.0,17.13,16.44,16.75,711200
1999-06-09,16.69,17.25,16.56,16.69,441700
1999-06-10,17.0,17.0,16.56,16.69,334100
1999-06-11,16.94,17.0,16.81,16.94,339000
1999-06-14,17.25,18.75,17.0,18.19,1140100
1999-06-15,18.31,18.44,17.5,17.57,428300
1999-06-16,17.56,18.13,17.56,17.63,397000
1999-06-17,17.25,17.44,16.81,17.31,750100
1999-06-18,17.38,17.38,16.69,17.06,647200
1999-06-21,17.0,17.13,16.75,16.94,490800
1999-06-22,16.81,16.94,16.0,16.94,783600
1999-06-23,16.94,17.06,16.37,16.57,410000
1999-06-24,16.69,16.94,16.44,16.75,400000
1999-06-25,16.88,17.38,16.75,17.0,429700
1999-06-28,17.44,17.94,17.44,17.81,425300
1999-06-29,17.88,18.26,17.75,18.19,648700
1999-06-30,18.5,19.94,18.38,19.37,976900
1999-07-01,19.13,19.38,18.75,19.0,915700
1999-07-02,19.13,20.13,18.88,19.75,421000
1999-07-06,19.75,19.75,19.31,19.38,754200
1999-07-07,19.44,19.5,18.88,19.38,379700
1999-07-08,19.25,19.25,18.63,18.75,343100
1999-07-09,18.63,19.12,18.38,19.12,318200
1999-07-12,19.25,19.94,19.25,19.56,285400
1999-07-13,19.31,19.63,19.13,19.62,268800
1999-07-14,19.63,19.63,19.13,19.19,338400
1999-07-15,19.13,19.44,19.0,19.19,463600
1999-07-16,19.13,19.19,18.94,18.94,265000
1999-07-19,18.5,19.0,18.5,18.75,226100
