datetime,open,high,low,close,volume
2016-11-22 17:40:00,99.61,99.94,99.58,99.58,60456
2016-11-22 17:50:00,99.59,99.71,99.42,99.42,17176
2016-11-22 18:00:00,99.41,99.6,99.38,99.38,23560
2016-11-22 18:10:00,99.38,99.51,99.33,99.45,29073
2016-11-22 18:20:00,99.43,99.45,99.26,99.34,49036
2016-11-22 18:30:00,99.3,99.36,99.2,99.32,24175
2016-11-22 18:40:00,99.33,99.66,99.33,99.65,20940
2016-11-22 18:50:00,99.63,99.66,99.48,99.61,24271
2016-11-22 19:00:00,99.59,99.63,99.52,99.55,24625
2016-11-22 19:10:00,99.57,99.6,99.42,99.45,18059
2016-11-22 19:20:00,99.45,99.46,99.34,99.35,10773
2016-11-22 19:30:00,99.34,99.35,99.2,99.25,13703
2016-11-22 19:40:00,99.25,99.6,99.18,99.4,88210
2016-11-22 19:50:00,99.4,99.68,99.39,99.68,25393
2016-11-22 20:00:00,99.68,99.81,99.63,99.75,30204
2016-11-22 20:10:00,99.75,99.96,99.74,99.95,34476
2016-11-22 20:20:00,99.94,100.06,99.91,100.02,57335
2016-11-22 20:30:00,100.04,100.15,99.99,100.01,32184
2016-11-22 20:40:00,100.02,100.06,99.97,99.97,21513
2016-11-22 20:50:00,99.95,100.04,99.91,100.01,24703
2016-11-22 21:00:00,100.01,100.08,99.89,99.95,31822
2016-11-22 21:10:00,99.94,100.0,99.89,99.89,18479
2016-11-22 21:20:00,99.9,99.98,99.81,99.87,40561
2016-11-22 21:30:00,99.86,99.9,99.83,99.87,17355
2016-11-22 21:40:00,99.87,99.91,99.78,99.83,18041
2016-11-22 21:50:00,99.81,99.82,99.74,99.74,20965
2016-11-22 22:00:00,99.74,99.85,99.73,99.82,26036
2016-11-22 22:10:00,99.82,99.87,99.79,99.85,26039
2016-11-22 22:20:00,99.84,100.14,99.84,100.05,68833
2016-11-22 22:30:00,100.06,100.19,100.03,100.12,110863
2016-11-22 22:40:00,100.13,100.31,100.0,100.28,95710
2016-11-22 22:50:00,100.28,100.34,99.98,99.98,159515
2016-11-23 16:30:00,100.03,100.03,99.47,99.8,30903
2016-11-23 16:40:00,99.82,100.23,99.69,100.22,54820
2016-11-23 16:50:00,100.14,100.34,100.05,100.29,34781
2016-11-23 17:00:00,100.28,100.29,99.98,100.01,38936
2016-11-23 17:10:00,100.0,100.18,99.98,100.06,32420
2016-11-23 17:20:00,100.05,100.08,99.8,100.01,22284
2016-11-23 17:30:00,100.0,100.05,99.8,99.84,60310
2016-11-23 17:40:00,99.86,100.0,99.79,99.9,12200
2016-11-23 17:50:00,99.88,99.94,99.76,99.77,10204
2016-11-23 18:00:00,99.79,99.8,99.47,99.47,20628
2016-11-23 18:10:00,99.47,99.51,99.22,99.22,18906
2016-11-23 18:20:00,99.29,99.29,99.11,99.19,16392
2016-11-23 18:30:00,99.2,99.31,99.18,99.21,30016
2016-11-23 18:40:00,99.21,99.31,99.09,99.12,12803
2016-11-23 18:50:00,99.12,99.22,99.06,99.2,16514
2016-11-23 19:00:00,99.2,99.34,99.16,99.34,13714
2016-11-23 19:10:00,99.33,99.36,99.24,99.33,7830
2016-11-23 19:20:00,99.32,99.37,99.2,99.22,6548
2016-11-23 19:30:00,99.23,99.3,99.18,99.2,6107
2016-11-23 19:40:00,99.22,99.33,99.18,99.28,5876
2016-11-23 19:50:00,99.28,99.28,99.15,99.2,22997
2016-11-23 20:00:00,99.23,99.25,99.13,99.14,11311
2016-11-23 20:10:00,99.15,99.16,99.02,99.1,11860
2016-11-23 20:20:00,99.09,99.11,98.95,99.01,13048
2016-11-23 20:30:00,99.01,99.02,98.89,98.89,14651
2016-11-23 20:40:00,98.9,98.95,98.8,98.82,15803
2016-11-23 20:50:00,98.82,98.88,98.73,98.82,24106
2016-11-23 21:00:00,98.84,98.94,98.81,98.88,21370
2016-11-23 21:10:00,98.89,98.95,98.81,98.81,14933
2016-11-23 21:20:00,98.79,98.89,98.79,98.86,19450
2016-11-23 21:30:00,98.85,98.87,98.67,98.7,25306
2016-11-23 21:40:00,98.69,98.72,98.6,98.62,13151
2016-11-23 21:50:00,98.62,98.63,98.56,98.59,15964
2016-11-23 22:00:00,98.6,98.75,98.6,98.65,20051
2016-11-23 22:10:00,98.65,98.68,98.53,98.56,15523
2016-11-23 22:20:00,98.57,98.64,98.49,98.61,34275
2016-11-23 22:30:00,98.62,98.89,98.62,98.88,37746
2016-11-23 22:40:00,98.88,98.96,98.86,98.9,47839
2016-11-23 22:50:00,98.91,98.99,98.88,98.92,75598
2016-11-25 16:30:00,98.83,99.79,98.41,99.79,48886
2016-11-25 16:40:00,99.75,100.2,99.7,100.1,21149
2016-11-25 16:50:00,100.07,100.64,100.06,100.45,31899
2016-11-25 17:00:00,100.53,100.53,100.25,100.38,33967
2016-11-25 17:10:00,100.33,100.4,100.3,100.37,22678
2016-11-25 17:20:00,100.38,100.77,100.38,100.75,47740
2016-11-25 17:30:00,100.66,100.75,100.37,100.44,33083
2016-11-25 17:40:00,100.47,100.47,100.3,100.44,7302
2016-11-25 17:50:00,100.47,100.47,100.2,100.27,14612
2016-11-25 18:00:00,100.26,100.26,99.88,99.88,19642
2016-11-25 18:10:00,99.86,99.89,99.68,99.69,30035
2016-11-25 18:20:00,99.72,99.91,99.72,99.8,16289
2016-11-25 18:30:00,99.78,99.83,99.62,99.62,19541
2016-11-25 18:40:00,99.62,99.71,99.58,99.69,18321
2016-11-25 18:50:00,99.68,99.74,99.6,99.74,11330
2016-11-25 19:00:00,99.71,99.85,99.66,99.7,13598
2016-11-25 19:10:00,99.7,99.74,99.57,99.61,23146
2016-11-25 19:20:00,99.61,99.64,99.53,99.63,18860
2016-11-25 19:30:00,99.64,99.64,99.47,99.51,26173
2016-11-25 19:40:00,99.5,99.63,99.5,99.6,37333
2016-11-25 19:50:00,99.62,99.74,99.51,99.74,58857
2016-11-25 20:00:00,99.74,99.74,99.74,99.74,44958
2016-11-25 20:30:00,99.74,99.74,99.74,99.74,482
2016-11-25 22:50:00,99.9,99.9,99.9,99.9,100
2016-11-28 16:30:00,99.34,100.21,99.34,99.58,29549
2016-11-28 16:40:00,99.55,99.72,99.36,99.38,21754
2016-11-28 16:50:00,99.38,99.5,99.24,99.28,13870
2016-11-28 17:00:00,99.25,99.29,99.05,99.13,17848
2016-11-28 17:10:00,99.17,99.4,99.11,99.16,14381
2016-11-28 17:20:00,99.15,99.26,98.99,99.0,7075
2016-11-28 17:30:00,99.02,99.19,98.92,98.92,6912
2016-11-28 17:40:00,98.94,99.08,98.79,99.02,24938
2016-11-28 17:50:00,99.06,99.09,98.93,98.98,17900
2016-11-28 18:00:00,98.99,99.16,98.94,99.15,14822
2016-11-28 18:10:00,99.15,99.32,99.13,99.21,14373
2016-11-28 18:20:00,99.13,99.49,99.1,99.49,12791
2016-11-28 18:30:00,99.47,99.58,99.45,99.51,8838
2016-11-28 18:40:00,99.53,99.55,99.41,99.43,10098
2016-11-28 18:50:00,99.46,99.63,99.43,99.63,9903
2016-11-28 19:00:00,99.66,99.68,99.29,99.35,23878
2016-11-28 19:10:00,99.31,99.49,99.21,99.48,62811
2016-11-28 19:20:00,99.51,99.54,99.33,99.42,5229
2016-11-28 19:30:00,99.42,99.58,99.42,99.48,7581
2016-11-28 19:40:00,99.52,99.56,99.33,99.46,7542
2016-11-28 19:50:00,99.46,99.51,99.38,99.46,5153
2016-11-28 20:00:00,99.46,99.62,99.45,99.62,11155
2016-11-28 20:10:00,99.6,99.73,99.53,99.73,14181
2016-11-28 20:20:00,99.68,99.73,99.61,99.67,9750
2016-11-28 20:30:00,99.64,99.72,99.63,99.68,20707
2016-11-28 20:40:00,99.69,99.72,99.66,99.72,6972
2016-11-28 20:50:00,99.71,99.8,99.7,99.77,26301
2016-11-28 21:00:00,99.75,99.86,99.73,99.83,22772
2016-11-28 21:10:00,99.84,99.87,99.78,99.87,13680
2016-11-28 21:20:00,99.91,99.93,99.85,99.86,10859
2016-11-28 21:30:00,99.87,99.91,99.85,99.86,17353
2016-11-28 21:40:00,99.86,99.9,99.85,99.86,23163
2016-11-28 21:50:00,99.86,99.95,99.85,99.86,24017
2016-11-28 22:00:00,99.86,99.93,99.86,99.91,38224
2016-11-28 22:10:00,99.91,99.91,99.83,99.87,19020
2016-11-28 22:20:00,99.86,99.86,99.73,99.75,27175
2016-11-28 22:30:00,99.74,99.96,99.74,99.89,27519
2016-11-28 22:40:00,99.89,99.94,99.76,99.87,37751
2016-11-28 22:50:00,99.87,99.92,99.77,99.84,151152
2016-11-29 16:30:00,99.65,100.51,99.65,100.31,35236
2016-11-29 16:40:00,100.29,100.37,99.97,100.02,27322
2016-11-29 16:50:00,100.02,100.05,99.62,99.87,27175
2016-11-29 17:00:00,99.87,100.28,99.87,100.28,12109
2016-11-29 17:10:00,100.19,100.37,99.99,99.99,22339
2016-11-29 17:20:00,100.02,100.12,99.95,99.97,23871
2016-11-29 17:30:00,99.96,100.14,99.93,100.14,10026
2016-11-29 17:40:00,100.16,100.35,100.04,100.35,8734
2016-11-29 17:50:00,100.34,100.34,100.02,100.12,11965
2016-11-29 18:00:00,100.08,100.21,100.04,100.04,11334
2016-11-29 18:10:00,100.04,100.13,99.95,99.95,26567
2016-11-29 18:20:00,99.99,100.08,99.86,100.04,51028
2016-11-29 18:30:00,100.02,100.04,99.87,99.9,14057
2016-11-29 18:40:00,99.88,100.05,99.85,99.97,13181
2016-11-29 18:50:00,99.95,99.98,99.91,99.95,13587
2016-11-29 19:00:00,99.95,100.04,99.82,99.82,9181
2016-11-29 19:10:00,99.85,99.88,99.8,99.88,29717
2016-11-29 19:20:00,99.87,99.9,99.68,99.73,69570
2016-11-29 19:30:00,99.73,99.78,99.7,99.71,20155
2016-11-29 19:40:00,99.74,99.8,99.68,99.68,24756
2016-11-29 19:50:00,99.69,99.82,99.64,99.75,11516
2016-11-29 20:00:00,99.79,99.79,99.66,99.76,21927
2016-11-29 20:10:00,99.78,99.78,99.53,99.54,16414
2016-11-29 20:20:00,99.57,99.61,99.52,99.56,11546
2016-11-29 20:30:00,99.53,99.59,99.52,99.54,22753
2016-11-29 20:40:00,99.56,99.61,99.52,99.6,18217
2016-11-29 20:50:00,99.63,99.74,99.6,99.7,10928
2016-11-29 21:00:00,99.68,99.74,99.61,99.63,10487
2016-11-29 21:10:00,99.61,99.83,99.59,99.79,13307
2016-11-29 21:20:00,99.79,99.85,99.72,99.85,17118
2016-11-29 21:30:00,99.88,99.88,99.76,99.76,20663
2016-11-29 21:40:00,99.76,99.86,99.75,99.85,17926
2016-11-29 21:50:00,99.85,99.94,99.81,99.94,20371
2016-11-29 22:00:00,99.96,100.0,99.78,99.78,20967
2016-11-29 22:10:00,99.75,100.04,99.75,99.99,29417
2016-11-29 22:20:00,99.99,100.09,99.96,99.98,21705
2016-11-29 22:30:00,99.98,100.01,99.84,99.9,22158
2016-11-29 22:40:00,99.89,100.07,99.87,100.03,54481
2016-11-29 22:50:00,100.03,100.12,99.98,100.05,103954
2016-11-30 16:30:00,99.64,100.25,99.64,100.05,22626
2016-11-30 16:40:00,100.03,100.05,99.72,99.87,32150
2016-11-30 16:50:00,99.86,99.94,99.68,99.85,16077
2016-11-30 17:00:00,99.9,100.03,99.84,99.96,59777
2016-11-30 17:10:00,99.93,99.99,99.68,99.9,43438
2016-11-30 17:20:00,99.85,100.0,99.76,99.83,24019
2016-11-30 17:30:00,99.83,99.91,99.72,99.81,19819
2016-11-30 17:40:00,99.79,99.9,99.72,99.86,28811
2016-11-30 17:50:00,99.92,99.92,99.66,99.83,48518
2016-11-30 18:00:00,99.8,99.82,99.61,99.61,49843
2016-11-30 18:10:00,99.67,99.71,99.48,99.52,24273
2016-11-30 18:20:00,99.58,99.61,99.27,99.33,8902
2016-11-30 18:30:00,99.33,99.33,99.15,99.19,15839
2016-11-30 18:40:00,99.19,99.29,99.15,99.27,11460
2016-11-30 18:50:00,99.31,99.31,99.12,99.18,11386
2016-11-30 19:00:00,99.19,99.19,98.99,98.99,10945
2016-11-30 19:10:00,98.99,99.19,98.98,99.19,28824
2016-11-30 19:20:00,99.17,99.19,99.11,99.12,13389
2016-11-30 19:30:00,99.16,99.22,99.13,99.21,7083
2016-11-30 19:40:00,99.18,99.24,99.09,99.11,7100
2016-11-30 19:50:00,99.14,99.18,99.07,99.13,11630
2016-11-30 20:00:00,99.13,99.13,99.04,99.11,11124
2016-11-30 20:10:00,99.09,99.14,98.93,99.03,181476
2016-11-30 20:20:00,98.99,99.04,98.94,98.95,24616
2016-11-30 20:30:00,98.97,98.97,98.75,98.76,11709
2016-11-30 20:40:00,98.75,98.75,98.65,98.72,16264
2016-11-30 20:50:00,98.74,98.84,98.63,98.63,26868
2016-11-30 21:00:00,98.64,98.64,98.36,98.4,8740
2016-11-30 21:10:00,98.4,98.42,98.18,98.2,42039
2016-11-30 21:20:00,98.2,98.28,98.17,98.26,19237
2016-11-30 21:30:00,98.26,98.26,98.17,98.18,34534
2016-11-30 21:40:00,98.17,98.2,98.07,98.18,20773
2016-11-30 21:50:00,98.19,98.25,98.13,98.16,14614
2016-11-30 22:00:00,98.12,98.19,98.12,98.16,19960
2016-11-30 22:10:00,98.16,98.3,98.16,98.24,24354
2016-11-30 22:20:00,98.26,98.5,98.25,98.45,62337
2016-11-30 22:30:00,98.45,98.45,98.15,98.23,84861
2016-11-30 22:40:00,98.22,98.26,98.06,98.17,86629
2016-11-30 22:50:00,98.16,98.23,98.07,98.1,146909
2016-12-01 16:30:00,97.73,98.25,96.6,96.93,72099
2016-12-01 16:40:00,96.93,97.14,96.54,96.54,72822
2016-12-01 16:50:00,96.53,96.53,95.75,95.8,88719
2016-12-01 17:00:00,95.78,96.02,95.44,95.99,70961
2016-12-01 17:10:00,95.93,95.96,95.23,95.7,63172
2016-12-01 17:20:00,95.66,95.7,94.72,94.84,125440
2016-12-01 17:30:00,94.85,94.99,94.4,94.9,121835
2016-12-01 17:40:00,94.89,95.11,94.89,95.03,112081
2016-12-01 17:50:00,95.03,95.09,94.84,94.85,97759
2016-12-01 18:00:00,94.85,94.9,94.6,94.65,57405
2016-12-01 18:10:00,94.7,94.8,94.49,94.8,33272
2016-12-01 18:20:00,94.81,95.01,94.75,94.97,73559
2016-12-01 18:30:00,94.95,95.03,94.87,95.02,65949
2016-12-01 18:40:00,95.04,95.17,94.8,94.8,87172
2016-12-01 18:50:00,94.76,94.76,94.4,94.4,48050
2016-12-01 19:00:00,94.37,94.6,94.28,94.5,41104
2016-12-01 19:10:00,94.49,94.75,94.45,94.57,31213
2016-12-01 19:20:00,94.64,94.78,94.59,94.63,22942
2016-12-01 19:30:00,94.63,94.64,94.36,94.44,37095
2016-12-01 19:40:00,94.41,94.55,94.38,94.46,57402
2016-12-01 19:50:00,94.48,94.52,94.21,94.34,36047
2016-12-01 20:00:00,94.33,94.35,94.1,94.28,51927
2016-12-01 20:10:00,94.25,94.3,94.23,94.3,21496
2016-12-01 20:20:00,94.29,94.29,94.16,94.21,46440
2016-12-01 20:30:00,94.2,94.32,94.16,94.29,36543
2016-12-01 20:40:00,94.29,94.31,94.11,94.12,101043
2016-12-01 20:50:00,94.13,94.4,94.11,94.31,33128
2016-12-01 21:00:00,94.32,94.52,94.31,94.52,32639
2016-12-01 21:10:00,94.55,94.63,94.48,94.59,28875
2016-12-01 21:20:00,94.58,94.74,94.53,94.63,24631
2016-12-01 21:30:00,94.62,94.62,94.53,94.58,35205
2016-12-01 21:40:00,94.57,94.69,94.56,94.57,34236
2016-12-01 21:50:00,94.57,94.61,94.46,94.48,93831
2016-12-01 22:00:00,94.48,94.48,94.27,94.32,42052
2016-12-01 22:10:00,94.32,94.36,94.19,94.2,52677
2016-12-01 22:20:00,94.21,94.27,94.19,94.21,96442
2016-12-01 22:30:00,94.21,94.3,94.18,94.27,137063
2016-12-01 22:40:00,94.28,94.49,94.23,94.48,154064
2016-12-01 22:50:00,94.46,94.66,94.43,94.65,333317
2016-12-02 16:30:00,94.96,95.67,94.74,95.67,72078
2016-12-02 16:40:00,95.61,95.61,95.06,95.44,33095
2016-12-02 16:50:00,95.44,95.85,95.33,95.42,84012
2016-12-02 17:00:00,95.34,95.62,95.34,95.62,28096
2016-12-02 17:10:00,95.62,95.65,94.99,95.09,44725
2016-12-02 17:20:00,95.16,95.44,95.15,95.34,20156
2016-12-02 17:30:00,95.34,95.39,95.22,95.24,16827
2016-12-02 17:40:00,95.22,95.4,95.14,95.36,36865
2016-12-02 17:50:00,95.33,95.46,95.22,95.3,45364
