datetime,open,high,low,close,volume
1998-01-02,20.5,20.88,20.0,20.82,72800
1998-01-05,20.69,20.69,19.69,19.94,324900
1998-01-06,20.06,20.19,19.69,19.75,254400
1998-01-07,19.75,19.75,19.13,19.19,254100
1998-01-08,19.25,19.63,19.19,19.44,207500
1998-01-09,19.63,20.5,19.56,20.0,246700
1998-01-12,19.75,19.81,19.5,19.81,147200
1998-01-13,19.81,19.81,19.25,19.38,200300
1998-01-14,19.31,19.38,18.5,18.88,116500
1998-01-15,18.81,19.0,18.38,18.38,119100
1998-01-16,18.63,18.63,18.38,18.38,258900
1998-01-20,18.5,18.56,18.18,18.5,421200
1998-01-21,18.56,19.38,18.56,19.06,199200
1998-01-22,19.0,19.69,18.94,19.69,240500
1998-01-23,19.44,19.57,19.31,19.56,83600
1998-01-26,19.5,19.63,19.38,19.5,140000
1998-01-27,19.5,19.63,18.5,18.69,324000
1998-01-28,18.63,18.94,18.25,18.38,162600
1998-01-29,18.31,18.44,18.06,18.38,342000
1998-01-30,18.38,18.56,18.0,18.06,185000
1998-02-02,18.06,18.44,18.0,18.0,193600
1998-02-03,18.06,18.13,17.88,18.0,80300
1998-02-04,18.25,18.5,17.88,18.44,154700
1998-02-05,18.69,18.94,18.63,18.94,149300
1998-02-06,19.0,19.38,18.88,19.38,151900
1998-02-09,19.44,19.44,18.81,19.0,126700
1998-02-10,19.13,19.13,18.81,18.94,108500
1998-02-11,18.75,18.88,18.5,18.81,262300
1998-02-12,18.69,18.88,18.5,18.5,352300
1998-02-13,18.56,18.94,18.5,18.69,160400
1998-02-17,18.69,19.01,18.63,18.75,430900
1998-02-18,18.13,19.13,18.13,19.0,248600
1998-02-19,19.06,19.5,18.63,18.81,471700
1998-02-20,18.81,19.13,18.62,18.88,173600
1998-02-23,18.94,19.06,18.81,19.0,151300
1998-02-24,18.88,19.0,18.63,18.69,227900
1998-02-25,19.13,19.13,18.75,18.75,155400
1998-02-26,19.0,19.5,19.0,19.38,273700
1998-02-27,19.31,19.56,19.19,19.44,168700
1998-03-02,19.94,19.94,19.44,19.81,267900
1998-03-03,19.5,19.88,19.38,19.81,370300
1998-03-04,19.81,19.88,19.63,19.69,189100
1998-03-05,19.81,20.06,19.62,19.75,246000
