datetime,open,high,low,close,volume
2007-04-30,45.3,45.32,44.65,44.66,2064503
2007-05-01,45.42,45.66,44.77,45.09,2620185
2007-05-02,45.17,46.14,45.17,45.75,1673963
2007-05-03,45.78,46.25,45.71,46.12,1970140
2007-05-04,46.36,46.42,45.9,46.41,1900700
2007-05-07,46.41,46.41,45.92,46.08,1031300
2007-05-08,45.9,46.46,45.74,46.41,913500
2007-05-09,45.9,47.47,45.8,47.37,1845600
2007-05-10,47.03,47.1,45.94,46.29,2368210
2007-05-11,46.35,46.93,46.23,46.67,1776400
2007-05-14,46.74,47.4,46.55,46.65,1014200
2007-05-15,48.55,51.14,48.5,49.28,11499109
2007-05-16,48.77,49.28,48.27,48.96,3165300
2007-05-17,48.67,49.01,48.3,48.88,1578694
2007-05-18,49.12,49.52,48.84,49.08,2656013
2007-05-21,49.92,49.92,48.79,48.87,2112400
2007-05-22,48.41,49.2,48.11,48.83,3910676
2007-05-23,49.34,49.34,48.39,48.43,1910600
2007-05-24,48.43,49.09,48.15,48.36,1771150
2007-05-25,48.37,48.97,48.3,48.74,1869600
2007-05-29,49.15,50.0,48.7,49.25,2832900
2007-05-30,48.75,49.69,48.6,49.65,1359500
2007-05-31,50.0,51.57,49.8,51.4,4492700
2007-06-04,51.48,51.8,50.98,51.7,1208500
2007-06-05,51.39,51.75,51.23,51.65,1341300
2007-06-06,51.43,51.43,50.1,50.56,2130776
2007-06-07,50.48,51.45,50.2,50.25,4132300
2007-06-08,50.23,51.15,50.1,51.1,2250200
2007-06-11,50.76,51.45,49.88,51.22,2600600
2007-06-12,50.77,51.03,50.04,50.18,2581300
2007-06-13,50.41,52.97,50.41,52.89,3751900
2007-06-14,52.89,52.99,52.21,52.48,3048400
2007-06-15,52.5,52.75,52.05,52.36,3378700
2007-06-18,53.29,55.0,53.04,54.73,4119960
2007-06-19,54.37,55.28,54.15,55.06,3057635
2007-06-20,55.05,56.63,54.56,55.52,6171600
2007-06-21,55.24,56.36,54.62,56.0,4954600
2007-06-22,55.6,56.31,55.1,55.5,5736575
2007-06-25,55.73,55.88,54.78,55.03,3023500
2007-06-26,55.4,55.4,53.9,54.08,2913795
2007-06-27,53.89,54.8,53.27,54.7,2338167
2007-06-28,54.5,55.34,54.21,54.78,1620500
2007-06-29,54.83,55.43,54.41,54.79,1792150
2007-07-02,54.92,55.68,54.82,55.55,1936900
2007-07-03,55.52,55.88,55.23,55.75,925300
2007-07-05,55.42,55.72,54.84,55.15,1670000
2007-07-06,55.38,55.84,54.8,54.94,1948700
2007-07-09,54.9,55.61,54.86,55.48,1775800
2007-07-10,54.95,55.52,54.65,54.9,2849800
2007-07-11,54.54,55.53,54.5,54.7,1920800
2007-07-12,54.87,55.48,54.73,55.41,2064000
2007-07-13,55.35,55.88,54.95,55.14,1628500
2007-07-16,55.2,56.22,55.01,55.9,1637867
2007-07-17,56.66,56.66,55.31,55.81,1831800
2007-07-18,55.46,56.25,55.31,55.99,1849913
2007-07-19,56.1,56.25,55.7,55.7,1389444
2007-07-20,55.2,55.24,54.52,54.67,2157000
2007-07-23,55.05,55.42,54.63,54.77,1483943
2007-07-24,54.32,54.65,52.82,53.03,2281382
2007-07-25,53.2,53.3,50.87,51.84,3515325
2007-07-26,51.65,52.0,49.42,50.76,3763428
2007-07-27,49.69,50.89,47.16,48.03,5344900
2007-07-30,52.35,52.35,49.77,51.67,6402966
2007-07-31,51.98,52.36,50.08,50.32,3975498
2007-08-01,49.49,50.88,48.91,50.69,3058964
2007-08-02,50.83,51.86,50.73,51.78,2368947
2007-08-03,51.7,51.81,50.01,50.05,2242901
2007-08-06,50.29,51.7,49.9,51.67,3104529
2007-08-07,51.2,51.36,50.15,50.9,2659454
2007-08-08,51.16,51.4,50.3,51.05,2339142
2007-08-09,50.04,50.82,48.37,48.55,3721316
2007-08-10,48.3,49.13,46.8,48.51,4784767
2007-08-13,48.5,50.74,48.44,49.85,3084600
2007-08-14,49.83,50.23,46.62,47.83,3153390
2007-08-15,47.62,49.09,47.49,48.07,3110131
2007-08-16,47.73,48.0,44.52,47.22,6036458
2007-08-17,47.75,50.99,47.75,48.39,3472146
2007-08-20,48.6,49.75,48.47,49.42,2244797
2007-08-21,49.1,50.61,49.1,49.99,2410300
2007-08-22,50.21,51.71,50.0,51.17,2158700
2007-08-23,51.5,51.53,50.25,50.56,1846400
2007-08-24,50.53,52.08,50.53,52.06,2379400
2007-08-27,51.95,52.03,50.84,50.98,1129900
