datetime,open,high,low,close,volume
1998-01-02,62.25,62.63,61.56,62.44,140600
1998-01-05,62.63,63.5,61.75,62.13,467601
1998-01-06,61.63,61.81,60.69,60.94,394100
1998-01-07,60.94,60.94,59.25,60.0,523201
1998-01-08,59.94,60.5,59.0,60.0,379700
1998-01-09,59.88,59.94,58.0,58.19,276500
1998-01-12,57.0,58.94,57.0,58.75,554602
1998-01-13,58.56,59.13,58.0,59.07,303100
1998-01-14,59.25,59.25,57.88,58.88,286600
1998-01-15,59.19,60.38,58.25,58.5,542600
1998-01-16,58.44,59.01,58.13,58.25,223800
1998-01-20,58.38,58.44,57.19,57.32,474000
1998-01-21,57.13,58.13,57.06,57.5,518300
1998-01-22,57.13,58.25,57.06,57.31,493400
1998-01-23,57.19,57.5,56.5,56.81,660300
1998-01-26,56.5,57.06,56.38,56.94,334500
1998-01-27,57.25,57.88,56.94,56.94,663100
1998-01-28,56.88,58.25,56.88,58.0,2215301
1998-01-29,58.0,60.13,57.88,59.5,2346500
1998-01-30,59.5,60.31,59.06,60.0,406900
1998-02-02,60.81,62.19,60.62,62.13,478300
1998-02-03,61.75,63.63,61.56,63.56,710100
1998-02-04,63.31,65.56,63.25,65.38,1003500
1998-02-05,65.88,66.01,64.43,64.69,652800
1998-02-06,64.75,66.06,64.75,65.94,359002
1998-02-09,65.88,68.5,65.81,67.88,751300
1998-02-10,67.94,69.88,67.88,68.75,668601
1998-02-11,69.25,70.06,68.0,68.0,668100
1998-02-12,67.25,67.94,66.06,67.88,342000
1998-02-13,67.06,70.06,67.06,69.69,750303
1998-02-17,70.0,70.13,68.43,69.63,434000
1998-02-18,69.63,69.63,69.12,69.31,293000
1998-02-19,69.0,69.13,68.13,68.19,169800
1998-02-20,68.44,68.88,67.69,68.44,329901
1998-02-23,69.94,70.5,69.63,70.5,769103
1998-02-24,70.5,70.69,69.0,69.19,351100
1998-02-25,69.31,72.25,69.31,72.07,521901
1998-02-26,73.0,75.0,72.81,74.56,1189901
1998-02-27,74.13,74.94,73.37,74.88,260100
1998-03-02,74.75,75.5,73.88,74.5,328301
1998-03-03,74.13,74.94,73.19,73.81,332300
1998-03-04,73.69,74.31,73.44,73.44,222400
1998-03-05,72.0,72.56,71.94,72.25,491701
1998-03-06,72.06,73.56,72.06,73.38,271800
1998-03-09,73.19,73.63,72.87,73.56,264501
1998-03-10,73.63,73.69,72.13,72.94,328400
