datetime,open,high,low,close,volume
2007-04-22,33.95,33.95,33.93,33.94,35900
2007-04-29,33.87,33.89,32.9,33.55,2094500
2007-05-06,33.49,33.8,33.03,33.5,1442200
2007-05-13,33.51,33.65,33.05,33.61,1506300
2007-05-20,33.53,33.72,32.92,33.14,1285000
2007-05-27,33.18,33.9,32.95,33.57,935800
2007-06-03,33.78,34.08,32.39,32.68,2375300
2007-06-10,32.64,33.53,32.1,33.29,2168500
2007-06-17,33.28,34.0,32.48,32.83,2286400
2007-06-24,32.84,33.34,31.95,33.17,5031396
2007-07-01,33.21,34.46,33.14,34.34,2670986
2007-07-08,34.33,34.53,33.26,33.98,3565600
2007-07-15,33.33,33.91,32.47,32.54,3920314
2007-07-22,32.75,33.24,30.65,30.76,4834777
2007-07-29,30.91,33.98,28.73,28.88,7366779
2007-08-05,29.05,30.89,28.76,30.25,6286848
2007-08-12,30.39,30.73,28.01,29.46,4255003
2007-08-19,29.53,30.6,29.28,29.9,2917800
2007-08-26,30.01,30.16,28.83,29.82,2422500
2007-09-02,29.75,29.99,28.9,29.24,3302500
2007-09-09,29.19,29.7,28.59,29.25,4254204
2007-09-16,29.22,30.35,29.08,29.81,4690300
2007-09-23,29.76,29.93,28.79,29.1,3351800
2007-09-30,29.25,29.91,27.5,29.07,6356700
2007-10-07,29.05,29.67,28.2,28.35,4471115
2007-10-14,28.42,28.76,27.98,28.06,4512016
2007-10-21,28.03,28.55,27.37,27.78,4549000
2007-10-28,27.66,29.92,27.08,28.25,6849300
2007-11-04,27.83,29.0,27.83,28.26,5895684
2007-11-11,28.13,29.21,27.24,27.56,5344440
2007-11-18,27.3,27.52,26.4,26.84,4461515
2007-11-25,26.69,27.44,25.77,27.14,6449464
2007-12-02,27.21,27.89,26.57,27.59,3336164
2007-12-09,27.75,28.06,26.75,26.78,3414115
2007-12-16,26.78,26.92,25.53,26.44,4314247
2007-12-23,26.4,27.51,26.31,27.4,2473829
2007-12-30,27.32,27.51,25.48,25.57,4431657
2008-01-06,25.87,25.95,23.96,24.79,7169322
2008-01-13,24.87,25.05,23.8,24.0,6550176
2008-01-20,22.92,25.84,22.5,25.22,7798755
2008-01-27,25.17,27.71,25.04,27.65,9069374
2008-02-03,27.81,27.87,26.09,26.58,4641861
2008-02-10,26.34,27.35,25.83,26.2,5440033
2008-02-17,26.32,26.84,25.5,26.08,3497763
2008-02-24,26.17,26.64,24.75,24.85,4262419
2008-03-02,24.71,24.99,23.61,23.75,6295966
2008-03-09,23.81,24.71,23.24,24.01,4990674
2008-03-16,23.77,25.1,23.28,24.4,5382381
2008-03-23,24.59,25.99,24.59,25.11,3720892
2008-03-30,24.89,27.12,24.89,26.85,4807435
2008-04-06,27.01,27.22,25.53,25.73,4931637
2008-04-13,25.69,27.86,25.57,27.76,4202487
2008-04-20,27.59,27.69,25.93,26.8,4236948
2008-04-27,26.7,27.58,25.96,26.29,4502703
2008-05-04,26.19,27.28,26.08,26.82,3740502
2008-05-11,26.97,27.57,26.63,27.51,3054312
2008-05-18,27.47,27.8,25.83,25.91,5890824
2008-05-25,26.01,27.3,25.69,26.54,3635758
2008-06-01,26.6,26.67,25.39,25.5,4817751
2008-06-08,25.45,25.8,24.5,25.73,4102359
2008-06-15,24.59,25.09,23.69,23.72,6618427
2008-06-22,23.98,23.98,22.62,22.74,6588547
2008-06-29,22.73,22.85,21.82,22.58,5595946
2008-07-06,22.47,23.74,22.24,22.99,7951263
2008-07-13,23.23,24.97,22.05,24.82,8463334
2008-07-20,24.75,26.55,24.28,25.75,6432490
2008-07-27,25.75,28.63,25.22,28.1,9863493
2008-08-03,28.09,29.17,27.79,29.02,5169571
2008-08-10,28.68,29.44,28.03,28.44,5218570
2008-08-17,28.67,28.73,27.11,27.57,3004185
2008-08-24,27.66,28.39,27.31,27.95,3718358
2008-08-31,28.06,28.96,27.0,27.79,3684874
2008-09-07,28.23,28.67,27.24,28.51,6064200
2008-09-14,28.14,29.7,26.68,28.57,7712747
2008-09-21,28.4,29.05,26.68,27.34,3848383
2008-09-28,27.22,27.22,24.64,24.83,5137806
2008-10-05,24.26,25.38,21.34,23.53,8300024
2008-10-12,24.34,25.62,20.62,22.63,7976274
2008-10-19,22.88,24.22,21.59,22.64,8185702
2008-10-26,22.39,25.3,21.52,24.85,7937213
2008-11-02,24.79,25.86,23.05,24.07,5326548
2008-11-09,24.48,25.25,22.71,24.14,5170537
2008-11-16,23.92,24.58,22.18,24.4,6332486
2008-11-23,24.83,27.02,24.41,27.02,3900920
2008-11-30,26.39,26.67,23.65,25.6,5793880
2008-12-07,26.66,26.92,24.11,25.01,5529439
2008-12-14,24.77,26.25,24.67,25.24,4727578
2008-12-21,25.21,25.27,23.92,24.23,2358328
2008-12-28,24.01,24.8,23.07,24.54,4937314
2009-01-04,24.59,26.27,23.44,23.58,9983025
2009-01-11,23.4,23.72,22.07,23.32,6217748
2009-01-18,23.14,23.49,22.05,23.11,4964333
2009-01-25,23.21,23.59,22.42,22.55,5589495
2009-02-01,22.18,23.17,21.81,22.97,5560071
2009-02-08,22.96,23.2,20.8,20.88,4458825
2009-02-15,20.22,20.57,18.87,19.16,4744567
2009-02-22,19.36,19.46,17.98,18.6,6518290
2009-03-01,18.2,18.47,16.85,17.23,5187289
2009-03-08,17.02,19.35,16.97,19.27,5002933
2009-03-15,19.47,20.76,19.27,20.12,4306230
2009-03-22,20.48,21.99,20.19,21.14,5531891
2009-03-29,20.76,21.89,20.29,21.81,6004912
2009-04-05,21.64,22.01,20.88,21.82,3182395
2009-04-12,21.69,22.66,20.67,22.54,4103542
2009-04-19,22.33,24.38,21.39,24.13,5222182
2009-04-26,23.95,24.86,22.88,24.26,4487807
2009-05-03,24.53,25.79,24.15,25.75,4045488
2009-05-10,24.78,24.8,23.03,24.0,6227618
2009-05-17,24.24,25.11,23.43,23.83,3225450
2009-05-24,23.54,25.08,23.51,25.07,3050032
2009-05-31,25.36,26.32,24.94,25.55,4383857
2009-06-07,25.33,25.72,24.82,25.0,3557936
2009-06-14,24.82,25.01,23.64,24.07,3456922
2009-06-21,23.79,24.95,23.41,24.69,3166626
2009-06-28,24.81,25.53,24.34,24.37,2649100
2009-07-05,24.11,25.71,23.88,24.62,6380671
2009-07-12,24.62,27.66,24.21,26.8,6787832
2009-07-19,26.92,27.63,25.77,26.36,14512641
2009-07-26,26.36,26.84,26.01,26.34,6677763
2009-08-02,26.45,27.21,26.36,26.9,4268840
2009-08-09,26.63,27.51,26.24,26.38,3172067
2009-08-16,26.12,26.94,25.63,26.9,4391869
2009-08-23,27.02,27.08,26.23,26.58,2539341
2009-08-30,26.32,26.86,25.5,26.0,2850840
2009-09-06,26.27,26.57,25.68,26.02,1860324
2009-09-13,25.89,27.5,25.89,27.38,3271838
2009-09-20,27.2,27.2,25.62,25.93,3169103
2009-09-27,26.04,26.61,24.92,25.11,3392107
2009-10-04,25.22,26.22,25.03,26.2,3221672
2009-10-11,26.23,27.06,26.05,26.54,3390954
2009-10-18,26.6,27.14,25.91,26.1,3187845
2009-10-25,26.07,27.68,25.42,25.84,6480720
2009-11-01,26.01,27.65,25.99,27.57,5211597
2009-11-08,27.91,28.83,27.7,28.4,4884180
2009-11-15,28.68,29.1,28.33,28.55,3486472
2009-11-22,28.79,29.54,28.51,28.76,2466001
