datetime,open,high,low,close,volume
1997-12-28,58.06,58.88,57.63,58.13,92400
1998-01-04,57.97,58.56,54.8,55.0,905680
1998-01-11,54.63,56.98,54.44,55.88,1550390
1998-01-18,56.19,57.5,54.5,55.06,563400
1998-01-25,55.25,57.5,54.13,55.85,974750
1998-02-01,56.69,57.44,55.44,56.31,532680
1998-02-08,56.25,57.9,55.25,56.0,1076000
1998-02-15,56.12,57.97,54.87,57.91,1503540
1998-02-22,58.03,59.96,57.72,59.84,1527790
1998-03-01,59.78,61.43,59.18,61.25,1244010
1998-03-08,61.25,65.0,61.25,64.37,1219430
1998-03-15,64.37,65.43,64.01,65.43,1042330
1998-03-22,65.37,67.0,63.63,65.44,1192040
1998-03-29,65.19,68.16,64.0,66.97,1099630
1998-04-05,66.87,67.62,66.47,66.81,741410
1998-04-12,66.75,67.87,66.25,67.4,2470680
1998-04-19,67.25,67.25,65.31,65.44,1094070
1998-04-26,65.44,66.12,62.69,64.13,805990
1998-05-03,64.44,65.12,62.04,63.88,899180
1998-05-10,63.95,64.85,62.56,63.52,1045540
1998-05-17,63.53,66.31,63.41,65.02,805520
1998-05-24,65.21,65.77,63.19,64.06,659250
1998-05-31,63.88,64.5,63.19,63.75,1011270
1998-06-07,63.9,65.62,61.5,64.62,1721650
1998-06-14,64.37,66.56,62.25,66.31,1648170
1998-06-21,66.15,71.37,65.59,71.12,1561310
1998-06-28,70.87,72.25,69.5,71.31,1425380
1998-07-05,72.31,75.56,72.25,73.81,1118010
1998-07-12,73.53,74.25,71.25,71.5,972780
1998-07-19,71.62,72.37,69.19,69.44,1028750
1998-07-26,68.87,70.31,66.44,67.9,1434700
1998-08-02,68.62,69.19,64.87,66.44,1708350
1998-08-09,66.12,67.69,63.38,66.37,1280750
1998-08-16,66.37,69.34,66.0,67.31,1323060
1998-08-23,68.0,68.12,64.31,64.94,1954950
1998-08-30,65.37,65.62,58.88,60.88,2404250
1998-09-06,62.0,66.62,60.75,63.0,905910
1998-09-13,63.13,68.56,63.13,67.97,1245260
1998-09-20,67.5,69.81,66.37,66.94,1000430
1998-09-27,68.0,68.0,60.25,61.5,1273260
1998-10-04,61.44,62.57,48.25,53.81,3761320
1998-10-11,53.81,60.13,53.81,58.13,1604540
1998-10-18,58.26,63.81,58.13,59.31,2131310
1998-10-25,59.32,63.0,59.19,62.0,1357130
1998-11-01,62.25,63.13,53.75,56.75,5249610
1998-11-08,56.75,57.5,53.5,57.5,1607080
1998-11-15,57.54,61.25,56.66,59.81,1403120
1998-11-22,60.06,61.06,58.69,58.94,832350
1998-11-29,58.98,58.98,55.81,56.81,1088250
1998-12-06,56.38,58.25,55.75,56.31,1399990
1998-12-13,55.94,57.25,54.31,56.56,1192680
1998-12-20,56.44,56.94,53.0,55.06,1349110
1998-12-27,55.41,56.09,53.6,55.38,689250
1999-01-03,55.31,57.13,55.0,55.75,2614040
1999-01-10,55.13,55.56,53.41,54.97,3740740
1999-01-17,54.78,55.03,52.0,52.31,741790
1999-01-24,52.0,52.5,50.09,50.65,1369720
1999-01-31,50.75,51.64,49.06,50.03,1552840
