datetime,open,high,low,close,volume
1998-05-31,36.81,36.81,36.31,36.31,18900
1998-06-07,36.25,36.88,35.0,35.5,417000
1998-06-14,35.63,36.57,35.5,36.38,1197100
1998-06-21,36.38,36.88,35.94,36.5,1004400
1998-06-28,36.5,37.88,36.18,37.63,799900
1998-07-05,37.88,38.44,36.0,37.0,741300
1998-07-12,37.0,37.13,36.38,36.63,570200
1998-07-19,36.56,36.75,36.25,36.5,550100
1998-07-26,36.38,36.56,35.56,35.81,595200
1998-08-02,35.75,35.81,32.31,33.69,642500
1998-08-09,33.56,34.75,33.25,34.44,388200
1998-08-16,34.63,34.88,34.31,34.63,410900
1998-08-23,34.63,34.69,33.5,33.63,407200
1998-08-30,33.63,33.63,32.0,32.19,262800
1998-09-06,32.38,32.38,30.88,31.13,147800
1998-09-13,31.0,32.63,30.5,32.63,399600
1998-09-20,32.56,35.69,32.5,34.44,507200
1998-09-27,33.94,34.5,33.13,33.69,298300
1998-10-04,33.81,34.0,31.13,31.69,355200
1998-10-11,31.94,33.38,31.94,33.13,576600
1998-10-18,33.06,33.56,32.56,32.56,438400
1998-10-25,32.56,33.0,31.38,32.06,651900
1998-11-01,32.19,33.75,32.19,32.88,406300
1998-11-08,33.25,33.25,32.5,32.63,481700
1998-11-15,32.56,33.44,32.5,33.0,925500
1998-11-22,32.94,34.19,32.81,33.88,460200
1998-11-29,34.0,34.19,33.19,33.88,580400
1998-12-06,33.94,34.0,33.31,33.63,504200
1998-12-13,33.63,34.13,33.25,33.69,456600
1998-12-20,34.0,34.0,33.5,33.56,265700
1998-12-27,33.5,33.94,32.75,33.88,224400
1999-01-03,34.13,34.13,33.69,33.81,1162100
1999-01-10,33.81,34.0,33.38,33.63,312600
1999-01-17,33.88,34.31,33.63,33.75,643500
1999-01-24,33.75,33.75,31.0,32.13,3202200
1999-01-31,32.31,33.13,32.25,32.56,1117100
1999-02-07,32.56,32.63,31.94,32.13,459000
1999-02-14,32.06,32.25,31.31,31.5,636400
1999-02-21,31.75,32.0,31.19,31.5,643100
1999-02-28,31.69,32.13,31.25,32.0,735600
1999-03-07,32.25,32.26,31.5,31.56,323200
1999-03-14,31.88,32.13,31.5,31.69,225400
1999-03-21,31.63,32.0,30.94,31.13,308200
1999-03-28,31.38,31.75,30.81,31.5,388100
1999-04-04,31.63,31.63,31.0,31.5,275300
1999-04-11,31.25,33.75,31.25,33.75,932900
1999-04-18,33.88,35.63,33.88,35.5,492700
1999-04-25,35.25,35.44,34.56,35.0,820500
1999-05-02,35.06,35.31,34.13,35.13,1110900
1999-05-09,35.25,36.38,35.19,35.75,696600
1999-05-16,35.75,36.01,34.88,35.81,574400
1999-05-23,35.63,36.13,35.25,35.38,301900
1999-05-30,35.25,35.31,34.63,35.19,291700
1999-06-06,35.19,35.26,34.75,35.06,422900
1999-06-13,35.0,36.25,34.88,35.69,518500
1999-06-20,35.44,36.0,34.63,34.88,474500
1999-06-27,34.38,35.44,34.31,35.31,474900
1999-07-04,35.44,35.44,33.81,34.25,420600
1999-07-11,34.38,34.38,33.0,33.37,598300
1999-07-18,33.31,34.76,33.31,34.38,575300
1999-07-25,34.5,34.63,33.75,33.81,410700
1999-08-01,34.13,34.25,33.75,33.94,552100
1999-08-08,33.94,34.63,33.81,34.31,248100
1999-08-15,34.31,35.13,34.0,35.0,339300
1999-08-22,35.0,35.5,34.63,35.13,230400
1999-08-29,35.13,35.63,34.5,35.63,316100
1999-09-05,35.56,35.81,35.25,35.44,161300
1999-09-12,35.38,35.63,35.13,35.38,426800
1999-09-19,35.31,35.31,33.56,33.63,429900
1999-09-26,33.88,34.0,32.56,33.75,751600
1999-10-03,33.94,34.56,33.19,33.44,410800
1999-10-10,33.5,33.94,31.06,31.12,717600
1999-10-17,31.5,31.94,31.25,31.69,1045100
1999-10-24,31.63,32.38,31.5,32.38,469400
1999-10-31,32.25,33.26,32.25,32.88,316300
1999-11-07,32.69,33.13,32.38,32.44,308900
1999-11-14,32.63,32.63,31.5,32.25,389900
1999-11-21,32.44,32.44,31.88,32.0,358700
1999-11-28,31.88,32.5,31.69,32.31,455100
1999-12-05,32.25,32.38,31.5,32.06,500200
1999-12-12,32.06,33.13,30.88,33.06,847700
1999-12-19,33.25,34.38,33.0,34.31,530500
1999-12-26,34.06,35.0,33.75,34.63,431500
2000-01-02,34.19,36.0,32.63,35.5,669200
2000-01-09,35.5,35.94,34.69,35.0,511400
2000-01-16,35.0,35.56,34.5,35.25,324600
2000-01-23,35.06,35.32,34.63,34.69,528000
2000-01-30,34.63,34.75,34.06,34.44,374900
