datetime,open,high,low,close,volume
1997-12-28,99.81,99.81,98.62,99.63,840702
1998-01-04,100.5,100.75,96.0,96.0,9013871
1998-01-11,94.06,97.13,93.57,96.06,6867461
1998-01-18,97.0,99.76,96.31,98.63,5033775
1998-01-25,98.88,108.38,97.0,106.69,10157141
1998-02-01,106.88,109.38,106.75,108.44,5958991
1998-02-08,109.19,111.63,106.5,111.37,5437415
1998-02-15,112.19,115.51,111.75,114.44,5032486
1998-02-22,114.56,115.75,109.0,111.88,7275863
1998-03-01,111.25,111.94,104.69,105.31,8984691
1998-03-08,105.38,107.88,104.38,106.06,5215450
1998-03-15,106.44,108.76,105.37,106.94,5533744
1998-03-22,104.5,108.19,102.75,107.37,7542349
1998-03-29,107.0,110.94,104.94,110.94,6307545
1998-04-05,111.19,111.19,105.69,109.0,3871418
1998-04-12,109.06,114.81,108.93,113.32,7128039
1998-04-19,113.5,127.63,113.44,122.38,17561503
1998-04-26,120.56,125.63,119.25,125.63,8644241
1998-05-03,126.69,128.38,118.94,119.12,8937876
1998-05-10,119.88,121.25,110.56,110.75,10903112
1998-05-17,111.0,116.76,109.06,116.25,10557407
1998-05-24,116.69,116.75,110.69,113.75,6307646
1998-05-31,113.88,114.94,108.06,114.62,8424094
1998-06-07,114.69,119.69,113.25,115.25,8902039
1998-06-14,113.69,116.25,106.87,107.25,13664490
1998-06-21,105.63,113.87,104.5,110.5,12282493
1998-06-28,112.25,113.75,105.06,106.31,15605228
1998-07-05,106.25,111.38,36.5,38.13,28070890
1998-07-12,39.0,40.32,38.07,39.31,50664515
1998-07-19,39.38,39.76,36.06,36.88,28881489
1998-07-26,36.63,36.69,34.25,34.44,22890236
1998-08-02,34.56,35.19,32.25,33.25,29152885
1998-08-09,33.44,33.63,31.25,31.57,28313960
1998-08-16,31.56,33.88,31.12,33.25,23051328
1998-08-23,33.94,34.69,30.06,30.63,26411903
1998-08-30,30.88,31.88,26.0,27.94,47680062
1998-09-06,29.75,30.19,26.62,27.57,31550842
1998-09-13,25.25,26.0,23.87,25.44,56661768
1998-09-20,25.0,27.13,24.88,25.75,29463097
1998-09-27,26.19,26.56,24.5,25.31,24784517
1998-10-04,25.25,26.0,22.5,23.63,28604432
1998-10-11,24.75,26.01,24.18,25.5,24857156
1998-10-18,25.13,28.0,25.13,27.5,24328854
1998-10-25,27.94,28.01,25.75,26.94,22783351
1998-11-01,27.5,30.63,27.44,30.25,36306500
1998-11-08,30.5,30.63,28.12,29.12,23219100
1998-11-15,29.31,29.82,28.12,28.44,27405800
1998-11-22,28.69,32.13,28.63,31.87,26696000
1998-11-29,32.44,33.13,30.69,31.38,27495100
1998-12-06,31.38,33.69,30.87,31.94,26393000
1998-12-13,31.31,31.5,30.06,30.63,23777100
1998-12-20,30.75,31.38,29.93,30.56,19508200
1998-12-27,30.88,31.0,29.56,29.88,18838400
1999-01-03,30.19,32.82,29.25,32.44,43451600
1999-01-10,33.13,38.69,33.07,36.06,65864400
1999-01-17,36.0,36.94,34.0,34.07,25241000
1999-01-24,34.19,35.38,32.69,33.38,40485800
1999-01-31,33.81,34.69,32.81,34.19,31061400
1999-02-07,34.25,35.57,33.32,35.38,28846300
1999-02-14,35.94,36.01,34.0,34.06,16838600
1999-02-21,34.13,36.01,34.06,35.13,26390100
1999-02-28,35.25,36.01,34.06,35.88,23425800
1999-03-07,35.94,36.69,34.12,36.0,33028900
1999-03-14,36.13,36.57,34.56,34.94,24069700
1999-03-21,34.94,35.01,32.63,32.94,30508100
1999-03-28,33.06,33.19,31.0,31.5,27476300
1999-04-04,31.94,34.81,30.5,34.63,44834900
1999-04-11,34.88,36.0,33.31,33.37,31264000
1999-04-18,32.56,35.01,32.06,34.88,25168400
1999-04-25,34.94,35.26,30.12,31.37,44155500
1999-05-02,30.75,31.63,29.56,30.06,33860000
1999-05-09,30.13,30.57,28.5,29.37,41893600
1999-05-16,29.19,30.19,28.81,29.43,32665800
1999-05-23,29.56,30.44,28.93,29.13,27587300
1999-05-30,28.88,30.88,28.62,30.63,24223700
1999-06-06,30.75,31.25,28.56,28.81,26703000
1999-06-13,29.19,30.63,28.62,30.44,22697600
1999-06-20,30.94,30.94,29.38,29.69,21549700
1999-06-27,29.63,30.38,28.13,28.44,38988300
1999-07-04,28.25,28.75,27.32,27.5,42479800
1999-07-11,28.25,28.32,27.31,28.0,51660700
