datetime,open,high,low,close,volume
2000-08-06,13.0,13.75,12.0,13.12,23477900
2000-08-13,13.09,14.38,11.94,14.32,8543000
2000-08-20,15.06,16.25,12.06,12.88,4919000
2000-08-27,13.41,16.5,12.5,15.75,5251900
2000-09-03,15.81,16.25,13.37,14.06,2533200
2000-09-10,13.81,14.0,12.37,12.56,2740000
2000-09-17,13.13,13.26,9.43,10.56,3663900
2000-09-24,10.63,10.81,8.63,8.88,2906900
2000-10-01,9.38,9.44,5.94,6.0,1662700
2000-10-08,6.59,7.88,4.06,7.56,4245600
2000-10-15,8.13,9.31,5.93,7.32,3113700
2000-10-22,7.38,9.63,7.13,9.0,1828500
2000-10-29,8.94,10.44,8.62,9.13,1331800
2000-11-05,9.25,9.38,7.44,7.44,1883000
2000-11-12,6.94,7.31,6.25,6.63,1977400
2000-11-19,6.53,6.5600000000000005,6.0,6.03,809600
2000-11-26,6.38,6.63,4.25,4.8100000000000005,1260800
2000-12-03,4.84,6.01,4.5,5.5,658700
2000-12-10,5.53,7.63,5.5,6.69,776300
2000-12-17,7.09,7.12,3.94,4.0,1440600
2000-12-24,4.06,4.72,3.25,4.38,1917600
2000-12-31,4.41,4.5,3.25,4.0,1610300
2001-01-07,4.0,4.63,3.56,4.63,1000700
2001-01-14,4.75,6.13,4.5,5.88,794900
2001-01-21,6.0,7.51,5.5,6.0,1094100
2001-01-28,6.16,6.38,5.87,6.0,464300
2001-02-04,5.97,7.0,4.87,6.19,907800
2001-02-11,6.0,6.5,4.31,4.47,550600
2001-02-18,4.5,4.94,3.75,3.94,906200
2001-02-25,3.97,4.03,2.75,2.84,1430000
2001-03-04,2.97,3.75,2.75,2.78,1735600
2001-03-11,2.81,2.81,1.56,1.75,2060100
2001-03-18,1.84,2.09,1.84,2.03,1947700
2001-03-25,2.03,2.03,1.06,1.25,2334000
2001-04-01,1.38,1.44,0.5,0.56,4283500
2001-04-08,0.83,1.43,0.72,1.3,5799000
2001-04-15,1.4,1.85,1.26,1.5,3635500
2001-04-22,1.5,1.53,1.19,1.3,1855400
2001-04-29,1.36,1.91,1.27,1.62,2531800
2001-05-06,1.64,1.7,1.2,1.39,1538500
2001-05-13,1.42,1.42,1.0,1.2,1926600
2001-05-20,1.2,1.7,1.2,1.5,941300
2001-05-27,1.55,1.5699999999999998,1.24,1.35,773300
2001-06-03,1.46,1.56,1.29,1.35,812900
2001-06-10,1.36,1.4,1.05,1.15,929000
2001-06-17,1.37,1.44,1.01,1.11,1466400
2001-06-24,1.15,1.25,1.01,1.07,4156600
2001-07-01,1.1,1.13,1.01,1.05,499100
2001-07-08,1.09,1.1,1.0,1.03,1085600
2001-07-15,1.03,1.55,1.03,1.43,1549600
2001-07-22,1.46,1.46,1.2,1.35,592100
2001-07-29,1.33,1.39,1.2,1.21,290900
2001-08-05,1.25,1.29,1.2,1.24,284700
2001-08-12,1.22,1.25,1.05,1.15,370000
2001-08-19,1.11,1.15,0.8,0.94,713300
2001-08-26,1.03,1.05,0.72,0.73,1607400
2001-09-02,0.75,0.78,0.6,0.65,1033600
2001-09-09,0.68,0.68,0.5,0.58,3941500
2001-09-16,0.53,0.58,0.35,0.44,2293300
2001-09-23,0.48,0.54,0.33,0.45,2837900
2001-09-30,0.44,0.49,0.39,0.42,1590100
2001-10-07,0.45,0.54,0.35,0.53,1988500
2001-10-14,0.57,0.76,0.51,0.59,2464500
2001-10-21,0.6,0.67,0.4,0.46,2985400
2001-10-28,0.49,0.55,0.46,0.52,1778500
2001-11-04,0.54,0.76,0.51,0.72,2566400
2001-11-11,0.74,1.2,0.7,1.1,3426500
2001-11-18,1.18,1.49,1.13,1.35,1691100
2001-11-25,1.44,2.07,1.2,1.65,3874700
2001-12-02,1.7,1.75,1.27,1.41,2092500
2001-12-09,1.41,2.38,1.34,1.99,3757000
2001-12-16,2.06,2.15,1.78,1.95,1698300
2001-12-23,2.0,3.48,1.95,3.17,5090900
2001-12-30,3.14,3.31,2.52,3.13,2622900
2002-01-06,3.28,3.53,2.9,3.18,3182900
2002-01-13,3.14,3.15,2.16,2.32,2573100
2002-01-20,2.2,2.6,1.97,2.42,2677800
2002-01-27,2.52,2.52,2.01,2.14,1796400
2002-02-03,2.13,2.14,1.4,1.82,3092100
2002-02-10,1.91,2.32,1.8,1.89,2041800
2002-02-17,1.86,1.88,1.38,1.49,1449300
2002-02-24,1.5,1.64,1.21,1.3,1366100
2002-03-03,1.4,1.42,0.99,1.19,6104200
2002-03-10,1.21,1.47,1.14,1.21,1797100
2002-03-17,1.31,1.33,1.15,1.16,963900
2002-03-24,1.19,1.25,1.14,1.21,962500
2002-03-31,1.24,1.25,0.93,0.96,2526900
2002-04-07,0.97,1.03,0.79,0.81,3521400
2002-04-14,0.84,0.89,0.65,0.82,2959200
2002-04-21,0.83,0.86,0.61,0.64,3790900
2002-04-28,0.64,0.66,0.49,0.55,4454700
2002-05-05,0.61,0.61,0.49,0.5,2595400
2002-05-12,0.51,0.54,0.4,0.5,3882300
2002-05-19,0.51,0.54,0.46,0.49,981100
2002-05-26,0.5,0.51,0.35,0.46,4891400
2002-06-02,0.48,0.51,0.41,0.46,1183700
2002-06-09,0.48,0.49,0.39,0.41,1069800
2002-06-16,0.44,0.46,0.35,0.38,1335000
2002-06-23,0.38,0.4,0.31,0.35,950600
2002-06-30,0.36,0.38,0.31,0.37,684800
2002-07-07,0.42,0.43,0.36,0.39,994700
2002-07-14,0.4,0.64,0.37,0.49,1970100
2002-07-21,0.51,0.54,0.38,0.4,1358448
2002-07-28,0.4,0.5,0.38,0.46,962254
2002-08-04,0.47,0.53,0.35,0.37,1515466
2002-08-11,0.38,0.53,0.36,0.38,2511440
2002-08-18,0.38,0.43,0.35,0.37,1268035
2002-08-25,0.37,0.38,0.28,0.31,1677496
2002-09-01,0.3,0.34,0.26,0.31,864169
2002-09-08,0.31,0.32,0.19,0.21,1712642
2002-09-15,0.22,0.34,0.2,0.27,2173962
2002-09-22,0.27,0.34,0.2,0.33,1833530
2002-09-29,0.31,0.46,0.25,0.29,2880783
2002-10-06,0.27,0.29,0.21,0.22,1458999
2002-10-13,0.24,0.27,0.21,0.22,1933937
2002-10-20,0.23,0.27,0.21,0.24,1268830
2002-10-27,0.27,0.34,0.24,0.26,5821057
2002-11-03,0.27,0.36,0.26,0.29,4280393
2002-11-10,0.27,0.29,0.26,0.28,1603600
2002-11-17,0.28,0.32,0.26,0.28,2643795
2002-11-24,0.3,0.4,0.3,0.35,9909977
2002-12-01,0.36,0.37,0.27,0.28,2239063
2002-12-08,0.29,0.3,0.23,0.24,2835631
2002-12-15,0.24,0.26,0.23,0.25,1659802
2002-12-22,0.25,0.26,0.2,0.22,2262598
2002-12-29,0.22,6.36,0.2,5.08,574880
2003-01-05,5.41,7.82,5.41,6.83,339226
2003-01-12,6.75,6.91,5.08,5.37,89914
2003-01-19,5.2,5.2,3.84,3.88,289317
2003-01-26,3.41,3.5,3.06,3.5,33104
2003-02-02,3.12,4.49,3.0,3.75,219139
2003-02-09,3.78,4.09,3.63,3.9,92200
2003-02-16,3.87,4.09,3.86,3.86,112900
2003-02-23,3.88,4.06,3.36,3.45,137137
2003-03-02,3.42,4.01,3.1,3.12,284800
2003-03-09,3.14,3.84,3.13,3.73,131625
2003-03-16,3.73,4.38,3.62,3.86,189793
2003-03-23,3.8,3.94,2.85,3.0,227924
2003-03-30,3.05,3.43,2.85,3.04,292022
2003-04-06,3.38,3.38,2.9,2.95,95211
2003-04-13,3.04,3.25,2.99,3.0,73475
2003-04-20,3.19,3.25,3.03,3.19,59401
2003-04-27,3.1,4.06,3.1,4.05,154218
2003-05-04,3.91,5.8,3.74,4.2,498190
2003-05-11,4.2,5.96,4.19,5.7,386837
2003-05-18,5.36,6.74,5.0,6.2,539732
2003-05-25,6.48,9.0,6.48,8.32,665229
2003-06-01,8.31,8.8,7.56,8.1,234844
2003-06-08,8.0,8.74,7.36,8.23,195465
2003-06-15,8.23,9.8,8.11,9.05,202650
2003-06-22,9.14,10.67,8.45,8.8,490646
2003-06-29,9.0,9.0,7.5,8.75,266502
2003-07-06,8.79,10.3,8.6,10.29,174343
2003-07-13,10.1,13.5,10.1,12.88,496671
2003-07-20,12.88,20.25,12.25,19.0,668340
2003-07-27,19.05,20.25,14.5,14.53,659888
2003-08-03,14.9,17.43,12.0,12.89,726786
2003-08-10,12.97,14.83,12.9,14.1,215906
2003-08-17,14.35,18.15,14.1,17.18,449072
2003-08-24,17.65,18.75,17.17,18.54,369826
2003-08-31,18.0,20.29,17.5,19.71,418076
2003-09-07,18.73,19.62,18.5,19.25,383935
2003-09-14,18.08,22.64,18.01,22.0,635614
2003-09-21,21.75,23.65,17.8,18.95,791078
2003-09-28,18.55,19.75,17.8,19.45,365325
2003-10-05,19.6,20.47,18.95,20.08,283541
2003-10-12,20.1,20.75,17.6,18.5,233846
2003-10-19,18.02,20.0,18.0,20.0,184840
2003-10-26,19.9,20.1,18.11,18.2,224376
2003-11-02,18.2,19.06,16.8,19.0,535878
2003-11-09,18.76,20.25,18.76,20.15,336667
