datetime,open,high,low,close,volume
2018-05-20,54.14,56.31,53.89,56.18,1835416
2018-05-27,55.7,57.44,55.01,55.07,6098423
2018-06-03,55.24,55.48,51.26,51.32,15378764
2018-06-10,51.46,53.16,50.89,52.78,12326384
2018-06-17,52.78,54.77,52.26,54.44,6026447
2018-06-24,54.36,56.29,54.03,56.15,6585787
2018-07-01,56.14,57.09,55.96,56.76,4300980
2018-07-08,56.7,56.74,54.17,55.89,4650636
2018-07-15,55.76,56.58,55.18,55.72,3207197
2018-07-22,55.79,55.89,54.37,55.33,4822359
2018-07-29,55.3,56.64,54.82,56.16,3718976
2018-08-05,56.17,57.99,55.51,57.66,5402045
2018-08-12,57.45,58.22,57.01,57.86,6191693
2018-08-19,57.87,58.24,56.61,57.45,4132163
2018-08-26,57.43,57.76,56.27,57.04,5426318
2018-09-02,57.27,59.29,57.03,58.31,4626383
2018-09-09,58.43,58.98,57.28,57.76,4842429
2018-09-16,57.92,58.13,55.27,55.87,7633416
2018-09-23,55.95,55.98,54.19,54.92,6407900
2018-09-30,54.96,55.88,54.26,55.72,5449677
2018-10-07,55.76,56.97,54.89,55.62,7392862
2018-10-14,55.64,57.18,55.38,57.01,4856734
2018-10-21,57.02,57.69,55.58,56.11,5375614
2018-10-28,56.2,57.05,55.41,55.83,5373281
2018-11-04,55.63,58.51,55.58,58.34,4983317
2018-11-11,58.2,61.1,58.14,60.12,6381146
2018-11-18,60.05,60.66,57.94,58.73,3623410
2018-11-25,58.57,59.99,58.11,59.32,5519244
2018-12-02,59.2,60.96,58.68,60.33,4775993
2018-12-09,60.3,61.01,59.03,60.53,5538648
2018-12-16,60.73,60.94,57.11,58.27,8506349
2018-12-23,58.45,58.83,55.18,56.53,5087095
2018-12-30,56.62,56.82,55.13,55.89,4955496
2019-01-06,55.55,57.15,55.39,56.48,6001567
2019-01-13,56.21,57.01,55.33,56.66,8963304
2019-01-20,56.74,57.86,56.32,56.77,5513333
2019-01-27,56.9,57.64,55.96,57.21,5803653
2019-02-03,56.98,58.23,56.38,58.1,4740339
2019-02-10,57.89,59.0,57.88,58.79,4027855
2019-02-17,58.97,59.94,54.57,55.48,9443352
2019-02-24,55.28,56.32,54.58,55.02,8574619
2019-03-03,55.58,55.98,54.6,55.77,8149778
2019-03-10,55.85,57.93,55.75,57.68,7113585
2019-03-17,57.46,58.44,56.02,58.02,5213381
2019-03-24,58.1,58.59,57.56,58.06,4428206
2019-03-31,57.98,58.2,56.33,57.33,4926776
2019-04-07,57.36,57.82,56.8,57.72,3591159
2019-04-14,57.79,58.09,56.42,56.56,3910447
2019-04-21,56.77,57.99,56.33,57.16,5866408
2019-04-28,57.1,57.97,56.69,57.6,4881455
2019-05-05,57.78,58.48,56.65,58.11,6211587
2019-05-12,58.06,59.03,57.83,58.7,4225091
