datetime,open,high,low,close,volume
2000-04-02,14.0,15.25,12.38,14.5,12723700
2000-04-09,14.75,15.0,14.12,14.38,7210700
2000-04-16,14.31,14.75,13.94,14.69,3631700
2000-04-23,14.38,16.5,13.88,14.88,5062600
2000-04-30,15.0,15.38,14.06,15.06,4024700
2000-05-07,15.38,15.69,14.75,15.69,1548400
2000-05-14,15.5,16.94,15.31,15.38,1880100
2000-05-21,15.44,18.13,15.31,18.0,2244400
2000-05-28,18.0,20.63,18.0,19.13,2414400
2000-06-04,18.94,19.01,16.81,18.56,2666100
2000-06-11,18.63,18.94,17.87,18.0,1216100
2000-06-18,17.56,20.63,17.5,19.94,2160200
2000-06-25,20.0,21.0,18.13,19.13,2393900
2000-07-02,18.88,20.76,18.88,20.56,811800
2000-07-09,20.56,23.76,20.56,23.0,2255800
2000-07-16,23.19,25.5,22.56,24.88,1738500
2000-07-23,24.94,25.0,22.88,23.06,982600
2000-07-30,23.0,23.31,21.38,23.0,1470800
2000-08-06,23.0,23.25,21.25,22.44,523100
2000-08-13,22.31,22.94,22.25,22.63,652300
2000-08-20,22.5,23.19,22.44,22.69,541100
2000-08-27,22.63,26.38,22.25,22.75,2100700
2000-09-03,22.63,23.25,21.69,22.25,1185600
2000-09-10,22.38,22.5,20.62,20.88,785500
2000-09-17,20.88,20.88,19.38,20.25,1335700
2000-09-24,20.06,22.13,20.06,22.06,1531300
2000-10-01,21.63,21.75,19.62,21.01,1237000
2000-10-08,21.0,22.44,20.25,22.38,1077300
2000-10-15,22.38,23.44,21.87,23.19,888500
2000-10-22,23.25,24.51,23.0,23.0,998700
2000-10-29,23.0,23.0,12.0,15.19,10238300
2000-11-05,15.31,15.5,14.44,14.62,2100400
2000-11-12,14.5,14.69,13.56,14.13,1111400
2000-11-19,14.31,16.0,13.56,16.0,1080500
2000-11-26,15.88,16.44,15.44,16.38,1519700
2000-12-03,16.31,16.75,15.75,16.63,1129700
2000-12-10,16.75,16.88,14.75,15.75,1010500
2000-12-17,15.88,17.0,15.38,16.69,1636200
2000-12-24,16.75,18.13,16.5,17.88,1695200
2000-12-31,17.75,18.69,16.75,16.88,1180300
2001-01-07,17.0,18.37,16.88,17.88,952500
2001-01-14,17.94,18.38,17.37,17.56,1255900
2001-01-21,17.56,18.38,17.18,17.5,751900
2001-01-28,17.37,18.6,17.2,18.16,766200
2001-02-04,18.4,19.7,17.15,19.3,1059600
2001-02-11,19.5,21.68,19.5,20.63,806500
2001-02-18,20.63,21.4,20.0,20.65,442400
2001-02-25,20.6,22.75,20.0,20.2,731400
2001-03-04,20.3,20.4,18.9,19.05,1054800
2001-03-11,19.1,20.0,19.02,19.39,780200
2001-03-18,19.4,19.4,17.4,17.8,1070500
2001-03-25,17.8,19.95,17.8,19.45,1037900
2001-04-01,19.4,19.95,18.37,19.36,1875200
2001-04-08,19.4,19.9,17.8,18.48,645200
2001-04-15,18.6,21.02,18.23,19.93,1587900
2001-04-22,20.11,22.1,19.63,22.01,979100
2001-04-29,22.05,23.2,21.4,23.05,1386900
2001-05-06,23.16,23.7,22.06,22.25,1765700
2001-05-13,22.4,24.0,22.4,23.87,1513900
2001-05-20,23.83,24.4,22.01,22.55,968000
2001-05-27,22.58,23.9,22.1,23.85,843200
2001-06-03,23.86,25.38,23.71,25.05,1948200
2001-06-10,24.95,25.3,23.55,23.87,931200
2001-06-17,23.88,24.97,23.88,24.71,709700
2001-06-24,24.45,26.45,24.4,26.31,1502100
2001-07-01,26.36,27.25,25.49,25.49,557200
2001-07-08,25.73,28.0,25.5,27.75,968500
2001-07-15,27.65,27.7,21.5,23.5,1668500
2001-07-22,23.15,25.6,22.8,24.92,1822600
2001-07-29,25.0,25.72,23.5,23.9,1087800
2001-08-05,23.95,24.82,23.7,23.77,1170900
2001-08-12,24.0,25.8,24.0,25.52,645500
2001-08-19,25.45,26.2,25.0,25.7,676000
2001-08-26,25.75,26.6,25.14,26.27,689400
2001-09-02,26.25,26.36,25.45,26.09,814500
2001-09-09,25.86,26.2,25.55,25.78,181500
2001-09-16,24.65,25.55,21.4,21.6,1110100
2001-09-23,21.5,23.95,20.4,22.84,1365900
2001-09-30,22.6,24.57,22.6,24.22,1034600
2001-10-07,24.2,24.95,23.7,24.49,1216900
2001-10-14,24.49,26.4,23.97,26.26,1266900
2001-10-21,26.26,27.0,25.4,25.96,1044300
2001-10-28,25.75,26.25,24.56,26.24,1288900
2001-11-04,26.08,26.4,24.92,25.26,996100
2001-11-11,25.25,25.5,23.26,23.4,1095300
2001-11-18,23.41,25.2,23.05,25.2,790900
2001-11-25,25.2,25.87,24.71,25.43,648400
2001-12-02,25.21,26.16,23.9,25.83,1038900
2001-12-09,25.8,27.15,24.4,26.66,1307200
2001-12-16,26.75,29.15,26.75,27.54,2194900
2001-12-23,27.69,29.1,27.5,28.75,719500
2001-12-30,28.76,28.76,26.5,27.3,851800
2002-01-06,27.3,27.83,25.8,25.84,1163100
2002-01-13,25.75,26.65,25.1,26.0,1368300
2002-01-20,26.01,27.25,25.9,27.01,725000
2002-01-27,27.01,27.81,26.7,27.55,1295700
2002-02-03,27.5,29.6,25.0,28.91,2837800
2002-02-10,29.0,29.53,27.6,27.65,1312900
2002-02-17,27.65,29.56,26.8,28.98,1402000
2002-02-24,28.83,28.95,27.29,27.75,1222600
2002-03-03,27.55,28.57,27.15,27.82,1040400
2002-03-10,27.85,28.3,26.9,27.84,1085000
2002-03-17,27.7,28.34,27.3,27.54,860000
2002-03-24,27.4,28.67,26.7,27.97,1024500
2002-03-31,27.9,27.9,26.05,26.7,1383000
2002-04-07,26.6,27.87,26.4,27.81,1363600
2002-04-14,27.87,28.05,26.81,26.81,1181900
2002-04-21,26.9,27.3,23.91,25.11,2858700
2002-04-28,25.14,26.44,24.5,26.3,1970500
2002-05-05,26.31,26.49,24.55,24.76,1506900
2002-05-12,24.9,25.8,24.2,24.99,1918800
2002-05-19,24.8,25.25,23.61,23.83,1241300
2002-05-26,23.8,24.79,23.1,23.71,1311300
2002-06-02,23.7,23.8,22.25,22.5,1311400
2002-06-09,22.75,24.25,22.5,24.1,2207400
2002-06-16,24.25,25.4,23.8,24.03,1839100
2002-06-23,24.0,24.2,22.18,22.92,2704700
2002-06-30,23.15,23.16,20.5,21.8,1951600
2002-07-07,21.8,22.15,19.31,20.77,2231100
2002-07-14,20.97,21.83,19.65,20.18,2407000
2002-07-21,20.25,24.4,18.4,23.45,3855400
2002-07-28,23.57,24.98,23.14,23.96,1778400
2002-08-04,24.07,25.63,23.0,25.33,2142700
2002-08-11,25.3,25.5,24.15,25.05,1425500
2002-08-18,25.15,25.74,24.62,25.11,1745200
2002-08-25,25.11,25.11,24.35,24.63,837300
2002-09-01,24.55,24.55,23.65,24.45,761900
2002-09-08,24.43,25.1,24.36,24.81,1218600
2002-09-15,24.76,25.1,23.93,24.88,1215200
2002-09-22,24.95,25.75,24.59,25.21,1156800
2002-09-29,25.15,25.93,24.96,25.75,1809900
2002-10-06,25.8,26.15,24.6,24.9,1764100
2002-10-13,24.87,25.43,24.15,24.68,1652500
2002-10-20,24.65,26.4,23.81,26.09,2511400
2002-10-27,26.2,26.42,25.15,25.64,838900
2002-11-03,25.75,26.06,25.1,25.27,1341900
2002-11-10,25.18,27.5,24.86,27.27,1673600
2002-11-17,27.3,27.49,26.71,27.32,1153100
2002-11-24,27.4,27.4,25.85,26.32,994800
2002-12-01,26.2,26.3,25.24,26.05,1346500
2002-12-08,26.0,26.32,25.5,25.66,1227800
2002-12-15,25.65,26.22,25.35,26.1,1026100
2002-12-22,26.13,26.35,25.78,25.91,460000
2002-12-29,25.95,25.95,24.89,25.59,700000
2003-01-05,25.85,25.85,24.8,25.46,1705500
2003-01-12,25.5,26.47,25.25,25.71,1174300
2003-01-19,25.8,26.61,25.29,25.66,1259100
2003-01-26,25.67,25.67,24.4,25.52,1252000
2003-02-02,25.65,26.18,24.43,25.53,2298200
2003-02-09,25.73,25.8,24.5,25.19,1253600
2003-02-16,25.25,26.2,25.15,26.08,981200
2003-02-23,26.05,26.7,25.31,26.59,1267400
2003-03-02,26.66,26.97,25.95,26.38,1044300
2003-03-09,26.38,26.64,25.29,26.1,1028700
2003-03-16,26.1,27.48,26.0,27.48,1751700
2003-03-23,27.4,27.45,26.45,27.2,1124600
2003-03-30,27.02,28.55,26.79,27.22,1769500
2003-04-06,27.25,27.85,27.0,27.31,913700
2003-04-13,27.4,27.85,27.25,27.29,817100
2003-04-20,27.25,29.0,26.95,28.74,2657000
2003-04-27,28.65,28.9,28.38,28.83,1567900
2003-05-04,28.78,29.99,28.6,29.58,3245900
2003-05-11,29.53,30.75,29.5,30.71,2439600
2003-05-18,30.65,30.86,29.9,30.38,2195000
2003-05-25,30.35,30.35,29.2,30.27,2676100
2003-06-01,30.4,31.0,29.8,30.39,1646100
2003-06-08,30.36,31.85,29.9,31.28,1658100
2003-06-15,31.36,33.6,31.25,31.81,2176100
2003-06-22,31.75,32.5,30.6,32.01,1752200
2003-06-29,32.15,32.5,31.39,32.08,1248800
2003-07-06,32.09,32.57,31.63,32.45,1607200
2003-07-13,32.15,32.65,31.64,32.14,1218700
2003-07-20,32.15,32.29,26.7,27.24,6279700
2003-07-27,27.2,28.86,26.29,27.39,3408500
2003-08-03,27.11,27.15,25.77,26.92,3396500
2003-08-10,26.85,29.0,26.85,29.0,2637400
2003-08-17,29.05,29.4,28.35,28.4,1602200
2003-08-24,28.16,28.75,27.6,28.44,1945500
2003-08-31,28.45,28.93,28.1,28.49,1794500
2003-09-07,28.49,28.58,27.7,27.73,1881000
2003-09-14,27.73,27.84,27.07,27.4,2325400
