datetime,open,high,low,close,volume
1997-12-28,25.88,25.88,25.69,25.88,24800
1998-01-04,25.81,25.94,25.0,25.06,283300
1998-01-11,25.0,25.69,24.88,25.44,436500
1998-01-18,25.31,25.44,25.13,25.13,573401
1998-01-25,25.13,25.31,24.75,24.94,553100
1998-02-01,24.94,25.38,24.75,25.0,357600
1998-02-08,25.0,25.07,24.5,24.94,370900
1998-02-15,25.0,25.06,24.63,24.88,276800
1998-02-22,24.88,25.37,24.75,24.88,372800
1998-03-01,24.75,24.88,24.56,24.81,366100
1998-03-08,24.88,25.0,24.5,24.81,228700
1998-03-15,24.75,25.25,24.69,24.75,300000
1998-03-22,24.31,24.88,23.63,24.31,536000
1998-03-29,24.19,24.94,24.19,24.75,253500
1998-04-05,25.0,25.07,24.38,24.81,247000
1998-04-12,24.88,25.01,24.63,24.88,168600
1998-04-19,24.88,24.94,24.19,24.25,249100
1998-04-26,24.19,25.44,23.56,25.44,332800
1998-05-03,25.31,25.88,24.75,24.94,365102
1998-05-10,24.88,25.5,24.38,24.44,308700
1998-05-17,24.5,24.75,24.0,24.63,164800
1998-05-24,24.5,25.0,23.63,24.69,175900
1998-05-31,24.75,24.88,24.12,24.44,204900
1998-06-07,24.5,24.81,24.13,24.38,173200
1998-06-14,24.5,24.5,23.63,24.13,228800
1998-06-21,24.31,24.56,23.5,23.63,450900
1998-06-28,23.56,24.38,23.56,24.13,344500
1998-07-05,24.13,25.13,24.0,24.5,318600
1998-07-12,24.56,25.06,24.25,25.0,194400
1998-07-19,25.0,25.13,24.19,24.25,247700
1998-07-26,24.19,24.19,23.13,23.44,243300
1998-08-02,23.56,23.76,21.75,23.13,514700
1998-08-09,22.88,23.0,21.75,22.06,543500
1998-08-16,22.13,22.5,21.75,22.06,240600
1998-08-23,22.13,22.38,21.25,21.31,417400
1998-08-30,21.5,21.5,19.38,19.56,509000
1998-09-06,20.25,21.01,20.12,20.63,328900
1998-09-13,20.75,22.13,20.75,22.13,535000
1998-09-20,22.25,23.75,21.94,22.94,515300
1998-09-27,22.94,22.94,21.75,22.06,221900
1998-10-04,21.94,22.13,20.0,21.44,403500
1998-10-11,21.56,21.88,20.94,21.13,275700
1998-10-18,21.13,22.69,21.13,22.63,210200
1998-10-25,22.69,22.69,21.94,22.5,209400
1998-11-01,22.75,23.63,22.57,23.63,297600
1998-11-08,23.75,23.88,22.69,23.25,164600
1998-11-15,23.38,23.38,22.19,22.63,164800
1998-11-22,22.38,23.75,22.37,23.44,128900
1998-11-29,23.38,24.19,23.06,23.5,287700
1998-12-06,23.75,24.19,23.13,24.06,195200
1998-12-13,24.19,24.38,23.75,24.06,189100
1998-12-20,24.25,24.5,23.88,24.13,170300
1998-12-27,24.13,24.13,22.94,23.63,130100
1999-01-03,23.13,24.88,23.13,24.0,326700
1999-01-10,23.94,24.25,23.13,23.94,177600
1999-01-17,23.88,24.25,23.31,23.31,178000
1999-01-24,23.5,23.56,22.25,22.69,296400
1999-01-31,22.88,23.0,20.25,20.81,4259200
1999-02-07,21.06,21.44,20.5,21.0,481500
1999-02-14,21.19,21.38,20.38,20.81,319100
1999-02-21,20.81,22.31,20.81,22.19,450500
1999-02-28,22.19,22.5,21.81,21.94,580100
1999-03-07,22.0,22.32,21.75,22.0,321000
1999-03-14,22.13,22.13,21.13,21.38,199700
1999-03-21,21.31,21.63,20.25,21.31,229300
1999-03-28,21.44,21.44,20.56,21.01,180600
