datetime,open,high,low,close,volume
1997-12-28,104.38,105.75,104.06,105.75,2443322
1998-01-04,105.56,107.19,99.38,100.06,23554895
1998-01-11,98.25,105.19,97.5,105.06,23359973
1998-01-18,105.19,108.12,98.5,99.07,27442809
1998-01-25,99.25,99.94,95.63,98.75,21661821
1998-02-01,100.0,101.25,97.75,98.07,18634020
1998-02-08,98.13,103.63,97.5,102.62,20794729
1998-02-15,103.06,104.63,101.31,102.75,14663080
1998-02-22,103.44,105.88,101.75,104.38,14798166
1998-03-01,104.19,104.57,98.25,98.38,20423332
1998-03-08,97.13,101.13,95.87,99.69,19314408
1998-03-15,99.69,103.25,99.25,102.19,16540556
1998-03-22,101.56,106.69,101.5,104.19,17419086
1998-03-29,104.13,106.69,102.5,104.63,13173061
1998-04-05,106.25,106.5,103.56,106.13,11698340
1998-04-12,106.56,110.01,104.37,107.88,16862875
1998-04-19,107.94,120.0,107.19,117.31,30223541
1998-04-26,116.25,118.5,114.38,116.94,17732360
1998-05-03,117.13,120.0,116.13,119.94,14359182
1998-05-10,120.19,129.31,117.31,124.88,27497117
1998-05-17,124.75,127.01,121.12,121.87,14378050
1998-05-24,122.38,123.0,117.75,117.88,13660080
1998-05-31,117.38,119.0,113.87,118.94,16898096
1998-06-07,118.75,120.01,114.0,116.0,13150614
1998-06-14,114.63,115.44,106.06,106.69,26147291
1998-06-21,106.25,114.69,106.18,113.0,15292680
1998-06-28,114.13,116.87,113.5,115.13,11458863
1998-07-05,115.0,119.26,112.75,118.5,13602201
1998-07-12,118.5,120.63,116.0,120.26,11748048
1998-07-19,121.0,131.0,120.31,124.5,26650333
1998-07-26,123.75,138.13,122.25,133.0,23326507
1998-08-02,134.0,134.87,124.0,129.38,26550034
1998-08-09,128.88,130.13,124.0,125.5,17411686
1998-08-16,125.13,131.01,124.25,127.82,16950955
1998-08-23,128.0,131.75,120.81,122.31,22319431
1998-08-30,123.0,123.75,110.75,119.12,28953840
1998-09-06,124.94,127.44,118.19,126.25,19602234
1998-09-13,128.0,130.94,124.25,124.38,19012805
1998-09-20,120.13,134.94,120.0,133.56,20138303
1998-09-27,134.5,136.19,118.94,124.75,23895105
1998-10-04,123.75,127.94,116.81,127.19,34532370
1998-10-11,130.13,138.75,126.56,135.56,25386350
1998-10-18,135.0,143.69,135.0,141.5,25372707
1998-10-25,141.31,149.81,140.06,148.5,21369077
1998-11-01,148.44,150.94,145.75,149.87,17235200
1998-11-08,150.75,159.88,149.94,157.32,19526400
1998-11-15,158.63,161.38,157.62,159.63,15890100
1998-11-22,161.0,170.19,160.56,170.0,10077900
1998-11-29,169.75,170.57,162.25,164.44,15521200
1998-12-06,164.44,170.0,163.25,168.01,15305600
1998-12-13,166.5,172.19,162.5,171.44,18547900
1998-12-20,171.56,187.94,171.56,187.94,12547000
1998-12-27,186.5,189.94,183.5,184.56,8320000
1999-01-03,185.0,192.75,181.5,187.56,21673800
1999-01-10,189.0,190.01,178.88,185.44,18800000
1999-01-17,187.69,199.25,177.62,178.63,37791500
1999-01-24,182.25,186.82,173.5,183.0,39192600
1999-01-31,184.5,184.5,164.56,166.0,28516400
1999-02-07,167.0,177.75,161.75,173.12,27706100
1999-02-14,175.0,178.25,168.81,171.81,16001200
