datetime,open,high,low,close,volume
1997-12-28,70.69,72.63,70.5,72.62,9339741
1998-01-04,73.06,75.13,71.22,71.94,82049828
1998-01-11,70.81,77.25,70.68,74.81,103653949
1998-01-18,75.13,77.88,74.87,77.13,53632028
1998-01-25,77.0,82.88,77.0,81.06,69417807
1998-02-01,82.5,90.06,82.19,87.63,91584522
1998-02-08,87.44,87.88,82.75,83.88,65340180
1998-02-15,84.63,92.38,83.94,91.75,80548364
1998-02-22,93.0,95.38,89.56,89.69,76911862
1998-03-01,89.81,91.38,75.0,78.06,169490153
1998-03-08,78.25,78.44,74.94,76.69,59428030
1998-03-15,77.06,77.94,75.31,75.76,51484114
1998-03-22,75.5,79.57,74.0,78.88,78014370
1998-03-29,78.63,78.63,76.0,76.75,65406684
1998-04-05,76.19,76.26,71.31,73.75,65116277
1998-04-12,73.88,79.13,73.25,75.25,87625832
1998-04-19,74.94,85.06,74.87,82.0,106161951
1998-04-26,80.25,82.5,78.25,82.13,67007844
1998-05-03,82.25,84.13,80.56,84.13,49106086
1998-05-10,83.88,85.44,79.87,80.25,71426116
1998-05-17,80.0,81.31,73.81,74.31,67443274
1998-05-24,75.44,75.88,71.25,71.44,55393810
1998-05-31,69.13,70.69,65.65,69.75,98763993
1998-06-07,69.94,70.38,65.94,68.44,68247973
1998-06-14,67.25,70.94,66.81,69.94,67866310
1998-06-21,69.88,77.63,69.69,76.37,77396047
1998-06-28,76.88,77.25,72.44,73.19,47000579
1998-07-05,72.56,80.51,72.25,79.81,79021369
1998-07-12,79.75,85.0,79.5,83.07,104829121
1998-07-19,82.38,84.94,80.63,83.07,78128247
1998-07-26,82.25,88.26,81.75,84.37,86998961
1998-08-02,83.63,88.94,81.12,86.75,94636572
1998-08-09,86.25,87.75,83.82,86.13,72024265
1998-08-16,85.75,92.62,82.37,85.0,126450543
1998-08-23,85.19,86.47,75.75,77.0,99034434
1998-08-30,76.88,78.88,69.75,78.25,109982295
1998-09-06,81.19,85.06,77.44,84.94,94094242
1998-09-13,84.75,86.82,82.0,83.07,61409050
1998-09-20,81.25,88.76,80.63,88.37,66107120
1998-09-27,88.44,89.0,81.25,83.81,64753912
1998-10-04,82.56,84.0,75.81,83.82,104560240
1998-10-11,84.88,85.88,81.5,83.75,96565868
1998-10-18,83.13,88.94,82.63,87.25,71460867
1998-10-25,87.06,90.82,86.5,89.25,64157060
1998-11-01,89.75,95.88,89.56,95.44,79364200
1998-11-08,94.88,105.07,93.43,103.69,89629400
1998-11-15,105.19,115.19,105.06,112.0,74285000
1998-11-22,111.88,115.88,107.75,110.0,41669300
1998-11-29,110.69,117.13,105.68,116.22,79917000
1998-12-06,116.63,124.0,113.5,116.44,74052700
1998-12-13,114.5,120.57,111.19,119.88,63543800
1998-12-20,120.5,126.19,118.25,125.0,40473900
1998-12-27,125.69,125.69,118.25,118.57,30857300
