datetime,open,high,low,close,volume
2017-11-12,100.96,105.54,100.96,104.45,1591151
2017-11-19,104.44,106.0,103.37,104.27,2734033
2017-11-26,104.27,104.72,100.5,102.29,10067614
2017-12-03,102.64,103.26,100.41,101.45,3528202
2017-12-10,101.93,103.28,100.86,102.04,3476224
2017-12-17,102.54,103.1,98.5,99.39,4555455
2017-12-24,99.56,99.73,97.45,97.92,3098912
2017-12-31,98.52,100.47,97.15,98.56,4124669
2018-01-07,98.48,100.68,97.2,100.08,3671230
2018-01-14,100.43,103.05,99.57,102.98,3024840
2018-01-21,102.76,106.13,102.48,106.01,3803778
2018-01-28,105.04,106.33,100.5,100.55,3023995
2018-02-04,100.32,100.99,93.33,96.07,4139537
2018-02-11,96.9,108.38,95.95,101.74,5946043
2018-02-18,101.58,102.08,97.82,99.79,3839167
2018-02-25,100.0,100.91,96.24,98.16,4044420
2018-03-04,98.03,105.66,96.94,105.59,2869913
2018-03-11,105.96,106.81,104.37,105.67,2905441
2018-03-18,105.46,105.68,99.56,99.74,2260768
2018-03-25,101.05,102.19,96.46,98.14,3714592
2018-04-01,98.18,99.57,94.26,94.82,3511790
2018-04-08,94.85,98.5,94.55,97.71,2349176
2018-04-15,98.34,100.3,97.02,97.31,2279480
2018-04-22,97.44,99.08,95.09,96.44,2687579
2018-04-29,96.8,99.4,95.53,99.0,4538052
2018-05-06,99.22,103.26,97.65,103.02,2911522
2018-05-13,103.11,103.97,91.57,101.64,14639331
2018-05-20,101.71,103.37,100.09,100.5,4599124
2018-05-27,100.18,100.88,98.25,100.5,2682246
2018-06-03,100.41,104.91,99.84,104.6,2615611
2018-06-10,104.53,105.23,101.81,103.28,7394412
2018-06-17,104.0,106.99,103.24,103.71,7694233
2018-06-24,103.7,103.7,97.65,99.78,4626714
2018-07-01,99.42,101.88,98.17,101.67,2899525
2018-07-08,102.11,107.71,101.94,107.27,3956908
2018-07-15,107.73,111.17,107.07,111.1,4861764
2018-07-22,111.36,125.35,111.12,120.43,9443307
2018-07-29,120.73,124.68,120.12,123.14,3791258
2018-08-05,123.07,123.52,120.42,121.14,2372194
2018-08-12,121.62,122.45,119.59,120.27,2544809
2018-08-19,120.9,126.33,119.53,125.43,4300476
2018-08-26,126.44,127.28,125.2,127.07,1900084
2018-09-02,126.9,128.4,125.32,127.03,2842433
2018-09-09,127.72,128.21,122.28,126.59,4431054
2018-09-16,126.4,128.38,124.64,127.57,4847805
2018-09-23,127.24,131.71,126.9,129.75,3458350
2018-09-30,130.28,132.24,126.57,127.8,3892539
2018-10-07,127.88,128.44,121.0,124.8,3614017
2018-10-14,124.48,130.22,123.7,126.85,2904481
2018-10-21,130.26,135.48,115.0,120.18,9110712
2018-10-28,119.68,124.87,118.54,121.63,4398943
2018-11-04,121.91,126.83,120.8,124.15,2273863
2018-11-11,123.67,123.91,115.39,119.44,4227216
2018-11-18,119.56,120.27,113.12,117.73,2283666
2018-11-25,118.78,126.12,118.14,125.05,4499635
2018-12-02,128.64,129.01,117.04,117.96,4858398
2018-12-09,118.6,125.03,115.73,118.0,4865955
2018-12-16,117.5,118.04,107.59,108.23,5985573
2018-12-23,107.42,115.28,104.9,113.86,3136591
2018-12-30,114.61,116.19,107.79,115.09,3740157
2019-01-06,115.26,123.43,114.75,122.81,4026847
2019-01-13,121.72,127.61,121.17,127.2,5375222
2019-01-20,126.15,126.75,123.7,125.99,2687106
2019-01-27,124.71,130.01,123.57,129.54,2350363
2019-02-03,129.37,139.65,128.23,128.81,2963266
2019-02-10,128.7,143.42,128.7,141.85,6684688
2019-02-17,141.32,143.08,139.9,142.42,2983072
2019-02-24,143.29,143.92,140.05,143.31,4017892
2019-03-03,143.64,144.77,136.22,137.46,5927352
2019-03-10,137.68,142.47,137.35,141.51,4581349
2019-03-17,140.05,145.17,140.05,141.66,4387219
2019-03-24,141.55,144.28,139.76,143.87,3183472
2019-03-31,145.25,145.72,140.88,144.28,4883855
2019-04-07,144.33,146.1,141.88,142.52,3379300
2019-04-14,142.5,143.15,131.03,133.02,4101471
2019-04-21,132.86,138.79,132.21,138.69,3321292
2019-04-28,139.43,140.26,132.73,138.82,4982459
2019-05-05,136.87,138.81,130.84,134.16,3395976
2019-05-12,131.45,136.59,130.77,133.65,3526177
2019-05-19,133.33,137.62,132.18,136.32,3193594
2019-05-26,137.9,139.03,134.39,135.84,2371421
2019-06-02,136.32,140.36,131.87,138.74,4415945
2019-06-09,139.64,143.84,137.79,141.27,4358488
2019-06-16,141.48,159.55,140.98,158.64,8154541
2019-06-23,157.68,160.91,152.94,160.77,4429441
2019-06-30,162.12,164.13,157.56,160.89,2618471
2019-07-07,160.52,160.52,156.37,157.37,3702760
2019-07-14,158.19,159.99,154.38,155.85,2554341
2019-07-21,156.08,162.62,154.2,159.81,4099482
2019-07-28,159.58,161.52,155.67,157.14,2759223
2019-08-04,155.17,158.59,150.67,156.02,4374431
2019-08-11,155.21,157.6,150.22,155.18,3229851
2019-08-18,156.66,158.99,152.37,153.18,2194667
2019-08-25,154.16,156.74,151.72,155.01,1959580
2019-09-01,153.78,155.72,151.29,154.02,2632109
2019-09-08,154.9,154.99,146.52,151.36,5524549
2019-09-15,150.66,157.32,149.75,155.44,4985966
2019-09-22,155.13,158.25,146.66,148.2,4539535
2019-09-29,148.1,151.09,140.56,149.26,4617048
2019-10-06,148.41,150.12,143.47,146.02,2011159
2019-10-13,146.28,148.69,142.99,143.48,3371517
2019-10-20,144.65,148.57,142.04,147.46,3326542
2019-10-27,147.45,150.27,139.02,146.76,6213640
2019-11-03,147.76,147.76,136.28,137.57,5581721
2019-11-10,136.73,146.6,136.73,146.5,3708145
2019-11-17,146.24,146.24,141.7,143.74,3791542
2019-11-24,144.43,148.94,143.53,145.98,3633986
2019-12-01,145.98,148.9,142.69,148.47,2945612
2019-12-08,148.23,148.94,143.05,144.83,4086268
2019-12-15,145.94,156.08,144.9,155.94,4609007
2019-12-22,156.0,156.43,153.24,154.47,2157151
2019-12-29,154.47,156.73,152.21,154.25,2177972
2020-01-05,153.12,160.86,152.17,159.28,2949469
2020-01-12,159.63,161.69,156.76,161.49,2382854
2020-01-19,161.09,162.14,157.78,158.06,1573359
2020-01-26,156.14,160.33,154.45,155.3,2332216
2020-02-02,156.6,161.56,154.94,157.15,5322775
2020-02-09,157.0,169.14,156.52,164.39,5938061
2020-02-16,164.91,166.28,161.57,163.44,3210652
2020-02-23,159.42,160.27,136.23,138.29,6250082
2020-03-01,140.73,150.25,131.39,136.17,5756913
2020-03-08,129.46,131.14,110.35,118.72,8397427
2020-03-15,99.16,110.54,81.79,91.67,15192307
2020-03-22,92.0,116.37,82.03,107.06,11611270
2020-03-29,106.96,114.75,98.01,102.71,7192862
2020-04-05,109.57,132.18,108.3,128.53,5050807
2020-04-12,127.4,131.76,121.22,131.53,3905311
2020-04-19,128.72,131.74,121.36,128.99,2740764
2020-04-26,130.0,147.41,129.9,136.57,5458920
2020-05-03,135.1,139.35,131.4,137.62,2850149
2020-05-10,136.54,139.4,128.52,134.23,3236602
2020-05-17,138.6,146.39,137.73,142.85,3634137
2020-05-24,146.62,150.35,141.87,149.52,3135287
2020-05-31,149.1,156.23,147.01,149.58,3623188
2020-06-07,148.62,151.38,134.93,138.65,3919921
2020-06-14,135.21,144.46,135.19,136.17,4117949
2020-06-21,135.83,142.02,133.18,135.79,3894345
2020-06-28,136.94,144.0,135.63,141.48,2125543
2020-07-05,143.3,145.95,141.38,142.72,2459507
2020-07-12,144.22,155.07,140.6,154.06,3404922
2020-07-19,153.62,166.16,153.03,157.82,4455240
2020-07-26,158.42,163.55,155.71,158.46,3943868
2020-08-02,159.07,161.97,158.46,160.54,2360262
2020-08-09,160.85,165.02,158.96,161.16,2108162
2020-08-16,161.82,163.26,156.34,157.67,1470726
2020-08-23,158.43,161.25,154.58,161.22,2071998
2020-08-30,160.64,170.52,157.17,160.13,2848785
2020-09-06,158.62,163.74,157.2,159.59,1959483
2020-09-13,161.61,165.91,156.71,156.97,3236730
2020-09-20,154.62,154.92,146.0,151.32,3782963
2020-09-27,153.5,160.8,153.5,156.83,2030687
2020-10-04,158.6,167.54,157.81,166.75,1706037
2020-10-11,167.94,171.88,161.35,164.53,3065406
2020-10-18,164.77,176.0,163.07,167.47,4146438
2020-10-25,165.33,165.71,150.66,154.01,3716709
2020-11-01,156.21,176.17,154.24,171.42,2983514
2020-11-08,180.13,180.77,165.48,173.94,2995663
2020-11-15,175.0,175.38,167.01,169.78,1912182
2020-11-22,170.8,173.83,168.03,168.81,1714564
2020-11-29,169.61,173.77,165.82,170.6,3354014
2020-12-06,170.69,172.14,165.52,167.81,2599281
2020-12-13,169.08,180.99,166.91,180.29,2988117
2020-12-20,176.56,178.99,173.87,175.94,1566978
2020-12-27,177.5,179.37,173.82,179.22,1350554
2021-01-03,178.44,192.0,174.28,191.08,2374134
2021-01-10,190.07,192.34,185.61,187.95,1644094
2021-01-17,191.5,191.5,185.13,185.64,1580216
2021-01-24,185.75,186.44,170.0,177.71,3020584
2021-01-31,180.18,187.34,178.83,186.11,2334008
2021-02-07,187.47,199.99,183.79,192.78,3839376
2021-02-14,192.66,193.16,185.38,188.66,1471694
2021-02-21,187.45,197.35,186.38,192.74,3692866
2021-02-28,194.98,196.72,181.13,188.68,2462933
2021-03-07,191.47,194.95,185.25,186.76,2214766
2021-03-14,186.03,192.79,185.73,188.34,2144011
2021-03-21,188.3,193.16,184.3,192.85,1924493
2021-03-28,191.04,199.31,189.15,198.07,1800460
2021-04-04,199.0,207.79,199.0,207.67,1721538
2021-04-11,207.9,217.63,205.78,215.56,2805621
2021-04-18,215.71,235.51,214.96,232.22,4542836
2021-04-25,233.09,237.47,231.7,234.86,3541087
2021-05-02,236.0,236.62,229.35,234.38,3103299
2021-05-09,234.96,235.87,227.4,234.04,2736119
2021-05-16,234.65,240.82,226.95,238.98,2274888
2021-05-23,241.13,244.95,237.28,240.23,3290693
2021-05-30,241.4,242.01,230.96,233.91,2299913
2021-06-06,233.57,244.38,231.07,243.44,3619370
2021-06-13,243.41,248.74,238.99,239.66,5608707
2021-06-20,241.11,245.77,239.1,245.34,4155955
