datetime,open,high,low,close,volume
1997-12-28,47.38,47.5,46.87,47.25,84200
1998-01-04,47.69,47.69,44.0,44.0,1249401
1998-01-11,43.75,47.63,43.56,47.25,806500
1998-01-18,47.38,48.06,46.38,47.94,810901
1998-01-25,47.75,51.26,47.75,50.69,2570400
1998-02-01,52.0,54.06,50.94,52.82,1583100
1998-02-08,52.81,53.88,52.31,52.94,787101
1998-02-15,51.5,54.75,51.5,54.56,913301
1998-02-22,54.69,55.94,53.63,55.62,764400
1998-03-01,55.25,55.94,54.0,55.44,583800
1998-03-08,55.5,56.88,55.0,55.44,443000
1998-03-15,55.56,56.38,54.06,56.0,728200
1998-03-22,55.69,60.38,55.69,59.75,1194000
1998-03-29,59.75,61.31,58.81,60.44,679000
1998-04-05,60.13,60.69,57.75,58.38,794501
1998-04-12,58.31,60.5,57.88,59.82,764200
1998-04-19,59.63,60.44,57.88,58.25,561600
1998-04-26,57.63,61.87,56.06,60.81,956201
1998-05-03,61.06,61.06,59.12,59.94,955800
1998-05-10,59.94,60.38,58.63,59.94,608402
1998-05-17,59.56,60.81,58.87,59.13,559400
1998-05-24,59.38,59.88,56.75,59.56,538200
1998-05-31,59.38,60.5,58.13,59.94,1107400
1998-06-07,60.19,60.88,53.62,55.44,925702
1998-06-14,55.44,57.06,54.44,54.94,760600
1998-06-21,55.19,56.88,54.88,55.94,556800
1998-06-28,56.31,58.25,56.25,57.38,572300
1998-07-05,57.56,58.26,56.12,56.31,518800
1998-07-12,56.31,56.88,51.69,53.5,1374300
1998-07-19,53.81,54.69,52.13,53.06,1218801
1998-07-26,52.88,54.51,51.0,52.25,1486800
1998-08-02,52.5,53.69,49.94,52.38,799200
1998-08-09,52.38,52.38,49.87,50.94,804900
1998-08-16,50.5,52.94,49.88,50.81,829501
1998-08-23,50.13,51.31,45.0,45.57,1245303
1998-08-30,45.81,45.81,42.19,42.69,1513800
1998-09-06,42.81,44.94,42.5,43.5,1030000
1998-09-13,43.81,47.51,43.81,46.38,1664101
1998-09-20,45.5,46.5,44.0,45.5,970700
1998-09-27,45.56,47.01,45.5,46.56,1039200
1998-10-04,46.69,47.01,40.5,43.0,1544302
1998-10-11,42.88,49.25,42.56,48.63,1171802
1998-10-18,49.0,49.63,45.75,49.19,2208301
1998-10-25,49.0,56.32,49.0,56.31,1106001
1998-11-01,55.88,61.01,54.69,60.63,1042100
1998-11-08,60.38,60.38,56.56,58.44,972700
1998-11-15,58.38,58.94,56.94,56.94,849900
1998-11-22,57.13,60.19,56.87,58.0,572700
1998-11-29,58.0,59.0,55.56,57.0,766300
1998-12-06,56.75,57.88,56.0,56.63,735500
1998-12-13,56.38,56.63,53.75,56.13,724100
1998-12-20,56.56,59.69,55.37,58.25,656700
1998-12-27,58.5,59.13,57.88,58.94,536800
1999-01-03,59.5,60.01,58.37,59.75,1066700
1999-01-10,60.0,61.88,57.31,61.32,1425400
1999-01-17,61.88,63.81,61.44,63.25,1554900
1999-01-24,63.88,64.57,61.63,64.38,1394200
1999-01-31,64.25,65.0,60.25,60.75,879900
1999-02-07,61.0,63.13,60.25,60.44,881900
1999-02-14,60.5,62.82,58.69,61.62,680500
1999-02-21,61.5,65.25,59.19,61.56,1675500
1999-02-28,62.0,63.01,59.75,62.44,1316500
1999-03-07,62.0,64.0,61.31,63.63,957900
