datetime,open,high,low,close,volume
1997-12-28,21.63,21.63,21.44,21.5,174200
1998-01-04,21.5,22.13,20.75,20.94,1553104
1998-01-11,20.63,22.13,20.5,20.69,2113101
1998-01-18,21.19,23.19,21.0,22.75,1894503
1998-01-25,22.88,24.81,22.38,24.69,1628300
1998-02-01,25.5,27.51,24.75,26.69,2098500
1998-02-08,26.88,28.37,26.5,28.31,1466801
1998-02-15,28.5,28.76,27.38,27.75,511700
1998-02-22,27.75,28.25,27.0,27.94,655900
1998-03-01,27.94,29.63,27.75,29.25,1307801
1998-03-08,29.31,29.94,29.0,29.38,889702
1998-03-15,29.5,31.44,29.5,31.25,1740000
1998-03-22,31.0,34.13,29.87,32.88,1579704
1998-03-29,32.81,35.38,32.81,34.75,1543900
1998-04-05,34.94,36.01,33.88,35.13,761800
1998-04-12,35.25,35.94,34.57,35.94,663200
1998-04-19,36.13,36.19,31.0,32.31,1082900
1998-04-26,31.0,31.0,26.13,27.75,5575002
1998-05-03,28.0,29.69,27.63,28.44,1780501
1998-05-10,28.5,28.63,26.63,26.75,810400
1998-05-17,26.25,27.0,24.75,25.63,1872600
1998-05-24,25.63,27.31,24.19,26.5,1548001
1998-05-31,26.75,29.75,26.63,29.75,1638000
1998-06-07,29.75,29.81,27.75,28.88,856600
1998-06-14,29.13,30.38,27.25,27.63,1527500
1998-06-21,27.38,32.69,27.18,31.25,3021900
1998-06-28,31.13,33.38,29.69,32.94,2650607
1998-07-05,33.31,34.38,31.75,32.44,1714102
1998-07-12,32.63,33.13,31.63,32.07,902900
1998-07-19,32.0,33.5,28.25,28.25,2659400
1998-07-26,28.25,29.07,27.0,27.38,1678601
1998-08-02,27.63,27.75,24.94,26.94,1251000
1998-08-09,27.13,27.25,25.25,26.31,810100
1998-08-16,26.44,28.5,26.0,26.81,1223900
1998-08-23,26.94,28.0,23.88,24.06,1029900
1998-08-30,22.25,22.82,18.43,19.19,2264601
1998-09-06,20.06,20.94,18.81,19.25,1276800
1998-09-13,19.75,21.31,19.19,19.19,1231600
1998-09-20,19.0,23.38,18.0,22.94,2365700
1998-09-27,23.38,23.56,18.69,19.19,1730200
1998-10-04,19.25,19.63,14.88,15.5,1187501
1998-10-11,15.63,18.51,15.63,18.0,1921600
1998-10-18,18.25,21.51,18.13,21.13,1467900
1998-10-25,21.69,22.13,19.81,20.25,1145400
1998-11-01,20.56,23.0,20.38,22.94,1946100
1998-11-08,22.88,23.44,20.31,22.06,1328400
1998-11-15,22.13,24.13,20.88,23.0,1478400
1998-11-22,24.13,24.38,23.13,23.31,663800
1998-11-29,23.31,23.63,21.63,23.56,1298600
1998-12-06,23.94,25.01,23.31,24.13,1152700
1998-12-13,23.88,24.19,23.31,23.56,1336300
1998-12-20,23.63,25.06,23.56,24.13,798300
1998-12-27,24.44,25.51,24.13,25.13,914600
1999-01-03,25.5,26.13,23.87,25.06,1496000
1999-01-10,25.19,27.31,24.44,26.13,2567600
1999-01-17,26.25,27.06,26.06,26.5,1055700
1999-01-24,26.56,27.69,26.37,27.38,1499600
1999-01-31,27.0,27.88,25.19,25.5,1419000
1999-02-07,25.44,25.44,23.13,24.06,1648900
1999-02-14,24.38,25.19,22.81,23.94,836500
1999-02-21,23.94,24.63,22.81,23.25,904900
1999-02-28,23.44,24.25,21.88,23.81,1181700
1999-03-07,23.69,23.75,21.88,22.19,602700
1999-03-14,22.31,22.63,21.13,21.75,810400
1999-03-21,21.38,23.38,20.5,22.19,1024700
1999-03-28,22.25,22.94,21.72,22.13,667400
1999-04-04,22.63,23.13,21.56,22.44,898000
1999-04-11,22.69,27.81,21.75,26.0,2557500
1999-04-18,26.5,27.06,24.37,25.88,1044200
1999-04-25,25.88,27.13,24.38,24.5,1355900
1999-05-02,24.0,25.01,22.0,23.25,2517100
1999-05-09,23.25,23.76,22.88,23.0,1004400
1999-05-16,22.88,23.06,21.38,22.06,1068300
1999-05-23,22.0,22.81,21.37,22.63,1015400
1999-05-30,22.63,24.13,22.44,23.69,722900
1999-06-06,23.44,24.94,23.25,23.5,765400
1999-06-13,23.56,24.56,22.75,23.81,790900
1999-06-20,24.06,24.63,22.69,23.31,1137100
1999-06-27,23.06,24.63,22.44,23.44,1160200
1999-07-04,23.13,23.51,22.63,22.94,704500
1999-07-11,22.94,23.06,21.44,21.69,1159000
1999-07-18,21.69,22.19,20.31,20.63,706400
1999-07-25,20.56,21.0,19.13,19.38,838900
1999-08-01,19.31,20.5,18.69,18.94,719700
1999-08-08,19.0,19.0,17.62,18.44,1012500
1999-08-15,18.25,18.76,17.5,18.25,1125500
1999-08-22,18.38,19.63,18.0,19.13,1644800
1999-08-29,19.13,19.69,18.44,19.07,756900
1999-09-05,19.25,19.44,17.19,17.63,1278500
1999-09-12,17.63,18.63,17.38,17.81,924900
1999-09-19,18.06,18.13,16.0,16.06,2825800
