datetime,open,high,low,close,volume
2007-05-06,16.14,16.54,15.44,16.19,1044200
2007-05-13,15.8,20.24,15.06,18.89,2787900
2007-05-20,18.88,19.65,18.85,19.34,2505252
2007-05-27,19.25,50.08,18.99,50.05,3898202
2007-06-03,19.37,19.79,18.92,19.21,1924850
2007-06-10,19.15,19.98,18.88,19.83,961400
2007-06-17,19.85,19.91,18.99,19.14,635400
2007-06-24,19.05,19.6,18.56,18.81,1421000
2007-07-01,18.94,19.8,18.9,19.38,597100
2007-07-08,19.35,19.69,18.88,18.95,761700
2007-07-15,18.86,19.25,16.97,17.51,1057400
2007-07-22,17.8,18.04,15.04,15.25,1854400
2007-07-29,15.05,15.92,14.06,14.3,2153300
2007-08-05,14.0,14.74,10.82,13.85,4010600
2007-08-12,14.17,14.8,9.66,12.89,2356500
2007-08-19,12.9,14.64,12.84,14.42,793300
2007-08-26,14.32,14.39,13.08,13.3,1064000
2007-09-02,13.26,13.3,11.93,12.15,899300
2007-09-09,12.19,12.49,11.86,12.02,1222900
2007-09-16,12.02,13.56,11.88,13.07,1314200
2007-09-23,13.04,13.34,12.0,13.01,947000
2007-09-30,13.03,14.15,12.96,13.87,923500
2007-10-07,13.84,14.19,13.39,13.56,729000
2007-10-14,13.55,15.0,13.17,13.7,820800
2007-10-21,13.5,14.95,13.5,14.26,763300
2007-10-28,14.24,14.74,12.37,13.04,1054800
2007-11-04,12.72,13.15,11.14,11.33,1319300
2007-11-11,11.28,12.13,10.36,10.84,1165200
2007-11-18,10.72,10.74,9.57,10.39,1150431
2007-11-25,10.6,11.24,9.57,10.94,1262700
2007-12-02,11.07,11.37,9.9,10.91,1232599
2007-12-09,10.95,11.46,10.57,11.34,788779
2007-12-16,11.05,13.18,11.0,12.95,1541117
2007-12-23,12.9,13.35,12.0,12.14,334600
2007-12-30,12.11,12.78,11.33,11.52,1048976
2008-01-06,11.52,12.16,11.0,11.5,2095644
2008-01-13,11.53,12.01,11.28,11.52,1342500
2008-01-20,11.07,13.07,10.9,12.48,1042900
2008-01-27,12.43,13.59,11.7,12.57,1472983
2008-02-03,12.7,13.71,12.12,12.9,1220703
2008-02-10,12.9,13.1,11.51,11.71,732220
2008-02-17,11.82,11.97,11.04,11.24,2181590
2008-02-24,11.21,12.5,10.23,10.3,3012590
2008-03-02,10.27,10.36,8.91,9.06,1947153
2008-03-09,9.03,9.76,8.94,9.19,1499000
2008-03-16,9.02,10.86,8.89,10.73,1205004
2008-03-23,10.82,11.21,9.79,10.14,579700
2008-03-30,10.12,11.05,9.5,10.51,1229376
2008-04-06,10.61,11.0,9.73,9.79,678537
2008-04-13,9.75,10.69,9.64,10.47,669208
2008-04-20,10.36,10.43,9.42,9.85,634718
2008-04-27,9.85,10.76,9.64,10.53,1039234
2008-05-04,10.57,11.0,9.21,9.35,877445
2008-05-11,9.54,9.54,8.79,9.01,798554
2008-05-18,9.01,9.08,8.17,8.7,1133302
2008-05-25,8.62,9.67,8.52,9.08,839130
