datetime,open,high,low,close,volume
1997-12-28,69.38,69.88,67.5,68.82,1191015
1998-01-04,70.0,72.37,64.37,66.38,10927183
1998-01-11,64.75,69.01,64.56,67.0,10708685
1998-01-18,68.63,70.26,66.37,66.94,8900704
1998-01-25,67.0,68.76,66.37,67.56,11634644
1998-02-01,71.38,71.69,66.56,66.69,15037330
1998-02-08,66.94,66.94,62.62,63.75,25097317
1998-02-15,62.0,62.44,59.5,61.62,43008449
1998-02-22,62.94,66.19,62.75,65.75,22997188
1998-03-01,65.81,66.31,62.5,66.13,15110756
1998-03-08,66.13,67.12,64.19,65.63,12727147
1998-03-15,65.75,67.44,65.31,65.44,10884179
1998-03-22,65.0,65.0,59.87,60.25,24315100
1998-03-29,60.31,60.94,57.68,58.57,25984044
1998-04-05,58.88,66.13,57.87,64.0,27582601
1998-04-12,64.0,69.26,62.32,68.44,17911646
1998-04-19,71.63,73.76,69.68,70.19,21519511
1998-04-26,69.0,70.51,66.0,66.37,13309940
1998-05-03,67.0,68.38,65.37,66.87,11934686
1998-05-10,67.06,69.94,65.75,68.5,11315308
1998-05-17,70.0,70.63,66.0,66.0,11516510
1998-05-24,66.75,66.75,61.31,61.44,16632095
1998-05-31,61.44,63.63,60.56,63.62,16720391
1998-06-07,63.94,64.88,62.0,63.69,13116693
1998-06-14,62.5,67.06,62.25,66.62,14524084
1998-06-21,66.13,68.88,65.0,68.5,9912646
1998-06-28,68.69,68.69,64.0,64.94,7539565
1998-07-05,64.75,68.19,64.56,65.44,10359672
1998-07-12,65.5,68.0,62.56,67.63,14119770
1998-07-19,67.81,69.69,65.62,66.88,14848420
1998-07-26,66.0,68.81,64.5,67.13,10097592
1998-08-02,67.25,68.56,65.87,68.19,12930244
1998-08-09,67.5,69.94,66.0,68.69,12476949
1998-08-16,68.5,75.13,68.5,74.06,19183814
1998-08-23,74.19,77.69,71.56,72.5,17142721
1998-08-30,72.13,73.01,63.87,70.75,18408891
1998-09-06,72.69,75.94,71.18,74.81,10549186
1998-09-13,76.5,78.13,72.87,75.32,14928385
1998-09-20,74.0,81.63,72.87,78.75,13443962
1998-09-27,81.5,81.5,72.62,76.87,13292616
1998-10-04,75.88,79.75,68.0,73.44,19219137
1998-10-11,75.25,75.88,70.0,75.31,12452941
1998-10-18,75.0,79.19,73.06,77.75,12105753
1998-10-25,77.75,80.94,76.06,80.75,10205833
1998-11-01,80.94,87.88,79.75,87.56,12714000
1998-11-08,86.0,86.63,82.25,83.63,7478000
1998-11-15,84.13,87.38,82.19,87.13,8836700
1998-11-22,87.06,91.32,87.06,90.88,7521800
1998-11-29,90.38,90.94,83.94,86.06,10605100
1998-12-06,87.5,91.0,85.5,89.88,11638700
1998-12-13,89.56,90.94,86.31,87.38,13813900
1998-12-20,85.31,87.25,83.62,85.25,7533000
1998-12-27,86.0,91.19,85.87,88.37,4705900
1999-01-03,87.25,88.94,78.37,78.75,16411200
1999-01-10,79.25,83.26,74.19,81.44,19913700
1999-01-17,80.56,83.13,77.0,80.19,9903600
1999-01-24,84.88,94.06,83.75,93.19,20456100
1999-01-31,93.69,94.56,88.0,88.32,9765100
1999-02-07,87.75,90.63,86.44,90.19,7186200
1999-02-14,90.0,94.5,88.25,93.06,9419300
1999-02-21,91.75,97.26,91.0,94.37,10977200
1999-02-28,94.5,97.76,91.12,97.44,9992100
1999-03-07,96.56,97.62,90.94,94.88,13003900
1999-03-14,94.13,96.94,86.0,87.44,17778200
1999-03-21,86.56,87.44,82.56,84.5,10332200
1999-03-28,87.0,89.26,84.87,86.69,6650900
1999-04-04,86.75,91.01,84.75,90.13,8068000
1999-04-11,89.75,90.51,80.06,82.06,13911800
1999-04-18,78.5,78.88,71.0,74.07,21533600
1999-04-25,75.0,80.51,72.87,73.38,19320600
1999-05-02,73.63,76.82,73.25,75.5,12070600
1999-05-09,74.75,79.76,73.25,77.0,11250600
1999-05-16,76.0,78.38,70.68,71.5,11313500
1999-05-23,71.38,72.38,65.94,71.56,20322400
1999-05-30,71.44,75.44,69.5,75.06,8429300
1999-06-06,75.25,75.76,69.06,69.75,12297200
1999-06-13,69.63,71.06,68.07,69.06,11426600
1999-06-20,69.5,69.5,65.0,65.69,13417400
1999-06-27,67.5,75.26,64.25,74.69,22968900
1999-07-04,74.69,75.38,73.0,74.38,6909000
1999-07-11,75.0,77.5,72.5,76.87,11202600
1999-07-18,76.88,77.75,68.25,68.88,10855400
1999-07-25,70.38,70.38,65.56,65.76,14466800
1999-08-01,65.63,66.44,61.44,62.75,16208300
1999-08-08,62.69,64.63,60.56,63.19,16114600
1999-08-15,63.88,67.62,63.5,67.37,14034100
1999-08-22,68.19,77.06,68.12,75.25,17785600
1999-08-29,75.38,77.5,73.56,76.87,11168300
1999-09-05,76.94,76.94,72.25,72.44,6747200
